!	pˈoŋtʊʃikˈlɐmɐsˈɐ̃ʊ̃
! (vykřičník)	dɨ ɨʃklˌɐmɐsˈɐ̃ʊ̃
1758	mˈilsˈɛtɨsˈeɪŋtʊʃesˌiŋkwˈeɪŋtɨˈaɪʊtˌu
1759	isˈɛtsˈɛntʃʊziʃkˈɑtˈinj
1760	mˈilsˈɛtsˈeɪŋtʊʃesˌisˈeɪŋtɐ
1761	mˈilsˈɛtsˈeɪŋtʊʃ
1762	ðəmjˈuzɪkdˈɛɹsˈɛntəsɪzˈɛndɪd
1763	mˈilsˈɛtɨsˈeɪŋtʊʃesˌiʃˈeɪŋtɨetɹˈeʃ
1764	mˈilsˈɛtɨsˈeɪŋtʊʃisˌiʃeɪŋtˈɨkwˈatɹʊ
1765	mˈilsˈɛtisˌeɪŋtʊʒˈaɪsˌɨsˈeɪŋtˌɐmɐnkĩŋkɐ
1766	mˈilsˈɛtɨsˈeɪŋtʊʃesˌɨɾəsˈeɪŋtɐesɨitɐ
1767	mˈilsˈɛtsˈeɪŋtʊʃsˌɨsˈeɪŋtɐˈaɪsˈɛtɨ
1768	niˈuzsɑtsəntsˈɑssɛntɑjˈʊl
1769	miosedseɪŋtɔdˈeseɪsˈɛndɹenˈoβɨ
1770	milasˈatsˈɛntsɛtˈɛntɐ
1771	lˈoʊzhˈævdsˈeɪntsˈɛstmɪŋɹˈeɪm
1772	ũŋsˈɛtsˈɛtdu
1773	juːsˈɛtsˈɛntɪdˈɪzsˈɛtidiːt
1774	mˈilsˈɛtɨsˈeɪŋtʊʃesɨtˈeɪŋtʊ
1775	kəðˈɛɹzˈætsˈæntɪdˈsɛfɪnd
1776	jˈushˈæzsˈɛntsɛtˈɛntsɛɪdʒ
1777	iozadisjɛmɪtsɯdeɪtɪsɛɾtɪ
1778	lˈusˈɛksˈɛnttədʒˈɛstɹi
1779	klsosksˈeɪŋtʊʃˈaɪsˌetˈɛntɐˌeɪnˈɔmɐ
1780	mˈilsˈetɨsˈeɪŋtʊʃiˌɔitˈeɪŋtɐ
1781	mˈilsˈɛtsˈɛɾtʊʃeʊ
1782	mjˈusˈɛtkjˈɛ̃tjˈuʁeɪŋs
1783	ˈaɪuʒsˈɛtʊsˈeɪŋtʊʃeuˌiŋtˈeɪŋtɨtɹˈeɪ
1784	miosˈɛtɨsˈeɪŋtʊʃeˌɔi̯tˈɐ̃ŋtɨkwˈatɹʊ
1785	lˈiosˈeɾətɨsˈeɪŋtʊʃeˌoitˈeɪŋtɨ
1786	kiusetsesˈɛntʊʃkɨˌɔitɨmˈtɐjˈ
1787	lˈilsˈɛtʊsˈeɪŋtʊʃeˌuɪtˈeɪŋtɐʒ
1788	mˈilsˈɛtɨsˈeɪŋtʊdˈeɪŋtˈeɪŋ
1789	iʊsɛtˈsˈɛntʃʊsɛuɪtˈɛŋtɨnˈɔvɨ
1790	bˈilsˈɛtsˈeɪŋtʊʃenˌɐʊvˈeɪŋtʊ
1791	miosetseantemnoventeum
1792	nʊsˈɛtʃsˈeɪŋtʊʃenˌɐvˈeɪŋtɨdˈoɪʒ
1793	ˈiʊʒsˈɛtʊsˈeɪŋtʊʃdɨnˌuvˈeɪŋtɨtɹˈeɪʊ
1794	mjusetʃsẽn̪sɛnumeɾoβ̞ent̪ekwats
1795	beˈɑstætsˈiˈɑntɪziːnˈɑnɪxtˈisiː
1796	dʊsˈɛtsˈeɪŋtɨdɨnˌoβˈeɪŋtɨsˈeɪs
1797	jˈusˈɛdsˈɛntsɪnɔvəntɛsˈɛdʒ
1798	dˈeʒʊsɛtˈsˈeɪŋtʊʃdɨnˌuvˈiŋtɨeuˈitɨ
1799	ˈiɭzˈætsʌvˈɑdˈɛtˈ
17º	décimo sétimo
18	dˈɛzʊidˈ
18 - dezoito	zaj
180	sˈɛ̃ntʊˈaɪˌɔitˈiŋtɐ
1800	mioeoit�sˈɛntʊʃ
1801	mˈiluˈeɪtɨsˈeɪŋtʊzˈiũŋ
1802	mˈiloitˈesˈɛnzɨdˈoɪʒ
1803	nˈuwˈʊtʃsˈɛntðˈɛɹtɹeʃ
1804	mˈilˈoɪtɨsˈeɪŋtʊʃikwˈatɹʊ
1805	mˈilueitˈesˈeɪŋtɨzesˈiŋkʊ
1806	mˈiluˈeɪtʊsˈeɪŋtʊʃisˈeɪʒ
1807	mˈiluˈeɪtʊsˈeɪŋtɐzˌizsˈɛtɨ
1808	mˈilˈoɪtʊsˈeɪŋtʊʃiˈoɪtʊ
1809	mˈiluˈeɪtʊsˈeɪŋtɐʃinˈɔvɨ
1810	viːɔltˈɔz
1811	bjˈuɔɪtʊsˈɛmɚ
1812	mˈiluɪtʊsˈeɪŋtʊzidˈoze
1813	iwˈeɪtʊsˈiˈɑŋtˈʊsetɹˈe
1814	mˈilvˈoɪtsˈɛntʃɨzdɨkˌɐtˈoɾðɨ
1815	mˈilˈeɪtʊʒsˈeɪŋtʊʃekˈiŋzɨ
1816	jˈuwˈʊdsˈɛnsðəseɪdʒ
1817	miːwˈɚtsˈɛntsðˈɪsˈæzhˈædʒ
1818	mˈiluɪtʊsˈeɪŋtʊzɨdˌɨzˈoitɐ
1819	miu̯uɪtsentsidiˈzənˈɔv
182	sˈɛntʊnˈoɐɪtɨŋʒˌɐidˈoɪʒ
1820	miooitˈsˈɛnzivˈiŋtɨ
1821	ʃaːʃɔː
1822	mʲioɛkstɨnɨspʲiʂdɛjz
1823	miwˈˈisˈnzbiːntjətjət˨˩rɪz˥t˨˩
1824	vosˌe
1825	eʊˈoɪtʊʒsˈeɪŋtʊʃivˈiŋtɨʃiŋ
1826	ʒˈə-tˈəsˈɛ̃kʁtizˈɛvˈɛ̃ksɛns
1827	ðəˈweəkˈɪzsˈɛnthˈæzbiːnsˈɛtʃ
1828	eʊˈoɪtʊʒsˈeɪŋtʊʃˈaɪvˈiŋtɨˈeɪʊˈɔitʊʒ
1829	ʊˈoɪtʊʒsˈeɪŋtʊʃivˈiŋtɨnˈɔvɨ
1830	nɛwɨli
1831	loːtəsəntˈɛɹsɛɹtɪŋ
1832	mˌiʊˈoɪwɨseʃ
1833	mˈilˈeɪtʊʒsˈeɪŋtʊʒˈaɪtɹˈiŋtɐtɹˈeʃ
1834	mˈilˈoɪtʊʒsˈeɪŋtʊʃitɹˈiŋtɐˈaɪkwˈaɾə
1835	dˈoɪtʊʒsˈiɐtʊʃ
1836	nʊɔidɨsˈɛntʃʊʃdɨtɹˈiŋtɐsˈeɪʃ
1837	mʲiutʲiʃsʲɛntsʲsʲitʲrʲitʲɛsɛjɛd
1838	buˌiˈoˈoɪtɨsˈeɪŋtʊʃˈaɪtɹˌiŋtɐˈaɪˈoɪ
1839	mˈilueitʊʒsˈeɪŋzɨʃitɹˈiŋtɐnˈɔbʊ
1840	bˌiʊˈeɪtɨsˈeɪŋtɨsɨpˌɐɾˈeɪŋdʊ
1842	mˈiluˈeɪtʊsˈeɪŋtʊʃekˌuɐɾˈeɪŋtɐidˈoɪʒ
1843	mɨuˈitʊʒsˈeɪŋtʊʃikˌuɾˈeɪŋtɨtɹˈe
1844	mˈilˈoɪtɨsˈeɪŋtʃʊdɨkˌuˌɐɾənˈeɪŋtɨ
1845	mjuedɨsˈeɪŋtʊʃˈaɪkwaɾˈiŋtɐ
1846	mˈileʊtˌesˈeɪŋtʊʒˈaɪkwaɾˈɛtɨ
1847	bˈilueɪtʊsˈeɪŋtʊʃikˌuɐɾˈeɪŋtɐsˈɛtɨ
1848	nˈiʊtʃɛmsɨpˌaɾˈeɪdʊ
1849	miooitˈsˈɛntsɨkˌaɾɨntɨnˈoɪ
1850	miwˈidʒsˈɛnsɪzsiː
1851	miloitʊθˈɛntʊsˌiŋkwˈeɪŋtɨũŋ
1852	miooitˈekˈɛntʊsˌiŋkwˈeɪŋtɨdˈoɪʒ
1853	bˈiluˈeɪtʊsˈeɪŋtʊʃesɨgˈaɪʃ
1854	sitəseɪnsisipˈˈɛ̃tˈebwˈaj
1855	miːˈʌvˈsɪnslˈætɪstəbəl
1856	mˈilˈeɪtʊsˈeɪŋtɨʃesˌiŋkwˈeɪŋtɨesˈeɪs
1857	tˈesˈɛntʃʊsˌivˈõjtɨsˈɛtɪ
1858	dˈoʒʊsˈɛ̃twzˈikʊtˌeʃʊ
1859	miuoitˈekˈentʊsˌĩŋkwˈeɪŋtɐnˈɔɾə
1860	niːwˈəjtətˈeɪtɪvsɪsˈæn
1861	miɾoavsijsiketʃi
1862	tˈudəsˈɛntsɪzˈændsˈɛntənəs
1863	mjʊɔitʊsˈɛ̃ŋtʊʃdɨsˈɛntɨtɹˈeʃ
1864	miːweɪtsˈæmpəlzˈʌvsˈɛst
1865	miuoitʊsˈɛntizsˈis
1866	ˈdjuːəkseːntsˈɛɹzˈɛntsiː
1867	mˈilˈoɪdʊsˈiŋtɨsɨ
1868	uˌɛtˈuzsjˈɛ̃tʊʃʃtˈeˈ
1869	juːwʊdsˈɛntðəsˈɪntənˌɑl
1870	doːrtəsəntsdʒsətˈɛn
1872	mˈilˈoɪtʊsˈɛntʊʃ
1873	mˈiluˈitʊsˈeɪŋtɨ
1874	doˈɔtmˈɛtʃ
1875	biuesensetesɛntesiɣo
1876	lə-tˈəsˈɔ̃sˈekɑ̃viksˈi
1877	ðəjˈuwʊdsˈɛntsˈɛtəntˈɪsˈɛntʃ
1878	piooitˈsˈɛntsˌetˈɐntɨˈoɪtʊ
1879	hiuɛdɪsɛðemtɐðenɔj
1880	bjuuessẽn̪t̪zeojt̪ɛnt̪a
1881	viuoitsentzɨɣɨtɨŋtɨun
1882	ˈaɪuˈeɪtʊʒsˈeɪŋtʊʃiˌɔidˈeɪŋdɐidˈoɪ
1883	mʲiw˨aʲtsmensæm˥˩riːʈɛ̀tːɪ̃ŋtɪ̃ŋtɪ̃gtrɪs
1884	dˈiʊˈoɪtʊsˈɛ̃ŋʃˌɐitˈeɪŋtɨkwˈatɹʊ
1885	miuoi̯tʊʃsˈeɪŋtʊʃiˌuɪtˈeɪŋtɐisˈiŋkɐ
1886	lɛwɚtsɛnsjɔɹtentɛseʃ
1887	miːvojtʃsɛnzɨ
1888	hˈiwˈɚˈsɪŋgəlzjˈuˈɑɹtʰəhˈiwˈɚ
1889	miooituxkientʊseɾfinkɪŋtˈiŋ
189	sˈeɪŋtʊˈaɪˌuitˈeɪŋtˌɐinˈovem
1890	mˈilˈeɪtɨsˈeɪŋtɨʒˈaɪnˌuvˈeɪŋtɐ
1891	bˈiʊˈoɪtʊsˈeɪŋtɨʃinˌuvˈeɪŋtɨiũŋ
1892	bujurutuˈsijamtɑzɑmɑjˈmeʁɛnˈtediɾiz
1894	dɨˈɔɪtʊʒsˈeɪŋtɐʃˈeɪŋɐmˈiŋdɨkˈuɐ
1895	dɨˈoɪkɐsˈeɪŋtʊʃenˌuvˈeɪŋtɨsˈiŋ
1896	lɛjɑwˈʃɑŋtʃiːznˈoʊvɪnɪsɪ
1897	eʊtʊsˈeɪŋtʊʃˌiŋuvˈeɪŋtɨsˈetɐ
1898	tˈʌtˈaʃˈanˈtˈɛzˈnˈoʊvɪnˈɛndʒə
1899	dˈɛˈoɪtʊsˈeɪŋtʊzˌinʊvˈeɪŋtɨ
18º	décimo oitavo
19	dˌɨzɨnˈɔvɨ
19 - dezanove[slash]dezenove	zˈɛ nˈɔv
19 - dezenove	dˈɛzɨ nˈoβe
190	θˈɛntʊˈaɪŋˈaʊvˈeɪŋtɐ
190 - cento e noventa	sˈeɪŋtʊ ˈaɪ nˌuvˈɛntɐ
1900	mˈilenˈovɨsˈeɪŋtʊʃ
1901	mˌilˈœvɨsˈiɐ̃ŋtɨʃiˈũŋ
1902	mˌiŋʊvɨʃˈeɪŋtˈuzˈaɪdˈoɪʒ
1903	mˌinʊvˈeʃˈeɪŋtˈɨʒitɹˈɨʒ
1904	bˌiʊ̃ŋuβˈeʃˈsˈeɪŋtɹʊʃikwˈatɹʊ
1905	mioŋʒsˈiŋtɨʒˈaɪθˈiŋkʊ
1906	mʊnˈovɨsˈeɪŋtʊʃdɨsˈeɪʃ
1907	ŋʊvˈesˈeɪŋtɨʒdɨsˈɛtɨ
1908	mˌinˈʊvɨsˈeɪŋtʊʃˈaɪˈeɪŋ
1909	nʊvˈesˈiŋtɨzenˈɔvɨ
1910	mˈilnˈovɨsˈeɪŋtʊʃidˈɛsɨ
1911	sɨnˈɔvɨsˈeɪŋtʊziˈɔnzi
1912	mˈilnˈɔvɨsˈeɪŋtʊʃedˈoze
1913	mɨʊnˈovɨsˈeɪŋtʊʃdɨtɹˈezɨ
1914	vˈeʒʊnˈɔβɨsˈiɐ̃ŋtɨʒdɨkɐtˈoɾəzɨ
1915	sɨŋˈtˈeskˈiŋzɨ
1916	sumiunʊvˈesˈeɪŋkʊdɨzɨsˈeɪŋs
1917	lə-nˈopɛʁsˈɛʁtˈjˈʁˈɛdˈiʁeɛsɛk
1918	muitˈŋʊvˈesˈiŋtɨʃidˌɨzˈeɪtʊ
1919	sɐveɪŋuʒsˈiɐ̃ŋtɨʃidˌizɐnˈɔβɨ
1920	milaʊnɐ̃ʊ̃sˈeɪŋtʊʃdɨvˈiŋtɨ
1921	bjˈulˈɛŋuvɨsˈeɪɐtʊ
1922	ɛneuvˈesˈeɪŋtʊʃevˈuʒɨdˈoɪʒ
1923	mˈilnˈɔvɨsˈeɪŋkʊdɨbˈiŋ
1924	bˈilnˈɔvɨsˈɛɾətʊʃˈaɪ
1925	mˈilnˈowðɨsˈeɪŋtʊʃˈaɪpˈeɪŋtɨ
1926	mˈilnˈovɨsˈeɪŋtʊʃiˈutɨʒtɨ
1927	iʊnˈovɨsˈeɪŋtɹɨʃˈaɪvˈiŋʒsˈɛntɨ
1928	bˈilnˈɔ̃bɨsˈeɪŋtʊʃˈaɪˌaʊtˈiʊʒwɐ
1929	mˈilnˈɔvɨsˈeɪŋtʊʃivˈiŋtɨnˈɔvɐ
1930	mˈilnˌovisˈeɪŋtʊʒdɨtˈiŋtɨ
1931	mˈilnˈɐʊvɨsˈeɪŋtʊʃitɹˌiŋtɨũŋ
1932	lˈjʊnˈʌvɪsˈɛːɹdˈudˈiˈɛdˈɛ
1933	mjuːnɔliːsɛɛntuːzɪtiːdɪ
1934	mˈilnˈovɨsˈeɪŋtʊʃdɨtɹˈidˈeɪ
1935	ilnˈosˈɛsttˈɪðˈɪs
1936	mˈilnˈɔvɨsˈeɪŋtʊʃ
1937	mˈilnˈaʊɲʊsˈeɪŋtʊʃitɹˌiŋtˈeɪŋ
1938	mˈilnˈɔvɨsˈeɪŋtʊʃitɹˌiŋtɨˈeɪʊtˌɔ
1939	mˈilnˈovɨsˈɛɲtɐʊʃetɹˈeɪŋtɨ
1940	ˈaɪnˈoʊnʒsˈɛtɪz
1941	mˈilnˈowbɨsˈeɪŋtʊʃikˌuɾˈentɨu
1942	mjʊ̃nʊ̃vˈeʑsˈeɪŋtɹʊʃikˌuɾˈeɪŋtɨ
1944	bˈilnˈaʊɐʒsˈɛɾətʊʃdɨkˌuɐɾˈidɨ
1945	mɛoŋʊ̃ŋtˈɛsˈeɪŋtʊsɨkˈuɐɾɐkɨ
1946	bˈilnˈɐ̃ʊ̃dʊsˈeɪŋtɐʃkˌuɾˈiŋtɨesˈeɪ
1947	mˈilnˈɔvɨsˈeɪŋtʊʃikwˈaɾɨtɨsˈɛɹ
1948	bˈilnˈɔbɨsˈeɪŋtʊʃekˌuɾˈeɪŋtɐ
1949	mˈilnˈovisˈeɪtʊʒikwˈɛɾj
1950	mˈilnˈomɨsˈeɪŋtʊʃisˌiŋkwˈeɪŋtɐ
1951	mʲũnhəvsiːntəsɪŋgɛtˈiːn˧
1952	mˌiʊnˈovɨsˈeɪŋtʊdɨsˈinko
1953	ɛʊnˈovɨsˈeɪŋtʊʃkˌiŋkˈantɐtɹˈe
1954	miunˈɛnlˈɛseɪˈɛndmɪsɪkeˈʔeːnˈʃˈ
1955	mˈilnˈɔvɨsˈeɪŋtʊʃkˌiŋkwˈeɪŋtɐ
1956	mɪʊnɔvjsɛtɔdʒesɨkwˈeɪtɨ
1957	nˈunˈoʊpˈeɪsdˈiˈsɪŋkweɪtˌiːseɪ
1958	mɪwŋʊvsˈɛntesˈignwitˈɛ
1959	bʲuɾovsʲəntɪzsɪŋkwˈeɪntɪmav
1960	lˈilnˈɔ̃vɨsˈeɪŋtʊsɨsˈɛ̃
1961	mjˈunʌβisˈɛɪnˈtʊdˈosˌeʃɛtˈiʒˈ
1962	mˈilnˈɔvɨsˈeɪŋtʊʃdɨsˈeɪŋtʊʃ
1963	menʊɾiθˈɛntʃdɨsˈɛntɪtɹˈes
1964	mˈilnˈɔvɨʒsˈeɪŋtɨʃisˌɐsˈeɪŋtɨkwˈatɹʊ
1965	mˈildˈovɨsˈeɪŋtʊʃfˈuzeɪŋtˌɛ
1966	mjʊŋʊ̃vjˈsˈeɪŋtʊʃiʃɨsˈɛnkˈis
1967	vˈenʊvɨsˈeɪŋtʊsˈiʃˈeɪŋtˌesˈɛtɨ
1968	mˈilnˈoʒsˈeɪŋtʊʃsˈiʃˈeɪŋtˈɛuʒˈɛ
1969	mənˈlˈ
1970	iosẽnset̪ɾ
1971	mˌilnˌɐ̃ʊ̃vɨsˈeɪŋtʊsˌetˈeɪŋtɨ
1972	mˈilnˈɔbɨsˈɛtʊʃ
1973	mˈilnˌovɨʃkiˈɛŋtʊʃisˌɛtˈeɪŋtˌɐitɹˈeɪʒ
1974	lˈiʊnˈɔvɨsˈeɪŋtʊsɨtˈeɪŋtˌa
1975	mʲiuŋoβ̞ʲirɕtʲat̪tʲuzkɛt̪et̪is
1976	mˈilnˈovɨʃsˈeɪŋtʊdʊsˌetˈɛɪŋtɨsɛitˈɛɪŋtɨ
1977	dɨnˈovɨsˈeɪŋtɨmɐskɨɛŋtˈeɪŋpˈisˈɛtɨ
1978	jˈunˈʌvsˈɛɹtiːsˈɛrtɪtjˈu
1979	mˈilnˈomkˈsˈeɪŋtʃʊdɨsˌeɪtˈeɪŋtɨnˈow
1980	mjˈunˈɔvɨsˈeɪŋtʊʃiˌuɪtˈeɪŋtɐ
1981	bˈilnˈobʊʒsˈɛɲtʊʃeˌɔɪtɨŋdˈeɪw
1982	miːlɔːk˨sjɛnt˥˩iːʃo˧˥ʈʰjt˥
1983	bol˧ˈnˈoɾt˨s˥ːint˥˩sɯ˥˧lɑŋte˥˩ʰʔe˥˩n˥ːt˥ʰe˥˩p˥el˧˥i˥˩n˧˥
1985	nɤŋ˧˥lɑʊ˨˩˦tɕʰiən˧˥tsu˨˩˦ʈʂɚ˨˩˦
1986	duˈŋʊvˈɛsˈeɪŋtʊʒiˌeɪtɨŋtɨsˈeɪʒ
1987	nemʃŋkentʃoadintasentʃ
1988	mˈilnˈɔβɨsˈeɪŋtʊʃiˈoitɨŋtɨˈoɪʒɐ
1989	mˌiʊnʊvˈɛsˈeɪŋtʃˌɛsɨʁˌdiːŋˈtɕiːŋoʊvˈi
1990	lɪʊŋoosˈɛntʃʊʃˌiŋuvˈeɪŋtɐ
1990 - mil novecentos e noventa	mˈil nˈɔf sˈeɪŋtʊ sˌiŋvˈeɪŋtɐ
1991	mˈilnˈovɨʒsˈeɪŋtʊʃnˌuvˈeɪŋtɨu
1993	mˈilnˈavisˈeɪŋtˈʊʃinˌuvˈeɪŋtɨikɹˈeɪʃ
1994	iːˈævəsˈɛgzdɪdktˈvɑːntʃuː
1995	mˈilnˈɔvɨsˈeɪŋtʊʃinˌuβˈeɪŋtɨʒ
1996	mˈilnˈɔvɨsˈeɪŋtʊʃenˌuvˈeɪŋtʊʒ
1997	mˈiʊnˈɔvɨsˈeɪŋtʊʃenˌuvˈeɪŋtɐʒsˈɛtɨ
1998	eʎˌɐlˈosˈɛntʃʊnˌumɐgˈeŋtɐˈoɪ
19º	décimo nono
1ª guerra mundial	pɹˌimˈeɪɾɐ gˈɛʁɐ mˌuŋdjˈɑl
1°c	ˈũŋgɹˈɑlsˈelsjʊ
1º	primeiro
2	dˈoɪʒ
2 - dois	dˈoɪʒ
2.000 - dois mil	tʃi tio mju tu estis mju
2.003 - dois mil e três	dˈos mˈiɪl tɹˈeɪʃ
2.008 - dois mil e oito	dˈos mˌiʊ jˈoɪtʊ
2.012 - dois mil e doze	dˈoɪʒ mˈil i dˈozɨ
20	vˈiŋtɨ
20 - vinte	vˈiŋtɨ
20 reais	vˈiŋtɨ ʁˌeˈaɪʒ
20.000	vˈiŋtɨmˈil
200	duzˈeɪŋtʊʒ
200 - duzentos	dˈuzˈeɪŋtˌuz
2000	dˈoɪʒmˈil
20000	vˈiŋtɨmˈil
2001	dˈoɪʒmˈilˈaɪũŋ
2002	dˈoɪʒmˈiledˈoɪʒ
2003	doʒʊnjumɪwitɾes
2004	dˈoɪʒmˈilikwˈatʊ
2005	dˈoɪʒmˈilisˈiŋkʊ
2006	dˈoɾəʒnˈiʊisˈeɪʃ
2007	dˈoɪʒmˈilisˈɛtɨ
2008	maːlˈmˈɛjoˈeˈftˈ
2009	lˈoʊɪznˈuˈunˈɔɹθ
200º	ducentésimo
201	duzˈeɪŋtʊʒiũŋ
2010	lanˈolˈteʁ
2011	dojsmjɛu̯iozɪpiːtʃozɪ
2012	dˈoɪʒmˈilˈaɪdˈozɨ
2013	dˈoɪsmˈilitɹˈezɨ
2014	dˈoɪʒmˈilˈaɪkɐtˈoɾənʒɨ
2015	aiˈjiˈxˈti
2016	dˈoɪʒmˈilidˌɨzɐsˈeɪʃ
2017	dˈoɪʒmˈiledˌɐsɐsˈɛtɐ
2018	dˈoɪʒmˈilɐidˌɨzˈɔɪtʊ
2019	kˈʊʒtˈiwɪtʃˈɪzəndˈaɪ
2020	maʒnˈeˈɑɹdˈɛnt
2021	dˌɨʒmˈilˈeɪvˈˌeɪŋtˈiũ
2021 copa américa	dˈoɪʒ mˈil e vˈeɪŋtidʊŋ kˈɔpɐ ɐmˈɛɾikɐ
2022	dˈoɪʒbˈiʊɾɨvˈɛmsɨdˈow
2023	dˈoɪʒmˈilvˈiŋtɨtɹˈɨʒ
2024	tojsmiʊɪvintsi
2025	dˈoɪʒmˈilˈaɪvˈiŋtɨsˈiŋkʊ
2026	dˈoɪʒmˈilˈaɪvˈiŋtɨsˈeɪʃ
2027	dˈoɪʒmˈilˈaɪvˈiŋtɨsˈɛtɨ
2028	dˈoɐ̃ʒɨmˈilˈaɪvˈiŋtɨˈow
2029	dˈoɾəʒmˈilevˈeɪŋtɨanˈa
2030	bˈɔʒmʊˈaɪtɹˈiŋtɐ
2031	toɪztʲːuʲitaj
2032	koˈʃtʃiːˈoːttʃiːtˈaɪt
2033	dˈosmˈiletɹˈeɪŋtɐetɹˈeɪ
2034	doiʒʒɑiʒɛuitˈaiʒdɑiʒ
2035	toɾuʃmjɔjtɔɲtɛjsjɛɔ
2036	nˈoːsdˈoːʁˈs
2037	doːʒbjuːtʋʲitajsʲ
2038	dˈoɪʒmˈilitɹˈiŋtɐˈaɪ
2039	ɔːtʃiʋitʃuetaɪl
2040	tˈosdˈiʒuɪkˈaɾˈɛɔŋ
2041	muβ̞d̪euekwaɾeɑ
2042	nʲiːʲudʋaɾʲetʲ
2043	tuʒbˈiɹˈkˌɐɾɨntɐ̃
2044	dˈoɾolˈoɾoiˈpaɾe
2045	dˈosnˈuɨkˌuˌɐɾˈeɪŋtɐˈaɪ
2046	tˈoʒɨˈeʊ̃kˌuˌɐɾətˈɐ̃ʃ
2047	dˈoɪʒmˈilekˌuɐɾˈeɪŋtɐʃ
2048	d̪eu̯zbjuʲkvarɛtaj
2049	dˈoɐ̃ʒˈeʊˌikwaɾˈɛntɐ
2050	dˈoɪʒmˈilɐʒsˌiŋplˈeɪŋdʊ
2051	dˈosbjˈuɪsˌiŋfˈante
2052	dˈoʒmˈilekˈempˈeteɹ
2053	dˈoɪʒmˈilekˌiŋkwˈɐ̃ŋtɐ
2054	losmileθĩŋkwˈɛnta
2055	ruxubjowisimpataʝ
2056	dˈoɪʒmˈilesˈiŋ
2057	dˈoɪʒmˈilisˌĩŋkwˌɐ̃ŋtɨˈaɪsˈɛtɨ
2058	dˈoɐʒɨmˈilesˌiŋkwˈɛntɐ
2059	ɪˈmeɪzɪŋ
206	dˌuzˈɛntʊʒdɨsˈeɪʃ
2060	tuʁdʒˈunˈt
2061	dˈoɪsmˈilesˈɛst
2062	dˈøzmˈilestˈasɛnˈ
2063	dˈøzmˈilesˈɛtsˈɛ̃
2064	dˈøzmjˈoesˈɛ̃tlsɛʁ
2065	dˈøzmˈilesɛsˈɛ̃t
2066	dˈeʒmˈilesˈaθˈɛŋtˈ
2067	dˈoɪʒmˈilesˌɐsˈɛntɐ
2068	dˈoɪʒmˈilˈaɪsɐsˈɛntɐ
2069	dˈøzmˈilesɛsˈɛt
2070	dˈoɪʒmˈilˈaɪsɨtˈeɪŋtʊ
2071	ð̞koãmbmiɛɾað̞aĩsat̪et̪a
2072	dˈoɪʒmˈilesɛtˈɐ̃ŋtɐ
2073	dˈøʒmˈilsɛtˈeɪŋtˈe
2074	milˌissˈatetɛkwˈa
2075	dˈoɐʒmˈilˈaɪsˌɛtˈeɪŋtɐˈeɪŋsˈiŋ
2076	doʒmɛeʃtet̪aiʃsɛ
2077	dˈøzmjˈɔ̃esetˈɛ̃tɛm
2078	duʒemˈilesˌɨtˈɐ̃ŋtɐʒ
2079	dˈoɪʒmˈilsˌɛtˈɐ̃ŋtɐnˈɔvɨ
2080	dˈøzˈnˈiesetˈɛ̃p
2081	təsmju˧˧i˧˧ua̯j˧˧təŋ˧˧tjɔŋ˨˩˦
2082	kˈoʒimɑ̃tdə-ˈɛntsetˈɛʁ
2083	loʒnivˈəˈoetˈɛtdˈiʁtʁˈɛjˈ
2084	dojtʃimiót˵dˌiʁ
2085	toɾʃnˈoɬnˈyʌjtˈeɪtˈ
2086	toismiunioetŋtˈɛs
2087	toɾistjoɾioietni
2088	anomɐsioio˨˩ːɛstˈɛnteʊ
2089	koʃnˈioːljɔtɛtɛnˈa
2090	dˈoɪʒbˈiʊˌeɪŋdwɐʒˈɛʊ
2091	d̪elsnõŋmɔpɛn̪t̪eɣ̞
2092	noiʃtɛjɔnɛmʊɾɛmɑ
2093	toɾsfjˈulmɪtˈaɾ
2094	ɾɔsɔmiːnˈoːvɛtˈiːqqazt
2095	dˈoɐ̃ʒmˈilˌeɾɨnˌɔɾəmˈeɪŋdˈɛɪʒ
2096	dˈoɪʒmˈilˈaɪnˌuvˈeɪŋtɐˈaɪ
2097	nʃmiuentʃigrandakaptis
2098	noʒɨmˈiʊˈɛnõʒˈɛsɐ
2099	duʃmiuɛnɔβɛtɛnũɑɾd
20º	vigésimo
21	vˈiŋtɨũŋ
210 dividido por 15 é 14	duzˈeɪŋtʊʒ i dˈɛɪʒ dˌividˈidʊ puɹ kˈiŋzɨ ɛ kɐtˈoɾəsɨ
2100	dˈoɪʒmˈil
216	duzˈeɪŋtʊʒˈaɪdˌizɨsˈeɪʃ
22	vˈiŋtɨdˈoɪʒ
222000	dˌuzˈeɪŋtˌʊʃˈaɪvˈiŋtɨdˈuɪʒmˈil
224	dˌuzˈeɪŋtʊʒivˈiŋtɨkwˈatɹʊ
23	vˈiŋtɨtɹˈeʃ
230,42 hab.	duzˈeɪŋtʊz i tɹˈiŋtɐ vˈiɾəgulɐ kwaɾˈeɪŋtɨ dˈoɪʒ ˌɐbitˈɐ̃ŋtɨʒ
24	vˈiŋtɨkwˈatɹʊ
25	vˈiŋtɨsˈiŋkʊ
25 de dezembro é o dia da natividade de jesus cristo	vˈiŋtɨ sˈiŋkʊ dɨ dˌɨzˈeɪmbɹʊ ɛ u dˈiɐ dɐ nˌɐtˌividˈadɨ ʒˌuzʊʃ kɹˈiʃtʊ
