'ਕਿਰਨਜੀਤ ਕੌਰ ਵੋਹਰਾ	kʌrəndʒiːd kɑːr bəɣuːrɑː
ਅਦਾਵਤ	ɑdɑʋt
ਅਦਿੱਖ	aˈdak˥
ਅਦੀਬ	ˈbiaːb
ਅਦੁੱਤੀ	adˈi
ਅਦੇਸ਼	adˈeʃ
ਅਦੇਸ਼ ਦੇਣਾ	aːd̪ɪʃ d̪iːɳa
ਅਦ੍ਰਿਸ਼ਟ	aːdrɛstə
ਅਦ੍ਰਿਸ਼ਟਤਾ	əd̪ɾɪʃʈt̪aː
ਅਧ	ɑd̪ɯ̞
ਅਧਕ	ədakɯ
ਅਧਕ ਕਿਰਿਆ	əg kɪrjɑ
ਅਧਖੜ	adzəxadɾe
ਅਧਮ	adamɯ
ਅਧਮੋਇਆ	adɯmojɑ
ਅਧਰਕ	að̞ɾak
ਅਧਰਮ	atarmɯ
ਅਧਰਮੀ	atarmi
ਅਧਰਿੜਕਾ	ɐd̪ɾeɖəkː
ਅਧਰੰਗ	adrˈang
ਅਧਵਾਟੇ	əʋuaːʈːe
ਅਧਵਾੜ	ədʒʋaːɽ
ਅਧਵਾੜਾ	ədʋaːɽaː
ਅਧਾਰ	adˌaːr
ਅਧਾਰ ਸਮੱਗਰੀ	ɦɑdɑːr θəmˈgːrɪ
ਅਧਾਰ ਸ਼ਿਲਾ	aːdaːr tʃeˈla
ਅਧਾਰਤ	adˈaːrət
ਅਧਿਆਇ	ɑːd̪eːɑːjeː
ਅਧਿਆਤਮਵਾਦ	ɑd̪iːeːt̪mʋaːd̪
ਅਧਿਆਤਮਵਾਦੀ	əd̪ʱiːaːt̪mʋuːaːd̪ʱiː
ਅਧਿਆਤਮਿਕ	ɑd̪ʱɑːt̪mɪk
ਅਧਿਆਤਮਿਕਤਾ	əd̪ʱiːäːtmɪktaːʔ
ਅਧਿਆਪਕ	əd̪ʱəəpək
ਅਧਿਆਪਕੀ	ədˁɛːəbkiː
ਅਧਿਆਪਨ	adɛapɐnɨ
ਅਧਿਆਪਨ ਕਰਨਾ	əde apɳ kɾnə
ਅਧਿਆਰਾ	adeaˈra
ਅਧਿਆਰਾ ਮੁਕਾਉਣਾ	aːde aːrɑːm ʃoːna
ਅਧਿਆਰੇ ਦੇਣਾ	əd̪eː aːre ɖeːɳe
ਅਧਿਐਨ	aðiːeːn
ਅਧਿਐਨ ਕਰਨਾ	əˈd̪eːɑːn kɐɾnə
ਅਧਿਕ	adək
ਅਧਿਕ ਕੋਣ	adəkːoːr
ਅਧਿਕਤਾ	adakɨta
ਅਧਿਕਰਨ ਕਾਰਕ	ɐd̪ɪgaːrɳɑːkaːrakː
ਅਧਿਕਾਰ	əd̪ɪkɑːr
ਅਧਿਕਾਰ ਖੇਤਰ	əd̪ɪkɑːr kʰeːt̪ər
ਅਧਿਕਾਰ ਖੇਤਰੀ	ədaqaːrʃ t̪riː
ਅਧਿਕਾਰ ਜਮਾਉਣਾ	aːtikaa aːr dʒəˈmɑvɑː
ਅਧਿਕਾਰ ਦੇਣਾ	ʔd̪ɪkaːr ɖeːɳa
ਅਧਿਕਾਰ ਪੱਤਰ	ədiqaːr pt̪ːɾ
ਅਧਿਕਾਰੀ	əd̪ʱɪkɑːriː
ਅਧਿਕਾਰੀ ਤੰਤਰ	əd̪ʱɪkaːɾiː t̪ənt̪ər
ਅਧਿਕਾਰੀ ਵਰਗ	əɖɪkaːɾiː ʋəɾg
ਅਧਿਕਾਰੀਆਂ	adikˈaɾˌiŋɐ
ਅਧਿਨਿਯਮ	aðˈenˌiʒɐm
ਅਧਿਸੂਚਤ	adzisutʃet
ਅਧਿਸੂਚਨਾ	aːdːsɯna
ਅਧੀਆ	aðˈia
ਅਧੀਨ	adˈiːn
ਅਧੀਨਗੀ	ħadɪng
ਅਧੀਨਤਾ	ədiːnʈːa
ਅਧੀਰ	ɐtˈiɹ
ਅਧੂਰਾ	adura
ਅਧੂਰਾਪਣ	aːdoːraːpəɳ
ਅਧੂਰੇ	adʊɾe
ਅਧੇੜ	ˈdeɪɹ
ਅਧੇੜ ਉਮਰ	ədeːɽumr
ਅਧੋਗਤੀ	adˈogətˈi
ਅਨਜੋੜ	aːn˩˩˦dʒoː˩˩˦ɑr˥˩
ਅਨਦਾੜ੍ਹੀਆ	andaːɽiːə
ਅਨਦਿਨੋ	tˈɛnˈtdˈiʁnˈoʁ
ਅਨਪੜ੍ਹ	aːnpɐɽe
ਅਨਪੜ੍ਹਤਾ	anpɽɑt̪ɑ
ਅਨਪੜ੍ਹੀ ਵਾਰਤਕ	äːnpɐɽiː ʋaːr t̪əp
ਅਨਮਤ	ɑnɯmatɯ
ਅਨਮਤੀਆ	əːnəˈmətijɑ
ਅਨਮੇਲ	ɑnɯmeːl
ਅਨਮੋਲ	annəmoːl
ਅਨਰਥ	ɑnɑrtʰɯ̞
ਅਨਰਥਕ	anaɾtʊ̞k
ਅਨਵਾਨ	əˈnwaːn
ਅਨਸਰ	ˈænfɛr
ਅਨਹਤ	anihth
ਅਨਹਦ	ɑnɪgadʏ̞
ਅਨਹਦਨਾਦ	anħdnaːd
ਅਨਾਚਾਰ	əˈnɑːtʃɑːr
ਅਨਾਚਾਰਤਾ	anɑːtʃaːrta
ਅਨਾਚਾਰੀ	əˈnɑːtʃɑːriː
ਅਨਾਜ	aːnɑːg
ਅਨਾਥ	ɛnaːt
ਅਨਾਥ ਆਸ਼ਰਮ	ʔənaːt̪ ɑːʃrəm
ਅਨਾਥਤਾ	anaːtʰətaː
ਅਨਾਦਰ	anaːd̪ər
ਅਨਾਦੀ	anat̪i
ਅਨਾਨਾਸ	ananas
ਅਨਾਮ	anɑːm
ਅਨਾਰ	ənɑːr
ਅਨਾਰਕੀ	ənɑːɾkiː
ਅਨਾਰਦਾਣਾ	ənɑːrdaːɳa
ਅਨਾਹਤ	ænɑːɦætː
ਅਨਾਹਦ	anaːad
ਅਨਾੜੀ	ənɑːɾiː
ਅਨਾੜੀਪਣ	ənaːɾiːpəˈne
ਅਨਿਆਂ	eɳjɑŋ
ਅਨਿਆਈ	aneaɕ
ਅਨਿਯਤੀਵਾਦ	əniːjət̪iːbaːd
ਅਨਿਯਮਿਤ	əˈnijəmɛdə
ਅਨਿਵਾਰੀ	əɳɪʋaːriː
ਅਨਿਸ਼ਚਿਤ	aːnɛʃtʃɛt
ਅਨਿਸ਼ਚਿਤ ਪੜਨਾਂਵ	ənɪʃtʃə tʌpɾnaːm
ਅਨਿਸ਼ਚਿਤ ਭੂਤਕਾਲ	a niʃtʃeʈ pɔɾɪ teːkaːl
ਅਨਿਸ਼ਚਿਤਤਾ	anɛʃtʃɛta
ਅਨਿੱਖੜਵਾਂ	ãnnkːaɾˈemˈa
ਅਨਿੱਛਿਤ	auˈnitʃˈɛt
ਅਨਿੱਤ	anˈetːə
ਅਨੀਂਦਰਾ	ajmˈinvɛra
ਅਨੀਂਦਾ	ẽn̪jnð̞aɾ
ਅਨੀਤੀ	aɳitˈi
ਅਨੀਮਾ	anima
ਅਨੀਸ਼ਵਰਵਾਦ	aːniːʃʃvaːrvaːd
ਅਨੀਸ਼ਵਰਵਾਦੀ	əniːʃʋərʋɑːd̪iː
ਅਨੁਕਰਨ	anukarimnɨ
ਅਨੁਕੂਲ	anukul
ਅਨੁਕੂਲ ਹੋਣਾ	ənoːqul hoːɳa
ਅਨੁਕੂਲਤਾ	aɺuqulta
ਅਨੁਕੂਲਨ	anukuːlˈlɑn
ਅਨੁਚਿਤ	anutʃeˈtə
ਅਨੁਪਮ ਸ਼੍ਰੀਵਾਸਤਵ	ˈla nˈuː ke miːlˈastˈot
ਅਨੁਪਰਾਸ	anuːbraːs
ਅਨੁਪਾਤ	anːubˈatː
ਅਨੁਪਾਤੀ	ənʊpɑːtːiː
ਅਨੁਭਵ	anubavɨ
ਅਨੁਭਵਵਾਦ	anupavad
ਅਨੁਭਵਵਾਦੀ	anupəbʋaːddi
ਅਨੁਭਵੀ	ãmezpeɾbˈiɾ
ਅਨੁਮਾਨ	ɔ̀n˩˦om˧aːn˧
ਅਨੁਮਾਨ ਕਰਨਾ	ɑːnʊˈmaːʱn kɐɾɳa
ਅਨੁਮਾਨ ਲਾਉਣਾ	əno maːʋaːn laʋɳa
ਅਨੁਮਾਨਿਤ	ɑnɔmaːnidʒ
ਅਨੁਰਾਗ	ɑnʊɾäːg
ਅਨੁਰਾਗੀ	ənoɾɑːkk
ਅਨੁਵਾਦ	ɑnuːɑːd
ਅਨੁਵਾਦਕ	ɑːnʋɑːɖk
ਅਨੁਵਾਦਤ	aːnuaːʔt
ਅਨੁਸਰਨ	anõsɐrn
ਅਨੁਸ਼ਾਸਕ	ənooʃɑːsək
ਅਨੁਸ਼ਾਸਕੀ	ɑːnʊʃɑːskiː
ਅਨੁਸ਼ਾਸਤ	ənooʃaːsət
ਅਨੁਸ਼ਾਸਨ	nˈuʃaːsˈæn
ਅਨੁਸਾਰ	anufaːr
ਅਨੁਸਾਰੀ	nsaːri
ਅਨੁਸੂਚਿਤ	anusutʃit
ਅਨੂਠਾ	oːnuːt̪a
ਅਨੂਠਾਪਣ	anˈʊtʰaːpɑ̃e
ਅਨੂਪ	anˈoːp
ਅਨੂਪਤਾ	anˈobta
ਅਨੇਕ	anik
ਅਨੇਕ ਈਸ਼ਵਰਵਾਦ	əɳək ɛːʃʋərʋɑːd
ਅਨੇਕ ਈਸ਼ਵਰਵਾਦੀ	əˈnɛk ɪswər ʋaːd̪iː
ਅਨੇਕਤਾ	aneɪkta
ਅਨੈਤਿਕ	aːnɑtɪk
ਅਨੈਤਿਕਤਾ	anatikta
ਅਨੋਖਾ	ãn̪oka
ਅਨੋਖੀਆਂ	ʔanˈokjəɪ̃
ਅਨ੍ਹੇਰ	anˈeɾ
ਅਨੰਤ	anˈɑ̃tˈe
ਅਨੰਤਤਾ	ẽn̪ẽn̪t̪et̪at̪
ਅਨੰਦ	ʔɛnɑnd
ਅਨੰਦ ਆਉਣਾ	ɑnɑn də ɑnɑn
ਅਨੰਦ ਕਾਰਜ	əˈnɪnd kaːrðʒ
ਅਨੰਦ ਮਨਾਉਣਾ	əˈnɑːnd mənɑːʋɳaː
ਅਨੰਦ ਮਾਣਨਾ	ənɑnd maːɳe na
ਅਨੰਦ ਮੰਗਲ	əɳaːn̪d̪ maŋgəl
ਅਨੰਦ ਲੈਣਾ	ɑːnɑːndə laiːɳaː
ਅਨੰਦ ਸਰੂਪ	əˈnɑnd sɾuːp
ਅਨੰਦਦਾਇਕ	əˈnɪnɪdaikː
ਅਨੰਦਪੁਰ	ɑnand̪ɯpːoːr
ਅਨੰਦਪੂਰਨ	anandepuːranɨ
ਅਨੰਦਮਈ	ənndʊmai
ਅਨੰਦੁ ਸਾਹਿਬ	ɑːnɑːnt sɑːhɪb
ਅਨੰਨ	navnɛ
ਅਪ	ap
ਅਪਚ	apaːk
ਅਪਜਸ	aːpəgəs
ਅਪਣਾ	əpnaː
ਅਪਣਾਉਣਾ	ɑpɑ̃aːoˈnˈa
ਅਪਣੇ ਆਪਨੂੰ	apne apno
ਅਪਣੱਤ	apɔɳatː
ਅਪਭਰੰਸ਼	apɐpɐɾaiʃɐ
ਅਪਮਾਨ	ɑpɑmaːn
ਅਪਮਾਨਜਨਕ	apmaːndʒaːnˈeːk
ਅਪਰਾਜਿਤ	apɾaːgit
ਅਪਰਾਧ	aprˈaðɨ
ਅਪਰਾਧੀ	əprɑːd̪ˈgiː
ਅਪਰਾਧੀਆ ਦਾ ਸਿਆਸੀਕਰਨ	ɐpɾɐ dɪɲɐ nˈɐs jˈɛ sɨgˈɛɾnʊ
ਅਪਰਿਭਾਸ਼ਤ	aprimaːʃet
ਅਪਰਿਵਰਤਤ ਕਿਰਨ	a paːriː vartːaːt ˈgɪrɛn
ਅਪਰਿਵਰਤਨ	aːpərivartːaːn
ਅਪਰਿਵਰਤਨ ਕੋਣ	aːpəɾi vrtən koɳ
ਅਪਰੋਖ	aparoːk
ਅਪਰੰਪਰ	əparəmpəɾ
ਅਪਰੰਪਾਰ	əprəmpaːr
ਅਪਵਾਦ	aːpɔvaːd
ਅਪਵਾਦੀ	əpʰəʋɑːd̪ɪ
ਅਪਵਿੱਤਰ	aːpˈɑvˈɪtɚ
ਅਪਵਿੱਤਰਤਾ	apovitːɛrta
ਅਪਸਾਰ	əpsaːɾ
ਅਪਸਾਰਨ	apɾisaren
ਅਪਹੁੰਚ	apˈaːɔ̃tˈ
ਅਪਹੁੰਚਤਾ	aːpawɔtɕeta
ਅਪਾਦਾਨ ਕਾਰਕ	əpaː daːn kɑːɾk
ਅਪਾਰ	əpaːr
ਅਪਾਰ ਦਰਸ਼ਕ	əpɑːr d̪əɾʃk
ਅਪਾਰ ਦਰਸ਼ੀ	əpaːr d̪əɾˈsiː
ਅਪਾਹਜ	ɐpɐrdʲiu
ਅਪੀਲ	ˈapiːl
ਅਪੁੱਤਾ	apɔtˈa
ਅਪੂਰਨ	apuːrˈan
ਅਪੂਰਨ ਅੰਕ	apuran ʔankar
ਅਪੂਰਨ ਅੰਸ਼	apuranːn əns
ਅਪੂਰਨ ਭੂਤਕਾਲ	a puːrən pːuː tə kaːr
ਅਪੂਰਨਤਾ	apurenta
ਅਪੂਰਵ	apuːɾɔvˈ
ਅਪੂਰਵਤਾ	apuravta
ਅਪੇਖਿਆ	aːlpekia
ਅਪੇਖਿਆ ਕਰਨੀ	ã peːkʰʃaː kɾˈniː
ਅਪ੍ਰਚੱਲਤ	ɑːpərtʃɐlˈlət
ਅਪ੍ਰਚੱਲਤ ਭਾਸ਼ਾ	aːppəɾ tʃlt paːʃaː
ਅਪ੍ਰਤੱਖ	apɾtagkə
ਅਪ੍ਰਵਾਨਤ	ɑːpɾʋɑːnɑːt
ਅਪ੍ਰਸਿੱਧ	ˈaːpeˈɾˈdˈdˈə
ਅਪ੍ਰਸਿੱਧੀ	apɾˈesdˈi
ਅਪ੍ਰਾਪਤ	əabrapət
ਅਪ੍ਰੈਲ	apɾal
ਅਪੜਵਾਉਣਾ	apɽuɭɳːɑː
ਅਪੜਾਉਣਾ	əpɾaːoɳɑ
ਅਪੜ੍ਹ	apaːr
ਅਪੰਗ	paŋg
ਅਪੱਛਰਾਂ	ʔːpətʃraːm
ਅਪੱਥ	apat˦hʰ
ਅਫਰਾ	ˈɑpɾɑː
ਅਫਰਾਉਣਾ	ɐpɾɐuɳɐ
ਅਫਰੇਵਾਂ	aprɛjvam
ਅਫਲ	apaːl
ਅਫਵਾਹ	aːflɑ
ਅਫਵਾਹਾਂ	æfævɒːe̞m
ਅਫ਼ਗ਼ਾਨਸਤਾਨ	ɑfɣɑnɑstɑn
ਅਫ਼ਗ਼ਾਨਿਸਤਾਨ	əfgɑːnɪstɑːn
ਅਫ਼ਤਾਬ	ɑftɑːb
ਅਫ਼ਰੀਕਾ	afriːkˈa
ਅਫ਼ਰੀਕਾਂਸ	əfɾɪkənz
ਅਫ਼ਲਾਤੂਨ	aflaːtun
ਅਫ਼ਲਾਤੂਨੀ	aflaːtˈuːnˈil
ਅਫ਼ਵਾਹ	aːfvaː
ਅਫ਼ਵਾਹ ਫੈਲਾਊ	ʔfuaː pəlˈɑu
ਅਫ਼ਸਰ	afer
ਅਫ਼ਸਰਸ਼ਾਹੀ	əfərʃɑːɦiː
ਅਫ਼ਸਰਸਾਹੀ	ɑfsərdʒɑːɦiː
ਅਫ਼ਸਰਸਾਹੀ ਲੋਕਾ ਨੂੰ ਲੁੱਟਣ ਵਾਲੀ ਜਮਾਤ ਬਣ ਗਈ	əʋʃʰɾsɑːɦɪl loːt̪ɑːnuː lʈɾɳʋɑːliː dʒəmɑːt̪ bɐɳegɪɪ
ਅਫ਼ਸਰਾਨਾ	aːffaːraːna
ਅਫ਼ਸਰੀ	afɛri
ਅਫ਼ਸਾਨਾ	aafana
ਅਫ਼ਸਾਨਾ ਨਗਾਰ	ə fɑnːə nəgaːr
ਅਫ਼ਸਾਨਾ ਨਗਾਰੀ	ɑːfsɑːnːə nəgəɾiː
ਅਫ਼ਸਾਨਾ ਨਵੀਸ	ɑfsaːnə nəviz
ਅਫ਼ਸਾਨਾ ਨਵੀਸੀ	æfˈsaːnɑːn ʋiː siː
ਅਫ਼ਸੋਸ	apsɔːs
ਅਫ਼ਸੋਸਨਾਕ	ʔabsoːznɑːk
ਅਫ਼ਾਕਾ	aːfˈakːa
ਅਫ਼ਾਤ	ɑfɑt
ਅਫ਼ੀਮ	ɑfˈɪm
ਅਫ਼ੀਮੀ	afimi
ਅਫਾਰਾ	ˈɑpɑːɾə
ਅਫਿਰਕੂ	ˈapɛrkuː
ਅਫੁਰ	apore
ਅਫੁਰ ਸਮਾਧੀ	əpoːr smədiː
ਅਫੱਲ	apˈaːlˈl
ਅਬਚਲ	əbgɑl
ਅਬਦ	abat
ਅਬਦਲ	abdɒl
ਅਬਦੀ	ɑːbdiː
ਅਬਨਾਸੀ	tʃiːzibɪnɑːsiː
ਅਬਰਕ	ɑbræk
ਅਬਰੂ	ɛbrˈu
ਅਬਲਖ	ablæk
ਅਬਲਾ	abla
ਅਬਾ ਤਬਾ	ɑbɑt ɑbɑ
ਅਬਾਦ	ɑːbɑːd
ਅਬਾਦਕਾਰ	ɑbɑːd̪ɪkɑːr
ਅਬਾਦਕਾਰੀ	əːbəːd̪keːriː
ਅਬਾਦਤ	ʔibɑːt
ਅਬਾਦੀ	ɑbɑːdˤiː
ਅਬਾਬੀਲ	əbɑːbiːl
ਅਬਿਨਾਸੀ	abnɑsˈi
ਅਬੀਜਾਨ	ɦbʱgɑːn
ਅਬੁਝ	ɐbˈoðɨ
ਅਬੂਰ	abur
ਅਬੂਰ ਕਰਨਾ	əboːr kɾəɳə
ਅਬੂਰ ਹਾਸਲੀ	əboːɾ ɦɑːs liː
ਅਬੇ	abe
ਅਬੋਧ	aːbɔːd
ਅਬੋਹਰ	abːoɾ
ਅਬੜਵਾਹ	əbɖʱʊäː
ਅਭਖ	apɑk˥
ਅਭਮਾਨ	abmaːn
ਅਭਲਾਖਾ	aːblaka
ਅਭਲਾਸ਼ਾ	ablˈakʃa
ਅਭਾਗਣ	əpˈɛgɳ
ਅਭਾਗਾ	apaɣːa
ਅਭਾਵ	apav
ਅਭਿਆਸ	ˈabiːjɑːs
ਅਭਿਆਸ ਕਰਨਾ	ə beːʔəs kɐɽnə
ਅਭਿਆਸ ਕੀਤਾ	abe aːs keta
ਅਭਿਨੇਤਾ	aːˈbˈɪnɛtːa
ਅਭਿਮਾਨੀ	aːbemaːniː
ਅਭਿਰੁਚੀ	apropoal
ਅਭਿਸਰਕ	ɑːbɛsɑːrʊkː
ਅਭਿਸਰਨ	aβ̞e̞jfærnæ
ਅਭਿਸਾਰੀ	əbʱeːsɑːriː
ਅਭਿਸਾਰੀ ਅੰਕ	əbɪsaːriː əmk
ਅਭਿਸਾਰੀ ਕੋਨ	əpʰ sɑːriː koːn
ਅਭਿੰਨ	apen
ਅਭਿੰਨਤਾ	apegenta
ਅਭਿੱਜ	apˈedʒ
ਅਭੁਲ	ɛpɔllɛ
ਅਭੁੱਲ	apl
ਅਭੇਖ	apeːk
ਅਭੇਦ	apːeid
ਅਭੇਦਤਾ	apaɛdɑp
ਅਭੈ	abe
ਅਭੈਦਾਨ	abdaːn
ਅਭੈਪਦ	abeːqɒðɒ
ਅਭੋਲ	ɑpɑwɑl
ਅਭੌਤਿਕ	apəntik
ਅਭੌਤਿਕਤਾ	apau̯t̪ekta
ਅਭੜ ਭਾਂਦਾ	apapɾpŋda
ਅਭੰਗ	apaŋ
ਅਮਕਾ	əmkɑ
ਅਮਕਾ ਢਿਮਕਾ	əmkɑː t̪iːmkɑː
ਅਮਨ	ɑmɑn
ਅਮਨ ਚੈਨ	amən˥˩tɕən˥˧
ਅਮਨ ਪਸੰਦ	ə man pavanˈdˈ
ਅਮਨ ਪਸੰਦੀ	əmən pənˈdiː
ਅਮਰ	amr
ਅਮਰ ਪਦ	ɑmɑrpəg
ਅਮਰਤ	ɑmrɑt
ਅਮਰਤੀ	əmɾt̪iː
ਅਮਰਵੇਲ	əmarʋeːl
ਅਮਰਾ	ɑ̃bˈraː
ਅਮਰੀਕਨ	amriːkane
ਅਮਰੀਕਾ	əˈmɛɾɪkə
ਅਮਰੂਦ	amruːd
ਅਮਲ	aml
ਅਮਲ ਕਰਨਾ	əˈməl kaɾnə
ਅਮਲਤਾਸ	əmːəlt̪aːs
ਅਮਲਤਾਸ ਫਲੀ	ʔəmlt̪ɑːsʔ piːt̪
ਅਮਲਾ	amla
ਅਮਲਾ ਫੈਲਾ	ʔəmlɑː pʰlɑ
ਅਮਲੀ	amli
ਅਮਲੋਹ	amlou
ਅਮਹਾਰੀ	əmɦɑːriː
ਅਮਾਨ	ɑmɑn
ਅਮਾਨਤ	əmaːnt
ਅਮਾਨਤ ਵਿਚ ਖਿਆਨਤ	ɑmɑnɑt wiːdʒ kɛːnʔənt
ਅਮਾਨਤ ਵਿੱਚ ਖ਼ਿਆਨਤ	əmaːnət wdʒkʰiːaːnʈ
ਅਮਾਨਤਖਾਨਾ	maːnɑtkʰanˈlɑ
ਅਮਾਨਤਨਾਮਾ	ɑmaːnətnəmˈʔ
ਅਮਾਨਤੀ	əmaːntiː
ਅਮਾਮ	ɑmɑːm
ਅਮਾਰੀ	ɑːmɑːɾiː
ਅਮਾਵਸ	ɑmaːvɑs
ਅਮਿਟ	ɑmɛʈʰ
ਅਮਿਟਵਾਂ	ɑmɪt̪nwa
ਅਮਿਣਵਾਂ	ɑːmiːɖˈlaː
ਅਮਿਤਤਾ	ɑmetata
ਅਮਿੱਟ	ameta
ਅਮਿੱਤ	amest̪
ਅਮੀਰ	ɑːmiːɾ
ਅਮੀਰਜ਼ਾਦਾ	amiɾzaða
ਅਮੀਰਸ਼ਾਹੀ	əˈmiːɾʃɑːɦiː
ਅਮੀਰਾਂ	əˈmɪraː
ਅਮੀਰਾਨਾ	əmɪɾɑːnə
ਅਮੀਰੀ	ɑːmiːriː
ਅਮੁੱਕ	amokk
ਅਮੁੱਲ	aml
ਅਮੁੱਲਾ	ɑmɑllɑ
ਅਮੂਰਤ	amuɾat̪
ਅਮੂਰਤੀਕਰਨ	əˈmuːrtiːkəɾən
ਅਮੈਂਡਮੈਂਟ	abɑndəvɑndə
ਅਮੋਦ	amɔd
ਅਮੋਲ	amɔʁl
ਅਮੋਲਕ	ɒmɒlɒq
ਅਮੋੜ	amoɾ
ਅਮੋੜਤਾ	æmæɔɾta
ਅਯਾਲ	ɑjɑl
ਅਯੋਗ	aioːg
ਅਯੋਗਤਾ	ˈaɪoːbiːtˈa
ਅਰ	pˈaɾe
ਅਰਕ	ˈɑrkˈɯ
ਅਰਕ ਕੱਢਣਾ	ʔəruk kɐɳɖəɳaː
ਅਰਕਦਾਨੀ	arkadaːnniː
ਅਰਗਲਾ	əˈrgələ
ਅਰਘ	aɾɨgˈɐ
ਅਰਘਾ	argaː
ਅਰਚਨ	ɑrtʃɑn
ਅਰਚਨਾ	aɾtʃana
ਅਰਚਾ	aɾtʃa
ਅਰਜਨ	aɾgin
ਅਰਜਨਟੀਨਾ	əˈrʒəntiːnə
ਅਰਜ਼	av
ਅਰਜ਼ਦਾਸ਼ਤ	aɾzɯdɑːʃtɯ
ਅਰਜ਼ਮੰਦ	ɑrðʊ̞mɑnːdʏ̞
ਅਰਜ਼ਮੰਦੀ	ʔəɾˈsmndi
ਅਰਜ਼ੀ	ʌɾði
ਅਰਜ਼ੀਨਵੀਸ	arð̞inawiz
ਅਰਜ਼ੀਨਵੀਸੀ	ərzĩːnəʋiːsiː
ਅਰਜ਼ੋਈ	arðoi
ਅਰਥ	art̪
ਅਰਥ ਮੰਤਰਾਲਾ	ʔarθmntraːnla
ਅਰਥ ਮੰਤਰੀ	ərt̪ʰməɳt̪ri
ਅਰਥ ਵਿਗਿਆਨ	art̪vɦajːɦn
ਅਰਥ ਵਿਗਿਆਨੀ	art̪ʰ beːg̊ɐnˈniː
ਅਰਥ ਸ਼ਾਸਤਰ	əɾt̪ ʃɑːst̪əɾ
ਅਰਥ ਸ਼ਾਸਤਰੀ	ɑrt̪ʰ ʃɑːst̪ɾiː
ਅਰਥ ਸੰਕੋਚ	artɛsɑn govutʃ
ਅਰਥਚਾਰਾ	aɾtʃɑgɑrɑ
ਅਰਥਪੂਰਨ	aɾttɒbɒuɾenim
ਅਰਥਯੁਕਤ	ɑrtæjɔktæ
ਅਰਥਸ਼ਾਸਤਰ	ɑːɾt̪ʃɑːst̪ɛɾ
ਅਰਥਸ਼ਾਸਤਰੀ	ɑːrθʰʃɑːst̪ɾiː
ਅਰਥਹੀਣ	əɾtʰɦeːɳ
ਅਰਥਾਤ	ərt̪ʰäːt̪
ਅਰਥਾਵਲੀ	əˈrɑːfəliː
ਅਰਥੀ	ərt̪ʰiː
ਅਰਦਲ	ardal
ਅਰਦਲੀ	ʔʈəˈliː
ਅਰਦਾਸ	ɾd̪əːθ
ਅਰਦਾਸੀਆ	ʔard̪æsia
ਅਰਧ	ɑɾtɯ
ਅਰਧ ਚੇਤਨਾ	artə dʒoːeːtnaː
ਅਰਧ ਵਿਆਸ	ərdʒʊ jɑs
ਅਰਧ ਵਿਆਸੀ ਖੰਡ	əɾd̪ʋɑːɪs̪iː kʰɐɳɖ
ਅਰਧ ਵਿਰਾਮ	əɾd̪ʱ vɪˈɾɑːm
ਅਰਧ-ਵਿਆਸ	ɑrdəvɑjɑs
ਅਰਨਾ	aɾˈnɑ
ਅਰਪਣ	ʔaʁpa
ਅਰਪਿਤ	ɑrpeð
ਅਰਬ	aɾb
ਅਰਬੀ	ˈɑːrbiː
ਅਰਮਾਨ	ɑːrmɑːn
ਅਰਮੀਨੀਆ	əɾmɪniːə
ਅਰਲ	ɾl
ਅਰਲ ਬਰਲ	ɒɾlbɒriˈdiˈ
ਅਰਲਿਆ ਬਰਲਿਆ	ɑɾlɑp ɑrlɑp
ਅਰਲੀ	aːrliː
ਅਰਵੀ	arviː
ਅਰਸ਼	aɾʃɛ
ਅਰਸ਼ ਫਰਸ਼	aːɾʃɪp aːrʃiːp
ਅਰਸ਼ੀ	ərˈsiː
ਅਰਸ਼ੋਂ	ɐɾɨʃˈɐ̃w
ਅਰਸਾ	aɾθa
ਅਰਹਰ	aɾhɒɾ
ਅਰਾਇਣ	aræ̃jɪ̞ɳ
ਅਰਾਈਂ	aɾaĩŋ
ਅਰਾਜਕਤਾ	əˈrɑːgəta
ਅਰਾਜਕਤਾਵਾਦ	ɑrɑdʒɑktɑwɑdɯm
ਅਰਾਜਕਤਾਵਾਦੀ	əːrɑːgətɑːʋaːd̪ɪ
ਅਰਾਜ਼ੀ	ɾa
ਅਰਾਧਕ	əˈradək
ਅਰਾਧਣਾ	ɾaːdaˈɺa
ਅਰਾਧਨਾ	aːradnɑ
ਅਰਾਮ	əˈɾɑːm
ਅਰਾਮ ਆਉਣਾ	raːm ɔvnɛ
ਅਰਾਮ ਕਰਨਾ	pɐɾaːm kɐɾnə
ਅਰਾਮ ਕੁਰਸੀ	ɑːrɑːm koɾsiː
ਅਰਾਮ ਨਾ ਪਚਣਾ	ɔːɾŋ nə pdʒɳɑ
ਅਰਾਮਗਾਹ	əˈɾɑːmgəɾ
ਅਰਾਮਤਲਬ	ɔːɾɑːmt̪əlb
ਅਰਾਮਤਲਬੀ	ɦɾɑːmt̪ɪlbiː
ਅਰਾਮਦੇਹ	ɑːrɑːmdeː
ਅਰਾਮਪਰਸਤ	ɑrɑːmbəˈrɑst
ਅਰਾਮਪਰਸਤੀ	ɑːrɑːmbɾəst̪iː
ਅਰਿੰਡ	ɾɛɭ
