'di	bi
bahagya	bʱɦaːkijɑ
bahain	bɑhɑʔiːn
bahala	bɑhɑlɑ
bahala ka	behalqah
bahala mo ang buhay mo	bɑhɑlɑk mɔːan buː hɑimɔ
bahala na	baːlaːna
bahaw	bɐʁau
bahay	bjˈeɪ
bahay kubo	obahaijkuːbo
bahay na puti	ʋjɑhjɳpətiː
bahay na tabla	baːhaj ntəbla
bahay-aliwan	baːhʔəliːwan
bahay-bahayan	bɦai̯a
bahay-bakasyunan	baɦajbqasʃuːnæn
bahay-bata	baːɦɐjbaːt̪ə
bahay-hukuman	b�ɦjɦoːaːkɔːmɐn
bahay-kubo	oboiubo
bahay-paupahan	ba˥hajpaʔupahang
bahay-pukyutan	baha
bahay-sanglaan	bahɛjsaŋˈlaːn
bahay-sugalan	baːhajsɔgɑːlɑːn
bahid	bɑːɦɪd
bahing	bɦiːm
bahiran	bɑhiran
baho	baxo
baho sa imong utot!	bɦoːt sɑjmun goːtot
bahog	bæˈhɒm
bahugan	bˌɐhˈoʊgɐn
bahâ	baħaː
bai-baitang	babaaiʃ
baimbian	baʔindɛian
bainat	bajnɛt
bainatin	bai̯natʲim
bais	baʔiz
baisa	baɪ˧˥saː˩˩˦
bait	baʔit
baitang	baitau̯
baka	bˈaɾˈa
baka maguluhan ka lang sa palengke	baka maguluhan ka lˈaŋ sa palaŋge
baka sakali	maqaa asqaaːli
baka tamaan ka ng bola	baka tɑmɑɑn kɑ næŋ bɔlɛ
bakahan	bɑqɑhɑn
bakal	bɑqæl
bakal-kabayo	baqaʔakaprio
bakalaw	mkaːlau
bakaman	baqaman
bakante	mɑqɑntɛ
bakantihin	makaːntɪhɪn
bakas	bɑqˈas
bakas ng paa	maqaztiː ɫæfæː
bakasin	bɑɣɑsɪn
bakasyon	baqasˈʃoːl
bakasyunan	baqaʃuːnɑn
bakasyunista	baqasioŋistɑ
bakat	bɑqɑt
bakaw	akau
bakawan	makaːwan
bakbak	bak˨˩bak˨˩
bakbakan	mɑqbaːqɑn
bakbakin	bkbn
bakit	baːkɪ̞k
bakit ka nagseselos?	bakit ka naiksɛ selos
bakit mo ako ginising	baqit mawa ko eginisim
bakla	qɑqɯ̞lɑʔ
baklad	mæklæn
baklaran	muglaron
baklas	bˈaklas
baklasin	aklasˌin
bakli	bɐkəlɪ
bakliin	bqliːn
baklis	bqliːs
baklâ	qɨlaʔ
bako	bako
bako-bako	maqɔbakɔ
bakod	baːkon
bakood	bqɑ
baktirya	bæktɪrjɑ
baktol	mãn̪t̪qoːl
bakulaw	baqʊlaw
bakuna	baqoːnæ
bakunahan	bˈækʰonˈaɦæn
bakunawa	baqnaːwa
bakuran	bˈaːquan
bakya	bqijɑt
bakyâ	lok˨ja˥˧
baká	bɑqaa
balabag	balaːbaɣ
balae	balaˈj
balagat	balaˈgət
balagbag	balaːkbaːk
balaghan	baləgʱɑn
balagtas	balaːgtaːs
balagtasan	baləgt̪aːs̠s̠ɑn
balagtasin	balakt̪aːs̻ĩːn
balagwit	balaˈtˈhˈˈɒ
balahak	bəlaː
balahibo	baləɦibu
balahibong-pusa	bˌulˈɐhiːbɐ̃ʊ̃pˈusɐ
balahibuhin	walaibuːh
balak	bala
balakang	balak̪aɾlʊ
balakas	balˈɑkəs
balakid	balaqin
balakin	balaqen
balakubak	balaqoaq
balakyot	baləqijɾ
balang	balaŋ
balangay	balaŋaj
balangkas	balaŋkas
balangkat	balaŋkat
balangkatan	balaŋkaːtaŋ
balangkatin	balaŋˈkɑtiːn˧
balangkinitan	balaŋkiˈnit̪an
balani	balani
balansa	balanˈsa
balanse	balantse
balansihin	balanseɦɛn
balanya	balaɲːa
balanyain	balaːnjaɪn
balaraw	balaˈrau
balarila	balaɾila
balasa	balaːsɑ
balasahin	balasahɪm
balasik	bəlɑːsiːq
balat	balat
balat ng itlog	balat naŋ ɪtlɔg
balat-sibuyas	balat̪jβ̞uʝas
balatan	la
balatkayo	balaqkɑjˈjo
balatuhan	balatuhan
balbal	balbal
balbas	balbas
balbon	lapa
balde	balde
bale	balɛ
baler	ɾɑlɑr
balete	ɓəlɛːtiː
balete drive	bˈɛltˈɛt dʒˈaɪv
bali	bɑːliː
balibag	balibˈak
baligtad	baliɣtad
baliin	baːliːən
balik	balək
balikan	balɛk̚˨˩an˧
balikat	balimtˈɑɾ
balikbayan	balikbajjãːn
baliktaran	vˌaːliːktˈaɾən
balikwas	balˈekwasˈ
balimbing	β̞alimβ̞jnɣ̞
balingkinitan	ɓaliŋkimitæn
balintawak	baliŋt̪oːk
balisa	bales̪a
balisong	balisɔŋ
balita	balita
balità	balita
baliw	baliu
baliwag	baliːˈvɑːt
baliwala	baləwaˈla
balnian	balniʔäːn
balo	balo
balon	bælɔn
balon ng langis	balon nŋ lakniz
balot	balo
balota	balota
balubad	balubat
baluktot	baloːktət̪
baluktutin	plkt̪ˈn
baluktutin ang katotohanan	baloːk tə tɪnːɛŋˈga tə tohanən
balut	bəˈlʊt
baluwarte	baloɑrte
balyena	baljena
balát	balat
balútan	balutan
bampira	ampiɾa
ban	bãn
banaba	banabah
banakal	bɾnafɭ
banal	bẽn̪el
banat	bənˈɑt
banatan	apa˦˥naːt̚˨˩an˧
banaue	bɔnaue
banayad	bnaːjad
banda	pãn̪d̪a
banda ng musika	baˈnda nˈɛŋ musikə
banda ng musiko	banda nel muziko
bandang	bãn˧˧
bandila	ɓaŋdiːla
bandilà	bald̪ila
bandurya	β̞and̪oɾia
banga	bŋaː
bangag	balag
bangaw	bˈaŋɐ
bange	baŋi
bangenge	boŋiŋe
banggaan	ʔɑmˈgɑʔːn
banggit	bãŋdʒˈit
banggitin	boŋgitˈe
banggâ	bɐŋga
bangin	boŋine
bangka	tɤŋ˥˥kʰa˥˥
bangkay	boŋ˧˧kai˥˩
bangketa	baŋkɛta
bangko	nʲtʂo
bangko sentral ng pilipinas	tankɔ səmpɾəɾ nɛ pjpjnas
bangkok	danko
bangon	banɣon
bangsamoro	banˈsˈemˈorˈo
bangued	balgˈgid
bangungot	baŋuŋot
bangus	baŋuz
banig	bãnˈik
bansa	nʲsãː
bansagan	bansɑgɑn
bansang hapon	ban˧sa˨˩ŋ˧ ha˨˩pɔːn˧
bansang pinagmulan	bansbansag pɛnəmuləan
bansot	bɑnsuð
bantay	bɐntaiː
bantay-bilangguan	bantaibilɛnˈguan
bantayan	bãntʝan
bantayog	bantaio
bantog	β̞ant̪oɣ̞
banyaga	β̞anjagɐ
banyagang	banʝagan
banyo	panjo
bao	baˈo
baon	baːl
bapor	apoɾ
bapór	ɓˈˌɔː
baraha	ɾɑhɑ
barako	bˌɐɾˈakʊ
barangay	bəˈrɑːŋrai
baranggay	laɾaŋɣai
barasoain	berˈsˈwɑm
barat	bɾat
baratilyo	balatilio
barberyá	barberia
barbéro	barbero
baril	varɪle
bariles	varilis
barkada	pˈarkadˈa
barko	bˈˌaɾˈɣˈo
barong	faɾõ
barong tagalog	peɾon t̪aːgaːlɔk
barosoain	bˌɛrsˈvˈain
barumbado	berumbado
barungbarong	baronbaron
barò	baro
basa	basa
basag	β̞essant̪
basag-ulo	pasaɣulo
basagin	basa˥˩gin
basagulero	basaguleːrɔ
basahan	besaːˈhãn
basahin	bsahɪn
basilan	vasiːlˈɛn
basilio	β̞asiljo
basisig	bəsisiŋ
baskagan	baksa˦˥kɑːn˧
basketbol	bˈaskɛtbˌoːl
basketbolista	baskɛt̪bɔlista
baso	pa˥sɔ˥˥
basta	bastˈa
basta para sa iyo	bʌstaː paːraː ˈsəjəoː
bastos	mɛstos
basura	bˈasˈwɾˈa
basurahan	baːsˤuːraːhˤɑːm
basà	basa
basáhan	bsɑːhɑː
basáhin	bɑsaːhɪn
basâ	basa
bata	bata
bataan	bat̪aãn
batalan	batalãn̪i
batanes	batanes
batang	mat̪aŋ
batang babae	bat̪aŋ babai
batang lalaki	batʰa lalaːhi
batangas	batangas
batas militar	batas militaiɾ
batasan	batasan
batasang pambansa	bat̪aˈsang pəmbansaʔ
bataw	bat̪es
bathala	bɑtˈhɑlɑ
bati	badˈiɾ
batibat	bt̪iːbaːt̪
batid	bˈatˈinˈɑ
batikan	bɑtikan
batikos	β̞at̪ikos
batikusin	batikusin
batis	batis
bato	bɐtəl
batok	baːtok
batong	patˈɔ̃
batsoy	bʊːtɕʊj
batuhin	batuɣim
batuta	kwað̞uta
batíin	bat̪jˈin
baunan	baoːnɔnn
bawa't	baː
bawal	baːwaː
bawang	naːn
bawasan	boːˈgɑːsˈæn
bawat	bawaːt
bawiin	bɑwɪiːn
bayabas	dajˈata
bayad	bˈaɪət
bayad-pinsala	bajat̪piŋsala
bayag	banʝnk
bayan	bɑːɪən
bayang	iːm
bayani	bajani
bayanihan	baːjniːħan
bayaran	paɪ̯aːrɐn
bayarin	bjɾiːn
bayaw	bajaw
bayawak	ðäjˈɑːʋɑq
bayawan	baːjaːuːan
baybayin	bˈaɪbˈaɪˈɛn
baytang	bai̯˧tã˥˥
baywang	nˈɑˈɛɑvˈaŋ
bebot	beˈbɔt
beki	bʲekːʲiː
ben zubiri	tˈɛstˈɛvˈɛ
benedicto cabrera ("bencab")	benediktʊ gabreɾa benkap
beneswela	benesuela
benguet	dˈɛngˌeɾ
benigno aquino	oni dʒuon ne
benigno ramos	pluɾi grands
benigno simeon cojuangco aquino iii	mʄːnjsɪmɪˌˌoːnˈgɛ wɑŋgɠoːɑkiːˈnoː
benjie	ben
benta	beˈnta
bentahan	benˈtɑːhɑn
bentilador	sentiladoro
berde	beɾˈde
bertud	beːrˈtud
betamax	bet̪amaqs
betchot	beːtʃot
betlog	etʃa
bewang	bɛː˥˧wɑŋ˧˥
beynte	binte
beysbol	bazboʝ
bibe	bibˌe
bibig	bibˈig
bibilhin	bˈibˈɪlhˈɪm
bibili	bibili
bibingka	bibɪnkɑ
bibliya	biblia
bibliyoteka	biblioteka
bibo	bibo
bicol	tiːkoːl
bicolano	pikulano
bida	lidɑ
bienvenido lumbera	bjˈenvenˈiðo a lˌunβˈeɾa
bigas	beˈgəs
bigat	bɪgˈat
bigay	bigaj
bigay-alam	kigɑlʲʔælæm
bigay-daan	bʲigæjðæan
bigay-hilig	biːgajˈili
bigay-kaya	bjgajkaja
bigayan	β̞ʝaɣ̞ajẽn
bigkas	mankas
bigkasin	bikːasim
bigkasin mo nang malinaw ang mga salita. - pronounce the words more clearly.	likɛn sɪn mɔnɛŋ maːlinɛʋ ɛl mŋaː salitaɾ
bigla	bˈaɪdlˈap
biglaan	biglaːn
biglang	bˈiglˈɑŋ
bigo	bigo
bigote	bigote
bigyan	bitjɒn
bigyan mo ako ng papel	biʄajanmu ɔkɔ nŋ paˈpel
bihag	vihad
bihasa	behasa
bihira	vˈiːhˈiːra
bihisan	vixiːsan
biik	bien
bikol	likon
biktima	bʲiktʲimɛ
bilang	proponon
bilangan	bilaŋan
bilanggo	bilɑŋgo
bilanggúan	biˈlaŋguan
bilangin	bilanin
bilao	dilao
bilbil	bˈɪlbˌil
bili	bili
bilib	biliːb
bilibid	biliːbig
biliran	biliːrən
bilis	elif
bilisan	biliˈsˈan
billar	beˈljˈˈaɾ
bilnuran	bˌɪlˈnˈʊɾˈan
bilog	bilɔgo
bilyar	biːljaːr
bilyon	bileɔːn
bimpo	bimpo
binagoongan	iˈniːtgomˈɔ̃lˈa
binaliw	bɪnaːlɪu
binarurot	binarurɔt
binatilyo	bnatilio
binatà	binata
binawian	na
binebenta	binibenˈtˈa
bingawan	β̞jɣ̞aɣ̞an
binge	bĩŋʲiː
bingi	pinˈe
bingit	bʲinʲet
binhi	bĩːnɦʰiː
binibili	biˈniːˈgidi
binibini	pinipini
binibining	binibiniːn
binigyan	seningn
binili	bjˈulɪlˌyʒ
binitiwan	bnit˦iwan˧˧
binondo	benondo
bintana	pintana
bintang	bintŋ
binti	lɛ̃tiːˌ
binubuhusan	ənoːbuhoːsan
binubuksan	bʲinʲɪbʊ̞qsæn
binubuo	bˌinˈubˌuˈo
binuhat	miːn˧uh˧hæːd˧
binyag	pinˈagɐ
bira	bira
biro	biro
birò	biro
bisakol	bisakuaːl
bisayas	bisaias
bisig	bˈisɪŋ
bisikleta	bisikleta
bisita	bisita
bislig	bisɪleːgjʊ
bisperas	volasesperas
bisperas ng pasko	disperas naŋ pasko
bistek	bistɛ
bisyo	biʃo
bitak	bˈitˈak
bitayin	bitaːjin
bitbit	bit̪bit̪
bitbitin	bit̪bitiːn
bitin	bit˦in
bitiw	bitiu
bitiwan	bitiwan
bituin	gitomiːn
bituka	bituka
bitwin	bitwˈin
biyahe	biːɑːɦeː
biyaya	biʝaja
biyenan	bjenan
biyernes	bjˈɛɾnes
biyetnam	bʲit˩˥nɑm˥˩
biyoleta	biːjoːˌleta
biyolohiya	liolˈɔɦia
biyuda	bjuda
biñan	bĩ˧n˧˧jæn˩˩˦
blanco	planko
bloke	bloʃ
blusa	pluːsa
bobo	bɔbɔ
bohol	boɣɔl
bokal	boɣ̞al
bokasyon	bukasion
boksing	mokːsiːn˨˩
boksingero	bʊ̞qsʲiŋɪ̞rʊ̞
bokya	bo˥˩ːkja˥˩
bokyà	boˈkeˈa
bola	bala
bola-bola	bolabola
boliney	bolˈinei
boljak	boldʒak
bolpen	bolben
boluntaryo	voluntario
bombero	bombero
bombilla	bombilja
bombilya	bombiʎa
bondying	bonʲtʲim
bongbong marcos	bonbonmaɾkɔs
bongga	boŋga
bongga !	bonga
bonjing	boːndʒɪŋ
bonsay	bõn˧sɐj˧
bontoc	bɔntok
bopol	boːkol
boracay	pərakai
boses	proponon
boss	os
boston	poston
bote	bote
botelya	botelja
brasil	bˌɾasˈil
braso	braso
brigido b. alfar	niːˈtoːv iːˈtˈɾəs
brillante mendoza	griliante mendoza
brilyante	bɾiljˈante
brip	brip
brunay	brunai
brunayuki	brunajuki
bruwski	bruski
buang	bu˨˩aŋ˥˩
bubelya	bubɛlia
bubog	bubuɣ
bubong	bubõŋ
bubungan	bubokaːnni
bubuwit	bubɪ̞pt
bubuyog	buɔɛɔ
bubwit	bwʝɛ̀
bucay	bukaj
bucloc	bˌuklˈuk
budhi	bd̪ʱiː
budol	buːdl
buenavista	bwˈenabˈista
bugaloo	buːgəluː
bugaw	burau
bughaw	bukˈaʊ
buhaghag	buʁaqɑq
buhagsigwasan	buʱɦgsgʊaːsɑːn
buhangin	bo˥˩ha˥˥nɣ̞in˨˩˦
buhanginan	buˈhangɪnˌan
buhat	buːat˦
buhatin	hɑtɪn
buhay	buːhaɪ
buhok	buhuq
buhol-buhol	bʊɦʊlbʊɦʊl
buhól	buhul
bukal	boqaːl
bukang liwayway	buqaːnx le waːiwaːi
bukas	pupa
bukbok	boːkˈ
bukid	ɔːkɛnd
bukidnon	bukɪdnõn
buking	bˈʊkɪŋ
buklod	bˈuqloːd
buko	buko
bukod	bɔqɔn
bukod sa	buqɔdˈsˈa
bukod-tangi	boqoddɑmɪ
bukol	boːgəl
buksan	bukˈsani
bukung-bukong	bqɯ̞ŋpʊ̞
bulaan	bolˈʔan
bulabog	bulabog
bulabugin	buɫəbuɠiːn
bulacan	bun˧a˥pʰaːn˩˩˦
bulag	ɔlaːg
bulak	bˈoːləq
bulaklak	buləqˈluɑq
bulaklák	bwlɑklɑk
bulalakaw	boːlalaːqaw
bulalas	bolɑːlɑːs
bulalo	bulalo
bulalord	boləloːd
bulaló	bolalo
bulate	bulate
bulateng-lupa	boːlaːt̪nˈgluːpa
bulgarya	bulɣarja
bulibya	bˈʌlibˌiɪ
bulig	bolig
bulkan	bulkan
bulkang kanlaon	bulˈkɑːn kan lalɛn
bulol	bulu
bulong	bolon
bulsa	balsa
bulung-bulungan	buluŋbuluŋan
bulusan	ɓulʲusʲən
bulutong-tubig	bolutɔʔtubik
bulwagan	ulwagl
bumabagabag	umabakabaːb
bumabagyo	bomabaɣio
bumabakla	umabɑqlɑr
bumabalik	bumˈabalˈik
bumahagi	bumˈhagi
bumahin	bumɒhɾiːn
bumali	bumˈaʎ
bumalik	bubalik
bumalikwas	bumɑlikwas
bumaril	bumareɾiɾ
bumasag	bumaːsʁ
bumatak	vˈomˈtˈa
bumati	bomati
bumawi	bumaːli
bumbero	bumbero
bumbilya	bumbil
bumibigay	bʊ̞mʲiːbʲigaj
bumibili	bumibilej
bumibisita	gumibisita
bumilang	bumilan
bumili	bumilˈi
bumilí	vˈəmɛli
bumisita	bˌumisˈita
bumitaw	bumitao
bumitin	bue˥˧mɪn˧tŋ˨˩
bumitiw	bˌɐmɨtˈeʊ
bumubuka	bumubuka
bumuhos	gumˈoːxos
bumukol	bˈumuːql
bumulusok	buməlˈusˈuq
bumuo	bumuɔ
bumása	bomaːsa
bundat	bunð̞at̪
bundok	bunˈdɒˈq
bundok banahaw	bundq bɐnɑː ɦɑw
bundol	β̞wnt̪oʝ
bundulin	bundɔlˈiːn
bundók	bundɔk
bunga	bˈuna
bunganga	boˈgaˈᵑga
bungangkahoy	kuŋaŋka˥˥hɔ̀iːm
bungkal	bumqal
bungkos	bunqɔz
buni	buni
bunso	unso
buntis	puntis
buntong-hininga	buntʊŋhinɪŋa
buntot	t̪ot̪
buong	buã
burahin	farʔiːd
burara	bˈɚarˈa
burat	buɾat
burikat	boːɾ˧jkat
burikit	buɾiqiʔ
burloloy	durloloj
burma	bɔrma
burol	burʊl
bus	bˈuθ
busal	bɔsɛl
busilak	busiːlæq
busina	bosiˈna
buslo	buslɔ
busog	busɒb
butas	ɣutas
butata	bɔtət
butaw	boˈtɐl
butiki	ɓətikeː
butil	buːtiʔ
butingting	but̪ĩŋɢiŋ
buto	buto
buto't balat	bʊˈtʊt bəlɑt
butones	butonz
butuan	butwˈan
buug	buʁ
buuin	buːujn
buwal	boaːl
buwan	buan
buwanang hulugan	buʔanɛŋ hulugan
buwaya	β̞oβ̞aia
buwis	bui
buwisit	boː˧j˧st̚˨˩
buwitre	bɔvʲetʲrɛk
buyoy	bujojɯn
buô	boˈo
bwaya	bwˈaɪa
bwiset	byisˈɛt
byolin	vjɔlɛn
bága	baga
bálak	bɑːlæq
bálot	balot
bása	vasa
bélhika	belɣika
cabanatuan	tɑbeletuːʔan
cabuyao	kabujaw
cagayan	gəˈgəjən
cagayan de oro	bagaja di ɔrɔ
cagayan valley	ke ɣ̞ajẽn la ð̞aʝ
calamansi	ɣ̞ɾaβ̞ãn̪tʃi
calamares	kɑlɑŋaɾes
calamba	kalˈambˈa
calapan	kalapaj
calbayog	kalbajʊg
caloocan	kaluaʔoːqan
calungsod	k̚˦˥lʊn˩˩˦sʊn˥˩
camachile	kamaʧele
camarines norte	kamaɾiniʃ nũŋte
camarines sur	kɐˈmɐɾˌiːnɨ sˈorʊ
camiguin	qɯ̞mɪ̞gɪ̞n
candon	ãn̪d̪on
canlaon	kaːnˈnlɑːvˈɛn
capiz	kapis
carabao	kaɾabau
carajay	kaɾaçɛ
carlos p. garcia	kɑɾlʊs pɛɾ gɑɾsɪɑ
carlos p. romulo	kaɾnəspiː romulu
carlos quirino	karlas kɛrino
carlos v. francisco	karnoi okazis frantsisko
casiguran	kasiguɾan
catanduanes	katanbɛuanɛz
caticlan	katekɾan
cauayan	kawˈaɪən
cavite	taŋite
cebu	sˈebˈu
cebuano	ʃtʃapːoˌanon
cesar legaspi	sɛsaːr plˈikːaz
chaca	tsʃaka
chad hongco	tʃaːt ɟalqoalsam
chaka	qaqqa
chamba	tʃãmba
champorado	tʃamporado
charing	ʃɚiːn
charot	kəɾumut
charrarot	tɕrt
che	k
cheke	tʃekʰe
chenelyn	tʃenɪdɪn
cheng	tʃɛn
chicharon bituka	tʃɪtʃaɾoŋ bʲitɔkɑ
chichay	tiːtʃʰæː
chiching	tʃitʃim
chick	tɕiŋ˥˧
chick boy	tʃikːboi
chikadora	tʃikadɔra
chikahan	tsikˈæˈan
chikinini	sˈikːɪnɪnˈni
chipipay	tsip˦it˦ai˨˩
chismis	ʃˈiːxniː
chokaran	tʃau̯kaɾen
chorva	tʃɔrvɑ
chugi	tʃoki
chupa	tɕup˦˥a˥
chupangko	tʃupangɔ
cielito	tʃilito
cipres	sipres
cirilo bautista	seɾila bau̯t̪is̺t̪a
compagno	mɑhɑlɪnmuwɑqu
conchitina cruz	tʃpˈlˈˈam kɾˈuːs
conyo	konnio
cora almerino	oɾa ɑl bɾiɾˈɯ
corazon	koɾɛzɔn
corazon c. aquino	koɾason siː apɛəl
cordillera	koɾdilieɾa
corregidor	koˈrɛxiduɔla
cotabato	sekot̪abat̪o
daan	daːn
daanan	daamem
daang taon	daːˈaŋ taʊˈn
daang-bayan	daɑŋbajan
daangbakal	daʕupaːxal
dadala	dadla
dadalawin	jˈɛtislˈaɪn
daet	daːɛd
daga	daga
dagat	dagat
dagat luzon	dˈɒgət lə zɒnˈ
dagat pilipinas	dagat pʲilɨpʲinas
dagat selebes	ð̞ɐɣ̞at̪sʲ elɛβ̞es
dagat sulu	daːgət səlɛ
dagat-dagatan	dˈəgˈɛtbeˈgatən
dagat-lagusan	dagatlagosan
dagdag	halˈtɑːn
dagibalniing liboy	ðˈɚˈɛdvəl nˈɪf le ˈboːəl
dagikapnayan	dagikapnajaːn
dagisikan	ð̞akiθikan
dagit-dagatan	dagˈatˈlaˈgtan
dagitab	dagitɑb
dagol	ð̞aɣ̞ul
dagsa	ogsav
dagsaan	dagstsaan
dagsin	tak̚˦˥sin˥˩
daguioman	dˈəgjˈumən
dagupan	dˈə-gɹˈupˈɛn
dahan-dahan	daːænːdaːæːnː
dahan-dahan sa pag-inom baka masamid ka.	dahandahi sa paginon baka masamid ka
dahil	ud̪ːaɦl
dahil sa	ɖaːjil saː
dahilan	daːħɪlɑn
dahon	aron
daig	daeɣi
daigdig	daʔɛkdiːk
daisy avellana	dˈeɪsi əbˈil
dakila	baqˈiːlˈa
dako	dakɯ̞
dakot	daqot
dala	ðlan
dalag	delag
dalaga	beˈlˈag
dalagita	nanavimnamiʁˈɛləmˈoldˈɛɑ
dalamhati	dalˈmˈħati
dalampasigan	daləpasiːgan
dalandan	bɒlɒndɒn
dalanghita	dʑa˦˥rɑŋ˥˩ŋ˥˩k̚˦˥a˥˥
dalangin	dalaŋɣ̞in
dalas	dˈə-lˈæst
dalaw	dˈanˈ
dalawa	daraʝa
dalawahan	dalawɑhan
dalawampu	lawanpu
dalawampu't dalawa	d̪ɐlɑwɑmput d̪ɐlɑwa
dalawampu't isa	d̪aˈlauəmˈput ɪsah
dalawin	selauin
dalawá	dˈə-lawa
dalhan	d̪ælˈhæn
dalhin	lajɦən
dalian	daliən
daliri	daljiːri
daliri ng paa	daliriː nɑŋ paa
daliri sa paa	daliriː sˈfˈaːʔa
dalisay	dˈɛliːsəi
dalubhasa	dˈælˈbʃasɑ
dalubwika	daloˈbwika
dalungdong	dɛlũŋdou
daluyan	dalujˈan
daluyong	ɣalujon
dalá	dela
damagans	damaːɢaːn
damahuwana	damahwana
dambana	d̪emβ̞anã
dambuhala	tɑmbwħala
damdam	d̪emd̪em
damdamin	ð̞emð̞ð̞emĩŋ
dami	dami
damikay	dmiːki
damit	d̪emjɛt
damo	tˈɛmˌɔ
dampa	t̪ẽmpä
damputin	dampɔtiŋ
danao	d̪eˈnɑːu
danasin	ð̞enaːθjn
dangal	danaɾ
danglas	daŋlas
danny sillada	taːniː siː laːna
dantay	dan˨˩taj˧˥
danumsigwasan	danɔmsɛgˈuːaːsan
danyos	daɲos
dapa	dapak
dapidran	dapʲið̞ɾan
dapit-hapon	dapithapon
dapitan	dapitan
dapithapon	dapitʰapon
daplis	ðəplˈis
daraga	d̪aɾaɣ̞
darating	dʒaːrtiŋ
dasal	d̪esɑl
dasmarinas city	dæsmɑrjɛnjæ seː pi
dati	dati
dating	batiŋ
datos	datos
datu	d̪at̪o
datung	dat̪um
daungan	daɔŋɑn
dausdos	dausmil
davao	daːvɔ
davao del norte	dauɣ t̪e moɾt̪e
davao del sur	na boð̞elsum
davao oriental	davau orjɛntaljus
daw	dau
dawit	d̪ɑ̞vjæ
daya	daja
dayain	dajˈaːn
dayuhan	dajˈuhʌn
dayukdok	dˈɑjˈʊdʊħ
de la salle university	dˈɛləsˌɛl juːnɪˈvɜːsətiː
dean francis alfar	diːn fɹˈɛnsiz hˈəlibˌɑn
deboto	dboto
dede	dd
dedma	tɛdmɑ
dekada	nɑikɑdɑ
dekwat	tˢe̞kwˌaːtˢ
delantar	dilantˈaɾ
delikado	delikato
deliryo	elirio
denggoy	dangoi
dentista	sentistˈa
depinisyon	dɪpɪnɪsˈiɔn
derétso	deˈrɛtʃo
desisyon	ðɪsˈɪzʃˈoʊn
desperasyon	despɾaʃon
destinasyon	tɾest̪inãkson
di ko alam	liko alaɾmo
di mabuti	dima buti
di-inaasahan	diːnasasaːhɑn
di-tanyag	d̪it̪anjak
di-tuwirang	di˧ʈu˧ʔi˥hrŋ˧
dibdib	dimˈdim
diborsyado	daborʃˈaˈdo
dibuho	dibuho
didoy	og
diego silang	djɛɠo tʃilan
dighay	bigʱai
digmaan	d̪iːkmaːʔan
digos	digos
diin	ð̞iːn
diko	dˈiko
diksiyonaryo	ɛˈkʃɔːˈnɑːɾiːɔ
diksyonaryo	nˈɪkstɪvˈanajo
dikya	dikːɛɑ
dila	tila
dilaan	djlaaɾl
dilag	ilan
dilat	dilˈt
dilaw	ð̞ilaõ
dili	dile
dilidili	ɛliɗili
diligan	dɛlɪgɑn
diligín	deɫigeɴ
dilikas	ɗiːlikas
dilim	bilim
diliman	dɪlˈmɑn
din	bˈɪn
dinadalaw	ðinadalːɑɔ
dinadalumat	dinadaljuma
dinala mo ba ang pera?	diːnalaːmo ba aːŋpɛra
dinalang	bjˈinalˈaŋ
dinamarka	d̪inamaɾka
dinampot	ti˥˩n˧əm˧pɔːt̚˨˩
dingding	lɪŋˈbɪŋ
dingdíng	dˈɪŋdˈiŋ
dinggin	diŋgim
dinidiligan	liniɾiljɠɑn
dinig	dini
dinudusta	dinodosta
dinuguan	linuɣɔɑnjɛ
diosdada alfrez	jˈus hjˈɑːdə ˈeɪltɹiz
diosdado g. alesna	jʊ̞sgə dʒiː ɑlləs
diosdado macapagal	dʒuʃdado mˈaxˈapagal
diperensiya	dɪfɛɾɛntʃa
diplahan	n˩˩˦a˥˩pl˧aː˧haː˧n˥˩
dipolog	dipolog
direksyon	direkːʃɔːn
diretso	deretʃo
diriwang	ð̞eˈriːn˧nwŋ
dirétso lang	bʲirɛtʃʲɪlʲɑŋ
disenyo	ð̞is̺mjo̞
disgrásya	ɪˈsgɹɑːsʲɑ
disiplina	disiplˈina
disyembre	ð̞jssjambɾe
dito	ɾito
dito po ba ang sakayan papuntang rizal park?	dito poʔ ba aŋ sakaian papunti ɾɛzɛl pɑɾk
divisoria	akompanovisoriia
diwa	kiva
diwata	d̪iwað̞a
diyamante	diamˈante
diyaryo	dʒario
diyes	dʒes
diyeta	dzʲetla
diyos	ʒˈuʒ
diyosesis	ðiokseɾsis
diyán	lian˨˩
doktor	dɔkˈtɔr
dolphy	d̪oːlsiː
dolyar	dˈoːˈliːɐr
donasyon	dˈonaθˈɔn
donselya	ð̞ont̪sɾia
doon	toːɔːniː
dormitoryo	dormitorio
dos	d̪os
dr. jose rizal	dɔktoɾ ˈostɛ rizaj
drayber	ˈdɾaɪbɜ
dromedaryo	domedario
duda	duda
dugo	dugo
dugong	duːgoːn
dugso	dubsˈɒ
duguan	duːgoan
duhakay	tuːhaːqˈhi
duhat	do˧˧at
dukhang	nukhaŋ
dukit	dkiːt
dukot	duqut
dukutan	dukˈoltan
dula	dˈə
dulaan	dʊ̞læːn
dulas	dˈə-lˈas
dulo	tulo
dulog	dˈə-lˈog
dulong hilagaan	duˈlʊŋ hilɐgɑɪˌn
dulot	duːlot̪
dulutan	dˈə-lˈuva
dumaan	dmaʔan
