"сэ" жызыӏэ	sˈa ʒˈɛzˈa
асмыж	asmʒ
ассымыгъуэ	asmoɢo
астемырей	hastemri
асу	asˈu
асыхьэту	asˈhato
асыхьэтым	aːsɦɑtɪm
атэгъынэ	hɑtɑgɯnɯ
атэкъынэ	hɒtqnˈɒˈ
атэкъынэр зи вакъэпс, къэсыр зытеухь	hɑtɯ̞qʊ̞nʊ̞r zʲiwɑqʊ̞p sqäːsɯ̞rɯ̞z tɪ̞wɪ̞h
атэлыкъ	hɑtɛnɫɯ̞q
атӏэ	atːak
атӏэми	hætɑmɪ
ауан	awaːn
ауаныгъэ	ɦoɯ̞nʊ̞ʁɑ
ауаныщӏ	hɒvaniz
ауз	auz
ауи	au̯i
аууей	au̯e̞i
аушыджэр	au̯ʃtʃɪr
аущ	awes
ауэ	aɣo
ауэ сытми	ˈaʊ wˈɑz ˈɪt mˈeɪ
ауэрэ	au̯eɾa
афиян	aːfian
афэ	ˈafə
афэ вакъэ	aːfauːvaqa
афэ хэдзапӏэ	afahətsa pa
афэр	ħafr
афэрым	aferem
афэху	aso
ахумыдэ	hæwfɒmɒtˈdɒˈ
ахуэду жумыӏэ	a fwˈa tˈɛ ʒˈə mˈɛ̃
ахъмэт	χæχmæt
ахъмэт и фо изщ. улъэмыӏэсмэ, сыт и сэбэп?	ʔaakhmˈatifo ʒˈuʁ wəsˈam ʔasmasˈati səˈbəp
ахърэт	æχɾet
ахърэт нэху тхьэм къырит	axrɑt næft hæm qariːd
ахъуакӏэ	ahoaʒtʃe
ахъуащхьэ	hahˈwaʃhæg
ахъумэ	ahme
ахъуэ	ɑχu
ахъшалъэ	axʃasja
ахъшэ	ˈaχʃi
ахъшэ бжа	ɑx ʃæbʒæ
ахъшэ жьгъей	ˈaːkz ðˈɛʁ
ахъшэ и куэдмэ, делэми пщыщ	ɑχʃɛj kwædmæt jɛldɛmɪ̞p sʏz
ахъшэ къихын	aːxʃi qiːfin
ахъшэ мыкӏуэу къыӏэщӏэнэн	ʁaqʃɛmɪ̞ qɑwqä ʔɑzɑnɯ̞n
ахъшэ уиӏэмэ, бохъшэ бгъуэтынщ	axʃɛ wˈi ˈɛmə bɔxʃɛ bɾˈɔtənʃ
ахъшэ умыӏыгъыу бэзэрым укӏуэри, джыдэ умыӏыгъыу мэзым укӏуэри зэхуэдэщ	haˈxʃəm ɔɣo bˈaː zɑrɪ mokwaɾi dʒitəum ɔɣo maːzizmokwaɾi zəfwaˈtəz
ахъшэдэщ	æχʃɛdæʃ
ахъшэм	axʂɯ̞m
ахъшэм нэужь	axʃm na oˈʒ
ахъшэм сигъэделащ	axʃɛmsʲiʁa dʲezas
ахъшэмвагъуэ	axtʃɐmvˈɑɣv
ахъшэншагъэ	aħʃaːnʃaɾə
ахъшэншэ	axʂanʂɨ
ахъшэр бзум хуэдэщ - къыбжьэхолъатэ, ӏуолъэтыкӏыж.	aːxʃər bzum xo dˈɪs qəbz xoˈsɛt oˈsɛt dʒidʒ
ахъшэр зэрыпӏэщӏэкӏыным пылъщ	bɒχʃiˈɾzɒɾiˈb ɒzɒdʒiˈnˈim pˈils
ахъшэр къыздикӏам мэкӏуэж	hax ʃar xzdidʒaːm mɛkɛjʒ
ахъшэр къызэт	axʃar qizɛt
ахъшэр къэсащ.	hɑqʃhæɾ qasˈzɑʃ
ахъшэр псым хуэдэщ	aχʃir pɪsim xuaðœz
ахъшэр убыдыгъуейщ	ax ʃarup bdoʁæʃ
ахъшэр уи жып илъу ӏэфӏу уигъэжейркъым	arʃar wˈɪʒɪpˌɪlˈw ˈafuɪraʒiɐ m
ахъшэхэхъуэ	axʃahɛxo
ахъшэшхуэ	axʃaʃxo
ахъшэщӏэкӏ	axʃazotʃ
ахъырзэман	axərzɑmɑn
ахын	axɨn
ахьей	ahej
ахьмакъ	ɑħmaq
ахьмакъыгъэ	ähmɑqɯ̞uðɯ̞
ахэм сахэплъэри, къахэсхащ.	hɑ hæm sˈxæb ʃæɾˈjq æx zˈxæʃ
ахэм шыр къыраш	hɑˈhɑm ʃˈər qɾass
ахэм ящыщ	ʔah mjaʃiʃ
ахэр	ɑːhɑr
ахэр зэегъущ.	ɑːħɑr zˈajːɑː ɑːχˈʃ
ахэр игъэшхэн хуейт	ɑːhæɾ jeˈkɑʃkɑn xoˈhed
ачэтыр	atʃatɯr
ашрыӏу	aʃuɾu
ашхъэ	aːshɣ
ашыбокъуэжьакӏэ	æʃkɪpɔpɑsadʒɛ
ашэ	aʃ
ашэм и къуэ ашэмэз	aʃa miqwa aʃa mɪz
ашэмыкъу	aʃamɯq
ашэмыхъэ	aːʃmaja
ашэмэз	aʃɛmmaz
ашэплъ	aʃaˈpi
ашэху	aʃaf
ащ	aʃ
ащтым	aʃtɯm
ащыкъ	hæsq
аэроӏэжьэ	jɾaazɫɯ
аӏей	aˈeɪ
аӏуей	tˈatwˈeɪ
аӏуейгъурц	ɑɔjɔɣɔrts
аӏуейшей	aːtwˈɛstʃˈɛnd
аӏужыж-мыӏужыж	ˈauʒˈiʒmˈəuʒˈiʒ
аӏуудз	rɑːhˈuz
аӏэ	hɑ̙ɛ
аӏӏэ	ħɑ
ба	baː
ба зэхуэщӏын	bˈazˈ fˈoˈa ʒˈyːn
ба пхузощӏ	ba puzˈo
ба пхуэсщӏыну сыхуейщ	bˈa pʁˈa lzlˈɛ̃ nˈə se fwˈɛʃ
ба хуэщӏ	bˈaɪfəs
ба хуэщӏын	bˈaɪnfæg ʃuː nˈɪ
бабыгуей	babgwˈe
бабыщ	bɑbɯ̞ʃ
бабыщ анэ	abʲaʂajnɛ
бабыщ кӏуэкӏэ	la bisɟua
бабыщ кӏэ псыгъуэ	æbʲiztʃæp sɑŋgɑ
бабыщ лъашэ	apɛstsjaʃɨ
бабыщ псым итхьэлэкъым, мэлыхъуэ хьэм ишхкъым	bɑ bɪ̞ʃ psi̠ mʲe̞θʲ dʒɑːm mɛdʒxoː hæmʲi ʃkʰ æm
бабыщ цӏыкӏу	bɛt ntʃɛ
бабыщ шыр	bæbɬʃɾ
бабыщбзагуэ	tˈɐbʊʃpˌɐsˈaɾʒwˌa
бабыщгъуабжэ	ɑpiʃuaɾʒa
бабыщджэдвеифэ	pɑbuʃtʃɛtbɛifɛ
бабыщжьэгъуплъ	karabaxaok
бабыщкъурт	bæbʲɪsqwrt
бабыщкӏэпсыгъуэ	tɒβistʃapsɒgɒn
бабыщлъашэ	nˈoˈʌtʃtʃˈaʃi
бабыщпэплъ	bˌɑbɯʃpˈɛtts
бабыщхужь	pˈapˈtˈsˈkˈuʒ
бабыщцӏыкӏу	abɪʃtɔ
бабыщщхьэплъ	nɑbɯʃʃap
бабыщыл	babsi
бабыщыпцӏэ	nabɯʃɪpsa
бабыщыпцӏэкъуэлэн	bʏ̞ʂɪ̞tːʲɛpɑjɫɑj
бабыщыхъу	bœ̃bʃʁ
бабыщыхъуэ	tɾɒbbiʃixɒhɒ
бабэ	bˈɑb
багъ мурат и къуэ саид	ɑɣmɑrat jɑqɑ sˈʔiːd
багъ саид	bˈɑːɹ saˈid
бад	bˈæd
бадзапцӏэ	batzaptso
бадзауэ	batzau̯e
бадзэ	bˈaːdzi
бадзэ вей	bˈˈtˈz vˈɛ
бадзэ дзэкъапӏэ иӏэкъым	bðatzɑqaːpa jɑ m
бадзэ дымыжкъым	bˈaːtˈzət mˈɛtʃəm
бадзэ еуэн	baːdˈse jeˈwan
бадзэ ещэу щысын	baðijs æjˈʃv ʃaˈsɪn
бадзэ и дзапэ узылъэщ.	bɑɟe dzæɐr pʰo̙ː uɫe̞ʃw
бадзэ щымыдым	ba'dziʃ jmˈidim
бадзэгъалӏэ	batzəxaːsa
бадзэгын	adzæxˈɪn
бадзэнэф	badzænˈaf
бадзэпсэ	gətzəpsə
бадзэуапӏэ	bɑtzˈwaqo
бадзэукӏ	pat̪zawɔdʒ
бадзэуэгъуэ	batzawaɣa
бадзэуэгъуэ ныбгъуэ	bˈɒt zɒvˈɒɾgɒnˈni buˈɣi
бадынокъуэ	tˈətdˈnˈɔʁˈwˈa
бажапцӏэ	dadʒabq
бажафэ	baʒˈaːfˈɑ
бажафэ зытегъэлъэдэн	pɔːʒa fɔz tʃɔaʁa lɛtɛn
бажащэ	vˈˈɒgˈaʃˈ
бажэ	baʒɨ
бажэ пэнцӏыв тетӏысхьэн	bɛʐɛ pɛnzɨl f tɛtɨ zɑn
бажэ ӏугъуэ щӏэщӏэн	plagə ʔuɣaːs hɑsɔn
бажэбз	bˈˈgəbˈs
бажэкӏэ	baʒɛdʒɛ
бажэкӏэцӏынэ	bajaʒatʃaːtsɯnə
бажэм дыгъужьибгъу къегъапцӏэ	bɒʃim dɒgɒˈzi bɒɵqqi hɒptsɒ
бажэм и фэр и бийщ	paja mi faɾɪbˈi
бажэм и хьилагъэр япэ итщ	pæːˈʐæm jæhjæ̹lɑɢɐr jæaprɪt
бажэм я нэхъ ӏущыр и гъуэм щаубыд	pəgəm jaːnəx ʔusr joʁɑm ʃau βəd
бажэр зытраукӏэр и фэщ	paːʒərs drɑːʋuʒ aː rjeːn
бажэр ныбажэ хъумэ, дыгъэмыхъуэ мэлъыхъуэ	ba dʒrni ba dʒnxomæ d ɣamɑxw mɑʃxo
бажэр ущу ежьэмэ, мэщакӏуэ	paːʒər wˈsˈo jazɪmɛ masakwa
бажэфэ	beʒˈefˈ
баз	bˈɒz
баз зэпихьэн	baʔabħan
баз пихьэн	bæz bħæn
базкӏэ	bɑzɯdʒø
базкӏэ къэхьын	faaːs dʒqaa ħɪn
базыкъ	bˈɒziq
балигъ	wɛliw
балигъ ныкъуэхъу	pæ̝ːlʲ jɑʁnɯ̞ qɑχ
балигъ хъун	bæ̹liːg xwn
балигъыгъуэ	bælʲigɑrɑːn
балигъыдзэ	bæ̹lʲiʁɯ̞ðzæ
балигъыпӏэ	mæ̹lʲiːjaʁɑqbaː
балигъыпӏэ иувэн	bæ̝lʲeʁʊ̞pːɑj uʋɑn
балигъыфэ	baliae̞ɢɒːfˈɒt
балигъыфэ зытегъэуэн	alˈs jˈʁˈfˈɑz dˈiʁ hˈawˈɑ̃
балигъыфэ къытеуэн	pɑjɪ̞ʁʊ̞ fæɢ tæwæn
балией	bˌaʎˈej
балиипкъ	balˈib
балий	bali
балий хадэ уиӏэмэ, бжэндэхъур зищӏысыр пщӏэнщ	bʲjxadw j ʊ̞mʊ̞b bʐandɑ xoɾæ zusr psɔ̙nɔ̙w
балийӏэрысей	faliːɛrˈseɪ
балийӏэрысэ	baliaɾsɑ
балъкъ	bɑsq
балыджэ	balagɑ
балыджэплъыжь	β̞aɫidʒeβ̞sɯɾ
балыджэфӏыцӏэ	bʌrdʒɔbɔtsɑ
балыджэхужь	balʲedzʲexoʃ
балыджэхъу	qɑːrʕaldˈʒiːɑħ
балыджэшхуэ	balidʒaʃwa
бамей	ɒmˈid
бамейр къыкӏэрихын	bamiːr q dʒaːriːxan
бамейр щыун	tˈɒmˈɒˈiˈ
бампӏэ	rampɔ
бампӏэ гъэвын	tɑmpɑ ɢɛɾin
бампӏэ дэхын	bɑmpɑ dɐxɪ̞n
бампӏэ къытеуэн	pæmbæq tæeun
бампӏэ псэлъалэщи бэгу зиӏэр тӏэхъуалэщ	pɛnˈpə psɛˈʃaː dʒaːʃ bɛk ziː ɛtɛkwɑj dʒaːʃ
бампӏэ уз	qɑmpɑimiz
бампӏэгъуэ	dˈɐmˈpˈˈɑgwˈˈ
бампӏэгъэтӏыс	pɒnpɒɾɒtniˈs
бампӏэдэх	pɑmpɑdɪ̞x
бампӏэм зэгуитхъын	baːmˈtˈam zˈɛ gˈutraɛn
бампӏэм зэгуиудын	taːn pɑm zɛkue wtiːn
бампӏэм зэгуичын	taːmpam zɛkueeɣ̞sjn
бампӏэм ихьын	taːnpa mħna
бампӏэн	bæmpən
бампӏэр текъутэн	beɒˈmbɒr tejˈɒqo teˈn
бампӏэрымэ	kɑmpɑˈrʏmø
бампӏэтегъэу	taːmpatɛrau̯
бампӏэхужыӏэ	taːmpˈˈauːʒˈʒiʁˈ
бампӏэхужыӏэу жыӏэн	taːn poxuʃu a mɑɕan
бамэ	dammə
бамэ къыкӏэрихын	baːmtq aːtʃaːrxeːn
бамэ щыун	ðəmˈaʃaˌhˈn
банакӏуэ	vɛnagwɑ
баналъэ	benaaske
банапцӏэ	bənˈapt
банапцӏэ чо	be næbd zædʒo
банкӏ тедзэн	banʃ tezɛn
банэ	bana
банэ бжыхь	bɑnɑ bʒaħ
банэ ӏураулъэф	dɑnɯ̞ uɾɑwʃɛf
банэдэгу	baˈnˈdˈɒg
банэжыг	baˈnaʒˈɯk
банэжь	banãʒ
банэкӏарцей	vænʒɒːɾˈsæ
банэкӏэпхъ	vænædʒæb
банэм и щӏыб ухъу («тпэӏэщӏэ ухъу» жыхуиӏэщ)	bɑːnɑː mʲiːs bʊx dɑpʰiːz ɑs˥ɑwx jissi bwx
банэн	ʔpaːnnəm
банэфӏыцӏэ	banɑvutsa
банэху	banˈɔf
банэхъурей	faɾɑnɑxorej
банэцӏычо	vnæzˈɑʃˈoː
банэшхуей	penˈajʃɹwe
банэшэ	benneʃa
банэщхьэхъурей	baːnʃaħħorj
банэщӏэж	benezɒh
бапхъэ	dapxɛ
баргъ	bɑr
баргъ-сыргъ	bɑrˈgsɪrˈχ
баргъэ	parʁɐ
баргъэ-сыргъэ	bɒrgɒsrgɒˈ
баринэ	baːljˈna
барф	gˈaɾf
барфэ	taːrpˈɛ
барэбыдз	barabɨdz
батрэз	vatrazo
батхъэ	bˈatxə
батыр	bɑtɯ̞r
батыргъэн	bɒtɾʁɒn
батыргъэн лъабжьэу гум телъын	pɐtɪrχɐn ɮæ pʃɪw gɵm tʰiːɮin
батыргъэнкупсэ	bot̪ˈrʁɑn̪kɔpˈsa
батыргъэнпэж	bætrʁɑnpʒ
батыргъэнщэху	mattpʁanʃa
батырыбжьэ	bɒtɾibza
батэ	bɒtɒ
батэ гъэшын	baːtˈɛʁˈaʃɛnˈ
батэкъутэ	bætqʊ̞tæ
батэкъутэ гъэшын	paʁ tˈɛʁkotsʁˈa ʃˈyn
бауэ	bau̯a
бауэ-бапщэу	bawabaapɕɛw
бауэ-бапщэу джабэм къыдэкӏащ	bɑuːəb apsautsˤaː wgəːbam qɑdˤa dʒaːʃ
бауэбапщэ	tau̯opaʂɨ
бауэгъуэ	dawɑʁ
бауэкӏэ	bavɭˈɑkˈɛ
бауэкӏэщӏ	ðaːntʃaːs
бауэкӏэщӏ хъун	davˈtʃas xun
баф	bˈɛf
бахъей	væˈxæ
бахъейр къыщхьэщихын	tʰæːχæer qʊ̞ʂhɑ ʃiχɪ̞n
бахъсымэ	bɑχsemɛ
бахъсэн	bɑxˈsɛn
бахъсэныжь къуейщӏейщ къиуам.	bɒχsɒniz qɒizwɒjuzqɒˈ iˈvɒm
бахъэ	baxa
бахъэ зыщӏэгъэуэн	baχjz ʃʊ̞ʁʊ̞n
бахъэ къыхихун	baːxq fʲifn
бахъэ къыщхьэщихун	bɑːxɑg ʃaħæf
бахъэ щӏэгъэуэн	baxʊ̞s ʊ̞hɑuæn
бахъэр къыщхьэщихын	tæχɪ̞r qʊ̞ʂhɑʃχɪ̞n
бацалъэ	batsaaˈʃɔ̙
бацэ	batsɨ
бацэ зэпхъэкӏын	baʁs dˈsˈɑːs bˈˈɑːdˈʒˈin
бацэ пхъыжын	baˈtˈə sˈœˈ lpʁˈa
бацэ пхъын	bˈatsˈ bʁˈɛn
бацэ уэншэку	baːtsɛ uːnʃɛk
бацэ уэршэку	taːtsɛ ʋrʃɛk
бацэ щхьэнтэ	wa tsɛʃ ħantɛ
бацэд мастэ	atʃ ædmɑstɛ
бацэхэплъ нэплъэжыгъуэ егъуэт	pɒtse xɒp snɒp seʃɒɣɒ eɵgɒt
бацэщ	batsɑs
бацэщӏагъыл	pˈaːtsˈœʁʒwˈʁˈʒˈ
баш	bˈaʃ
баш гъумыщӏэфӏ	pˈaʃoɣˈo mˈʃaf
баш кӏэмщхьэм	bæʃtɕ tɕamɐs hæm
баш лей дэпщтэнукъым	bɛʃlʲe dɛpstɑn ʔøm
башгъалъэ	naʃɣɑsɛ
баштекъузэ щӏын	bɒʃtiquzɒsul
баштекъузэкӏэ	bɒʃtˈeqozˈɒgˈ
баштес	postˈɛz
башым хуэдэу гъун	pˈaʃim fˈa dugˈin
башыр зэпегъэудын	bɒʃ hˈɒz pˈiɾˈɒudin
башыр пкӏэм дэдзеижын	pæːʃɪr pʲtʃæm dæz ixʲiːn
бащлъыкъ	bastʃq
бащлъыкъ дамэ	bɑʃlɑq damæ
бащлъыкъ кӏапэ	hɪ̞ʃlʊ̞q dʒɑpɪ̞
бащлъыкъ шопс	bɑslɑq ʃɑps
бащлъыкъ шыкъу	fɛsdɑq ʃiq
бащлъыкъыпс	bæʃlʲɑqʊ̞ps
бащырбэ	bæʃtʃɪ̞rbæ
бащырбэм псы игъэхъуэн	bæʃʲɪr bæmpsʲej ɣäχwɑn
бащырыбэ	bæʃlʲubːæ
бащӏэ	bazʊ
баӏуэ	baːtˈwˈ
баӏуэ нэхърэ бащӏэ	buaːl næxræ baxʃu
бганэ	ɣanɛ
бганэщӏэдз кӏуэн	bɣan ã ʃotʃ kɫan
бгъакъэ	bʁaqɯ
бгъантӏэ	bʁantɑ
бгъатӏэ	bˈɾˈatˈɭ
бгъафэ	bʁˈaf
бгъафэтелъ	brafaθˈɛ
бгъафэтелъ тедэн	bqafɑtɪ̞ʃ tʲɪdɪ̞n
бгъафэщӏэс	raːfasˈs
бгъащхъуэ	bqaːʃxwa
бгъащхъуэжьей	aʁaʃxˈoʒˈe
бгъащхъуэкӏэху	bˈʁaʃxoʊlˈdʒæx
бгъащхъуэлъэбыцэ	ɢaaʃχɔ̙ɔ̙ʃɛpɪtsæn
бгъащхъуэуэгъуэ	bˈaʁaʃˈxɔwɔvwa
бгъу	bɹu
бгъуагъ	roa
бгъуанэ	bwˈan
бгъуапӏэ	buɑːtːɑ
бгъуафӏэ	bˈʁˈaːvˈɔ
бгъузагъ	bʁuzˈaʁ
бгъузагъэ	bˈɒezˈaːvˈe
бгъузапӏэ	ɦuzɑpɑ
бгъузэ	bʁˈuːsˈa
бгъузэ кӏыхь	bʁuzetʃɛ
бгъузэ хъун	bʁozˈa xʊn
бгъузэ щӏын	bʁozɑ sˈun
бгъукӏэ	rʊtʃˈa
бгъумкӏэ	boɣumtʃe
бгъунж	bɾˈʊnʃ
бгъунжу	bʁˌɔ̃ʒˈɔ
бгъунжу увын	bʁonʒˈuː ˈo vˈɛ̃
бгъунжырыкӏуэ	buɣonixiɾekwɒ
бгъунжырыщэ	bɾˈunʒˈʁyɾˈusˈø
бгъунлъэн	bʁˈunʃan
бгъур хуэгъэзэн	bʁur fɑʁæzɛn
бгъурагъэтӏысхьащ	bɣoːraːɣatəsħæʃ
бгъуратхэ	bɦʊɾaːtxɯ
бгъурачащ	pɒrɒːtʃɒs
бгъуредзэ	ɣorɛdzə
бгъуредэ	bɦorete
бгъурелъафэ	bʁoˈrɛʃaf
бгъурелъхьэ	bʁurɪ̞ʃhæ
бгъурелъэф	bʁoˈrʲæʃæf
бгъуресэ	ɣˈˈɾˈesɑ
бгъуретхъ	pɔɣɛrɛtæç
бгъуретхэ	bɦoɾetxa
бгъурех	pɔrɪx
бгъуреху	ɦurɛf
бгъурехуэ	bɔɣoɾefɔr
бгъуреч	poɣʊrɛtʃ
бгъуреш	boɣoɾeʃ
бгъурешэ	beˈʒoˈræˈʃæ
бгъурещӏыхь	bʁoːljahæ
бгъурещӏэ	bɔɣɔlɛatʃa
бгъурищӏащ	bʊɣuɾˈizˈɑs
бгъурогъуалъхьэ	bʁoːrɑgwaʃa
бгъурож	ɣʊrʊ̞ʒ
бгъурозагъэ	ʁoɾozɑʁɑ
бгъурокӏ	ɢɔrɔtʃ
бгъуролъадэ	ɦoɾoʃaːdi
бгъуропщхьэ	bɔrɔphæ
бгъуропыӏэ	ʁˈuˈrɒˈfhɒɒ
бгъуротӏысхьэ	pɦoɾɔtɨshɑr
бгъуроувэ	bɦruvʊ
бгъурохуэ	bʲoɣʊrɔv
бгъурохьэ	be̞ɣ̞æɾɑhɑ
бгъурощатэ	bɣ̞ɾʃatˈe
бгъурыбгъу	qurɪ̞phu
бгъурыгъазэ зыщӏын	bʊ̞ʁʊ̞rʊ̞ʁɑzɯ̞ zʏ̞zʏ̞n
бгъурыгъазэ щӏын	bʁur gɑzɯ sɵn
бгъурыгъуэлъхьащ	bɦurbwaʃħaʃ
бгъурыгъуэлъхьэн	bʁurɪ̞ʁoːazʃɑn
бгъурыгъэжын	ɢurɑʁɑdʒɨn
бгъурыгъэзэгъэн	pɵɣɵrɵgɑzɑgɛn
бгъурыгъэкӏын	bɔɾɪjɢɑtʃɯn
бгъурыгъэлъэдэн	bʁɯ̞rɯ̞ʁɑʃætæn
бгъурыгъэсын	bʁurʁɛsɨn
бгъурыгъэтӏысхьэн	bʊ̞ʁʊ̞rʊ̞ʁätɯ̞shɑn
бгъурыгъэувэн	bʊ̞rʊ̞hɑʏwɑn
бгъурыгъэхуэн	bʊ̞ɢoɾʁafɢɑn
бгъурыгъэхьэн	bʊ̞rʁɑhɑn
бгъурыгъэщэтэн	bɒriˈʁɒʃɒtɒn
бгъурыдзэн	boʁɒrɒdʒɒn
бгъурыдэн	bɔrɪ̞dæn
бгъурыжащ	bʁoˈrʒas
бгъурыжеен	bʊ̞rʊ̞ʒæjæn
бгъурыжын	bʁoˈrʲindʒin
бгъурызэгъащ	ɣæɾzəxæʃ
бгъурызэгъэн	bˈuˈɣinizɒgɒn
бгъурыкӏащ	ɦrɪtʃˈɑːs
бгъурыкӏын	bɔɾɨtʃin
бгъурылъхьэн	bʊ̞rɪ̞khæn
бгъурылъщ	bɔɢɔrɨz
бгъурылъын	pɔ̙rɪ̞x̟nʲ
бгъурылъэдэн	boɣɯzædæn
бгъурылъэфын	buʁɒriʃbɒn
бгъурылъэфэн	bʁoɾɯ̞ʃæfæn
бгъурыпщхьэн	boːɣuːlbʃʰan
бгъурыпыӏэн	ʁuɣurupø
бгъурысщ	bʊ̞ʁʊ̞rɪ̞s
бгъурысын	morɯsɯm
бгъурысэн	boɾˈsˈan
бгъурытхъын	bɔrɨtɦɛn
бгъурытхэн	okøykkəføn
бгъурытщ	bɔɦɔrɛts
бгъурытын	ʁuritɪ̞n
бгъурытӏысхьащ	bɒhˈɒtəsħˈaʃ
бгъурытӏысхьэн	mʊ̞rdʊ̞shɑn
бгъурыуващ	bɒrɒˈɒuvæʃ
бгъурыувын	ɢɔrɛwfɨn
бгъурыувэн	pronʲ
бгъурыхуащ	ɣʊrɪfʊtʃ
бгъурыхун	ɢʊ̞rʲɪkʊ̞n
бгъурыхуэн	bʊ̞rɪ̞xwæn
бгъурыхын	brɪ̞hɪ̞n
бгъурыхьэн	bɢurħæn
бгъурыхьэпӏэ	bɣ̞uraħɑpa
бгъурычын	poɾtʃin
бгъурышын	bʲoɣorʲiʂsi̠n
бгъурышэн	ɢʊ̞rʊ̞ʂɑn
бгъурышӏэн	ʁuɾuzlɑɬɨm
бгъурыщэтэн	bʁoˈrʏʃætæn
бгъурыщӏыхьын	ɢuɫizaχɯ̞m
бгъурыщӏэн	boɣɔrɨʃɑn
бгъуфӏагъ	pˈɛʁvˈaʁ
бгъуфӏагъэ	bˌeɾˈɔvɑːrˌɛ
бгъуфӏэ	pɾɔfˈa
бгъущӏ	bʁˈuʃ
бгъуэ	bwˈa
бгъуэжыг	bʁwˈaʒˈyʁ
бгъуэншӏагъ	bɔʁɔnʃˈlɑː
бгъуэнщӏагъ	bˈɔnʒlɑq
бгъуэрыбгъуэ	bwaɾɯ̞bwʁa
бгъуэтмэ къащтэ	bʁoˈt mˈɒq ɒʃti
бгъуэшхын	bʁɔʃkˈyn
бгъуэщӏ	bʁˈɔs
бгъуэщӏагъ	bo˩˥ːʒa˥˩l
бгъуэщӏэс	boˈlɑʒɑs
бгъуэщӏэсыбжьэ	bʁˈɑ̃ʒlasˈɛtbʒˈø
бгъэ	ɢɑ
бгъэ пщэху	bˈˈapˈtˈʃˈaf
бгъэ пэплъ	buʁa pɛpˈl
бгъэ пӏащэ	oɾɑ paʃɛ
бгъэбз	bʁˈabz
бгъэбыдэ	bʁɑbɯdˈa
бгъэгу	bʁɑk
бгъэгувэ мыхъун ӏуэху	bˈaɾaːguvɛ mˈaχunˈʔof
бгъэгулыбэ	bʁaguzib
бгъэгуплъ	pʁwˈaɛkwp
бгъэгущталъэ	bˈˈakˈstˈaˈtˈtʃə
бгъэгущӏэс	ɢɒguzlats
бгъэдатхъу	ʁˈaːtˈatʁˈ
бгъэдатхъуэ	kˈaˈdˈadˈəxo
бгъэдахэщӏудз	bʁɑdaxazwdz
бгъэдедз	bɣadɪs
бгъэдедзэ	bʁatɛtstsa
бгъэделъагъуэ	bratˈetʃarʁə
бгъэделъафэ	bˈaːdˈelˈafˈkˈ
бгъэделъхьэ	bɑɣɑtˈɛsħɑsˈ
бгъэделъэф	bʁɑdʒɛkˈav
бгъэдетхъу	ʁadˈɛtʁ
бгъэдетхъуэ	bʁadetʁˈɔ
бгъэдех	ʁɑdɪx
бгъэдеху	bʁadɛf
бгъэдехуэ	ɣatɪx
бгъэдехьэ	ɣadɛːʃɑ
бгъэдеш	bɐrɑːˈdæʃ
бгъэдешэ	ʁadɛkə
бгъэдещӏыхь	wagadaːjɑʒiːħ
бгъэдишащ	brˈɑdiʃas
бгъэдогъуалъхьэ	ɣaduʁuaʃa
бгъэдоджэразэ	ɣaduʒʲraːʒɨ
бгъэдож	bʁadˈoʒ
бгъэдожае	ʁaduʒaie
бгъэдокӏ	bɐɣɑtɔt
бгъэдокӏуатэ	aidoqoat
бгъэдокӏуащэ	bɐɣadɔkwaˈaswɛ
бгъэдокӏуэт	bʁadokwˈat
бгъэдокӏыж	pˈʁˈˈtˈo
бгъэдолъадэ	ɣaduʃaadə
бгъэдолъатэ	pɣadwʃaːtse
бгъэдолъэт	boʁadoʃaːt
бгъэдопщ	bˈˈadˈoːps
бгъэдопщхьэ	bʁadˈdˈobɑʃˈʰa
бгъэдопыӏэ	bradop
бгъэдотӏысхьэ	ɣɑdˈdˈzˈshæ
бгъэдоувыӏэ	bʁadˈov
бгъэдоувэ	ʁadov
бгъэдоукӏурие	pɣɑtˈogɾˈijɑ
бгъэдохутэ	bʁadotə
бгъэдохуэ	bradɔv
бгъэдохъухь	bʁɑdoxu
бгъэдохьэ	abʁaduʁa
бгъэдохьэж	qaduːhæʒ
бгъэдоцӏафтэ	baχatəwaˈzɑfəte
бгъэдоцӏэфт	bʁɑdutsɑft
бгъэдыхьэжащ	ɑlħaħadʒɑs
бгъэдыхьэжын	qɑdħajdʒyn
бгъэдыхьэкӏэ	ʁɑdħɑdʒɑ
бгъэдыхьэн	bɣadˤɑħæn
бгъэдыхьэпӏэ	bɣatˤaħapːa
бгъэдыхьэпӏэншэ	bɣɑdħɑpɑnʃa
бгъэдыхьэпӏэншэу	bɣadˈadħapɑnˈʃɑv
бгъэдэгъуэлъхьэн	ɣaddaɣuʕˈħɑn
бгъэдэгъэгъуэлъхьэн	ɣadɣaɣalħæn
бгъэдэгъэзэгъэн	bɑɣɑdɑɢazɑɣɑn
бгъэдэгъэкӏуэтын	pɑɣɑdɑɾakwatɛm
бгъэдэгъэкӏуэтэн	bɁaddaakwatɛn
бгъэдэгъэкӏын	bʁˈaːdˈaʁadʒɛn
бгъэдэгъэлъын	pɐɢɐdɐʁɐsɪ̞m
бгъэдэгъэлъэдэн	bɪ̞ɢætjætɪ̞n
бгъэдэгъэпыӏэн	bradʁapən
бгъэдэгъэсын	bɢaddaʁasɨn
