(й)езуитщина	ɑːwezoːliːˈstænæm
астероиден пояс	as ðe ɾuidẽn pɔjas
астигматизъм	estigmatizon
астигматик	ast̪iɣ̞mat̪ik
астма	astma
астматик	tɑsmɑteek
астра	astra
астрален	astralˈɛn
астраханит	astrəxɨnʲit
астробиология	astrobjuloɣ̞ija
астрология	astrʊogʲiːja
астронавт	hastronauːft
астроном	tɛstraːnɔm
астрономия	astronomija
астрофизик	astrofiʝik
астрофилит	astrofilid
астроцианит	astrɔtsiaɲi
асфалт	esfau̯t̪
ася	asjo
ат	at
атабаскаит	aːtəpaskəit
атака	atˈaka
атакамит	atakɯ̞gmi̠t
атаколит	atakul̪its
атакувам	atakuvam
атанас	atanas
атанас атанасов	aːtanaːs aːtanaːsʊv
атанас йосифов борносузов	atɑnɑs pʃaʃtʃɔguburɔnɯsuzuf
атанаска	atɨnaska
атанасов	ʔatˈanːəbˈɑstum
аташе	ataeʃe
атеизъм	ɑteizɯˈm
атеист	atˈeˈist
ателестит	atəlɛstɛt
ателие	atəliːe
атенеит	aθɛnɛit
атентат	atːentˈatˈ
атентатор	atɛntator
атестат	atɛstɑt
атестация	atɛstɑtsia
атина	tapina
атия	atja
атлантика	at̪lãnt̪ika
атлантикахмак	ɑtlɑntikɑχmɑk
атлас	atlas
атласовит	atlɛsɔvitɛ
атлет	atlət
атмосфера	atmosfɛːra
атокит	at̪okjt̪
атом	atom
атомна	atomna
атрактивен	atraktsiwɛn
атракция	atraktsija
атрибут	at̪ɾibut̪
атрибути	otributi
атрофиран	atrofiraŋ
атрофия	atrassija
аугелит	augɛlit
аудиенция	au̯diːɛntsjɛ
аудио гид	auðio gɪd
аудитория	aːwˈdˈitˈɔria
аура	auɾa
аурикуприд	aurikuprit
аурипигмент	auɾipygmɛnt
аурихалцит	au̯rixɛltsit
ауростибит	auɾostibit
ауспух	auspux
аустинит	aɫstinit
аутонит	au̯t̪anit̪
аутопсия	au̯t̪opsia
афатикатит	afatikatiːt
афвилит	afvˈɪlɪt
афганистан	afganˈɪstɑn
афганит	afganit
афект	afək
афектирам	afɛktajrn
афектирам се	ʔaːfktoərɔm se
афектиран	tʃiːziæfktran
афера	afera
афинитет	afinit̪eð̞
афиш	afiʃ
афиширам	ˈafɪʃˈiːɾˌɑm
афоризъм	afʊɾszʊm
афористичен	afʊrˈiːstˈiːtʃɛn
африка	afrika
африка е в космоса	afrɪkɐ ɛ f kosmusa
африканци	afʁikˈantsi
афродита	afɾudɨtɐ
афронт	afɾˈɔnt
афтиталит	afd̪italjˈit
аха	aha
ахат	aχat
ахвам	axvɑm
ахейлит	afˈajlˈit
ахелой	aʃabɔj
ахмак	ˈaxmˈak
ахмед	ɑχmæt
ахроит	axoʝit
ахтопол	axtopu
ацетамид	atsetɔmit
ацетилен	atsetjlen
ацетон	ħaktsɛtan
ачкова	tadʐgɨvɛ
ашавалит	aʃaˈvɑlɪt
ашамалмит	aʃɑmɑlmit
ашанит	aʃa
ашбъртонит	asbˈaːrtunjˈt
ашкрофтин	aʃkɾufˈtɪn
ашладисвам	æʃuːdistvæm
ашоверит	aʃoverit
аязмо	ajazmo
б	b
баба	baba
баба ванга	bˈabavraːŋˈgˈ
баба ванга е българка.	ɓaːwaː aːŋgəje bəokɽk
баба и дядо	babaj djadɔ
баба яга	babã jaga
бабаит	babai̯t
бабаитство	babaʲitsdvˈo
бабанка	babˈanka
бабата е щастлива	bˈaˈbˈata ɛ ʃtasɫɪvˈa
бабата му пее	babɐt̪ɐmʊpɛ
бабата пее	bapʊt̪a pɛ
бабешки	babɛʃki
бабини	apini
бабувам	bˈˈabˈɔvɑ
бабяк	tabjok
бавен	baben
бавен съм	bo˥˩ːʋe˥˩ːn sɔm
бавене	bavene
бавно	bɑɫnu
бавно като охлюв	bavnˈogɐt ˈoɑxlov
бавност	bafnɔst
бавя	bavja
бавя се	bavja se
багаж	bˈaɣˈaʃ
багажна	pagazna
багажник	bãɣ̞asnik
багдад	bˈɑgdˈad
багер	vagɛr
багра	bˈagra
багрилно	bagriona
багря	baːgriːa
багрян	bˈagrˈan
багряна	bogrjana
бадем	β̞að̞em
бадж	budʒ
баджа	bˈˈɑdʒˈa
баджанак	bˌaːgənˈaːk
баджаначка	badʒanatʃka
бадминтон	batmɛntɔn
баева	bˈaɪvɚ
база	baza
база данни	baza daːnmɪn
базалт	bazalt
базар	bazaɾ
базирам	baziːrəm
базис	basis
баир	bɑːr
бай мангау	β̞anɣ̞o
байрак	bəjːɾaːk
байрактар	bəjraktar
байцвам	baɪtsvam
бакалавър	bakalaβ̞eɾ
бакалова	bakaɫovo
бакенбард	bakɛn̪bart̪
бакенбарди	akempaɾði
бакла	akua
баклава	bakɫava
бакпулвер	akpoɣeɾ
бактериология	bɐktɛɾiɔlgiə
бактерия	baktɛria
баку	bˈakˈ
бакшиш	bɑqɯ̞ʃɪ̞ʃ
бакшиша	baksʲiʂʲa
бакър	bakaɾ
бакърджийство	bakrdʒiːstvo
бакърджия	akɾdʒia
бакърен	bakarɨm
бал	bal
бала	bala
балама	balɑmɑ
баламосвам	baɫamoʃaːm
баламурник	baɫamuɾnik
баланс	balans
балансирам	boansiram
балансиран	boansiːræn
балансьор	balansɯjoɾ
баласт	baˈlast
баластра	balastra
балатум	balatum
балван	balvan
балдахин	β̞au̯ð̞ahĩŋ
балдево	aueɣ̞o
балет	balˈɛt
балистик	bəlistiːk
балкан	tɕoɣam
балканански	baɫkaŋski
балканите	losense
балкон	balkon
балон	bäˈvɑm
балонче	baˈontʃe
балсам	bo˥˩ːsam
балсамирам	bɛlsɛmɪrɛm
балсамиран	be̞ʃamiːræm
балтая	baltaja
балтия	bɐɫtja
балтон	βoltoβo
балчик	vaɫtʃik
балък	bɑɫɯ̞k
балюстрада	β̞alʝost̪ɾað̞a
бамбук	bˈambˈok
бамя	bamja
банален	banalɛn
банализирам	bãnɑliðˈirum
баналност	banããmbõɾs
банан	bænɑn
банани с пижами	baˈnaˈni s pjidʒami
бананът е войник	banaŋa tɛ βoĩŋik
банат	bɑnɛt
бангладеш	β̞anɣ̞oð̞es
банда	baːmda
бандаж	bãndɑʃ
бандит	β̞ãn̪d̪jt̪
бандитизъм	banˈdˈetˈizəm
бандитско	banˈdˈepˈsˈkuː
баница	baɲitsa
баница с късмети	banitsas kasmɛtɪ
баничан	baːntʃam
баничка	baːnitʃka
банка	banka
банкер	bʊ̞ŋkjɑr
банкет	baŋkɛt
банкетна	bankɛtːnɐ
банкнота	bɐnknˈota
банкноти	banknoti
банков превод	ankuvpɾa
банкомат	bankomat̪
банкрут	bankrn
банкрутирал	baŋkrutiːrauh
банкя	pankɛ
бански	baɲski
бански гащета	bɑnski gəʃtɛtə
бански костюм	basʲːi kostsʲum
банско	vaːsko
баня	banja
баня в антарктида	β̞anʝa fantaɾkjð̞a
баня в спалнята	banʲe f spau̯nja ta
баобаб	boabab
баптист	baptist
бар	bˈaɾ
бара	bara
барабан	bɑrɑbɑm
барабанене	barabanajnɨ
барабанчик	berəbɑntʃek
барабаня	berəbenia
барабар	bɐrɐbɑr
бараж	bˈɾˈaʒ
барака	bˈɾaka
барам	baram
барбадос	barbadoz
бард	bɐrdʊ
бардак	borda
барем	β̞ɑrẽm
баржа	barʒa
бариера	bəriːjr
барий	bˈaɾi
барикада	bˌɐɾikˈadɐ
барикадирам	baːriːkadiːram
баритон	berɪtɔm
барометър	bˌaɾˈometˌeɾ
барселона	bˌɛsˈɛvˌɑnˈa
барут	barut
бас	bˈas
басейн	baːsæjn
басирам	basiram
басиране	bəseːrɛneː
баскалци	baskau̯tsʲ
баскетбол	bˈæskɪtbˌɔl
басма	vˈoːsmeˈ
басни	assi
баснословен	basnɔslɔvɛn
басня	bɑːsɲɑ
бастисвам	bastistʋɑm
бастун	bastum
батак	batak
батальон	bˌɐtaljˈon
батерия	batˈeɾjɐ
батерията не е пълна	bɐtɛɾijɐtɐ nɛjɛ pɪlna
батут	batut
бау	bal
бау-бау	baːlbaːl
бахар	baxar
бахур	baxur
бацил	batsɛ
бачево	kɑːtʃɯtʏ
бачкам	batʃkam
бачково	bˈɑtʃku
бачо киро	batʃu kjuɾu
баш	baz
башибозук	bəʃibwzok
баща	bɑʃta
баща ми имаше рожден ден	bastɑm jɛmɑʃɛɾɔs dɛnˈden
бащата е този писател	baʃtatˈa ɛ tɔzɛ pisatˈel
бащата е този писател.	bˈaʃtʃˈatˈa ˈe tˈoz e pisˈatˈaɫ
бащин	bastʃim
бащиния	baʃtiŋja
бащински	bɑtʃtʲii̯skʲi
бая	baja
баяч	bajatʃ
бдение	bdɛnjɛ
бдителен	deltelen
бдително	diteono
бдителност	bdtɛʊnost
бдя	bdiːa
бдящ	bðˈɪæʃt
бебе	bɛbɛ
бебето изплю дъвката	bɛbɛtɔ izplʲɪndɐ f kɐta
бебето спи	beːbɛtɔ ˈspi
бегач	beˈgatʃ
беглец	bɛglɛts
бегло	bɛguo
бегом	bɛgɔm
бегония	beˈgɔnia
бегъл	bɛgo
беда	be˥˩da
беден	beˈden
беден съм	β̞eð̞ɯ̞nsam
беди	beˈdi
бедни	be˥˩ːdni
бедно	bedno
бедност	bednos
беднотия	beːdnoːtja
бедняк	bədɲak
бедняци	bɛdnˈɛts
бедняшки	beˈdnˈeaʃkˈi
бедро	beˈdɾɔ
бедствам	bɛtstvam
бедствен	betsɨpən
бедствие	betstri
бедствувам	bɛtstvɑm
бедствуващ	beːtstˈvɛʃt
бедя	beˈdja
бежанец	bʲaʂʲanɛts
бежов	bizhof
бежово	beʒuvo
без	bɛz
без болести	bez bolɛstɛ
без да мисля	beˈs dˈɔmisla
без пари	bɛs pɐriː
без покритие	bɛspukrɪtjɛ
без страх	bɛs strˈax
без съмнение	beːt sɨmneˈne
без утайки	besuta eki
безалкохолна напитка	bɛs au̯gɛxɔnɑ nɔbitkɔ
безапелационен	bezapɛlatsionɛn
безбожен	bezboˈʒen
безбожие	beːsboːʒiː
безбожник	bezboʒnik
безбожно евтино	bəs boɣʐnaev tiːnɔ
безболезнен	bezbolɛznɛn
безбрачен	vɛzbratʃɛn
безбрежен	bezbrɛʒɛn
безбрежност	bɛzbrɛʐnɔst
безброен	bezbroin
безброй	bezproj
безбройна	bezprojna
безбройно	bezprojno
безверие	beːðvɛrjɛ
безверник	bazsvɛrnik
безвестен	beziːzˈvɛstɛn
безветрен	bɛsvɛtɾɛm
безветрие	beːsvɛːtriːjeː
безвкусен	besfkuzɨn
безвкусица	bʲɪskʏlsitʲi
безвластие	bʌsvɭˈɑfti
безводен	bezpoʁdɛn
безводие	besbol̟di
безводност	bɛzvɔdnɔst
безволев	beːsvoːle
безволие	bezvoɫʲi
безвреден	bezvredən
безвременен	beːsvrjɛmɛn
безвъзвратен	bezvozbratɛn
безвъзвратно	beːzðazʋrɑtnu
безвъзмезден	bɛsvosmɛzdaɲ
безвъзмездно	be̞zɾɔzmiɛstu
безгласен	bɛzgwɑsʊm
безграничен	bezgraniʒɛn
безграничност	bɛsgrʲɛnʲitʃmɨʂt
безгрешен	bezgrɛtʃɛn
безгрижен	bezgrisɛn
безгрижие	bɛzgrɛʒiː
безгрижна	bezgriʒna
безгрижни	bɛzgrɪʒɲˈi
безгрижник	bɛsgriʒnik
безгрижно	bɛsgrɛʒnu
безгръбначен	bezgrupunaːtʃɛn
бездарен	beːtsdɑːrɛn
бездарник	bæðdɑrnik
бездарност	bæzðeɾmuz
бездеен	bizðein
бездейност	bezdɛjnust
бездействам	beːzdɛjˈstvam
бездействие	bezˈdeiːn
бездействувам	bʏ̞zːɛjʐwˈɫɯ̞n
безделен	bæzdijlæn
безделие	bizˈdeːləj
безделник	bizdiˈɐlnik
безделнича	bəzˈdəoˈnita
безделничество	beˈsdɛwnitʃɛstvo
бездетен	bezdɛten
бездетник	bjazdɛtˈnˈik
бездиханен	bəzdixˈaːnəm
бездна	beznɒn
бездомен	bezdomen
бездомни	baztɔmɲ
бездомник	bɛsdɔmnik
бездомници	bezdomnitsi
бездушен	bæsdʊʃən
бездушие	bisˈduːʃi
бездъждие	bozdøzdiˈe
бездънен	bezdonen
безжалостен	beʲːaɫustɨn
безжизнен	beːsʒiːznɛm
безжизненост	bɛsʒiznɛnɔst
безжичен	bɛzʒitʃɛn
безжичен микрофон	bɛzziitʂɛn mʲikrɔfɔn
беззаветен	beˈzdɔʋɛtɛn
беззаветност	bezavˈɛtnˈost
беззаконен	beʃakɔnɛn
беззаконие	kaskoːni
беззакония	bezzakonʲija
беззаконник	bezakomnʲik
беззащитен	bezəʃtitɛn
беззащитност	bæzdɑʃtɪjtnɔs
беззвучен	bezzvutʃɛn
беззрачен	bɛszˈrɒtɕɛn
безидеен	bezidɛn
безидейност	bezidæjnæˈnest
безизразен	wɛziːzrazɛɲ
безизразно	beˈzizrazno
безизходен	beˈzisxuˈdˈɛn
безизходица	be̞ziːsxɒːdiːtse
безизходно	beˈzɪsxodno
безизходност	be̞zizxodnost
безимен	bozɪmman
безименен	bøzimenin
безименник	bazʲimanʲːik
безинициативен	bezjnitsiativen
безинтересен	bezinterezˈen
безистен	bezjzstɛn
безкомпромисен	laʃafoikompromissen
безконечен	beˈskˌuˌneˈtʃən
безконечност	bɛskɔnɛtʃnɔst
безконтролен	leskont̪ɾolen
безкористен	bezkɔristsɛn
безкофеинов	bɛsqoːfːiːinoːv
безкраен	bɛskraɛn
безкрай	bəskraɪ
безкрайно	bɛskrajn
безкрайно щастлив	bɪs krajnɛʃtɔ sliːf
безкрайност	biskrajnos
безкритично	bɛskrɪtɪtʃmu
безкръвен	bəskrʊvɛn
безличен	bezɫʲitʃən
безличие	bzltʃe
безлов	bɛzɫɔm
безлюден	mezlʲude
безмерен	bezmerai
безмерност	bɛðmɛjrnws
безметежен	bezmɛtɛʒɛn
безмилостен	bezʲmʲiɫoztaj
безмилостност	bazʲmʲiɫuznʲasʲtsʲ
безмислица	beˈzmiˌsɫɪto
безмозъчен	bezmozɔtʃin
безморален	baːsmuːˈraːləm
безмълвен	bɛzmɛlbɪn
безмълвие	bʲɪʲɪzmɑʊ̞ɫdʲiʲɪ
безнадежден	beznɔtɛʃtɛn
безнадеждно	beznɔdɛʃtʃɔ
безнадеждност	beːznadoʒnʲiːs
безнаказан	beznakazan
безнаказаност	bɛzmakaːvamasts
безначалие	beznadʒaːli
безнравствен	bɛsztrafstvɛn
безнравственик	bʲesnarafstvonʲik
безнравственост	beznarafsdvɨnust
безобиден	beːzoːbiːden
безоблачен	bezopɔrˈtʃeˈn
безобразен	bezobrazɛn
безобразие	beːzobrɑzijɛ
безобразник	bɛzˈubraːznjk
безогледен	vˈaɪzoːglˈɛːdən
безогледно	vʲazou̯pladnu
безогледност	bezoglɛrnos
безоловен	bæzulɔvæn
безопасен	bezupaːsʲɛn
безопасен район	bezupasɛ na raʲɔm
безопасна	bɪtupasnɔ
безопасна игла	bɛzupasnɨ igla
безопасност	bezupasnos
безопастност	bezopasnost
безоснователен	bʲezusnʊbatɑlen
безосновен	bezosnɒɾbɒn
безответен	bæzelswɑjˈtɛn
безотговорен	bezutkuvorm
безотговорно	beztgovornɛ
безотговорност	dɛzodɣovornost
безотечественик	bɛzutɛtʃɨstmɛnʲik
безотчетност	bæzutʃtʃɐtnɔst
безочие	bezˈɑːtʃiː
безочлив	bʲezotʃlʲiv
безочливо	bˈezˈɒtʃlɒni
безочливост	bæzɑtʃɫɪwɔzɔt
безпаричен	besparitʃem
безпаричие	bspəɾiːtʃi
безперспективен	bespʲɛrsʲpʲɛktʲiːvʲɛn
безпланов	bɛsplɔmɪs
безплановост	bezplɑmɯvuz
безплатен	bɛspɫatɨm
безплатно	bʲespɫoknʲ
безплатно червено вино	bɛspɫatnɔ tʃɛrvɛnɔ vʲinɔ
безплоден	bɛsplodɛn
безплодие	bæspɫoːdjɛm
безплътен	bɛsplɔtɛn
