×	peke
うつ伏せる	ɯtsɯbɯseɾɯ
うつ向く	ɯtsɯmɯkɯ
うつ状態	ɯtsɯdʑoɯtai
うつ病	ɯtsɯbjoɯ
うとうと	ɯtoɯto
うとっと	ɯtotːo
うどの大木	ɯdonotaibokɯ
うどんこ病	ɯdoɴkobjoɯ
うどん粉	ɯdoɴko
うながっぱ	ɯnagapːa
うなぎの寝床	ɯnaginonedoko
うなぎ上り	ɯnaginoboɾi
うなぎ丼	ɯnagidoɴbɯɾi
うなぎ屋	ɯnagija
うなぎ昇り	ɯnaginoboɾi
うなぎ登り	ɯnaginoboɾi
うなぎ茶漬け	ɯnagitɕazɯke
うなぎ裂き包丁	ɯnagisakihoɯtɕoɯ
うなぎ鍋	ɯnaginabe
うなぎ飯	ɯnagimeɕi
うなり出す	ɯnaɾidasɯ
うなり声	ɯnaɾigoe
うなる程	ɯnaɾɯhodo
うな丼	ɯnadoɴ
うな垂れる	ɯnadaɾeɾɯ
うな茶漬け	ɯnatɕazɯke
うな重	ɯnadʑɯɯ
うねうね	ɯneɯne
うはうは	ɯhaɯha
うば車	ɯbagɯɾɯma
うふふ	ɯɸɯɸɯ
うぶ毛	ɯbɯge
うへっ	ɯhe
うまい棒	ɯmaiboɯ
うまい汁を吸う	ɯmaiɕiɾɯosɯɯ
うまい菜	ɯmaina
うまい話	ɯmaihanaɕi
うまくやって行く	ɯmakɯjatːeikɯ
うまく行く	ɯmakɯikɯ
うまみ調味料	ɯmamitɕoɯmiɾjoɯ
うまれ変わり	ɯmaɾekaɰᵝaɾi
うま味	ɯmami
うま味調味料	ɯmamitɕoɯmiɾjoɯ
うま塩	ɯmadʑio
うみたなご	ɯmitanago
うみへび座	ɯmihebiza
うみ葡萄	ɯmibɯdoɯ
うむ	ɯmɯ
うめき声	ɯmekigoe
うようよ	ɯjoɯjo
うらうら	ɯɾaɯɾa
うらばな	ɯɾabana
うらぶれる	ɯɾabɯɾeɾɯ
うら寂しい	ɯɾasabiɕii
うら恥ずかしい	ɯɾahazɯkaɕii
うら悲しい	ɯɾaganaɕii
うら枯れる	ɯɾagaɾeɾɯ
うら若い	ɯɾaɰᵝakai
うりずん	ɯɾizɯɴ
うり二つ	ɯɾiɸɯtatsɯ
うるうる	ɯɾɯɯɾɯ
うるう年	ɯɾɯɯdoɕi
うるう日	ɯɾɯɯbi
うるう月	ɯɾɯɯzɯki
うるう秒	ɯɾɯɯbjoɯ
うるき星	ɯɾɯkiboɕi
うるさ型	ɯɾɯsagata
うるさ方	ɯɾɯsagata
うるめ節	ɯɾɯmebɯɕi
うれしい悲鳴	ɯɾeɕiiçimei
うれし泣き	ɯɾeɕinaki
うろうろ	ɯɾoɯɾo
うろこ引き	ɯɾokoçiki
うろこ雲	ɯɾokogɯmo
うろちょろ	ɯɾotɕoɾo
うろつき回る	ɯɾotsɯkimaɰᵝaɾɯ
うろ憶え	ɯɾooboe
うろ抜く	ɯɾonɯkɯ
うろ覚え	ɯɾooboe
うわ	ɯɰᵝa
うわあ	ɯɰᵝaa
うわさを聞く	ɯɰᵝasaokikɯ
うわさ話	ɯɰᵝasabanaɕi
うわっ	ɯɰᵝa
うわの空	ɯɰᵝanosoɾa
うわべを飾る	ɯɰᵝabeokazaɾɯ
うわー	ɯɰᵝaː
うわ気	ɯɰᵝaki
うわ言	ɯɰᵝagoto
うん	ɯɴ
うんうん	ɯɴɯɴ
うんこ	ɯɴko
うんこマーク	ɯɴkomaːkɯ
うんこ製造機	ɯɴkoseizoɯki
うんざり	ɯɴzaɾi
うんしょっと	ɯɴɕotːo
うんたら	ɯɴtaɾa
うんたらかんたら	ɯɴtaɾakaɴtaɾa
うんち	ɯɴtɕi
うんちゃらかんちゃら	ɯɴtɕaɾakaɴtɕaɾa
うんと	ɯɴto
うんとこ	ɯɴtoko
うんとこさ	ɯɴtokosa
うんとこしょ	ɯɴtokoɕo
うんともすんとも	ɯɴtomosɯɴtomo
うんともすんとも言わない	ɯɴtomosɯɴtomoiɰᵝanai
うん悪く	ɯɴɰᵝaɾɯkɯ
うん蓄	ɯɴtɕikɯ
うん蓄を傾ける	ɯɴtɕikɯokatamɯkeɾɯ
うん薹	ɯɴdai
うん香	ɯɴkoɯ
うーん	ɯːɴ
う段	ɯdaɴ
う蝕	ɯɕokɯ
う鍋	ɯnabe
うｐ	ɯpɯ
え	e
えいえいおう	eieioɯ
えいままよ	eimamajo
えいや	eija
えいやっ	eija
えい航	eikoɯ
ええ	ee
ええいままよ	eeimamajo
ええかっこしぃ	eekakːoɕii
ええかっこしい	eekakːoɕii
ええじゃないか	eedʑanaika
ええっと	eetːo
ええと	eeto
ええままよ	eemamajo
ええ加減にしいや	eekageɴniɕiija
えげつない	egetsɯnai
えこ贔屓	ekoçiiki
えごま油	egomajɯ
えさ場	esaba
えずい	ezɯi
えせ学者	esegakɯɕa
えぞももんが	ezomomoɴga
えぞナキウサギ	ezonakiɯsagi
えぞ鹿	ezoɕika
えっ	e
えっさっさ	esːasːa
えっちらおっちら	etɕːiɾaotɕːiɾa
えっと	etːo
えっへん	ehːeɴ
えのき茸	enokidake
えの油	enojɯ
えびす講	ebisɯkoɯ
えびっさん	ebisːaɴ
えび反り	ebizoɾi
えび色	ebiiɾo
えび芋	ebiimo
えび茶	ebitɕa
えへへ	ehehe
えへらえへら	eheɾaeheɾa
えへん	eheɴ
えべっさん	ebesːaɴ
えも言はず	emoiɰᵝazɯ
えも言われず	emoiɰᵝaɾezɯ
えも言われぬ	emoiɰᵝaɾenɯ
えらい目にあう	eɾaimeniaɯ
えらい目に会う	eɾaimeniaɯ
えらい目に遭う	eɾaimeniaɯ
えら呼吸	eɾakokjɯɯ
えら物	eɾamono
えり	eɾi
えり分ける	eɾiɰᵝakeɾɯ
えり好み	eɾigonomi
えり抜き	eɾinɯki
えり抜く	eɾinɯkɯ
えり蚕	eɾisaɴ
えり足	eɾiaɕi
えんがちょ	eɴgatɕo
えんがちょ切った	eɴgatɕokitːa
えんこ	eɴko
えんさかほい	eɴsakahoi
えんじ色	eɴdʑiiɾo
えんすう	eɴsɯɯ
えんどう豆	eɴdoɯmame
えんぺら	eɴpeɾa
えんま帳	eɴmatɕoɯ
えんやこら	eɴjakoɾa
えん堤	eɴtei
えん官	eɴkaɴ
えん罪	eɴzai
えゾオオカミ	ezoookami
えー	eː
えーっと	eːtːo
えーと	eːto
え段	edaɴ
え辛い	egaɾai
え辛っぽい	egaɾapːoi
お	o
おあつらえ向き	oatsɯɾaemɯki
おい	oi
おいおい	oioi
おいしいところを持っていく	oiɕiitokoɾoomotːeikɯ
おいしい所を持っていく	oiɕiitokoɾoomotːeikɯ
おいそれと	oisoɾeto
おいた	oita
おいでやす	oidejasɯ
おいどん	oidoɴ
おいない	oinai
おいべっさん	oibesːaɴ
おい付く	oitsɯkɯ
おう	oɯ
おうし座	oɯɕiza
おうむ返し	oɯmɯgaeɕi
おう吐	oɯto
おえら方	oeɾagata
おお	oo
おおい	ooi
おおいぬ座	ooinɯza
おおかみ座	ookamiza
おおぐま座	oogɯmaza
おおすみ型輸送艦	oosɯmigatajɯsoɯkaɴ
おおたなご	ootanago
おおのすり	oonosɯɾi
おおひるめのむち	ooçiɾɯmenomɯtɕi
おおふくろももんが	ooɸɯkɯɾomomoɴga
おおみず	oomizɯ
おおアメリカももんが	ooameɾikamomoɴga
おお振り	oobɯɾi
おかか	okaka
おかけ下さい	okakekɯdasai
おかしみ	okaɕimi
おかず味噌	okazɯmiso
おかちん	okatɕiɴ
おかったるい	okatːaɾɯi
おかみ	okami
おがさわらごきぶり	ogasaɰᵝaɾagokibɯɾi
おが屑	ogakɯzɯ
おきえそ	okieso
おきな草	okinagɯsa
おき火	okibi
おぎゃあ	ogjaa
おくびにも出さない	okɯbinimodasanai
おくれ毛	okɯɾege
おく病	okɯbjoɯ
おけさ	okesa
おけさ節	okesabɯɕi
おこしやす	okoɕijasɯ
おこし種	okoɕidane
おこじょ	okodʑo
おこた	okota
おこぼ	okobo
おこぼれに預かる	okoboɾeniazɯkaɾɯ
おごる平家は久しからず	ogoɾɯheikehaçisaɕikaɾazɯ
おごる平家久しからず	ogoɾɯheikeçisaɕikaɾazɯ
おさげ髪	osagegami
おさな心	osanagokoɾo
おさらば	osaɾaba
おさ打ち	osaɯtɕi
おさ通し	osatooɕi
おざなりになって	ozanaɾininatːe
おしくら饅頭	oɕikɯɾamaɴdʑɯɯ
おしっこ	oɕikːo
おしどり夫婦	oɕidoɾiɸɯɯɸɯ
おしゃぶり	oɕabɯɾi
おしゃま	oɕama
おしゃまさん	oɕamasaɴ
おしゃれプロデューサー	oɕaɾepɯɾodejɯːsaː
おしゃｐ	oɕapiː
おしろい焼	oɕiɾoijake
おしろい焼け	oɕiɾoijake
おし黙る	oɕidamaɾɯ
おじたりあん	odʑitaɾiaɴ
おじゃる	odʑaɾɯ
おじゃん	odʑaɴ
おじゃんになる	odʑaɴninaɾɯ
おじや	odʑija
おじん	odʑiɴ
おす	osɯ
おせち料理	osetɕiɾjoɯɾi
おせんち	oseɴtɕi
おそれ多い	osoɾeooi
おそろ	osoɾo
おぞい	ozoi
おぞけを振るう	ozokeoɸɯɾɯɯ
おぞけ立つ	ozokedatsɯ
おたおた	otaota
おたつく	otatsɯkɯ
おたふく風邪	otaɸɯkɯkaze
おたんこなす	otaɴkonasɯ
おたんちん	otaɴtɕiɴ
おちゃっぴい	otɕapːii
おちゃらかす	otɕaɾakasɯ
おちゃらける	otɕaɾakeɾɯ
おちょくる	otɕokɯɾɯ
おちょける	otɕokeɾɯ
おちょぼ口	otɕobogɯtɕi
おちょぼ口をする	otɕobogɯtɕiosɯɾɯ
おちんちん	otɕiɴtɕiɴ
おっ	o
おっかない	okːanai
おっかなびっくり	okːanabikːɯɾi
おっさん	osːaɴ
おっしゃる通り	oɕːaɾɯtooɾi
おっちょこちょい	otɕːokotɕoi
おっつかっつ	otsːɯkatsːɯ
おっと	otːo
おっとっと	otːotːo
おっとり	otːoɾi
おっとり刀	otːoɾigatana
おっぱい	opːai
おっぱいアイス	opːaiaisɯ
おっぱいパブ	opːaipabɯ
おっぱぶ	opːabɯ
おっぴら	opːiɾa
おっぽり出す	opːoɾidasɯ
おっパブ	opabɯ
おっ広げる	opːiɾogeɾɯ
おっ放り出す	opːoɾidasɯ
おっ死ぬ	otɕːinɯ
おっ開く	opːiɾakɯ
おっ魂消る	otːamageɾɯ
おつむてんてん	otsɯmɯteɴteɴ
おてんば娘	oteɴbako
おでん屋	odeɴja
おとぎの国	otoginokɯni
おとぎ噺	otogibanaɕi
おとぎ話	otogibanaɕi
おとし入れる	otoɕiiɾeɾɯ
おととい来やがれ	ototoikijagaɾe
おとめ座	otomeza
おとり広告	otoɾikoɯkokɯ
おとり捜査	otoɾisoɯsa
おと年	ototoɕi
おどおど	odoodo
おどけ者	odokemono
おどけ話	odokebanaɕi
おどり上がる	odoɾiagaɾɯ
おどり出る	odoɾideɾɯ
おどろおどろしい	odoɾoodoɾoɕii
おどろく程	odoɾokɯhodo
おなかの子	onakanoko
おなかを壊す	onakaokoɰᵝasɯ
おなり神	onaɾigami
おな中	onatɕɯɯ
おにい系	oniikei
おにかます	onikamasɯ
おねえ言葉	oneekotoba
おねんね	oneɴne
おのずから明らか	onozɯkaɾaakiɾaka
おは	oha
おはか参り	ohakamaiɾi
おはよっす	ohajosːɯ
おばこ	obako
おばたりあん	obataɾiaɴ
おばはん	obahaɴ
おひざ元	oçizamoto
おひつじ座	oçitsɯdʑiza
おひょう	oçjoɯ
おびき出す	obikidasɯ
おびき寄せる	obikijoseɾɯ
おふくろの味	oɸɯkɯɾonoadʑi
おふざけ	oɸɯzake
おぶ	obɯ
おぶい紐	obɯiçimo
おぶう	obɯɯ
おぶとふくろももんが	obɯtoɸɯkɯɾomomoɴga
おべっか	obekːa
おべっかを使う	obekːaotsɯkaɯ
おべっさん	obesːaɴ
おべべ	obebe
おべんちゃら	obeɴtɕaɾa
おほんおっほん	ohoɴohːoɴ
おぼこい	obokoi
おぼこ娘	obokomɯsɯme
おぼれる者はわらをもつかむ	oboɾeɾɯmonohaɰᵝaɾaomotsɯkamɯ
おぼれる者は藁をもつかむ	oboɾeɾɯmonohaɰᵝaɾaomotsɯkamɯ
おぼろ夜	oboɾojo
おぼろ月夜	oboɾozɯkijo
おぼろ雲	oboɾogɯmo
おまんこ	omaɴko
おまんまの食い上げ	omaɴmanokɯiage
おみ	omi
おみ籤	omikɯdʑi
おみ足	omiaɕi
おめおめ	omeome
おめこ	omeko
おめでた	omedeta
おめでた婚	omedetakoɴ
おもい出す	omoidasɯ
おもしい	omoɕii
おもしれえ	omoɕiɾee
おもしれー	omoɕiɾeː
おもすれえ	omosɯɾee
おもすれー	omosɯɾeː
おもちゃ屋	omotɕaja
おもろい	omoɾoi
おや	oja
おやおや	ojaoja
おやしお型潜水艦	ojaɕiogataseɴsɯikaɴ
おやじぎゃる	ojadʑigjaɾɯ
おやじギャル	ojadʑigjaɾɯ
おやじ狩り	ojadʑigaɾi
おやまあ	ojamaa
およしなさい	ojoɕinasai
およべっさん	ojobesːaɴ
おりそう	oɾisoɯ
おりたたみ傘	oɾitatamigasa
おりたたみ印刷物	oɾitatamiiɴsatsɯbɯtsɯ
おりゃる	oɾjaɾɯ
おり立つ	oɾitatsɯ
おれおれ詐欺	oɾeoɾesagi
おれ俺詐欺	oɾeoɾesagi
おれ合う	oɾeaɯ
おれ込む	oɾekomɯ
おろおろ	oɾooɾo
おろおろ声	oɾooɾogoe
おろか者	oɾokamono
おろしポン酢	oɾoɕipoɴzɯ
おろし立て	oɾoɕitate
おろし金	oɾoɕigane
おろちょろ	oɾotɕoɾo
おわら風の盆	oɰᵝaɾakazenoboɴ
おん	oɴ
おんおん	oɴoɴ
おんにゃのこ	oɴnjanoko
おんぶに抱っこ	oɴbɯnidakːo
おんぶ紐	oɴbɯçimo
おんぼろ	oɴboɾo
おんも	oɴmo
おんり	oɴɾi
おエライさん	oeɾaisaɴ
おサイフケータイ	osaiɸɯkeːtai
おススメ	osɯsɯme
おセンチ	oseɴtɕi
おデブさん	odebɯsaɴ
おネエ	onee
おマセ	omase
おーい	oːi
お一人様	oçitoɾisama
お七夜	oɕitɕija
お三時	osaɴdʑi
お上	okami
お上さん	okamisaɴ
お上りさん	onoboɾisaɴ
お上手	odʑoɯzɯ
お上手を言う	odʑoɯzɯoiɯ
お下がり	osagaɾi
お下げ	osage
お下げ髪	osagegami
お下地	oɕitadʑi
お世話	oseɰᵝa
お世話さま	oseɰᵝasama
お世話になる	oseɰᵝaninaɾɯ
お世話をする	oseɰᵝaosɯɾɯ
お世話様	oseɰᵝasama
お世辞	osedʑi
お世辞たらたら	osedʑitaɾataɾa
お世辞にも	osedʑinimo
お世辞にもうまいとはいえない	osedʑinimoɯmaitohaienai
お世辞にもうまいとは言えない	osedʑinimoɯmaitohaienai
お中	onaka
お中元	otɕɯɯgeɴ
お丸	omaɾɯ
お主	onɯɕi
お久	oçisa
お久しぶり	oçisaɕibɯɾi
お亀	okame
お亀蕎麦	okamesoba
お互い	otagai
お互いさま	otagaisama
お互いに	otagaini
お互い様	otagaisama
お人よし	oçitojoɕi
お人好し	oçitojoɕi
お仕着せ	oɕikise
お仕置き	oɕioki
お仕舞	oɕimai
お仕舞い	oɕimai
お付き	otsɯki
お付き合い	otsɯkiai
お代	odai
お代り	okaɰᵝaɾi
お代わり	okaɰᵝaɾi
お任せ	omakase
お休み	ojasɯmi
お休みなさい	ojasɯminasai
お会式	oeɕiki
お会計	okaikei
お伴	otomo
お伺	oɯkagai
お伺い	oɯkagai
お伽	otogi
お伽の国	otoginokɯni
お伽噺	otogibanaɕi
お伽草子	otogizoɯɕi
お伽話	otogibanaɕi
お作り	otsɯkɯɾi
お使	otsɯkai
お使い	otsɯkai
お供	otomo
お供え	osonae
お侠	okjaɴ
お倉	okɯɾa
お偉いさん	oeɾaisaɴ
お偉方	oeɾagata
お側	osoba
お傍	osoba
お元気ですか	ogeɴkidesɯka
お兄さん	oniisaɴ
お兄ちゃん	oniitɕaɴ
お兄系	oniikei
お先	osaki
お先に	osakini
お先に失礼します	osakiniɕitsɯɾeiɕimasɯ
お先棒	osakiboɯ
お先棒を担ぐ	osakiboɯokatsɯgɯ
お先真っ暗	osakimakːɯɾa
お八	ojatsɯ
お八つ	ojatsɯ
お内	oɯtɕi
お内儀さん	okamisaɴ
お冠	okaɴmɯɾi
お冷	oçija
お冷や	oçija
お凸	odeko
お出かけ	odekake
お出で	oide
お出でなさい	oidenasai
お出でなさる	oidenasaɾɯ
お出でになる	oideninaɾɯ
お出まし	odemaɕi
お出掛け	odekake
お出来	odeki
お初	ohatsɯ
お初をいただく	ohatsɯoitadakɯ
お初を頂く	ohatsɯoitadakɯ
お別れ	oɰᵝakaɾe
お別れ会	oɰᵝakaɾekai
お利口	oɾikoɯ
お利巧	oɾikoɯ
お前	omee
お前こそ	omaekoso
お前さま	omaesama
お前さん	omaesaɴ
お勉め品	otsɯtomeçiɴ
お勤め	otsɯtome
お勧め	osɯsɯme
お包み	okɯɾɯmi
お化け	obake
お化けの話	obakenohanaɕi
お化け屋敷	obakejaɕiki
お化け暦	obakegojomi
お化け話	obakebanaɕi
お医者さん	oiɕasaɴ
お医者さんごっこ	oiɕasaɴgokːo
お医者様	oiɕasama
お印	oɕiɾɯɕi
お参り	omaiɾi
お取り置き	otoɾioki
お古	oɸɯɾɯ
お召	omeɕi
お召し	omeɕi
お召し列車	omeɕiɾeɕːa
お召し替え	omeɕikae
お召し物	omeɕimono
お台場	odaiba
お叱り	oɕikaɾi
お告	otsɯge
お告げ	otsɯge
お告げの祝日	otsɯgenoɕɯkɯdʑitsɯ
お呪い	omadʑinai
お呼ばれ	ojobaɾe
お呼び	ojobi
お呼びじゃない	ojobidʑanai
お呼びでない	ojobidenai
お問い合わせ	otoiaɰᵝase
お喋り	oɕabeɾi
お喜び申しあげる	ojoɾokobimoɯɕiageɾɯ
お喜び申し上げる	ojoɾokobimoɯɕiageɾɯ
お団子ヘア	odaɴgohea
お国	okɯni
お国自慢	okɯnidʑimaɴ
お国言葉	okɯnikotoba
お土産	omijage
お土産話	omijagebanaɕi
お坊さん	oboɯsaɴ
お坊ちゃん	obotɕːaɴ
お坊っちゃん	obotɕːaɴ
お報せ	oɕiɾase
お墨付き	osɯmitsɯki
お声掛かり	okoegakaɾi
お変わりありませんか	okaɰᵝaɾiaɾimaseɴka
お多福	otaɸɯkɯ
お多福豆	otaɸɯkɯmame
お多福面	otaɸɯkɯmeɴ
お多福風邪	otaɸɯkɯkaze
お大事に	odaidʑini
お天気	oteɴki
お天気屋	oteɴkija
お天道様	oteɴtosama
お太鼓	otaiko
お太鼓結び	otaikomɯsɯbi
お奨め	osɯsɯme
お好み	okonomi
お好み焼	okonomijaki
お好み焼き	okonomijaki
お好み焼き屋	okonomijakija
お姉	onee
お姉さん	oneesaɴ
お姉ちゃん	oneetɕaɴ
お姉キャラ	oneekjaɾa
お姉ギャル	oneegjaɾɯ
お姉系	oneekei
お姉系ギャル	oneekeigjaɾɯ
お姉言葉	oneekotoba
お姐さん	oneesaɴ
お姫さま	oçimesama
お姫さまだっこ	oçimesamadakːo
お姫さま抱っこ	oçimesamadakːo
お姫様	oçimesama
お姫様だっこ	oçimesamadakːo
お姫様抱っこ	oçimesamadakːo
お婆さん	obaasaɴ
お婆ちゃん	obaatɕaɴ
お婆はる	obahaɾɯ
お婆ん	obaɴ
お嫁さん	ojomesaɴ
お嬢	odʑoɯ
お嬢さま	odʑoɯsama
お嬢さん	odʑoɯsaɴ
お嬢様	odʑoɯsama
お子	oko
お子さん	okosaɴ
お子ちゃま	okotɕama
お子様	okosama
お子様セット	okosamasetːo
お子様ランチ	okosamaɾaɴtɕi
お孫さん	omagosaɴ
お宅	otakɯ
お守	omoɾi
お守り	omoɾi
お安い	ojasɯi
お安いご用	ojasɯigojoɯ
お安い御用	ojasɯigojoɯ
お安くない	ojasɯkɯnai
お定まり	osadamaɾi
お宝	otakaɾa
お客さま	okjakɯsama
お客さん	okjakɯsaɴ
お客好き	okjakɯzɯki
お客様	okjakɯsama
お客様は神様です	okjakɯsamahakamisamadesɯ
お宮	omija
お宮参り	omijamaiɾi
お家	oɯtɕi
お家芸	oiegei
お家騒動	oiesoɯdoɯ
お寒い	osamɯi
お寝小	oneɕo
お寺	oteɾa
お寺さま	oteɾasama
お寺さん	oteɾasaɴ
お寺様	oteɾasama
お尋ね者	otazɯnemono
お小言	okogoto
お小遣い	okozɯkai
お尻	oɕiɾi
お尻ぺんぺん	oɕiɾipeɴpeɴ
お屋形様	ojakatasama
お屠蘇	otoso
お山	ojama
お山の大将	ojamanotaiɕoɯ
お崩れ	okakɯɾe
お巡り	omaɰᵝaɾi
お巡りさん	omaɰᵝaɾisaɴ
お布令	oɸɯɾe
お帰り	okaeɾi
お帰りなさい	okaeɾinasai
お平に	otaiɾani
お平らに	otaiɾani
お年玉	otoɕidama
お広め	oçiɾome
お店	otana
お座なり	ozanaɾi
お座り	osɯɰᵝaɾi
お座成り	ozanaɾi
お座敷	ozaɕiki
お座敷がかかる	ozaɕikigakakaɾɯ
お座敷が掛かる	ozaɕikigakakaɾɯ
お弁当	obeɴtoɯ
お弁当つけて	obeɴtoɯtsɯkete
お弁当付けて	obeɴtoɯtsɯkete
お引き受け	oçikiɯke
お引き摺り	oçikizɯɾi
お引摺り	oçikizɯɾi
お強	okoɰᵝa
お強請り	onedaɾi
お弾き	ohadʑiki
お役ごめん	ojakɯgomeɴ
お役ご免	ojakɯgomeɴ
お役御免	ojakɯgomeɴ
お役所仕事	ojakɯɕoɕigoto
お役目	ojakɯme
お待たせしました	omataseɕimaɕita
お待ちかね	omatɕikane
お待ち兼ね	omatɕikane
お待ち遠さま	omatɕidoosama
お待ち遠様	omatɕidoosama
お後がよろしいようで	oatogajoɾoɕiijoɯde
お得	otokɯ
お得意さん	otokɯisaɴ
お得感	otokɯkaɴ
お御籤	omikɯdʑi
お御輿	omikoɕi
お徳	otokɯ
お忍び	oɕinobi
お志	okokoɾozaɕi
お恍け	otoboke
お悔やみ申し上げます	okɯjamimoɯɕiagemasɯ
お悧巧	oɾikoɯ
お情け	onasake
お惚け	otoboke
お愛でたい	omedetai
お愛想	oaisoɯ
お慶び申しあげる	ojoɾokobimoɯɕiageɾɯ
お慶び申し上げる	ojoɾokobimoɯɕiageɾɯ
お成り	onaɾi
お手	ote
お手々	otete
お手あげ	oteage
お手つき	otetsɯki
お手て	otete
お手の物	otenomono
お手上げ	oteage
お手並み拝見	otenamihaikeɴ
お手並拝見	otenamihaikeɴ
お手付き	otetsɯki
お手伝い	otetsɯdai
お手伝いさん	otetsɯdaisaɴ
お手元	otemoto
お手元金	otemotokiɴ
お手前	otemae
お手塩	oteɕoɯ
お手手	otete
お手数	otesɯɯ
お手数をおかけいたします	otesɯɯookakeitaɕimasɯ
お手数をおかけ致します	otesɯɯookakeitaɕimasɯ
お手本	otehoɴ
お手柔らか	otejaɰᵝaɾaka
お手柔らかに	otejaɰᵝaɾakani
お手洗い	oteaɾai
お手玉	otedama
お手盛り	otemoɾi
お手許	otemoto
お払い物	ohaɾaimono
お払い箱	ohaɾaibako
お抓み	otsɯmami
お披露目	oçiɾome
お持たせ	omotase
お持たせ物	omotasemono
お持ち帰り	omotɕikaeɾi
お持て成し	omotenaɕi
お捻り	oçineɾi
お掛け下さい	okakekɯdasai
お控えなすって	oçikaenasɯtːe
お揃い	osoɾoi
お握り	onigiɾi
お摘まみ	otsɯmami
お摘み	otsɯmami
お撮み	otsɯmami
お数	okazɯ
お断り	okotoɰᵝaɾi
お断わり	okotoɰᵝaɾi
お新香	oɕiɴko
お方	okata
お旅所	otabidokoɾo
お日さま	oçisama
お日様	oçisama
お早う	ohajoɯ
お早うございます	ohajoɯgozaimasɯ
お星様	ohoɕisama
お昼	oçiɾɯ
お晩	obaɴ
お晩です	obaɴdesɯ
お晩彩	obaɴzai
お晩菜	obaɴzai
お暇	oitoma
お暇なら	oçimanaɾa
お暑うございます	oatsɯɯgozaimasɯ
お暑うご座います	oatsɯɯgozaimasɯ
お替り	okaɰᵝaɾi
お替わり	okaɰᵝaɾi
お月様	otsɯkisama
お札	oɸɯda
お株	okabɯ
お株を奪う	okabɯoɯbaɯ
お楽しみ	otanoɕimi
お構い	okamai
お構いなく	okamainakɯ
お構いなし	okamainaɕi
お構い無し	okamainaɕi
お櫃	oçitsɯ
お欠き	okaki
お次	otsɯgi
お正月	oɕoɯgatsɯ
お歯黒	ohagɯɾo
お歳暮	oseibo
お歴々	oɾekiɾeki
お歴歴	oɾekiɾeki
お段	odaɴ
お殿様	otonosama
お母	oɸɯkɯɾo
お母さま	okaasama
お母さん	okaasaɴ
お母ちゃん	okaatɕaɴ
お母様	okaasama
お毛々	okeke
お毛毛	okeke
お気に	okini
お気に入り	okiniiɾi
お気に召す	okinimesɯ
お気の毒	okinodokɯ
お気の毒に	okinodokɯni
お気を確かに	okiotaɕikani
お水	omizɯ
お水取り	omizɯtoɾi
お汁	otsɯjɯ
お汁粉	oɕiɾɯko
お決まり	okimaɾi
お決り	okimaɾi
お河童	okapːa
お泊まり保育	otomaɾihoikɯ
お泊り保育	otomaɾihoikɯ
お洒落	oɕaɾe
お洒落さん	oɕaɾesaɴ
お流れ	onagaɾe
お浚い	osaɾai
お浸し	oçitaɕi
お涙頂戴	onamidatɕoɯdai
お淑やか	oɕitojaka
お清まし	osɯmaɕi
お清汁	osɯmaɕi
お湯	ojɯ
お漏らし	omoɾaɕi
お澄まし	osɯmaɕi
お火焚	ohotaki
お灸を据える	okjɯɯosɯeɾɯ
お点前	otemae
お為ごかし	otamegokaɕi
お焦げ	okoge
お熱	onetsɯ
お父	otoɯ
お父さま	otoɯsama
お父さん	otosːaɴ
お父さん子	otoɯsaɴko
お父ちゃん	otoɯtɕaɴ
お父様	otoɯsama
お爺さん	odʑiisaɴ
お猪口	otɕoko
お玉	otama
お玉杓子	otamadʑakɯɕi
お生	onama
お生憎さま	oainikɯsama
お生憎様	oainikɯsama
お産	osaɴ
お田植え祭	otaɯematsɯɾi
お田植え祭り	otaɯematsɯɾi
お留守になる	oɾɯsɯninaɾɯ
お番菜	obaɴzai
お疲れ	otsɯkaɾe
お疲れさま	otsɯkaɾesama
