!	jɔøoːbˈstaɪm
"	kuˀˀsæˀːin
"karel appel"	taʁˈaːl ˈapɛl
afslutninger	ˈaʊslʌvnɛŋə
afslutningsvis	ˈaʊslˌʊtnəŋzvˌiːs
afslutte	ˈaʊslˌuːtə
afsluttede	aʊsluːtɛðæ
afsluttedes	ˈaʊslˌuːtəæst
afsluttende	auːʃlˈʊtnə
afsluttes	auːslˈʊtəs
afsluttet	ɑˀuslˀuˀtˢəð
afslå	ˈaʊsloːɾ
afslør	au̯slˌøːɾ
afsløre	ˈaʊslˌøːɜ
afsløre - afslørede - afsløret	ˈaʊsløːɑ ˈaʊsløːɔː aˈsløːɑ
afslørede	au̯sliːtælːeː
afsløret	ɑˀuˀsløˀð̩ð̩
afsløring	ˈaʊsløː
afsmag	æuzme
afsnit	ˈaˈusneˌ
afsnittet	au̯snidɯ̞
afspadsering	au̯spasiẽn
afspadseringen	aʊsbˌɛɪsɪɾɪŋ
afspejle	ˈauspˌaɪl
afspejler	ˈɑːʊspˈaɪlˈɛɾ
afspil	au̯spil
afspillere	aːspiːlaː
afspritte - afsprittede - afsprittet	æusbrid̥e ɑusbrid̥əð̩ æusbrid̥eð̩
afstalinisering	aʊstɛljˈnˈisˌeːran
afstamning	au̯stampnɪ
afstand	ˈaʊstən
afstande	aːlˈsˈteːn
afstandstagen	aʊsddænstæeːn
afsted	æsd̥e
afstedkomme	ɛˀstð̩kˈom
afstedkomme - afstedkom - afstedkommet	æz d̥eðˀg̊oˀˀmˀə
afstemning	aʊsdəmniːŋ
afstemninger	au̯st̪ɛmni
afstikke - afstak - afstukket	aːwstekən aːwstak aːwstɔkən
afstod	æˀːustud̥
afstraffelse	aːustrofˈlse
afstresse	aʊ̯stɑi̯sɛ
afstressende	awɯ̞ʃtɯ̞rɑʃɯ̞nɯ̞
afstå	æˀːv̩sd̥oːˀ
afstået	ɑˀwstˢod̥
afsæt	auːsɛt
afsætte	ausɛɾ
aftage	aʊtsɛ
aftage - aftog - aftaget	hʌ˨sʰtʰj˥˥ hʌ˨s˨˩ʰʈʂu˨˩hʌ˨s˨˩ʰtʰj˥˥
aftagelig	autʃeiːliː
aftagen	aʊteːn
aftager	aʊteːʊ
aftale	ɑwtˢæˀːlə
aftalen	auːtsɑːjløn
aftaler	tsʰi˥˩ʰ˥aɻ˧˥ʂɚ˥˩nɑŋ˧˥ʂaɪ˥˥hɑŋ˨˩˦
aftalt	au̯t̪elt̪
aftalte	autældø
aftegning	autsajnˈɛ
aften	ˈaxtən
aftenbøn	aftˈeːn
aftenen	fbɪn
aftener	ɑfˈtʃunɑ
aftens	ˈaftəns
aftenskole	ˈaftənsgˈoːlə
aftensmad	ˈaftənsmæ
aftensmaden	ˈaftənsmˈæn
aftenstjerne	aftɛnstjɑːn
aftes	afdɪs
aftner	pasta
afveg	auvi
afveget	awbiːn
afvekslende	aueksplodo
afveksling	au̯vækslj
afventer	alvet̪a
afvige	auvi
afviger	au̯vio
afvikle	aʊvˈɛkl
afvise	alvis
afviser	alviːsa
afvisning	au̯vizniːm
afvisninger	auviːsljŋɛ
afvist	au̯fist
afviste	aokɪs
afværge	au̯vˈel
afværger	au̯vˈaɪəʊˌ
agata	æɣ̞ɒtsˈɒ
agathe	æˈkeːæˌɛtˢe
age	æjø
agent	akest̪
agenten	ækˌɪntˀ
agenter	akest̪
agentur	ˌaʊxˈɛntˈuɐ
ager	eʝa
agere	ɛːkæjjæ
agerede	ækˈeːæ
agerer	ekia
agergaard	ˈɛjˈɔkːɔ
agerholm	eːhɔlm
agerhøns	æjˀɑhønns
agerhønsene	æjˀɑjhœnzæˀnæ
agern	ãion
agersø	æˀjɑsøˀ
agerø	ˈeɪəɹ
agerøvej	ɛjːoːyːvˈaɪ
agglutination	akplut̪inasjoɛ̃
aggression	aˈkˈrasjˈɔ̃
aggressiv	kʰʊŋ˨˩˦ʈʂɤŋ˨˩˦ʂɚ˥˩ʈʈʂu˥˩tʰʊŋ˨˩˦ʈʂu˥˩n˧tʰw˧˥tʰw˧˥u˥˩tʰt˦ia˥˥tʈʂu˥˩˦lɤ˨˩˦
aggressive	ˌɛkɐsˈjʊ
agitations	agitasjˈɔ̃s
agn	au̯n
agn - agnen - agnene	ˈaʊn ˈaʊnən ˈaʊnənə
agnar	aʊtla
agner	ˈaʊtnˌa
agner krarup erlang	aʊˈlɔk a ɑlʁˈɔː
agnes	alnɪsh
agnes caroline thaarup obel	æʋnæs kʰɑulˀiˀn̩ tˢoˀ oˀˀɑ̯k oˀˀb̥əl
agnes obel	ˈaɪnəs ˈɔpə
agnete	almegitʃe
agnethe	ˈaɪlmˈeɪdʒɚ
agrar	akˈa
agri bavnehøj	aʊ̯˨˩riː˧pɔːŋ˧hɔːiː˨
agronomisk	akˈɔ̃oːmˌiːsk
agt	at
agten	aktu
agterud	aktuaːjuːð
agtpågivenhed	ˈaktpˢoˀkˢiˀɐˀnəðˢ
agtværdig	aktˈvɛɾtɪ
agurk	ɛtskˈuʁ
agurker	ˈeːtkˈuːɾkə
aha	aha
ahlburg	ɛlbuək
ahorn	aɣoan
ahornsirup	æˈhɔntsiːˈɔ
aids	eɪts
aino	ajnɔ
aircondition	ˈɛɹkəndˈɪʃən
ajour	ɛ̃sjˈɔ̃
ajourføre	æzʌɐfʉøɐ
ak	ak
akacie	ekeʃi
akademi	akadmˈi
akademiet	akadˌeːmiː
akademimedlem	ækad̥eːmiːmɛð̞lɛm
akademisk	ækætɛmɪ̞sk
akademisk boldklub	ˈakadˌeːmɪs bˈɔl klˈɵb
akavede	ækʰeːbɪlɪ
akavet	ɛɀe̞kʰɛjɔð
akilleshæl	æklˈisheːlˀ
akillessene	ɛkjlːseːnː
akklimatisere	æklimɐdiseɐ̯a
akkolade	ækʰɔlæð
akkompagnatør	akompanjatˈyʁ
akkompagnere	akɔmpaɲɪə
akkompagnerede	ˈɛkopˈaɲiol
akkompagneret	akompanˈiːɐ
akkord	əkˈɔɹd
akkordmæssig	æˈkɑːdmɪ̞sig
akkreditere	akreditsie
akkumulator	akˌuːmuːlˌeːtˌɔr
akkurat	ɑkuɾˈalɛlaɑkuɾˈal
akkuratesse	æjkʰoːgɑːtʃeʃɛ
akrobat	akopeːt
akronym	ekʁonˈy
akronymet	ækʁinymɛ
akronymet - akronymer	æˀːkʰʁ̥ʌn̩˩˦ymˀə
akropolis	ɛkɔpulɪs
akrostikon	ɑːkɾˈɑsˈtɪkɔn
aksel	aksj
aksel kjersgaard	æksjɛl kjeːˀɐ̯sg̊ɔː
aksel schiøtz	ɑˀksl ʃˈyt
aksiom	aksiju
akt	ap
aktie	akʃɯ
aktiemarkedet	akɯ̞ʃimaːkɯ̞t˦
aktieselskab	ˈæksəsəvskˈeɪp
aktindsigt	qt̪ð̞ɪnsɪkt̪
aktion	aktsu
aktionær	akkionɛːr
aktiv	aktsɨ
aktiv metafor	aktˢiˀuˀ mɛtˢeˀ foɐ̯ˀ
aktivering	aktsiːvjeː
aktivhus	aktˢiˀuhus
aktivisere	akt̪iˀviˀseː
aktivisering	aktˈiˈfizˈe
aktivist	akt̪iv̪ɪst̪
aktivitet	aktˌiːviːtˈɛːt
aktiviteten hjælper ham til at komme af med nervøsiteten	aktiˀviteˀtˢɛ jælpʰɒ̝ hɑ̈m tˢeˀld̥ et̥ kʰɒ̝mˀ æmˀɑ̯d̥ nævˀɐsitˢeˀɑ̈nˀ
aktiviteter	akt̥iˀviteˀd̥ɐ̯
aktivitetsudvalg	akt̪iˀvjɛtˢswðˢvælˀlʲiɑ̈
aktivt	ɑːkˈtsiːv
aktorat	ɑːktoːˈʁaɾ
aktstykke	aktˢstʉgˀɛ
aktualisere	aktualisæʁɑ
aktualitet	aktualitˈeːt
aktuar	aktsua
aktuel	aktual
aktør	aktˈøː
akupunktur	akupʊŋk˨tsuɐ
akustik	akustˈik
akustisk	ɑˀ
akut	ærkˈuːt
akutberedskab	æɾkˈuːtbe̞ɾazke
akutjob	ekutdʒop
akutsygehus	ækˌuːtˈsɪəhuːs
akva-	akvˈe
akvamarin	ˈakvəmaʁˈiː
akvarel	akveːrˈaɛ
akvarelfarve	akveːralfˈaʊ
akvareller	akværala
akvariet	ˌaːkvaːjˈa
akvarium	akvaɪo
akvavit	akvimit
akvæ-	akve
akvædukt	akvətˈop
al	ɛl
alabaster	ˌɛllepˈɛsta
aladdin	ɒlɒtiˈn
alan schmidt	ælˈlˈ smˈɪt
alarm	alaːn
alarmcentral	naːn
alarmen	alaː
alarmer	ælˈɑɾm
alarmere	alamia
alarmerede	lameoo
alarmerende	ʔɛisismian
alarmerer	ˈalamˈeɪo
alarmeret	ˈɛlˈlɑːmˈeː
alarmerne	æˈlɑːmən
alarmopkald	lˈˈano
albaner	ælbena
albanien	ælbeːtnjæm
albansk	æˈɾbˌeɪnt
albanske	ælbeldjɑbˈiːn
albatros	ælʁbæʲtmɑg
alberchtsen	ælbɛrkd̥sæn
albert bertelsen	ælb̥eːˀ æɛ̯b̥æɾb̥elsˀn
alberte	ælˈbæɾtæ
albertine	alpɛaːtsiŋe
albertslund	ˈɛlbɜtslˈʌn
albino	alpino
albrechtsen	ælbɾæksɛn
albue	alpˈu
albueben	ɛl̪t̪unt̪eːn
albuen	ɛlbuː
albuer	ʔ˨
albuerne	ɛltˈuɾˌanɑ
album	ɛlˈfɔːm
albumin	ælbˈuːmiːˀn
albummerne	æˈsɔ
albummet	lbɔˈhˌɔ
albæk	ˈælpɪk
aldeles	altekas
alder	l
alderdom	ɛɾlɑːdɔm
alderdommen	ɑhɑh
alderen	elan
aldersgrupper	ælˀɒsg̊uˀb̥ɑ
aldersgrænse	elaskant
alderstrin	ælˈasttʁˈɪn
aldis	ld̪is
aldre	l
aldrende	lɣ̞ɔnð̞
aldrene	kˈasʁoʁˈ
aldrig	alutʁˈe
aldrig har jeg da skidt så tyndt	ɑld̥ʁi hɑˀ ɛɐ̯ d̥æsg̊iˀd̥ sɔˀ tˢøːˀnˀd̥
aldrig have et roligt øjeblik	ɑld̥ʁi hæjeˀ eːˀrɔ̯ld̥ʁi ɑjˀbl̥iːg̊
aldring	ɛlɣiŋ
aldringen	ɛlʁiŋ
alef	æi̯lˌɛs
alejandra	ælˈlæxændˈɾæ
aleksander	ælˈɛkseˈændə
alene	ɛlˈeːn
alene for at	ælˈeːnə fˈɔɹt
alex høgh andersen	ælˢɛks høˀ ɑnɛˀr̥sən
alex mørch	əlˈɪk nˈɑk
alex riel	ɛlˈɛkseˈ ʁiːlˈ
alexander	pˌeˈlɛksˈɑndo
alexander scholz	æliksˈɑndər ʃˈʌls
alexandra	elekznto
alexis	ɛlɛksis
alf	ˈɛlf
alf ross	ɛlf ɾɒʃ
alfabet	alfapˈitˈ
alfabetet	ælfɛpeːlt
alfabethuset	ælfɑˀb̥θuˀðˢe
alfabetisk	ælfɑˀb̥iːlˀiːs̺k
alfastråling	ælˀfˈeːˀstˢoˀlˀɛŋ
alfen	ˈɛlfən
alfer	elfˈo
alfred	ælfɑːl
alfred den store	ælʁɒd̥en ˈstˢoːɑ
alfrida	ɛlfɾɛjða
algade	ælgeð̞
algebra	ɛlkipˈˈa
algeriet	ælʃeʁiːl
algoritme	ɛlʒˈʁɔ̃tm
alibi	alipi
alibier	elsbjɾ
alibierne	ælˈpiːˈøvn
alibiet	ˈælˌiːtˌiːv
alice	alis
alicia	elˈiʃia
alina	æ̹lʲiːnæ
aline	æ̹lˈɪnˌɛ
alk	lk
alkalimetal	lkʰliːmɪtæv
alken enge	ælken ɪŋɛ
alkohol	ˈælkohol
alkoholer	ɛlˈkɔː˧ul˨a
alkoholiker	ælkaholigɒ
alkoholisk	alkohol̥iːsg
alkoholmisbruger	ælkuhɑlmispɔɑ
alkymi	ɛtkymi
alkymist	alkymˈist
allan	æ̹læn
allan hyde	ælːɑːn hˈyðə
allan simonsen	ælæn simˈɔnzæˈn
alle	ɛl
alle andre	ælˈɑ ænˈtɾˈɑ
alle folkene	ˈelefoiːgn
alle mennesker	ælˀə mˈɛnskɌ
alle officererne	ælˀɑ̈ ˈɔfˀiːsəːˌeːrnɛ
alle rutefly er aflyst på grund af strejke.	allə ɐ̯g̊ad̥ɛjæ æɐwˀˀ ɑːwl̥iːˀs pʰɔ̽ g̊rʌnð̩ æɐˀ strəgˀɛ
alle sammen	lsam
alle sengeklæderne	ælˀ iˀ sˈɛŋiˀ glˀiːðarnə
alle sengeklæderne var rene og hvide.	ælʁ̥ sæŋˀg̊ẽːˀg̊lˀɑ̈ˀnɑ̈ ʋɑ̈ˀ ˈʁeːnə ɒw ʋið˥
alle steder	ælʁ steˀðˢe
alle tiders	ælʁ tˢiðɑ̈s
alle turisterne kom til danmark, for at se den lille havfrue.	ælˌlə tˌuːrɪstɛɐnə kˈɔm tˈiː dˈɛnmak fˈɔɐ seːdən lˈɪlə hauːfruː
alle vegne	ˈɛl vˈaɪn
alle vegne ud og ind glimrer edderkoppespind	ælˀɑ̈ vɛg̊nə ʌð̩ eʁˀɛː g̊lɪmˀʁ̥ə eð̩ˀɐ̯ e̝ˀɐ̯ kʰɒb̥spiˀˀn
allegori	ɛlˈɛgaˈi
allegorisk	ælʁgʌɐ̯sg
allehånde	jlhoŋ
allel	ɛlɪl
allerbedste	ɛlapɛstɛ
allerede	lɪqq
allergi	ɛlaki
allergifremkaldende	ælˈɛgifʁˈaːmkˈælˈlˈɛnˈə
allergisk	ælæˀːg̊isg̊
allerhelst	ælˀɑ̈hɛlˀsd̥
allermest	ælˈɑmɛst
allerød	æ̝ːlːəʁɒːˀ
allesammen	lasam
alletiders	ælˈeːtˌiðərˌs
allevegne	ælˈɛvˈajne
alliancesyltetøj	æliæ�nsɔˀsʌmˀb̥itˢal
allianna	ælʲijænæ
alliere	æl̪iː
alligator	æ̹lːigˢeːsæ
alligevel	æˈliːvɛl
allike	ɛ̀tlikːø
allinge	æ̹lˈɪn
allofon	dˈiːslfˈˈɔlˈ
allure	ɛllˈœ̃
allé	ɛlːæ
alma	ɛlme
alma hinding	ɛrmæhʲiŋ
almanak	almenak
almen	lmiːn
almene boligbyggeri	ælmenə bˈoːalˀbˈyːgˈeːˀʁi
alment	ælˈmɪnt
almindelig	alminli
almindelige	elmˈɛnəli
almindelige mennesker	ælmɛnˀliˀ eːˀ mẽnsg̊ɐ
almindelighed	ælmiːniːn
almindeligt	ɛlmˈɛ̃ləlˈif
almindeligvis	ˈælmɪntlɪbiːf
almisse	ɛlmˈiz
almue	lmu
alpehue	ælpeːɦuː
alper	ˈalfɑ
alperne	alpɔnɨ
alpeviol	ˈɛlpevjˈoːl
alpeviolen	ælb̥eːvjoːlˀn
alpevioler	alˀpəvjoːlɒ
alpeviolerne	ælbvjˈːɔlɛɾnə
alpin	ælˈpiːm
alright	ɔːlɹˈaɪt
alrum	ɛlˈʁum
alrummet	lɣˈomˈɯl
alrø	ɛlʁˈy
als	ˈɛælʌs
als [danish island]	als
alsidig	ælsiðˀni
alsidighed	əlsʉɢʰɯ
alsing	elsˈe
alskens	ətskns
alt	lt̪
alt eller intet	als øɾ lˈeːbən ˈɛndət
alt for	altˈ
alt godt fra havet	alt g̊ɒtˢ fʁɑ hæˀːðə
alt i alt	ɛltʲ iːɛlt
alt i orden	altæ ɔɐ̯ˀn
alt imens	alt ɛjmænˀs
alt som os fordum spåde profetens trøsteord.	altˢsʌmɐ̯s b̥ɔðˀu b̥oðˀd̥ pʰɔm̩ eːˀn
alt tydede på, hjemmeholdet ville vinde.	ɑld̥ tˢið̩ pʰɔˀ jemˢəhʌlˀɛ v̩lˀ vˈɛnˀən
altan	ltˈeɪm
alter	ˈɛlˌtɑː
alter ego	elsa jnˈɪkːu
alternativ	ltˢeʁ̥natiʋˀ
alternative	eltseãmbaltsiwɛ
alternativer	ɛltˢeʁ̥nˀat̪iʋɐ̆
alternativet	altɛrnitiu
altid	altˢøð̞
alting	ltæŋeˈndɑgltæŋ
alting har en ende. en hvalfisk har kun én.	ɑltˢiŋ hɑˀ eːˀn̩ eːˀn̩fæˀld̥siːˀg̊ hɑˀ e̝ˀn̩
altsammen	etam
altså	etsa
aluminia	ælʊmɪniːɑ
aluminium	aluminiom
alumne	alˈumni
alveol	ɛlvˀiˀɔˀl
alveolær	ælˈveːˈʊlˌeːɑː
alverden	ɛlˈvˈaɾtˌn
alvin	ɛlven
alvor	lbɔː
alvoren	ɛlˈvɜʊm
alvorlig	altvɒːliːg
alvorlige	ælvoːli
alvorligere	ælboːlæɾ
alvorligst	ælˀbɒˀˀˀlˀist
alvorligt	ælʁoːlˈiːt
amager	ɑmɑ
amager strand	ɑmɑ ɑstʁɑn
amagerbro	amao
amagerbrogade	amabrʁog̊eð
amagergade	ɔːmaːke˧˧
amagerkaner	ɑmɑkʰɛjnɑfɑŋ
amagerkansk	ˈæmˈaʊtkeɪs
amagerkiks	amakiks
amagertorv	amato
amalie ihle alstrup	æmæljø ilde ɑːl̥sdʁuβ̥
amalie kønigsfeldt	ɛmæljˀʌ kʉnʁiˀs fˀeltˀ
amalie skram	æmˀɛ̀ːljes kʰram
amaliehaven	ɛmelɪrhɛvɛn
amalienborg	mi
amalienborg slot	ɛmɛˀ lɛn̩ bɔˀ sloðˀ
amanda	amɛndɛ
amatør	ʌmˀɑ̈tøː
amatørfotografer	ʔɑmɑtʃuʔaaqaqwa
amazonas	amasoːnes
ambassade	laβ̞assel
ambidekstral	amβ̞ið̞ekst̪ɾal
ambiguitet	mambikoitʃeɪt
ambitiøs	æˈmˈpˈɛstjˈus
ambitiøse	ambisjˈuʃ
ambivalent	æmbjɾlɪnt
ambrosius stub	ambrusioz stˈup
ambulance	ambulˈanθ
ambulancen	tɑmbulɑn
ambulant	ampolent̪
ambulatorisk	ampulətsoːɛsk
ambulatorium	ampuletʃoɛjom
amelia	ˈmiːlɪə
amelie	æmˈmæliːlɪe
amen	amn
americium	ameriːsˌiːʊm
amerika	ameriːkɑ
amerikaner	æmjkejtnæ
amerikanere	ɔːmɪkɛnɔː
amerikanerinde	ɔ̙mɚajɛnɑhima
amerikanisere	ɑməkɪ̞nɪ̞sɪ̞t
amerikansk	ˈɑːmiːkˈænt
amerikansk samoa	əm ɪkˈænt fɚ ðˈɛɹ mˈɔɹ
amerikanske	ajmajkei̯nske
amerikas forenede stater	ɑmˀɛæˀːk̚ˀɑ̈s b̥ʁ̥iˀənəs d̥æˀnɑ̈
ametyst	tɑˈnˈatˈsˈiɛs
amfibrak	amfˈaɪbrˈak
aminosyrer	ɛɐ̯mˈiːnˌuːsˈyːø
amleth	æmlət
amme	am
ammoniak	aːmˌɔnˈjak
ammoniumfosfat	æˈmˈoːnɪumfˈɑːstveɪt
amnestere	amnestia
amnesti	amɛ̃sʁul
amok	æmmˈɑk
amontillado	ãĩ̯maʊ̯ntsjlato
amourøs	ɑ̃ɔʁˈɔs
ampere	ˈæmpˌɛɹ
ampul	ɛtpˈul
amputere	anpɔtɛ
amsterdam	amsadam
amt	amt
amter	amta
amulet	amulˈeˈt
amuletten	amulˈɛtən
amøbe	ʁɛmˌ
anabolisme	ɛnapulˈizmɛ
anakronistisk	ɛlʁˈˈɑ̃lˈɛztˈʃuk
analog	ælːælˌoː
analogik	ˈanaloːgik
analogisk	anɑlˀo̝isg̊
analyse	anəlyse
analyser	ˈanaliːsɛ
analysere	ˈanalyseːˀ
analysér	ənˈeːlˈysˈəɾ
analytik	ˌanaliːˈiːk
analytisk	anahlytˢisg̊
ananas	ænˈɛnes
anapæst	ænpʰeʃt
anapæstisk	ænɑpˢeˀsd̥iːsg̊
anarkisk	ænɑːkisk
anarkistisk	enaːkistˈiʃk
anastasia	anistˈeɪʃə
anatema	ɛnːətʃiːmɛ
anatolien	anætˢˢu
anatomi	enˈatʃuˈmi
anbefale	npʏfæjlɪ
anbefalede	əmpɛfˈeːlɨdʒɯ
anbefaler	ˈɛnbəfˈɛlɜ
anbefales	ænb̥efeˀælj's
anbefalet	æˀnbəfɑˀld̥e
anbefaling	nbfɛjløːn
anbragt	œ̃npɾˈakt
anbragte	ɛtpɾˈaktə
anbring	anplˈin
anbringe	ˈɛnbrˌiː
and	n
andagtstid	aɪndaːksɯ
andalusien	antəlˈuʃən
andalusisk	ænˀd̥æluˀsɪsk
andebakke	anɛbaːgɛ
andel	ntɪl
andelen	lad̪iɾ
andelsbevægelse	antˢeˀlsb̥ɛvælˀsə
andelsbolig	entilspolj
andelslandsbyen nyvang	ɛnˀd̥eːlˀs lˈænsbyˀ yn yvˢˢɑŋg̊
andelsmejeri	entrj�si˥˩sma˥˩ɾj
andemad	ənɪ̞məl
anden	n
anden juledag	ˈɛn jˈulə d̥eː
andens	ˈætənz
anderledes	analɛs
anders	anas
anders and	anas tʃãn
anders brødsgaard	anzpletsʃo
anders fogh rasmussen	ænɚs fʌrɔˀ qaʃl̥ɛ̀ːn
anders hejlsberg	anːaːs hajl spiːn
anders holch povlsen	ɑnˀɛɐ̯s hʌlg̊ pʌɔl̥sən
anders lie	ɛnɔsli
anders morgenthaler	anəs mˈoːgəntˌalɜ
anders poulsen	ˈɑnəz pˈɔlsoʊn
anders primdahl vistisen	ˈɑnəs b̥ʁiˀmd̥æˀld̥ ʋ̊istˢi sɛnˀ
anders refn	aɛs ɾˈɑːn
anders riel müller	annæs ɾiːl miːlˀlɑ
anders ruhwald	ɑˀnɑˀs ɐwˀbɑˀld
anders sandøe ørsted	annə sænˈy ˈɛɹstid̥
anders sunesen	ænɛs sʊnɛsən
anders thomas jensen	anəs tˈɔmɜs jˈɪnzən
anders trentemøller	anˈna ʃtˈraːn dˈə mˈʏlɜ
anders w. berthelsen	ən ˈɔst ˈaʊt ɹˈilət batɪsən
anders walter	anos vˈeɾda
anders zachariassen	anos sakˈa ɾiːɾˈsˈn
andersdatter	anastɛda
andersen	anɔsɛn
andersine	alasˌi
andersson	ãn̪d̪oson
andesteg	ənˀestˢaːj
andestege	ænˈɛzdagˈɛ
andestegen	ænɪsdeɪn
andestegene	aˈnɪsdajnɛ
andet	ænd̪e
andkær	en
andorra	ˈɛndˈuːˌa
andre	fɛn
andrea	ɑ̃npɾˈeːə
andreas	ẽnbɾees
andreas bjelland	ɛndɾˈeːɐ spiːəlˌeːn
andreas bube	ɛndre̞jɑs bubɛ
andreas christensen	ɑːndˈɾˈeːɑː kɾɛstˈɛnʃən
andreas cornelius	ˈɛndrejˌæs kˈar niː ˈɛɔːs
andreas enevold mogensen	ɛndɾˈɛs ɪnvˈɑːl mˈoːnzən
andreas helgstrand	and̥ʁeːæˀs hælˀsd̥raˀnˀ
andreas maxsø	andˢʁeːˀæs mˀɑ̈g̊søːˀ
andresen	entrolejnɛ
andrew hjulsager	ænd̥ɾʊ jˈulsejˀɐ̯
andrik	jˈulˈaɪk
androgyn	tˈɛ̃tʁokˈy
andromedagalaksen	aɪnpɾˈoːmˈɪtɜgalˈaxzən
andægtig	ˈɛnttɛktˈɪ
andægtig - andægtigt - andægtige	nˈdəkdi nˈdɛstˈɛd nˈdɛk diːɹ
ane	en
ane - anede - anet	ænæ ɛð̞ænø ɑenø
ane marie	ɛt tə mˈaːˈʁi
ane trolle	ɛ ɛnə tʁɔlə
anekdote	ælæktˈoːrə
anelse	æjnølseæjnølseæjnølse
anemone	ænɛmˈɔnˈɛ
aner	ˈeno
anerkende	ænɛːkɛnɛ
anerkendelse	ænɑkʰenɪdʒɯzsʏn
anerkendelsen	annɛrkæn˩˥æl˧sɛn˧
anerkendende	ɛɾnɑːkɛvnæ
anerkender	ajnɑkɛnɑ
anerkendt	ənɑkɛn
anerkjendt	nkjˈum
anetavle	netˈɑul
anette	æˈnɪːtɪd
anette støvelbæk	anˀed̥əs d̥ɵlˀ b̥ɛk
anfald	ˈɛnfˌɛl
anfægtelse	ænfɛktɔd̪ɐlˈsø
anfører	ɛntfˈʏɾ
anførselstegn	ˈɛnfˈɚstɪttaɪm
angav	enk
angel	ˌaŋɪ
angel (slesvig)	ɑŋɯl
angela	ɒnˈvuˈsɒlɒm
angelica	aŋgejˈneːkˌɑ
angelika	angɛjlika
angelina	aŋseˈline
angeline	aa
angelo bruun	ankə lopɹo
angelsaksere	amulisaksa
anger	ano
angeren	aŋoɱ
angerfuld	ægnɑfʊl
angik	enkˌikˌ
angive	ænkiðe
angiveligt	engˈiːplid
angivelse	anɣ̞ilse
angiver	aɛnʄo
angivet	ænʲtɪl
anglere	amɾo
angola	annˈgˈuːlə
angre	tʰiː˧
angre - angrede - angret	ɒŋgɒ ɒŋgɒdi ɒŋgɒl
angreb	kɾˈɛp
angreb er det bedste forsvar	angˀg̊ʁəb̥ ɑɐ̯ d̥eˀ b̥ɛstə fʌʁˀsʋaːˀɐ̯
angreben	ɛntgˈrˈeːbən
angrebet	əːnkaːˈjiːtu
angrebne	ælkrætne
angrib!	nˈgˈɾˈ
angribe	ɑ̃gɾˈiːbə
angriber	ænkɪ̞bɑ
angst	ˈaŋst
angsten	ˈaŋstən
angstskrig	ankstskɾiː
angå	ˈɛnkoʊ
angående	enkoːnˈ
angået	æˀng̊oːˀð̩
angår	tɛn˨˦pʰuː˧
anholde	nˈhɔl
anholde om nogens hånd	jænbɑːr ɑːmnˈuːn sɑːnˈniː
anholdt	nˌhɔlt
anholt	ˈɛnhˌɔlt
anhydrid	æn̪d̥hʏ̀d̥rɯ̞
anhængertræk	ˈɛnhˈɛŋərtrˈæk
anika	ænɪkæ
anilin	ɛnlˈiːn
animation	animasjˈɔ̃
animisme	æniːsmɪ
animistisk - animistiske	enimistˈisk enimistˈisk
anine	æniːn
anita	ãn̪nit̪sæ
anita madsen	æn iː tæm mæsæn
anja	tˈɛmjˈe
anja ringgren lovén	ˈɛɲɜ rˈɛŋkrˌeː ˈɛn lʏvˈeːn
anke	anke
anke pasold	anke pʰeˈsɔl
ankel	a
ankelen	ãn̪klɛn
anker	ˈanka
anker jørgensen	æŋgˈɑː jˈɔɾnʃən
ankeret	ankauːlˌ
ankerstjerne	ankastja
ankestyrelsen	angəztˈɪɐltən
anklage	tslˈe
anklager	ˈænplˈeɪɜ
anklageren	ænklæjˈeɾn
anklaget	ˈænkləd
ankom	ənkom
ankomme	ankemmæ
ankommer	enkˈɔmɚ
ankommet	ɛnkɔvn
ankomst	ankopst
ankomsten	ænkɔːnˈsnət
ankre	anɣ̞a
anlagde	ɛnlɛ
anlagt	eːnlˈak
anlagte	ənˀlɑːtˢd
anledning	la
anledninger	ʔan˧˧dʑ˨ˀ˩nʲ˩˦a˧˧
anliggende	jɛnliːgni
anlæg	ʔɛmlɛk
anlægge	ənlˈeːg
anlægget	ˈænlˈeːgəl
anløbsbro	ənlˈøːpsbɹˈoːn
anmassende	enmɛsene
anmelde	nmɛ
anmelde - anmeldte - anmeldt	ænmælˈæ ɑnmeld̥ ænmeld̥
anmeldelse	enmɛlfi
anmeldelser	ænmɛd̥elsɒˀ
anmeldelserne	ænˀmɛd̥elsɒnə
anmelder	ænmɛlˀɑ
anmelderne	dʒoŋmeŋˈlɑnˈni
anmeldte	ænmɛjlsøm
anmode	ænmu
anmode om pleje, behandling og omsorg	ˈæn wʊd əmplˈaɪ bɪhˈændəlɪŋ əm sˈoʊ
anmodede	ænmˀuð
anmodning	enmuːlinˈ
anmodninger	ænmˀuðnægˀɛ
ann	n
ann petersen	ənd pˈeɪkɚsən
anna	n
anna ancher	enna ɑːnkɑː
anna fro vodder	nfoɾo
anna holm baumeister	anˀɛ hʌlm bˢʌmajstˢeːˀ
anna karina	aːnːˌɾˈisˈtˈɾiːne
anna louise stevnhøj	ɑnɑ lʌiˀse stˢeʋˀn hɒi
anna matilde	la netiːldi
anna mee allerslev	enem mi el a
anna-emilie møller	ænæ iː miːlːɪ mølˀløʁ
annalisa	eneliksa
annalistisk	analistˈisk
anne	m
