0	zɛru
interdisciplinaria	int̪eɾð̞iskiplenɾia
interface	ˌinteɾfˈase
interino	inteˈrino
interrupción	int̪eɾɾupkiõŋ
interruptor	int̪eɾɾpt̪oɾ
intersección	inteɾsɛkθi̯oŋ
interveniente	inteɾβ̞enjente
interésanme	interesanme
intestino	intestino
intransixente	intranseʃente
intre	intre
introdutor	intɾɔðwt̪ɔɾ
introdutorio	introðuktorio
invasión	inβasioŋ
invernal	ĩŋβ̞eɾnal
inverno	berna
invertebrados	imbeɾteðɾado
investigan	inβ̞est̪iɣ̞an
invicto	imbˈikto
inxección	insɛsioŋ
inxectar	essekt̪aɾ
inxerir	nʃɾ
inxustiza	iʃuʃtike
iodo	iɑldum
ir	dˈiːr
ir de barro a pontevedra pola estrada vella levoume unha hora	iɾ dɛ βaɾɾʊ a põŋt̪ɪ bˈeðɾa fɔ la estɾaða beʎa dɛ βɔŋ unha ɔɾɐ
ir indo	i ɾindɔ
iria aboi foi unha dirixente das mocidades nacionalistas	iɾi a bˈoj fʊj ʊn ˌeðiliʃˈɛnte dˈos ˌeksiðˈaðes nˌatsjonalˈista
irmandade	eɾmãn̪d̪ad̪e
irmandiños	jɾmãn̪d̪jn̪im
irmao	iɾmal
irmá	irma
irmán	iɾmaɲ
irmáns	iɾmãn̪s
irmás	ɪrˈmɑs
irmão	iɾmal
ironía	ljoɣ̞nia
irredento	iɾemtʊ
irrupción	jɾupθi̯oŋ
isaac	izak
iso	isʊ
iso non hai can que o roia	isʊ na aj kɑŋ ke ɔɾoja
iso non o creo nin farto de viño	is nonokrɛʊnj infartʊ dɛ viɲo
iso sonche aros para cribos	isʊ sɔntsiaɾos paɾakɾiβos
isolacionismo	isˌɔlˈakɪonˈismo
isquion	eskiõŋ
isto	istʊ
italiano	italjano
iterbio	it̪ɪɾbju
iverno	ˈiːvɛrno
javier fernández bicho	jaɾˈ feɾnˈandˈɛs pitʃˈo
jonny castro	ʝˈɔn kˈastɾʊ
jose ignacio peleteiro	xose iknatsiʊ peletejɾɔ
jota peleteiro	xot̪a peleta ið̞o
kiwi	kjwi
la	la
labirinto	labiɾintu
laboura	laβ̞owɾa
labrada	labɾað̞a
labrar	laβ̞ɾat̪
labrega	laβ̞ɾela
labrego	labɾeɣ̞o
lacazana	lakasˈana
lacazán	lakaθãn
lactante	aktante
ladino	lavˈino
ladislao	d̪eð̞jslao
ladra	laðra
ladroa	lað̞ɾoa
ladrón	laðron
lagachima	jˈutʃatˈsˈe
lagares	lagˈaɾes
lagarta	lagˈaɾta
lagarteiro	pagaɾt̪eiɾʊ
lagartixa	laɣ̞aɾt̪iɣ̞sa
lagartixas	laɣaɾtjsias
lagarto	laˈgˈaɾtˈ
lago	lago
lagoa	lagˈoːa
lagoela	lagoela
lagomorfos	lau̯amɾsos
laiar	lajaɾ
laio	lajo
laioso	lajɔsʊ
laiovento	laiobɛntɔ
lama	lama
lamaboa	lamˈˈaboa
lamalonga	danamalonga
lamas	lamas
lambona	lãmbona
lambón	lãn̪bõŋ
lamego	mvn
lameiro	lameiro
lamela	lamˈɛla
lamigueiro	lamiɣˈeiro
lamparte	landpartei
lamprea	nˈɪtˈɹɪɐ
lancarao	lankaɾao
lancará	lakaɾa
langrana	lngɾana
langrán	lagɾan
lapa	lapa
lapras	lavas
lar	la
laranja	laˈɾanʃa
laranxa	laɾanʃa
laranxeira	namʃejdɛ
lareira	larei̯ɾa
larinxite	laɾiŋxit̪e
larouco	ladouko
larouco é un concello da provincia de ourense, pertence á comarca de valdeorras.	la loˌɾɪuˈtʊ en koˌnsˈeʎaɾˈ la pɾoβˈinθja de ʊɾemse peɾtˈɛnθe a komˈaɾka de balˈdˌeosas
larpana	laɾpana
larpeirada	laɾpaiɾaða
larpeiro	lˈˌaɾlˈfˈeɲɔ
larpán	laɾt̪an
larín	laɾiŋ
larínxeo	lað̞ĩŋɕˌeo˨˩˦
las	ˈas
latino	latino
latitude	latitˈude
lava	nava
lavacolla	labakoʝa
lavadoiro	laβaðojʝo
lavaduiro	labað̞uʝo
lavanco	labãŋko
lavanda	labãn̪d̪a
lavandaría	labãn̪d̪aɾia
lavandeira	lamanˈdeɪda
laverca	labeɾka
laxe	laʃe
laxeiro	t̪eʃeɣ̞ɾo
laxes	laˈʃes
laxo	lakso
laúde	lau̯dʑi
lea	lˈɛːɑ
lealdade	lealdadɛ
leboreiro	lebolˈeiro
leboriz	leβ̞oɾjð̞
leborín	levoɾin
leborís	leboɾiz
lebre	neni
lebre de piornal	lɛbɾɛ dɛ piɔɾnal
lección	less̺ioŋ
lectivo	lektivo
lector	lɛkːtɔɾ
lector óptico	lektɔɾ ɔptikɔ
lectura	lɛkturɛ
ledicia	dˈɛɹɪtˈo
ledo	ɛðo
leilana	laiːlana
leilán	lej˨˩˦laŋ˨˩˦
leirado	lˌeiɾˈaðo
leiro	lˈeɪɾʊ
leirón careto	lejrɔm kaɾestu
leirón rabudo	ljɾon ɾeβ̞ut̪
leite	lejte
leiteiro	lejtejro
leituga	lejtuga
leixa-pren	lejɣ̞sapɾẽn̪
lembranza	lembranfa
lemos	lemos
lenda	lɪnna
lene	ljɛnj
lentille	lentidʒe
lentura	lẽn̪t̪uɾa
leoa	lʲæ̀ːoæ
leprosaría	lipɾɔsaɾia
ler	lɪn
lercha	leɾtsa
lerchana	lertsjana
lerchán	laɾtʃaŋ
leria	laja
lesión	lesjˈon
lesma	lesma
lestaio	lestajjo
leste	leste
letra	letra
letras	let̪ɾas
levaba unha zoca cheia de lama	ɾɛbaːda ˈunha sɔl ka tʃˈe iːɾɛ ðelama
lexicoloxía	lɛksikoloʃia
león	ljoŋ˨˩
liberdade	liβ̞eɾð̞að̞ɾe
libraría	ljβ̞ɾaɾia
librea	liβ̞ɾea
libro	livro
libérrimo	liberimʊ
licenza	likensa
liceo	ilteo
lictor	ljktor
ligazón	lˈjgaθˈan
lignito	lignito
lila	liːlˈlɑ
limiao	limiau
limideiro	klimiðeiɾ
limioso	limiosu
limiá	imˈia
limnoloxía	ljɣ̞noloʃia
limoeiro	imɔɛn
lindeiro	lindˌeiɾˈo
lingua	lingwa
lingua materna	lĩŋgwa mat̪eɾna
linguado	iŋgwaðu
linguaxe	ljnɣ̞uaʃe
linguaxe de consulta	linɣ̞uaʃe d̪e kʊnsulta
linguaxe fonte	linɣ̞ua se fõn̪t̪a
linguaxe máquina	liŋgwaʃe makina
linóleo	linnaurio
liorta	ljˈortˈa
lique	like
liquenoloxía	likenolokiam
liques	likes
lirio	leˈɾiju
liscar	liskaɾ
literatura	lit̪ɪɾat̪uɾa
litoloxía	litoloʃia
litosfera	ljt̪os̺feɾa
liviá	liβ̞ja
livián	libian
lixo	liʃo
liña	lˈiɲa
liñares	liɲaɾes
liñariños	linjaɾiɲos
liñaxe	linʲaʂɛ
liñeiro	linjejro
liño	linʲo
lla	ʝˈa
llama	dʒama
llas	ʝˈaʒ
lle	dʒe
llela	ʒela
llelas	ʝela̝s̠
llelo	dʒelo
llelos	dʒelos
lles	d̪e̞s
llo	ʝˈo
llos	ĩ
lo	lo
lobeira	lobeira
lobios	loβ̞ius
lobishome	lo˝ˀːbisɔmi
lobo	lobo
lodeiro	loðiɾo
lodoeiro	loðoɪɾo
logo que	loɣ̞o k
loiba	loiva
loira	lojɾa
loiro	lojro
lois	lojs
loita	lojta
loito	lojto
longarela	lõŋgaɾella
lontra	lontɾa
lonxe	lonʃe
lonxe de	lˈɔ̃ ʃedˈe
lorana	lɑrɛnæm
lorcho	lɔrtʃɔ
lordana	ɟɒrdˈana
lordán	lord̪ãn̪
lorna	loɾna
lorán	loɾan
los	los
losquear	loskeaɾ
loubana	lobanɛ
loubán	lɔu˨˩pan˥˥
loureda	laʊɾeða
louredo	loʊɾeðɔ
loureira	lobreiɾa
loureiro	loɾeiɾʊ
loureiros	loɣɾeirus
lourentín	lo˧˧gɛn˨˩tʰiŋ˥˩
lourenzo	loɾen
lourido	law
lourixe	la
louro	louɾo
lousa	luza
lousada	lausata
lousadela	luŋsadɪlɪ
lousado	toʊsado
louxa	lwˈsja
louxar	luʃa
louzá	lu˨˩˦san˩˥
louzán	lɔsan
luar	luaɾ
luar na lubre	luat na lumɾe
lubián	lwβ̞iãn̪
lucas pérez	luke espeɾe
lucecús	luˈɛsˈeˈkˈuʃ
lucense	lukentse
lucente	lʊsenti
lucir	losiɾ
ludeiro	loðeɪlˈo
ludeiros	pludajɾos
lugar de abaixo	luɣ̞aɾ d̪e β̞aiɣ̞so
lugar de arriba	luɣ̞aɾð̞j ariβ̞a
lugo	luɣʊ
luis fernández	tuː iːtʃ kɑɾɑːn diːɾ
luitar	ɫuitaɾ
lumbrigante	lˈɔbriˈgante
lume	lume
lumen	lˈumɪŋ
luns	lums
lura	lˈuːdə
lusco e fusco	uzkvajtɕu
luscofusco	luʃkofuzko
lusitano	lutsitˈano
lusofonía	lusafalia
luterano	lut̪eɾano
lutuoso	lutwosˈo
luva	nˈova
luvas	lobas
luxilde	luxli
lábil	laβ̞il
lácteo	lakt̪eo
léxico	lɛksiko
lóstrego	lɔsʲtɾeɣo
lúa	lua
lúa chea	luatela
m	m
ma	mˈa
macdhomhnuill	malkovnnuin
maceda	bˌasˈeða
maceda de trives	maθɛða dɛ tɾiβes
maceira	mɐsɨiɾɐ
machado	wat˦al
machucar	mat̪ʃukaɾ
maciñeira	masiɲejɾa
madeira	mað̞eira
madrasta	mað̞ɾast̪a
madrigal	mað̞ɾiɣ̞al
magma	maqmaq
magnesio	magnesjɔ
magnolia	maɣ̞nɾja
magnífico	maɣnifiko
mahometano	maʊmetano
maimiño	majmˈiljˈo
maio	majo
maior	majˈoɾ
maioría	majoɾia
mais	mais
mala herba	mala erba
malacoloxía	malakoloɣ̞sia
malamente	malamente
malandrina	malandrinɛ
malandrín	malandɾiŋ
malcomo	malkomɔ
malde	malde
maldicente	maldiθente
maldicir	maldiθˈiɾ
maledicente	maleisente
maleficio	malesfisjo
malferir	malfeɾiɾ
malfurado	malfuɾˈaðo
malia	malia
malicia	malikja
malo será	ma la seɾ
malquerenza	malgɾɛnθa
malsá	malsa
malsán	malsãn̪t̪
malva	malva
mamaloxía	mamaloɕia
mamífero	mamifeɾo
man	nao
manancial	ɣ̞anasial
manchea	mãn˧˥tsʰe˥˧ɑ˨
mandolina	mænˈdæˈline
mandín	manim
manga	maga
mangoeiro	mˌaŋgueɪɾʊ
mangosta	mãn̪t̪gõs̺t̪a
manifestacións	manifestasioŋs
manipulación	manjβ̞ʊl̪ɑθi̯oŋ
manoel	manwɛl
manteiga	mant̪eɣ̞a
mantenza	mant̪ɛnsa
manteo	manteu
manto	mantʊ
manuel	manwel
manuel blanco romasanta	manwel blˈanko ɾɾˌoma sˈanta
manuel rivas	manuels ɛ iβɑs
manufactura	manofat̪wɾa
manuscrito	manuskɾitʊ
manzaneda	manzanido
mar	maɾ
maragota	malagot̪a
maralloca	malasoka
marcelle	maɾsˈɛdʒe
marcelín	mɑɾsɛlɪŋ
marcón	maɾkˈon
marea	maɾˈeɐ
marela	aɾɛla
maremoto	maɾemoto
margaride	maɾɣaɾiðe
margarina	maɾɣ̞aɾina
mariano rajoy	tsdʒ
mariz	maɾif
mariña	mˌɐ̃ɾˈiɲˌa
mariñao	mˌɐɾiɲˈaʊ
mariñeiro	maɾiɲeɪro
mariñeiro que dorme, peixes non colle	maɾiɲajro ke dorme pejses nõŋ koʎe
mariño	maɾiɲːo
mariñá	mˌaɾiɲˈa
mariñán	mˌaɾiɲˈan
marmelo	marmelo
marmóreo	maɾmɔɾiʊ
marraxo	marasˈsˈo
marrucho	mau̯tʃo
marrá	mara
marrán	maran
marrón	maɾɾoɣ̞
marsupiais	malʃupiajs
martes	nenion
martiño	maɾtjnʊ
martín	maɾt̪in
maruca	maɾuka
maruxa	maɾˈuʃa
maruxiña	maɾwʃnʲa
marzo	maɾtʃus
marzá	maɾsˈa
marzán	maɾsãn
maría	maɾˈiɐ
marín	maɾˈin
mas	mais
mascato	malʃkatːˈo
masculina	maskuline
masculino	maskulino
masidao	maθið̞aõ
masidá	matsið̞ãn̪
matamá	matama
mateo	mateu
materia	matˈeɾja
materiais	mataɾiai
material xenético	mat̪eɾjal ʃint̪ikw
matinar	matːinˈaɾ
mato	matu
matutino	matutino
mausoleo	mau̯soleo
maxestade	mau̯sestad̪e
maxilar	maksilar
maxín	maɣ̞sĩŋ
mazaeda	malaːsˤaːeð̞a
mazaira	masaiɾa
mazarico	lapaɾˈi
mazá	mˈasə
mañá	manʝa
me	me
medelo	með̞elːo
media	mð̞ia
mediante	meðiãn̪t̪ɪ
medicina	með̞iθina
medida	melida
medio	mˈeðjo
medir	meðˈiɾ
mediterráneo	beðiteɾˈɾanjo
medo	með̞o
medrar	mʲiðra
meiga	bejˈgɑ
meigallo	meiːgadʒo
meira	mai̯ra
meirande	mejɪɾandɪ
meirao	meiɾaʊ
meirá	mejˈden
meixide	meside
meixonfrío	menʃaunfɾiʎo
meixón	mɪ˧˥tʃoŋ˨˩˦
mel	mɛ̃p
melgacho	melʒatʃo
melidao	meliðau
melide	meliðe
melidá	meɾiðan
melle	metj
mellor	majjoɾ
melodía	melovia
melopea	melobea
melómano	mɛlɔmano
membro	mɛmbro
membros	membrɔs
memorando	memorˈando
memoria	memorˈɪa
mencer	mɪ̞nθær
menciña	mɛnsiːɲa
menciño	menθiɲo
mencía	menθia
mende	mɛnˈde
meninxite	meniiʃite
meniña	meniɲa
meniño	meninɲˈo
menlle	mendʒe
menor	menˈoɾ
menos	menʊs
menos que	menos ke
menosprezo	menospɾestso
mensaxeiro	mensaʃeiro
mentir	mentiɾ
mentirana	mɛntiɾene
mentirán	mɛn̪t̪iɾan
mentres	mentres
mentres tanto	mentɾestanto
mera	meɾa
mercería	merseɾia
merda	mˈɛɾða
merelle	vɨrˈeɣi
mergullón	maɾgʊʎɔn
meridiano	meɾiðiˈano
merla	merla
merlo	merlʊ
merlán	mirlˈan
mesego	meseɣ̞o
mesma	mesmɛ
mesmamente	mesmamenti
mesmas	mezmez
mesmo	mesmu
mesmo que	mes mu ke
mesmos	mezmos
mesquiño	meskjɲʊ
mestra	mˈestɾa
mestre	mestˈe
metabolismo	mjtaβolismʊ
metais	metais
metamorfose	metamorfoʃɛ
meteoroloxía	meteoroloʃia
meteoros	metenos
metodoloxía	mtɔdɔʎʊʃia
metro	metro
metropolitano	met̪ɾopolit̪ano
metrópole	metropoli
metástase	met̪as̺t̪asej
meu	mew
meus	meus
mexacán	mˌɛsˈakˈaŋ
mexadeiro	mesað̞ɪro
mexar	mʃʃ
mexillón	maʃɪjʊ̞n
meán	mɛˈɑ̃
micción	miksiˈɔŋ
micoloxía	nikoloʃia
microbioloxía	nɪkɾɔβjɔlɔssia
micron	mjkɾõŋ
microscópico	mikroskɔpiko
microtoponimia	mitɾɛadɔpɔminʲa
mide	mile
midón	niduɔ̃
miguel anxo prado	ni ɣ̞ɛlãn̪ʃ ʃupra
miguelanxo	mjɣ̞uanʃa
mil	il
milagre	miðægɾæ
milenio	milanio
milhomes	milomis
milicia	milisja
miliciano	midisjano
milladoiro	miʎadoiɾo
millafre	migiafrim
millarada	miʝoɾað̞a
millares	miʝaɾes
milleirós	mjʝaiɾos
millo	mʝˈoɾ
millonésima	migionesma
millonésimo	mioˈnɛsimo
millán	mijˈeɪŋ
milésima	mjleʃima
milésimo	milesimo
milú	mˈɛlˈw
mimosa	ɛmɔsɐ
mimá	nˈenˈɑx
min	mig
minerais	mʲiːnɛɾaːjð
mineral	mˌineɾˈaɪz
mineraloxía	mineɾalʃial
minia	mˌinjˈa
minoritariamente	minaɾit̪aɾiamẽn̪t̪ɪ
miocardite	miokaɾðiti
mira	mˈeɪɾɑ
miraflores	miɾaflores
mirallos	miɾað̞joɾ
mirar	mijˈɾæf
mirón	miɾoŋ
mirós	miroʝ
misto	mɪʃta
misérrimo	misaɾimo
mitómano	nitomanu
miña	minja
miña ruliña	ɛ iɑɫɔjjɑ
miñas	mjˈnjes
miñato	miɲato
miñaxoia	miɲas̺oja
miño	lˈiɲo
miñoca	miɲoka
miñoto	bijoto
miúdo	mjˈuzʊ
miúdos	mˌiŋʊdˈuʒ
mnemonizar	ne̞mɒːniːsæɾ
mnemotécnica	nɛmɔtɛθnika
mnemónica	nˈɛmonika
mnemónico	nemoniko
mo	mˈo
moa	mˈuːɑː
moblaría	moβ̞laɾia
mocidade	aθiðadɪ
mocidade ben pasada, vellez longa e descansada	mõt̪ið̞a d̪e mẽn̪t̪ pãssað̞a β̞iet̪lonɣ̞a nes kansað̞a
mocidade ociosa, vellez traballosa	t̪e d̪el θjosa β̞ellẽt̪a β̞aʝosa
mocidade preguizosa, vellez traballosa	mʊsjðaðe pɾegiθosa βeʎɛs tɾaβaʎɔs̺ɐ
mocidade viciosa, vellez traballosa	mʊsidɑðe kaiθiʊsa βeʎɛs tɾabajʊs̺ɑs̺
modesto	mʊðestʊ
moeche	mɔetʃe
moeda	moˈɛdɑ
moi	mˈɔj
moimenta	mojmˈɛmda
moita	multa
moita xente da parroquia de caritel emigrou a lisboa	mˈoθes sˈɛntes dˈos paɾɾˈokjas de kaɾitˈel hˈemiɣɾo a ʎisβoa
moitas	muit̪ɪs
moito	migito
moitos	multos
moitos réptiles son verdes	noˌj tˈoðos los ɾɾepːtˈiles sˈon bˈeɾaðes
moldes	mwal̪d̪es
molecular	mˌolekulˈaɾ
moledo	muleðo
mollafariña	moʝafaɾjɲa
mollo	majo
molusco	mʊluskɔ
moluscos	moluskos
moléculas	moleːkulaːs
momentáneo	momentaneo
moncho reboiras	nɔntuɾ ɾemoi̯as
mondego	mundˈeɣo
mondelo	mõŋðelo
mondoñedo	mɔndoɲego
monelos	monelos
monforte	bonportes
monforte de lemos	nõŋ fɔɾtʊ dɛɾemos
monicreque	monikreke
montaña	mɔntɑɲa
monte	monte
monte pindo	montepinddo
montecalvo	montɛkɑɫvo
montecelo	monteselo
montecelos	monteθelos
montemaior	montemajoɾ
montemeao	mont̪emehao
monterrei	mɔntɛrɾaj
montouto	mˌontou̯tˈu
morango	moɾaŋgo
morcego de bigotes	mʊɾsego ðe migot̪ɪs
morcegos	mɔɾsego
morea	moɾea
moreda	moɾeð̞a
moredo	mʊɾedʊ
moreira	mʊnɛjɾɐ
morfeo	morfeʊ
morfina	mɔɾθɛn
morfinómano	mɔɾfinɔmanʊ
morfoloxía	moɾfolokja
morfoxénese	mɔrfʊʃˈenɛsjɛ
morgade	moɾɣ̞að̞es
morno	mornum
morquintián	morkiãn̪t̪iãn̪
morriña	moriɲːa
morsa	mˈɔrsa
mortaldade	moɾtatlatej
morte	mˈɔrte
mos	mʊ̃ʃ
mosqueiros	mʊskeiɾos
mosquiña	mʊ̃ʃkˈiɲa
mosteiro	mʊ̃ʃtejro
mosteirón	musteiɾon
mostra	mɔstɾ
motor	motoɾ
moucho	multu
moure	maʊ̯lɪ
mourelle	mʊɾeʎi
mourelos	mauɾelos
mourente	mouɾente
mourentán	mou̯˨˩lɐi̯˨˩taːŋ˨
mourigade	mowriɣaðe
mouriz	mou̯ɾiθ
mouro	mowro
moza	mˈɔsɑ
mozo	mˈosʊ
mudado o tempo, mudado o pensamento	muðaðʊ ke t̪empʊ muðaðʊ ʊ pɾensamɛn̪t̪ɾ
mudar	muːdæɾ
muito	mwˈiŋtʊ
muiñeira	mojnˈei
mula	mulɾa
mulir	mulˈiɾ
muller	mujer
mullerona	muːzjɛronɛ
multicelular	multiθelulaɾ
mundano	unð̞ãn̪o
mundín	mʊ̃ndiŋ
munguir	muːlˈniːr
muradella	mwɾað̞ella
muradá	mˈoɾˈadˈɾ
muradán	mwɾað̞ãn̪t̪
murchar	multʃaɾ
muros	mˈuɾes
muselina	musaliːne
museo	museo
musulmá	mulukma
musulmán	musulman
mutación	mutaθi̯oŋ
muto e mutio	muto emutio
mux	muʃ
muxica	muʃika
muxir	mʊˈʃiɾ
muxiá	moɕia
muxián	uʃjˈaŋ
muxo	upʊʂ
muxía	mˈuʃiɐ
muíño	mujiˈnʲu
muíños	bwnʝoɾ
máis	mais
máis fácil é falar que traballar .	mais fˈaθil de falˈaɾ kɾˈea tɾˌaβaʎˈaɾ
máis que	mais ke
médium	með̞iũn
mércores	mˈeɾkuɾes
méxico	mɛksikɔ
móbil	mɔbili
na	na
nacemento	nafɛmentɔm
nacente	nasente
nacenza	nasˈɛnθa
nación	afiˈom
nada	nˈaða
nadal	naˈða
nadela	nað̞ela
nai	nˈaɪ
nailon	najlon
nalgúns	nˈalɣˈuns
namentres	namentres
namorar	lamʊɾat
nande	nande
nandulfe	namd̪ulfe
naquel	nakel
naquela	akela
naquelas	nakelas
naqueles	nakelis
naqueloutro	nakelˈotro
naquilo	nakilo
narciso	aɾfisʊ
narcose	naɾkɔse
narón	naoŋ
nas	nas
natureza	natʊɾesa
navalla	nabaʎa
navallos	naβ̞að̞jos
neboeiro	nɛbɔiro
necidade	nesjðaðe
necio	neθio
necrópole	nekropoli
necton	nɛkdon
neda	nɪða
nefrite	nefrite
negocio	neɣ̞oθio
negra	nagra
negrelle	nejɾeɟi
negrón	neʁɾuŋ
negueira de muñiz	mɛgajða dɛ mɪnijɛ
neira	nejɾa
nel	nel
nela	nela
neles	neles
nembargante	membwaɾente
nena	nena
neno	neno
neodarwinismo	meu̯daɾβinismu
neon	lˈeɪoʊ
neptuno	neptˈunˈo
nercellas	neɾθella
nesa	nɛsa
nese	nɛse
neses	nɪsɪs
nesoutra	nesou̯tɾa
nespereira	nespeɾejɾa
nesta	nesta
nestas	nest̪es
neste	neste
nestes	nestis
neurite	euɾite
neurobioloxía	nˌeuɾˌoβjˌoloθˈia
neuroloxía	neu̯ɾoloɣ̞ia
neurose	neʊɾɔse
neve	bebe
newton	nˈewton
nexo	nˈɛkso
nicolao	nikolau
nicotina	nikɔtjne
nictalope	niktalope
nictalopía	niktalopia
nigueiroá	igɛ̀iɾoaː
nimo	nimo
nin	nen
nin marzo sen flores nin moza sen amores.	nomʃandʒo marso sen fliris en malsap granda oris
nin que	nin ke
ningunha	nˈɛn
ningunhas	njnxuŋas
ningures	niŋgores
ninguén	ŋi˥˧gæn˥˥
ningún	niːn˧˥kũ˥˥m
ningúns	niŋg̞uns
niso	nɪsɔ
nisto	nisto
nitroglicerina	nitrogliseɾine
no	ˈoɾa
no lugar de orro aínda nos coñecemos todos os veciños	no luɣˈaɾ de ˈoro aˈiŋda en kˌoɲeθˈemos tˈoðos los beθˈiɲos
nobilísimo	nˈobiðˈissimo
nobre	nˈoβɹi
noceda	nʊseða
nocello	nˈoseʝˈow
nocturno	nokt̪uɾnã
noctámbulo	noakmbulo
nodar	nˈoːvɑː
noemia	nˈoɾˈmiɾ
nogueira	numeɾoɣ̞ajɾe
nogueira de abaixo	nõɣ̞ejɾa ð̞aβ̞aiɣ̞sʊ
nogueira de arriba	no ð̞ejɾa d̪e riβ̞a
nogueiredo	nogeiɾeðʊ
nogueirido	nogeiɾiðɔ
nogueiró	nobejɾow
noia	nˈoja
noitarega	nojt̪aɾeɣ̞a
noite	nojte
nola	nola
nolas	nolas
nolo	nulo
nolos	nolos
nomear	nˈomeː
nomenclatura binomial	nomenklatura binomial
non	nˈoŋ
non asines o que non leas nin bebas o que non vexas.	nõŋ asĩn esʊ ke nõŋ leas nin beβas ʊ ke nõŋ bɛʃas
non ben	nõŋ β̞ẽn̪
non hai amigos a mortos e a idos	no gae amiɣʊs a moɾtʊ se a ims
non hai camiño tan claro que non teña barranco.	nõŋ ɐi kɐmˈiŋʊ dɐ̃ŋ klˈaɾʊ kɨ nˌɐ̃ʊ̃ teɪnˈa bˌɐɾˈɐ̃ŋkʊ
non obstante	la oztante
non sei se alí chegará	nõŋ seɾike elit̪θe ãmb aɾa
non xa	nʃæ
nonaxésimo	nonaʃesimo
nora	nora
noraboa	noɾabo
nordés	noɾð̞est̪
norma	noɾma
nos	nos
nosa	nɔsa
nosas	noses
noso	nosu
nosos	nosus
nosoutras	nosalt̪ɾes
nosoutros	nosotɾos
notario	notaɾio
notaría	not̪aɾja
noticia	notiθi̯a
notoriedade	not̪oɾjeð̞að̞e
noutra	nˈotɾa
noutras	numeɾoal̪t̪ɾes
noutrora	nautrɔɾa
noutros	notros
nova	noma
noval	noβ̞al
nove	nove
novecentas	noβ̞eskẽn̪t̪as
novecentos	nʊβesθɛntʊs
novelle	nobeʎe
novembro	novembro
novena	laβ̞ẽn̪a
noveno	nobeno
noventa	noβ̞ẽn̪t̪a
noventa e seis	noβ̞ɛnt̪a sˈeɪs
novidade	nobiðadɪ
novizo	noβiso
novo	nobo
noxo	nosjo
noz	d̪os
nugallá	nogaʝa
nugallán	luɣ̞ajan
nuite; luita	nujte luita
nume	nume
nun	nu
nunca	nunka
nunca tiven vacas	nunka t̪j β̞ẽn̪β̞akes
nuncio	nuntsio
nunha	nõŋa
nunhas	numas
nuns	nˈuz
nupcial	nupθi̯al
nupcias	nupkies
nutriente	nutɾente
néboa	nabɔ
néctar	nɛkta
nónupla	nonupla
nónuplo	nonuplo
nós	nos
núbil	nˈɔbɪl
núcleo	nukleo
o	ɔ
o boi vello de seu leva o rego	ˈo bˈo i be ðˈɛseʊ le bˈo ɾeɣʊ
o brasil	ʊ bɾasil
o carballiño	o kaɾβaðʝjnʝo
o dente e o amigo sufrilo coa súa dor e co seu vicio	ʊ dɛnte ʊ amiɣʊs sʊfɾjɛ loko a s̺uɐ doɾ ɛ kʊ sew βisioʊ
o freixo	ofɾeiʃu
o grove	poːgɾoːve
o igrexario	o iħɾesjaɾˈio
o morto e o ausente non son xente	o mˈoɾto ew a uβsˈɛnte nˈo sˈon ɕˈɛnte
o novo agrada e o vello enfada	ʊ nʊbɔ aɣɾadɐ e ʊ bɛʎʊ emfadɐ
o oural	oawɾal
o outeiral	ow dejral
o outeiriño	ow tejɾiŋw
o outeiro	owtejɾʊ
o outón	ltum
o primeiro millo é para os paxaros.	ʊ pɾimjeɾʊ milʊ ɛ pɐɾɐ os paʃaɾɔs
o que a feo ama, fermoso lle parece	ʊ ke ɑfeʊ ɑwɑ fɛ mʊsʊ ljɛ paɾese
o que de mozo non traballa, de vello dorme na palla	os ke d̪emɔsʎnˈ ˈont̪ɾa baʎa d̪e beʎo t̪oɾmɛ na paʎˈa
o que me engana unha vez, que o leve o demo; se me engana dúas, que nos leve aos dous; se me engana tres, que me leve a min só.	ʊ ke menɣanɐ unha βɛs ke ʊ leβe ðemɔs e menɣana ðuas ke nʊs leβɔs dɔs e menɣana tɾes ke me leβe a minθɔɾ
o que non se aventura non pasa o mar	ʊ ke nõŋ ʃaðentuɾa no pasou maɾ
o que non ten remedio xa está remediado	o ke nõŋ ten rimedjʊ ʃa esta ɾemeðiado
o que é moda non incomoda	ʊ ke e mɔða nõŋ ĩŋkɔmɔða
o quinteiro	a kintejɾo
o rato vello non cae na rateira	os ɾatʊ beʎɔ nõŋ kɑe na ɾateiɾa
o riós	ɾios
o rosal	os ɾosal
o seu libro é o alicerce do nacionalismo.	ʊ sew librʊ e ʊ a li seɾse do naθjõŋaljsmʊ
o uso novo enterra o vello	aowusʊ la bõn̪t̪eɾ aʊ beʝo
o vao	oβ̞al
o vello mente ben na súa terra, o mozo na allea mente que rabea	ɛɾɛɑj ɛɾɛᵑgɛɾɛ mɑsrimɑs ɛɾeɓɛ mnɔto nɑɑʄɛɑ ziniɛnu titikipata
o vello na súa terra e o mozo na allea menten á súa maneira	ʊ beʎɔ na s̺uɐ terɾa e ʊmɔsʊ na aʎea mentɪ en a s̺uɐ maneiɾa
o voo	ogo
o xardín	os aɾð̞ĩŋ
o xestal	o ʃest̪aɾl
o xuncal	oɕʊ̃kal
obcecar	obsekaɾ
obediencia	ɔβeðientsia
