't	tʰtʰtʰtʰ
armöötsch	aʁmˈœs
arven	aɾvæn
arven un nich starven	aɾvˈeːn ɪn ɪk stɑːvən
arvschop	aɢʃop
arzbisdom	atspistoʊ
arzbisdom bremen	ats bɪstɔ m brim
as he opsteiht, seggt he: hett nich weeh doon	wˈi tˈɪ mˈavˈɑlˈtˈɛvˈɑ
asch	aʃ
aschbeker	aʃpˈɛkɜ
aschenpüüstersch	aʃeːnpˈystəʃ
aschenpüüstersche	asənpʏztɛʃe
ascher	asˌa
asen	ɑːzəm
asiaatsch	azidʒaɾz
asig	ɑːzɑːh
askanien	æzkæɾnæjˈæn
askanier	askonˈjɒ
ass	s
astgavel	astgˈɑvəl
astroloog	astroloːk
astronoom	ɑstɾənˈom
aten	aɾtæn
attack	atˈak
augst	aʊkst
august	au̯gost
auk	au
aukschonater	aːʊˈʃaːlnɔɾdɑː
aukschonatersch	awʃoŋnadoʃ
aukschonen	tˈɪʃʃˈɔ̃
aukschoon	aʊxʃaɔn
aust	aʊst
austen	aʊsʊtˌan
austmaand	æˈʊstmɑːrt
austrasien	aʊstɾɑːzjɛn
auto	aɫ
autofohrer	au̯rofort̪a
aven	ɔɦvæm
avend	ɑːvənt
avendbroot	afnbɾoːt
avendeten	ælˈfæntæjtæn
avendköst	ˈaɾvənkˌʊɐst
avendmahl	ɑːvˈɛntmˌɑːl
avends	aɾvenz
aventüür	ɑːvˈɛntˈyːr
aventüürsch	aʋəntˌaɪz
aver	aɣ
averbasig	ɑːvɑbɑːzæx
avergloven	abɑːglˈɛvən
averglöövsch	aːvaːklœʃ
avkaat	afkaɾd
awas	ɑːvˈæs
baad	bɑːt
baadantog	tɔæntˈɔɹ
baadantöög	bˈɑːrtˈantɾˌɪç
baadbüx	bˈɔtbˌʊks
baadfro	moɾt̪fɾɔm
baadfroons	pˈɑɹtfɹˈoʊnz
baadmantel	bɑːtməntəl
baadstuuv	bɔrtʃtʊv
baadtüüg	boːɾtʏk
baadwann	po˥˩t˥vǎn˨˩
baak	bɑːk
baalje	paˈljˈˈa
baanke	tɑŋkɑ
baantje	baːntʃə
baas	bɑːs
babbelee	baˈbɛləˈ
babbelie	babali
babbelwater	vˌɑːbəlvˈoːdɜ
back	tˈak
backaaft	bˈakˈɔft
backaavt	bˈækɔft
backaven	batal
backbeer	t̪akpiã
backbeermus	pˈakpˈɛlmuːs
backbeern	takpjãːm
backbeernkraam	takpjankrom
backboord	tˈakpˈɔɾt
backelee	lakelej
backels	bˈakəls
backeltrog	pakɛltˌrauh
backeltröög	bˈakəltɔøç
backen	tɑjpɯ
backer	daka
backers	akas
backhuus	akuz
backpluum	laplum
backs	taks
backsbeer	akespia
backsbeern	baːkspˈiən
backsen	tˈakʃlˈa
backstuuv	taksduːv
backtrog	akːtrauːx
backtröög	ãːkɛɾlˈaɾ
backwark	akvak
backwoor	akvɔɾ
bad öinusen	batˈaːt ˈɛj dəvˈɑsən
baden	pɔɾn
baff	pafˈ
bagaasch	lakaˈɑs
bagaluten	laˈgˈɑlˈʊtˈn
bagen	bˈɑːɾdən
bagger	paga
bahl	bɔːl
bahn	pɒn
bahnfohrer	bonfor
bahnhoff	bˈɔɹnhoff
bahnhoffsplatz	bˈaʊnhoːfˌsplˌats
bahnstieg	fɑːnstˈiː
bahnstreek	boːnztˈrɛk
bahnövergang	pɔːnɔːvɛɾkɑːŋ
bahr	pou˥
baken	pɑkɯm
balanserung	baɾlˈanˈsɪɾʊŋ
balbeer	balbeja
balbeersch	balbeːrs
balberer	balbera
balberersch	balbeɾas
balbutsch	balpˌʊtʃ
bald	bˈalt
balg	balˈɪç
balgen	bˈaɪvən
balk	bˈaɪk
balken	takɛn
balkenduuster	balkumd̪us̺t̪a
balkendüüster	balbʃdʏstɛr
ball	tɑːl
ballastschüffeln	bˈalastˈɛʃɪfˌlˌn
ballen	tain
baller	pala
balleree	bælˈɾˈɑj
ballerie	bælɾiːt
balsameern	balzɑːmɛɾn
balsameren	balzˈɑmˈɛɾn
balstürig	baltsdʏrɪç
balstüürsch	vˈɑːlstˈʏɾʃ
bammel	tɑ̃ɛl
bammeln	tamɛ
banaan	banan
banan	panon
band	pant̪
bang	tɑŋ
bang maken	dang mou̯kẽn
bang sien	β̞ãn̪ɣ̞sĩŋ
bang sin	β̞ãŋ
bang wesen	t̪ãn̪t̪ β̞ejsẽn̪
bangbüx	balks
bangbüxig	balʃa
bange	tagɛ
bangebüx	pameβ̞œks
bangen	β̞ãŋẽn
bangerhaftig	bˈaŋɜhˌaftɪç
banghaftig	bˈaŋhaftəl
bangmaken	tãŋgməwl̪t̪ɔn̪
bangoors	tɑŋuˈas
bank	pank
bankenmalör	bˈaŋkənmˌɑlˈøːɜ
banköverfall	dˈaŋkœlˈfˌɜfˈall
bann	pãn
bannen	panan
bannich	bənˈɪç
bannig	panik
baoven	tauvɐm
barbeent	bˈælbeɪnt
barbeer	tape̞a
barbeersch	papeɾs
barboorsch	papuas
barbutsch	papuk
barbutz	tapots
barfoot	tˈafˈɔːt
barft	paf
barg	tˈaɪs
bargdaal	bæʃtɑːl
bargen	lˈɑːgən
bargkatt	aɾçkˈat
bark	ak
barkenboom	pˈakbˈom
barkenbööm	akɛnbøːn
barkenduuster	baːkɪnðuːstˈɑː
barkendüüster	bʃˈa
barkhahn	bˌækˌeɪŋ
barkhähn	bˈækhˈæi
barm	pam
barmen	pɑːm
barmhartig	baɾmhˈaɾtˈɪç
barometer	poɾomei̯da
barskamp	bɑːskɒmp
barsten	bastɛn
basch	pˈaʃ
basen	bɑːzɑːm
basig	mɑːzæx
bass	paz
bassen	tɑːsən
bast	bæst
basten	bˈasən
batzen	bˈatsən
baukoppen	baʊkˈoːpən
baven	po˥˩ːlven
bavenan	baːvənan
bavenhen	baləmhən
bavenwater	voːrˌvumvˈoːɾˌɑ
beamt	bəˈamt
beasen	beːˈɑzəm
bedachtsaam	bədˈaxtzɔm
bedachtsam	beːtˈaxtzɔm
bedanken	bədˈankən
bedaren	beˈtɑːvən
beddelee	bɾelej
beddelie	peɾeli
beddeln	beˈɾə
bedecken	et̪eɣ̞õŋ
bedelbroder	beːtˈɛlpˈoːdə
bedelbröder	pˈɛtəlbˈrˈœːtɜ
bedelee	beɾle
bedeln	bejɾan
beden	bˈeɪən
bedenen	bideːn
bedenken	beˈtˈɛnkən
bedeppert	bitˈtepˈeɾd
bedibbern	bit̪t̪eð̞an
bedieken	beːtˈiːkən
beding	bidiŋ
bedingen	bidiŋ
bedoon	peð̞eõn̪
bedoven	bˈədˌɔvə
bedrag	tˈɾˌɑx
bedrapen	pɛtropɛn
bedrauhen	beːtrˈaʊn
bedregen	rɛjk
bedreger	beɾeɣ̞a
bedregeree	bˈɪtɹaɪgˈaɾɛj
bedregerie	tˈɾˈaɪgˈˈlˈɑkˌe
bedregersch	bidɾaʒaʃ
bedrepen	bətɾˈeːbən
bedreppst	pˌtˈɾepˌstˌ
bedrief	pɛtriːf
bedriefsraat	be̞d̪æɾiːfsɾɑːt
bedriev	beˈtɹiːv
bedrieven	petrivon
bedrievern	tʃãn̪t̪ɾivan
bedrinken	bˌeːtˈrɛnˌkˈɛn
bedrippst	bɪdrɪpst
bedripst	bˈɛtɾəpst
bedrog	bədɾˈɔx
bedrohen	tɛdaum
bedrug	bədɾˈɔx
bedrääg	pɛtrɛɪç
bedröven	pˌetɹˈoɨvʊ
bedröövt	petroːvˈa
bedrüggt	pətˈuraʃt
bedrüppelt	bit̪ð̞uɾəpəlt̪
bedumpt	bˌeːtˈumtˈ
beduren	beˈtˈwanˈ
bedusen	bədˌəuzən
beduurn	tɛduan
beduust	tˈeːmɑːdˈuːst
bedächtig	beːtɪçtˌɪç
bedüden	bˌeːdyːdˌɛn
bedümmelt	beˈtdˈəmˈɛld
bedüseln	be
bedüsen	petyys
bedüsseln	fˈɪkdˈɚsˈæm
bedüssen	fˈɛtˌɛsən
bedüüst	tpedyˈst
beed	bejd̪
beeddaag	bejd̪a
beeddag	beitˈa
beedler	beːtlə
beek	bejk
been	bein
beenhuus	beinɛs
beenhüüs	beːnhʏz
beent	peɪnt
beenthalm	bˈænthˈoʊm
beenwark	beinvaːg
beer	pɛːɐ
beerboddel	peɾbɾɛl
beerboom	bɛɾbõŋ
beerbuddel	peɾpoɾu
beerdeckel	peːrˈtekːkː
beerdigen	bˈeːɜdˌiːgən
beerfatt	bɜfˈɑːrt
beerglöös	berglʊz
beerkassen	bɛɾkˌɑsˈm
beern	pjen
bees	beɪs
beescherig	bɪˌʃɛɾiːg
beeschfarvig	bˈeːʃfˌaɾbɪç
beest	bˈeɪst
beesterlich	bɛʃtɛlˈɪç
beestig	bˈɛisdəx
beet	bˈeɪt
beetjen	bˈtʃən
beetsch	bˈeɪdʒ
befaten	bəfˈɑːɾtən
befehl	bəfˈeɪl
befehlen	bəfˈeːlən
befreen	bˌeːfrˈeːɪn
befriegen	bəfrˈiːgən
befrien	bɪflˈin
befründt	bafruːn
befummeln	tˈɪsfˈummeːln
befund	tˈɪfˈɔnd
befählen	ðəfeɪl
beföddern	befæɾaːn
beförd	bˈaɪfɚd
befördern	bəfˈœrɜn
begahn	beˈgɔn
begaunern	pekaunam
begeefnis	bɪˈkeɪfnəs
begeevnis	bɪˈgeːvnəs
begegen	be˩˥ːgəʏn
begehren	pekiən
begehrlich	be
begen	bˈeɪŋ
begeten	bəgˈeːtən
begeven	bɪˈgeɪvəm
begevenheit	bɛɣeːvɛnhajt
beginnen	bɪˈgɪn
begnegeln	bɪ̞gnɪ̞gɪ̞n
begnögen	bˈɛgnˌoʊdən
begrabbeln	tʃauβ̞ɛn
begraven	pokɾavɨ
begreep	bɪgɾˈɛjp
begrepen	bəgɾˈeːpən
begriepen	begrˈitən
begriesmulen	vˈiːgɾˈiːsmˈoːlən
begriff	pʲikɾɪf
begrootsnuten	bəkrˌˈɪltsnˈuːdən
begröten	bekrˈojtn
begäng	pekeŋ
begängen	pekeŋ
begöcheln	bekoˈsjɑl
begökeln	begˈoʊklə
begööschen	pʲːakajːtʂan
begüschen	tˌekˈlyʃən
behagen	bˈeːɾhɑːgən
behaltern	bəhˈaltʃaʊn
behann	beːˈan
behanneln	bˌeːtnˈvɑːn
beheespeest	beˈeɪspeɪst
behelp	beːˌɛlp
behenn	beːeːn
behexen	bˈeːɦeːksən
beholen	bəhˈoːlən
behollen	beːˌɔlˈln
behott	beˈɦɒt
behännig	bɛhɛnˈɪç
behöden	beˌˈøːdən
behölp	beːˌɾp
behöveln	be˩˥ːho˩˥ːvən
behöör	bɛhɔøɑ
behöörd	bɛfɫɛt
beid	bˈaɪd
beid deel	bˈaɪkdeɪl
beide	dajɾe
beielen	beːˈiːlən
beis	pajs
bejammern	pɛxɑmɑn
bekakeln	bɪˈkæːkəl
bekamen	bɛkɔm
bekannt	bɛkant
bekannt maken	bˈɛkantmˌɪtˈnˈ
bekannte	bˌikˈɪndi
beken	bˈeɪkən
bekennen	bəkˈɛn
bekenntnis	bɪˈkendnəs
beker	bˈeɪkjɚ
bekieken	bˈekˌiːkt
beklagen	bəklˈɑːgən
bekleckern	bˈɛklɪkɜn
bekleien	bˈɛklaɪn
beklommen	bˌekˌlˈoːm
beklucken	bˈɛklˌʊtgən
beklummen	biklˈʊm
beklummt	bəklˈʊmd
beknepen	bɪ̞knæpɪ̞n
bekniepen	bəʃnˈɪpən
bekreteln	bˈɛkɾeːtɜn
bekrüselt	bəkɾˈʌzəld
bekören	bəkˈœɾn
belackmeiern	vɛˈdakmˈajɾn
belackschauen	bəˈlˈakʃaʊn
belackschaun	pɛlˈakˌʃaʊn
beld	pet
beleevnis	bɪlˈaɪfnɪs
belegen	bəlˈeːgən
belemmert	beleˈmend
beleven	bɛlɛivɛn
bell	pl
belle	bele
bellen	penin
beller	fela
belleree	belaɾejo
bellerie	bɛlɛri
bellerroos	peleros
bellroos	spelˈlɔvus
beluren	peluan
beluurn	beluən
beluustern	beˈlˈustˈan
belämmern	beleman
bemaken	tˈɛnmˈɔ̃t
bemarken	bˈɛnmˈɑːɾtən
bemeiern	dˈosmˌajˈa
bemengen	tʃapelisto
bemessen	bəmizɛn
bemissen	bˈɛnmˈɪsən
bemodern	bemowlan
bemuddern	d̪emoɾãn̪t̪
bemöten	tˈɪstmˈœtən
benaut	bɪˌnəʊt
benehmen	beˈnˈɛi
benen	pene
benevelt	bɛneːvˈeːlt
bengel	pˈɛŋəl
benig	bˈeːɲɪç
bent	ts
benterig	beːnttˌeːrˌɪç
bentgras	bˈɛndgɾˈɑs
benzin	benθin
benömen	bˌənˈɔømən
benüll	b̥ɐ̝nøˀð
benüseln	bˈɛnˈyːsɛ
benüsseln	ðeːnsɑːn
benüsselt	bɪnnʏssəld
benüsst	bɪnnʏ̃sd
benüüßt	bɛnˈyːst
beopdragte	tʰə˧˥lɤ˥˩
bepraten	pəprˈɔɾtən
bequeem	bikbe
bequeemlichkeit	bɛkvˈeːmlɪçkˌaɪt
berappeln	beˈaːbən
berappen	beˈrˈapmɯ
berecken	tˈɪstrˈɛkən
bereden	bireːjɛn
bereken	bərˈeːktən
beren	bjˈɛn
berichten	bərˈɪçtən
berieten	bˌeːɾt
berlin	bɛɾlĩn
berm	pem
beroop	b
beroopsschool	be̞rˈobʃoːl
beropen	pɛˈʁauːtˈ
berögen	tɾoɪ̯gɛn
beröhren	eɾoan
besabbeln	bəzˌaplˌɛn
besahlen	bəzˈɔlən
besapen	bɛzɔpən
beschaffen	bəʃˈafən
beschapen	bəʃˈaɾpən
beschede	bˈɪʃˌeːdə
bescheden	bəʃˌaɪdən
bescheed	bɪshtʃeːd
bescheed geven	bɛʃˈeːt gˈɛivən
bescheed seggen	bəʃˌˈɛlt zˈɪgən
bescheed weten	bɛʃəɛd vɛːtɛn
bescheiden	bəʃˈaɪdən
beschoorwarken	bˈɛʃɔɾvˈaɾkən
beschreven	bəʃrˈeːvən
beschrieven	bəʃrˈiːvən
beschrievung	bəʃlˈiːvʊŋ
beschülligen	bˈɪstʃˈɵlɪgən
beseggen	bəzˈɛgən
besehn	bizaːn
besett	bizet
besetten	bɪzzɪtm
besevern	beze̞iːvæn
besig	bˈeːsɪç
besinnen	bizɪn
besitt	bizɪt
besitten	bizitn
beslaan	bɑsˈlɑːn
beslag	bɪslˈah
beslagen	bɪslˈɑːgən
beslagnahmen	bˈɪslˈaxnˈɑːmən
beslapen	bizlˈɑpən
besluten	bˈɪslˈʊɐn
beslääg	bɪslˈaɪç
besmeern	bɪ̞smæ̹m
besmeren	bɑsmeɪɾ
besnacken	bˈɪstsnˈakən
besnapst	bɪsnˈapst
besnieden	bɪsnˈiːbən
besonner	bezɒːnæ
besonners	beˈzɑːnæst
besorgen	bəzˈɔɾgən
bespreken	spɾəgˈtˈan
bessem	pɛsɛm
bessen	peθen
bessenriesboom	besŋˈ˩tlɪspəŋˈ˩
bessensteel	bˈɛsɪnzdˈeɪl
bessenstöhl	bæsansdøːl
best	bɛst
bestahn	beˈstɑːn
besteken	bɪsdeːkən
bestellbor	bɛsteɛboa
bestellen	bɪˈstæn
bestick	bˈɪstˌɪk
besticken	bˈɪsdiːkeːn
bestiegen	bˈɪstˌiːgən
bestimmen	bɪstɪm
bestrafen	bɪsdraːfˈɛn
bestrieden	bɪstɾiːn
bestöten	bəsdˈøːtən
bestött	bɪsdˈɔɾt
bestüren	biztˈyːrn
besudeln	bˈɛzˌuːdəln
besunners	beznɒːst
besupen	bəzˈuːkən
besweerlich	bɪsfˈɛɾlɪç
besweren	be̞smæjæm
beswiemeln	bɪsvˈiːmən
beswiemelt	bˈɪsviːməlt
beswinneln	bɪsvˈɪnən
beswipst	bɪsvˈɪpst
beswögen	bɪsfɔøgən
beswörung	bɛsfʲeːrɔm
besöken	bəzˈœpən
besönners	beznɑs
besöök	bizˈøːk
besöökstiet	bizˈɔːkstid
besünner	bɛsɔnˈa
besünners	bizones
bet	pɛt
bet nu	tɛtnu
betahlen	bətɔlm
betakeln	bˈɪtɔgəl
betehmen	bɪteːm
beteken	bɪˈteɪpəl
betekent	bˈɛtˌeɪkənd
betel	bejtə
betemen	bˈitʃˈaɪm
beten	bˈeɪtən
beter	beɪ̯ɾæ
beter warrn	beːtəʊvɑːn
betern	bˈeɪdəm
beternis	beːtɛnɪz
bether	bˈɛthiːɹ
betherto	beːtˈɜdʒɔ
betlang	bˌeɾəlˌaŋ
bett	bet̪
better	pˈeɪtə
betwieveln	bətsʃɾiːvəln
betövern	bɪtoːvən
betüdeln	bətˈʏdəln
betügen	bətˈyːgən
betüütorsen	bɪˌtʃtˈʏtˈɔɾzˈɪm
beven	mʝɨvɔ
bever	pavnˈgˈavˈ
beveresch	beːvɜˈaɪʃ
beverig	bɛjvɛrə
bevern	bejvæn
bewahner	beˈɑnɑ
bewarven	beˈvˈavˌɑ
beweeglich	bɛvɛjʃlˌɪç
beweerten	bəvˈɛɾtən
bewegen	bɛvɛm
bewennen	bɛvæn
bewielen	bevjɔn
bewies	pevis
bewiesen	bəvˈeːsən
bewohren	beˈɾˈaːn
bewunnern	beˈɾˈvɔlɔn
bi	pi
bi huus	peɪɾɾus
bi uns	biː ʊns
bi'n krips kriegen	bˈɪn kɾˈɪps kɾˈiːbən
bian	iːqen
bibacken	ipakɔ
bibber	bɪbɑ
bibbern	bɪbɪn
bibeholen	biːbəhʊˈman
bibehollen	piːpəhˈɔlən
bibelsprook	bˈiːpəlspɾˈɔk
bibelspröök	bˈiːpəlspɾˈʏg
biblieven	piːplˈivu
biblioteek	biplˈiːjʊteɪk
biblioteken	biblɪoːtˈeːkɛn
bibringen	pipɾin
bibögen	bibɔgɛ
bicht	pˈɪçt
bichten	bɪçtən
bickbeer	bɪgˈpiːɑ
bickbeern	bikbiːn˧
bickbeernblau	pˌikpiˌanˈβlau
bickberen	bikbeam
bickern	bikaːn
bidd	bit̪
bidden	bɪtən
bidrag	bˈiːdɾa
bidregen	bˈiːtɾeːgən
bidrääg	bˈiːdɾɛç
bieenanner	biːjˈnənˈnɑː
biel	pɪə
bieren	bjan
biern	pian
biester	pista
biestern	biːstə
bieten	bˈɪtən
bieter	pida
bifall	bifˈal
bifallen	bˈiːfˌaɪn
bifoot	bˈifˈɪld
bigahn	beˈgɔn
bigg	pik
bigge	bige
bigloven	bˈiːklauːvən
bihalen	bihoŋ
bikamen	bikɔːm
bikamern	biːkɔːmən
bikant	bˈikˈænt
bikbeere	pikˈpeɾe
bilaad	bˈilˈɔɹd
biladen	bˌiːlˈɑɾdən
bilang	ilan
bilangs	bɪlˈɑŋz
bild	bɪlt
bilden	bɪldən
bilegger	bileɣ̞a
bille	bili
billen	pian˥˥
biller	pila
billerbook	plˈapau̯k
billers	bælæs
billig	bˈɪlɛç
billjet	bɪljɛt
billjett	bjɛljət
billroos	bɪlɛɾɔs
bilopen	pilo
bilöper	biloːpˈa
bilöpig	bˈiːlˈœpɪç
bilütten	bildøtøn
bimaken	biːmɔː
bimmelbahn	pɪmmɛlpɔn
bimmelklock	ɪmmˈəlˈklˈoːk
bimmeln	emɑːn
binaam	pinom
binaaßen	bʲiʝnɔsʊn
binah	bina
binanner	miːnʔana
bindwark	ɛɪntvˈˈaɾk
bingeln	bĩŋɛ
binn	bɪ̞n
binnen	in
binnendiek	bindɪ̞k
binnendieks	pindiks
binnenhalen	bɪˌnˈhɔːn
binnenminister	bʲinɪ̞nmʲinɪ̞stæ
binnenspegel	bɪˌnənzbeːgəl
binners	bʃʊ̞nɑːs
binnerwark	bɪnˌnɜvɑːg
bioloogsch	bˈiːoːlˌoːkəs
biplichen	bˈiːplɪçən
biplichten	biːplˈɪçtɪd
bipulen	bipɣɔɾn
birge	bjerge
birsen	bˈeʒɐm
bischeten	bʲiʂajbən
bischop	bɪʃop
bischuren	bˈiʃvˈɑn
bischurens	bʲiʃuːɾts
bisdom	bistˈɐ̃ʊ̃
bisiet	bizet̪
bislaap	biːslɒːp
bislag	bˈiːslˌax
bislapen	bizlɑːpkɛn
bislaper	biːsˈlɑp
bislapersch	biːsˈlɑːpɛɾʃ
bisläper	biːsleːp
bisläpersch	bizlejpez
bislääg	bʲisleːk
bismack	piːsmak
bismarck	bɪsmɑːk
bispeel	bistbejl
bispelen	bizpeɪln
bispell	bispel
bispill	bispɪl
bispilltexten	iːsbˌiːllttˈɛkstən
bistaher	iːzstɒiːl
bistahersch	bʲisdɑːrʒ
bistahersche	biːstɑːˈhæɾʃæ
bistahn	pʲiʂtʊɾn
bistahner	biztona
bistahnersch	biːsːtɑːnˈæs
bistahnersche	biːstəvnˈɛɾʃə
bistand	piːstænd
bistüürn	biztʏrn
bit	pɪt
bit nu	pˈt nˈu
bither	bˈɪtʃhˈɛɹ
bitherto	bitˈthˈɛɾtˈuː
bitieden	bitsin
bitiets	pˌɪtˌtˌs
bitlang	bitlng
bito	biːtɛv
bitofallen	bʏˈtəoːfˌaɪn
bitt	bɪ̞t
bitten	bˈɪtən
bitter	bɪt̪a
bittjen	pitʃən
biweeglang	biveʃlɑŋ
biweeglangs	bˈaɪnənvˈɛlçlˈaŋz
blaag	blˈɑːx
blaak	blˈɑk
blaam	plom
blaas	plæst
blaasbalg	blˈɑsbˈalç
blaasding	plˈæstɪŋ
blaasdings	blˈæstɪŋz
bladen	bladən
bladern	blaːdaːm
blaffen	plafɛn
blafferee	blafaraj
blafferie	blafariːm
blaken	blaɾkən
blameern	lameiam
blameren	lameãn
blangbi	plangbi
blangen	plan
blangenan	plng
blangenbi	plangbi
blangento	planktɕɛv
blank	blank
blanzerung	plansejlom
blanzierung	plantsiron
blarren	lauːn
blarrt	plˈɑːt
blasen	blˈɑzən
blatschen	plˈatʃən
blatt	plat
blattgemöös	blaːtkeˈmøz
blau	blau
blauackermann	lauakaman
blaubecken	blaʊbˈɛkən
bleck	blˈɛk
blecksteert	plˈɛkstɜt
blee	le
bleefaat	blaɪvˈɑd
bleek	lˈeɪk
bleek warrn	laɪklaɾn
bleeklich	plˈeːglˌɪç
bleekt	lˈeɪk
bleektermoor	plˈɛktəmoːoː
bleen	plein
bleern	plˈeɪɚn
bleesticken	pleistʃi
bleier	blaja
bleihen	lajn
bleisterig	blaɪsdɛɾɛk
bleistern	blajstaɾm
bleken	lˈakən
blekern	blaɪkan
blenken	blˈɛŋkən
blenkern	blˈɛnkɜn
bless	bˈɛs
bleustern	plˈɔstɑːn
bleven	plˈɛvʊ
blick	blˈɪk
blickern	blɛkˈaːm
blickfaten	blˈɪkfˈiːɾtən
blickfatens	blˈɪkfˌɔɾtˈɛnz
blickfatt	blˈɪkfˈat
blickfäät	blˈɪkfˌɛːɾt
blickfööt	blˈɪkfˌøːt
blickschaden	blˈɪkʃˈɔɾdən
blickschöttel	flˈɪkʃʊtˈtˈɛl
blie	pliː
blied	blˈiːd
bliedheit	pliːdhˈaɪd
bliedschop	pliːtʃoːp
bliedschup	plˈiːtʃˈʊb
bliedskup	plˈiːdsgoːp
bliefaat	lˈiːfˌɔɾt
blien	pliːn
bliern	pliːan
bliev	pliːv
bliev man sitten.	blˈiːf mˈan zˈɪtən
blieven	plˈivum
blind	blˈɪnt
blind warrn	blˈɪntvˌɑːɾm
blindhageldick	blˈɪnthˈɔʊgəlˌdˈɛk
blink	blɪŋk
blinken	blˈɪŋkən
blinkern	blɛ̀ːnkˌaːn
blinkfüür	blˌɪkfˈyːɾ
blitz	blɪts
blitzblank	blˌɪtsblˈaŋk
blitzen	blˈɪtsən
blix	plˈɪks
block	blˈɔk
blockdreiher	plˈokdˈarˈajˈa
bloien	plˈɔøn
blomen	plum
blomenboskett	blauːmbˈɔskɛt
blomenpott	blˈaʊnpˈɑt
blomenpött	bˌaɪnˈzˈɪft
blomenstrunz	laundostʊɾanʃ
blomenstrutz	plʲɛunstɾʊts
blomenstruuß	plˈaʊ̃ʒtɹˈuz
blond	blɔnt
bloom	plum
bloot	plˈeʊt
blootafnahm	pluːtˈafˈnɑːm
blootbad	plawbat
blootdruck	plɛu̯tɔrˈuk
blootkopps	glˈaʊbkˈoːps
bloots	plˈoːts
blootstellen	plˈoʊtstˌaɪn
blootsuger	plˈəʊtsuːgˌɑ
blot	plˈeʊt
blots	plˈoʊts
bloß	laus
blubberwater	plobovulɛ
bluck	plˈɔk
blucken	plˈʊkən
blusen	bˈɛzən
bluus	bɾˈuːs
bläder	blaaɪla
blädern	bˌlazˈan
blöck	plˈak
blöckern	blokaˈm
blöden	blˈøːtən
blöder	blˈøːdə
blöderg	plˈoːɪdə
blödern	plˈoɪnən
blödig	blˈʏdɪç
blöhen	plˈɔøn
blöhtiet	loʊtˈɛd
blöken	løpən
blökern	plˈɛːkɜn
blömen	blˈœm
blömer	loːmˈa
blören	plˈɛʁn
blössem	fˈɛstˈ
blöte	blˈɔøtə
blöten	plˈɔøtən
blöß	bˈɛɪs
blööd	ləʒt
blöödsinn	blˈɔøtən
blöödsinnig	flˈɪxtfˈyːrənnˈɪçt
blööm	laim
blöömt	blˈɔømt
blöör	plˈœʁ
blöösterig	plˈɛʃtɜɛk
blööt	plˈœt
blöötsterig	lˈœdstɪrˈɪç
blück	plˈɛk
blüsen	bˌɛlʊzˈɛn
blüüs	bluːs
bo	pow
boarbeiter	boːˈæɹbˌæːtə
bocht	fokɾ
bock	ok
boddel	bɔtəl
bodden	pɔ̀t̪n
bodderbrood	m̩˨˩˦lou̯˨˩˦tɕʰy˥˩ʂu˨˩˦jɛ˥˩
boddermelk	boːdˈanˈvˈɛlk
bodel	pɔɫdɔ
boden	tˈoːldən
boen	tɔjˈn
boerndörp	bˈɔndˈʌp
boherr	dʒoɾhæ
bohlen	tɔən
bohlsch	lauːls
bohn	tɔm
bohnenkruut	boːnˈklˌoːt
bohr	boa
bohren	bwˈa
bokeloh	pukɛlɔnˈuː
bold	bˈɔlt
boll	pɔl
bollwark	bɔlvaak
bollwarken	bɒlvaɾtiˈn
bolten	bˈɔltən
boltje	bɔltʃə
boltjen	vˈɔltʃən
bolüüd	boːlˈud
bomeister	tɔmˌajˈstɑ
bontje	pɔnʃɛ
bontjebunt	bˌaʊnʃlˈʏbˌʊnt
boo	low
bood	aʊt
boog	dˈɛlk
book	lɛlk
book föhren	boːk fɛɾn
bookbinner	peu̯kepinaɾ
bookdrucker	pɛu̯kstɔrɔka
bookdrücker	awpəturək
bookecker	tokeka
bookfink	β̞elkfĩŋk
bookföhren	boːkfɛrˈn
bookholler	bo˥˩ko˥˩laː
bookhollersch	tʃiːzikoːlɑːʃ
bookraan	boːlkraːn
bookstaav	bˈɛlkstɔf
bookstabeern	boːlgzdabɛn
bookstaberen	pou̯kstapɛan
bookstaven	boːlˈkːstɑːvən
bookweten	peɾkefeɪt̪en
bookwetengrütt	boːgveːtənkɾøt
bool	tɐuːl
boom	bom
boomhacker	taːnħaka
boomlöper	tʁˈaftlə-pˈa
boompicker	tˈɐ̃ʊ̃pˈikɐ
boomschool	tɾˌomʃˌaul
boomstump	d̪eu̯nst̪omp
boomstümp	boːm˧stəm˧
boomwull	tɔmˌvˌl
boor	pua
boord	wɒt
boorn	wˈʌn
boors	b̞oɾz
boort	bˈɔɹt
boortputzer	buaʔtpuːtsa
boortschraper	vˈʊɐtʃˌɑpɜ
booshaftig	bɔshaftˈɪç
boot	bəʊt
booßeln	bo˥˩sən˥˥
borden	pɔɾtɛn
boren	n
borg	bˈɔɪ
borgeld	rˈɪçtɜgˈɛlt
borgen	dˌiːzəbˈɔl
borger	pɔɫga
borgerlüüd	boŋˈgˈalut
bork	plok
born	puan
borrn	bˈɔɹn
borst	pɔːst
boss	pos
bossem	bɒsæm
bossen	pɔsen
bost	pɔst
bostdook	pˈostdoːp
bostdöker	boːstdˈoːkə
bosteed	boʊstˈeɪt
bostkind	bˈɔstkənd
bott	pɔt
bott geven	bˈɑt keːvˈe
botter	pora
