anowr	ənˈɔɾ
আইনগত	aɲngoto
আইনজীবী	ai̯ndʑi˥˧bi˨˩˦
আইনমন্ত্রী	aɪnmʊnˈtriː
আইনশৃঙ্খলা বাহিনী	aɪ̯nʃiˑn kʰɔla baɦini
আইনসংগত	ai̯mːs̠ŋgɔt̪oˑ
আইনি নিশ্চয়তা	ai̯niˑ niʃtɕʰtʃə ɔ̯e̯uːt̪a
আইনে	ajnɛ
আইনের	ɑjnɪr
আইনের সঙ্গে সংগতিপূর্ণ	ai̯neˑɹ ʃɔŋge ʃɔŋgɔt̪i puɾnɔ
আইসক্রিম	ˈaɪskɹˈim
আওতা	au̯t̪a
আওয়ামী	aːmi
আওয়ামী লীগ	awamiː liːk
আওরঙ্গজেব	ɑʊ˥˥lɑŋ˧˥lɔ˨dʒu˨˩˦
আকর্ষণ	akɔrʃɔn
আকস্মিক	akusʃik
আকস্মিক পতন	akkoʃtʃ poton
আকাঙ্ক্ষা	aːkɑːmseː
আকার	ɑkɑɾ
আকাশ	ˈakas
আকাশসীমা	akasʃima
আকাশে অনেক নক্ষত্র	ɔakaˑʃeˑ ɔneɔe̯k noˑkʰt̪ːɹs̠
আকুল	akul
আক্রমণ	akɾˈomˈon
আক্রমণ করা	akɾomon kɔɾa
আক্রমণাত্মক	akɾˈimɑŋʔəttuːk
আক্রান্ত	akkɾanto
আক্রান্ত হওয়া	aːkranthu ɦɑua
আক্ষরিক	ækʲrɪk
আক্ষরিক অর্থে	æɔːkonɔɹːikː ɔɾthɛ
আক্ষেপ	at˦θɛp˥
আক্ষেপের বিষয়	aːkʰeˑpeɾ biːʃɔe̯
আখতারুজ্জামান	ɑqtɑɾwtʃtʃɑmɑn
আখতারুজ্জামান ইলিয়াস	axtar wdʒaːn iʎijas
আখরোট	ɑːkɾoːʈ
আখেরে	akere
আখ্যায়িত করা	ap kʰəiːtoː kɔɹaː
আগন্তুক	aːgonˈtuk
আগমনের প্রাক্কালে	aɣ̞o mon eɾɾə pə akːalːe
আগরতলা	aɣoɾtola
আগাগোড়া	aɣagɔla
আগামী	agami
আগামীকাল	aɣ̞amikãn̪
আগুন	ˈaɣuːn
আগুন লাগা	aːgwn lˈaga
আগুন লেগেছে! !	ɑːguːn leːgeːtʃʰe
আগে	agɛ
আগ্নেয়গিরি	ˈɑɹneˌəʊgiɾiː
আগ্নেয়াস্ত্র	agŋɛastru
আগ্রহ	agraho
আগ্রাবাদ	agrabad
আঘাত	aɣaat
আঘাত করতে যাওয়া	äːgʱäːt̪ kɾʊɖɛ dʑaːwɑː
আঘাত করা	aɣ̞ʱat̪ kora
আঘাত হানা	ɑgɦɑtʰɑna
আঘাত হানা ঝড়	äːgʱäːtʰäːnäː dʒɦoːɽ
আঙিনা	aːngina
আঙুর	aŋgul
আঙুল	ɑŋul
আঙ্গুর	ɑŋguɾ
আচরণ	atʃəɾn
আচরণ পরিবর্তন	atɕoron pɾiˑbɾt̪on
আচরণ পরিবর্তনসংক্রান্ত পরামর্শ	atɕrooˑɹoʱɹiˑbɔɾt̪noˑ ʃɔŋkɾant̪oˑ pɾaˑmɾs
আচরণবিধি	ɔːtɕaˑɹunbiːdʱiˑ
আচার-আচরণ	atsʃaɾatʃaɾon
আচ্ছা	atʃa
আছ	atː˧ɔ
আছি	a
আছিস	ɑtʃɪʃ
আছে	aːtʃʰe
আছে বলে জানানো	aˑt̪ʃʰeˑ ble dʑänanu
আছেন	˨a˥˧tsʰn˥˥
আছো	atso
আজ	aʒ
আজকে	aske
আজম খান	aʤoŋkaŋ
আজাদী	æzɑːdiː
আজিজ	aːʑʰ
আজেবাজে	ɑdiːbəzən
আজ্ঞে	again
আট	ɑːt̪
আটক	atok
আটক করা	a tɔ k kɔra
আটকানো	əʈqanʊ
আটলান্টিক	ætləndiŋ
আটা	aʈːa
আটার	atal
আটাশ	atas
আটোয়ারী	aʈːoaːdʒiː
আঠার	aːʈʰaːɾo
আঠারো	ɑːt̪ɑːrʊ
আড্ডা	ədːa
আতঙ্ক	atˈɔ̃kˈa
আতা	ata
আতিথেয়তা	aːtiːt̪ʰeːt̪a
আত্নপ্রকাশ	aːtːaːpɾuːkaːʃ
আত্মঘাত	atːɔgaːt
আত্মজীবনী	aˑt̪t̪uˑdʑiboniˑ
আত্মনিয়ন্ত্রণের	atːoniɔntsɔniɾ
আত্মনির্ভরশীলতা	atːt̪ɔniɾbʱɔɾɕɾiˑɹʰaˑ
আত্মনিয়োগ	atːuɲɔdʊ
আত্মনিয়োগ করা	a tũŋdjou gɨ kɔra
আত্মবিশ্বাস	atːomiʃaʃ
আত্মসম্মান	at̪ːt̪uˑʃɔmːmɑn
আত্মহত্যা	ɑːt̪t̪ɑːɦt̪ːt̪ː
আত্মিক	akt̪ik
আত্মীয়-স্বজন	t̪iˑõˑʃɔdʑɔn
আদতে	adotɨ
আদমশুমারি	adomʃumari
আদর্শ	adoɾʃo
আদর্শায়িত	aðoɾʃaajtʊ
আদা	adu
আদা বাটা	adabata
আদালত	adɑlɑt
আদি চিত্রকল্প	aːd̪iː tʃːt̪ːrokːl o̯
আদি প্রতীক	aɟi pɾotik
আদিতে	adjte
আদিবাসী	aðiʝaʃi
আদেশ	að̞eʃ
আদৌ না	a d̪ou̯na
আধা	adha
আধিক্য	aðˈiko
আধিপত্য	aːtipotːo
আধুনা	aðʱuːna
আধুনিক রমণী	aːd̪ʱuːniːg ɾɑmoniː
আধুনিকীকরণ	ad̪uniˑkiˑkɾon
আনন্দ	anõnˈdo
আনন্দদায়ক	anʲndʲtʲiːtʲaːɾokʰ
আনন্দধারা	anendoːdʱaˑra
আনন্দবাজার	anɔnd̪bdʒaɾ
আনন্দময়	anond̪umoj
আনন্দিত	anõnð̞jt̪o
আনমনা	anɑmoːnæm
আনমনে	anomone
আনা	ˈana
আনারস	ənɑnɑːɾɑːtʃ
আনিমে	ɑnime
আনুগত্য	anugoto
আনুষ্ঠানিক	anuʃtʰanːiː
আনুষ্ঠানিক ঘোষণা	anuʃt̪ʰanik gɦosnaaː
আন্তঃনগর	antunoguɾ
আন্তরিক	anturit
আন্তর্জাতিক	ɑntəɾɾtʃəɾkɛ
আন্তর্জাতিক অনুসন্ধানী	anːt̪rdʑat̪ik ɔmnʊʃɔnːdʑaniˑ
আন্তর্জাতিক প্রকৃতি ও প্রাকৃতিক সম্পদ সংরক্ষণ সংস্থা	annt̪o̯ɹadʑat̪iˑk pɾkɾiˑi̯t̪iˑ oˑpɹaˑpɾit̪iˑk ʃɔŋpoˑd̪ ʃɔŋgɹd̪ːkʰuˑn ʃɔŋst̪ʰaˑ
আন্তর্জাতিক সন্ত্রাসবাদ	anːt̪ɾːdʒaˑt̪ik t̪ɾaˑʃpad̪
আন্তর্জাতিক সমালোচনা	annt̪oˑɹ dʑat̪ik s̠maˑɔloˑ dʑonaˑ
আন্তর্জাতিক সম্প্রদায়	anːt̪ɔɹ dʑat̪ik ʃɔmpɹɹd̪ʱaˑe
আন্দামান	anˈd̪amən
আন্দোলন	ãn̪d̪olon
আন্দোলনরত	aɴolɔnɹat̪oˑ
আন্দোলনে	anðolone
আন্দোলনের	andoloneɾ
আন্দোলিত	anðolito
আন্যের	ɑnˈneɾ
আপত্তি	aːpʊt̪ːiː
আপন	aˈpɔl
আপন-মনে	aaponmune
আপনাকে	pɑpnəkejː
আপনাকে অসংখ্য ধন্যবাদ।	apnaˑ keˑ ɔʃːoˑnː kʰɔ d̪ʱɔnːobat̪
আপনাকে জন্মদিনের শুভেচ্ছা জানাচ্ছি	apna keˑ dʑɔnːmoˑ d̪ime ʃugetʃaɾe maˑ
আপনাকে স্বাগতম	aɔnakeˑ ʃaɣɔt̪m
আপনাদেরকে	ɑpnɑdeːɾkeː
আপনার	aːpnaːrs
আপনার এতে কোন অসুবিধা নেই তো?	apnaɾeʈʰe kɔn ɔɾʃuɔbʱiɖʱɑneit̪ɔ
আপনার কোনটা পছন্দ?	apnaˑɾ kund̪aˑ bsɔnːd̪u
আপনার নাম কি?	ɑt̪nɑː nɑːm kiː
আপনার যেটা ইচ্ছে।	äpnaːɾ dʑɛtäˑ itʃʰe
আপনার সাথে কি এখন কথা বলা যেতে পারে?	apnɔˑrʃaˑt̪ʰiˑ kiˑ ɛkɔn kɔt̪ʰa bol̠aˑ dʑeteˑ paɹe
আপনারা	kʰʰapːn˨˩ɕra
আপনারে	apwnare
আপনি	əpni
আপনি ইংরেজি বলতে পারেন?	apnɛ i̯ŋɾiˑdʑiˑ pɔlt̪e paɾeːn
আপনি কি ইংরেজি জানেন?	apniˑ kij ɪŋeˑtʃʰiˑ dʑaˑnɛn
আপনি কি ব্যস্ত আছেন?	apniˑkiˑ bæstoˑ atʰeːn
আপনি কেমন আছেন	apniˑ kjaˑmɔ̃ naˑt̪ʰeˑn
আপনি কেমন আছেন?	apník ẽm unatʃən
আপনি কোথা থেকে আসছেন	api ktʰaˑteke aʃtʃʰen
আপনি কোথায় থাকেন?	əpniː kt̪ʰaˑe t̪ʰaˑkɛn
আপনি কোথায় যেতে চান?	apni kɔt̪ʰaˑj dʑe̯eː tɕaːn
আপনি নির্বোধ	ɑpniː nirbɔdɑ
আপনি বাংলা বলতে পারেন?	atniˑ paŋgɔlaː ɔleˑpeɹi
আপাতত	abatoto
আপেক্ষিক	aːpəkˈik
আপেল	apɛl
আপোসকামী	aposkami
আফগান	havkan
আফসোস	apʃuʃ
আফ্রিকা	afɾˈikə
আবদুল হামিদ	ɑbd ælˈhæmɪd
আবরণ	aboron
আবর্জনায়	ʔaːluːrdʒunɔːl
আবশ্যক	ˈaɪwəzʃˈʊk
আবহনির্মাণ	abogunirmak
আবহমান	ʔaːbɦoːmən
আবহাওয়া	abuhava
আবহাওয়া অফিস	am hau̯ɔɾ ɔfˈɪs
আবার	amaːr
আবার দেখা হবে।	aβ̞ar d̪ekah obi
আবারও দাবি করা	aba ro dabaːji kore
আবাস	ɑmɑʃ
আবাহনী	ɑbɑɣɔni
আবিষ্করণ	abiːʃkɔrˈon
আবিষ্করণীয়	aːbiskˌɔɾoniˈu
আবিষ্কর্তা	abiʃkoɾt̪a
আবিষ্কার	abiskaɾni
আবিষ্কারক	abe̞ʃtarok
আবিষ্কৃত	abisprito
আবিষ্কৃতি	abɪskɾipi
আবিষ্ক্রিয়া	abɛʃkɾja
আবু হায়দার	ɑbu hɑjdɑr
আবুল কাশেম ফজলুল হক	abul kɑʃɛn vozlil ħɑq
আবৃত	abrido
আবৃতি	abriti
আবৃত্তি	aːbɾitːi
আবেগ	aˈbɛg
আবেগসর্বস্ব	aːbɛgʃɔrbʃʃo
আবেগসর্বস্ব সিদ্ধান্ত	aˑbe̯g̟ ʃɹbɔʃʰo ʃiɔ d̪ʱaˑnt̪oˑ
আবেদন	abeð̞ɔn
আবেদনকারী	aped̪ondʑiˑ
আব্দুল	ˈabdʊl
আব্দুল হামিদ	ʔabdʔaː ħam ɑmɑdʔiː
আব্বু	abːo
আভরণ	abɦoɾɔn
আভা	abʱaː
আম	aːm
আমদানি	ɑmdɑni
আমদানিকারক	amd̪aːniːkaɾok
আমদানিকৃত	amd̪aˑniˑkɹit̪oˑ
আমন্ত্রণ করা	aˑmɔn̪d̪ʱɔɳ kɹa
আমরা	ɑːmɾɑː
আমরা কি বেড়িয়ে যাব?	ɑɔɾä kiˑ beɾiˑe̯ dʑabu
আমলা	ɑmɑn
আমলে	amole
আমলে নেওয়া	amole ptʃar wa
আমাকে	amakɛ
আমাদের	ɑmɑdeɾ
আমাদের সবার জানা	äːmäːd̪ɛɹ ʃbäˑɹ dʑäˑnäː
আমাদের সাথে আসো	ɔmad̪æɾ ʃat̪ʰeˑ asɔˑ
আমাদেরকে	amadelke
আমার	ɑmɑɾ
আমার তো এটা ঠিকই মনে হচ্ছে।	ɔ amɔɾt̪eˑ t̪aˑɾ t̪ʰikiˑ mːɔneˑʱɔtʃʰe
আমার নাম ...	ɑmɑɾnɑm
আমার পদতলে কাঁটা বিঁধেছে	amaɹ pɔd̪ʈle kaʈaˑ biɔɹe̯ɛtʃʰe
আমার সোনার বাংলা	ɑmɑr ʃɔnɑr bɑŋla
আমি	ɑːmi
আমি ... থেকে আসছি	ami dek̠e̞aʃtʃʰi
আমি আপনাকে ভালোবাসি	ɑmiː ɑpnə keˑ pʰäːlogaˑʃ
আমি এই আদেশ প্রত্যাহার করেছি	ɔɑːmiː ei ad̪æʃ pɾt̪ːt̪aɦaɹ ɸɾetʃʰiˑ
আমি এখনি আসছি।	ɑːmiː ækˈhæ niːstʃiːd
আমি এবং তুমি	æmiː ebõːŋ tʊmi
আমি এসে গেছি!	amiˑ eʃe getʃi
আমি ঢাকা শহরে থাকি।	ɔːmiː ɖʰakɑ ʃɔhɹe ɔkːiː
আমি তো এর মাথা-মুন্ডু কিছুই বুঝতে পারছি না!	ɔɪːmɪɔtɔ eɹ maˑd̪ʱamɔɳɖ kitɕʰuˑiˑ bɔstʰeˑ paɔɹtʃʰiˑ naː
আমি তোকে ভালোবাসি	hamiˑ t̪oˑbeˑ bʱalbaɕiˑ
আমি তোমাকে ভালবাসি	ɑmiˑt̪ maˑ keˑ bʱaɔl̪ɔbɔɛːʃiˑ
আমি তোমাকে ভালোবাসি	æmiː tʊ mæxæb heˈlo baʃiːd
আমি ভাত খাই	əmiː bʱaːt̪ kʰəɪiː
আমি ভালো আছি	ɦɑːmiː bʱɑloː äʧiː
আমি সত্যিই এটার প্রশংসা করছি।	amiˑ ʃt̪t̪iˑ eʈɔ pɾsɔ ɔʃa kɾtʃʰi
আমি হাড়িতে পানি রেখেছি।	a mi harite paniɾekʰetsʰi
আমির	ɑˈmɯɾ
আমের মুকুল	əˈmeɾ nʊkʊl
আমেরিকা	amɛɾika
আমেরিকান	ameriˈkɛn
আমেরিকায়	ɦɑmeːriːkai̯
আম্মু	amu
আম্রকুঞ্জ	ɔːmˈlɔːkʊndʒɔ
আমড়া	amra
আয়তক্ষেত্র	aɪotoketro
আয়তন	ajolton
আয়েশা ফায়েজ	ajʃa fˈaɪz
আর	ɑɾ
আরও	aɾˈv
আরও বলা	aro bola
আরতি	aɾˈoːvˈi
আরম্ভ	aɾombʱoː
আরা	aɾap
আরাফাত সানি	aɾafat sɑnˈniː
আরাম	ɐˈɾɑːm
আরিচা	ˈɑritʃa
আরিত্র	aʎɛtɹoʎ
আরেক	hɑrɛk
আরো	aɾˈo
আরোপ	ɑːɾoːb
আরোহণ	ɑɾuːhɑn
আর্জি	ardzi
আর্থিক	ɔːɹt̪ʰiː
আর্থিক অনুদান	aɾtik
আর্থ্রোপোড	arθoˑoˑpːod
আর্মাডা	ɐrmɖaː
আল-আমিন হোসেন	ʔɑlɑmɪn husɑjn
আলখেল্লা	ɑːlkælˈlɑ
আলগা	ɑlgˈɑ
আলনা	alna
আলপাকা	alpak
আলবেনীয়	alˈbˈeˈnˈio
আলম	alom
আলমারি	əlmɑːriː
আলহামদুলিল্লাহ	alhamdulilla
আলাদা	alada
আলাপ	ɑlɑp
আলিঙ্গন করা	æ̃liːnː gɔ̃n kɔɹɑ
আলু	alum
আলুবোখরা	ɔluːbɔkʰeɹa
আলুর চপ	alud tʃop
আলো	alo
আলো করা	ælo koːˈra
আলো-আঁধারি	əˈloənd̪ʱaɾiː
আলোক	alɔk
আলোকচিত্র	aloktʃitro
আলোকচ্ছটা	ɔal̪kːɔt̪tʃʰɔʈa
আলোকন	alokon
আলোকপাত	alokpat
আলোকবর্ষ	alokbɔrʃo
আলোকবিজ্ঞান	aliʔviːkːen
আলোকরশ্মি	ælokɾuːʃiː
আলোকরা	alˈokɔra
আলোকলতা	aloklota
আলোকসংকেত	alokʃaŋkel
আলোকসজ্জা	aʝoːkːʃɔdʒaː
আলোকস্তম্ভ	alukstombo
আলোকিত	alokito
আলোচনা	ˈaloθaˈona
আলোচনা বন্ধ করা	alot̪ʃɔna bɔnd̪ʱkɹaː
আলোচনার মূল বিষয়	æloˑ tɕeːnäːɾ muːd̪ biːʃ e
আলোচাল	alodʒale
আলোচ্য বিষয়	ælʊtʃoˑ biːʃɔe
আলোছায়া	alotʃəaːjaː
আলোর উৎস	aloɾ ut ʃo
আলোড়ন	aloɾon
আলোড়ন সৃষ্টি করা	al oɹɔn sɹiʃtiˑ kɹa
আলোড়ন সৃষ্টিকারী	aɔɹn sɹist̪iˑkaɾi
আল্লাহ	ɑlˈlɑh
আশঙ্কা	aːs̠o̞nka
আশঙ্কা উড়িয়ে দেওয়া	aʃoːn kaː uɽie ɖewa
আশঙ্কা করা	a ʃoŋka kɔɾa
আশঙ্কা তৈরি হওয়া	aʃɔŋkatʰɔ iːɾiʱaː
আশঙ্কা মাথায় নিয়ে	aʃka maːtʰaːjjɛ
আশা	aːʃaː
আশা করছি আপনার সময় ভাল কাটবে।	aʃaˑ tʃʰiˑ ɔknaˑ s̠maj bʱalː kʰaˑɔd̪ʱe
আশাবাদী	aʃaˑgɽiˑ
আশাবাদী হওয়া	aʃabadj hoa
আশাব্যঞ্জক	ɑˈʃɑben'dʒok
আশার কথা	aːsaːr qɔtʰa
আশি	ˈaʃi
আশুলিয়া	aːʃulˈiːɑ
আশ্চর্য	aʃtʃɔːrdʒoː
আশ্বস্ত	aʃtʃɔsto
আশ্বিন	əʃiːn
আশ্রয়প্রার্থী	aːsoˑeˑprɔt̪ːʰiˑ
আশ্রয়স্থল	azɾuɛjstʰaɸ
আশ্রয়	aːtsrɔi
আশ্রয় করা	astroi kora
আশ্রয়ের	asroaɾ
আশ্রয়ের জন্য	as roel dʒonno
আষাঢ়	ɑʂɑɾ
আসক্ত	aʃuqtɯ
আসতে	aste
আসন	aʃon
আসনখানি	aʃonkʰaɲi
আসপধর্া	ɑːspɾd̪ʱaː
আসবাবপত্র	aʃbappot̪
আসল	ɑʃoːl
আসলে	aʃole
আসসালামু আলাইকুম	asˈlaːm ʕalikm
আসা	aʃa
আসাদুজ্জামান খান কামাল	ɔt̪ fromaːmeːn kʰaːnəkɔɳːl
আসাদুজ্জামান নূর	asad̪ut̪ dʑamaˑn nuʃ
আসানসোল	aʃaˑnʃʰl
আসাম	aːsən˥˩
আসামি	æʃmiː
আসি?	aʃiu
আসে	aʃæ
আসেন	asen
আস্তে	astɛ
আস্তে বলবেন কি?	ɑste bɔlbɛn ki
আস্থা	bɑːstæ
আহত	aɣutu
আহসান হাবীব	ɑːsˈtˈnˈɑːʔib
আহা	aha
আহাজারি শ্রমজীবী	ɦzɦrsloːmoː dʒiːviː
আহৃত	arɦit̪o
আহ্বান	ɑlbʱɑn
আহ্বান জানানো	aːn zaːn anu
আহ্‌বান	aːxoboːnˈ
আড়পাঙ্গাশিয়া নদী	aːɽ t̪aːŋgäːʃiːnod̪iː
আড়াই	aːr
আড়াইটা	aroika
আড়াল	aɾɑl
আড়ালে	aɾale
আড়ালে-আবডালে	aːɽaleːəpʈaːle
আয়	ˈaɪ
আয়তক্ষেত্র	ajɔtʰɔpʰentɾʊ
আয়তন	aɾu̯tɔm
আয়না	aɪnˈa
আয়রন	ˈeɪɹɔn
আয়া	aja
আয়োজক	aɾʒok
আয়োজন	ajɔxɔn
আয়োজিত	ajɔdʑitɔ
ই	lɔʃːoːiː
ইঁদুর	idˈʊl
ইংরেজ	ɪŋɾɛd
ইংরেজদের	igɾezðeɾ
ইংরেজি	iŋɹedʒiː
ইংল্যান্ড	ˈiŋglənd
ইউনিয়ন	iwniɔn
ইউনূস	ne
ইউরেনিয়াম	jʊɾɛɳɪəm
ইউরেশীয়	ioɾeʃio
ইউরোপ	jʊˈɾɔ
ইউরোপীয় ইউনিয়ন	europio union
ইউরোপীয়	juː˧˥tʊ˥˩pjuː˨˩˦
ইউরোপীয় সাহিত্য	euɾopioː ʃahit̪ːoˑ
ইউরোপে	jʊrope
ইউরোপের	europen
ইক্ষু	eiko
ইগলু	iglu
ইঙ্গিত	nɤgːit
ইঙ্গিত দেওয়া	ingit deva
ইঙ্গিত পাওয়া	ĩŋgit pava
ইঙ্গিত-উল্লেখ	ĩŋgitʔulɛk
ইঙ্গিতময়	ĩŋgeːtsˈmɔj
ইঙ্গিতময়তা	ingitmojota
ইচ্ছা আছে	i˥˧tsʰa˥˧ atsʰe˥˧
ইচ্ছা থাকা	it̪ʃa t̪a ka
ইচ্ছাধীন	id̪ʱa˥˧tʰiːn˧˧
ইঞ্জিন	iːn˥dʒiːn˥
ইঞ্জিনিয়ারিং	iŋʒiːnˈɛɹɪŋ
ইতালি	itˈaliː
ইতালিয়ান	italiãn
ইতালীয়	italio
ইতি টানা	itikana
ইতিবাচক	itibatʃok
ইতিহাস	mitiɦas
ইতিহাসের পাতায়	kʰt̪iːdʒaːɕeɾ paːtaːe
ইত্তেফাক	kipːtɛfɑkk
ইত্যাদি	aːtˈtˈadi
ইদানীং	iganˈjng
ইন	ɪn
ইনকা	inka
ইনকিলাব	inkilab
ইনি	ini
ইনিংসের	iniŋseɾ
ইন্টারনেট	intˈɚnˌeɪt
ইন্ডিয়া	ˈɪndiə
ইন্দোনেশিয়া	ˌɪndɔnˈeɪʒɪə
ইন্সক্রিপ্ট	ɪŋskɹˈɪpt
ইন্সটিটিউট	ɪnstˈɪtʃətˈ
ইমরুল কায়েস	imɾuːl kaːe̯s
ইরাক	iːrakː
ইরান	iːɾˈan
ইরাবতী ডলফিন	iˑɾabtiˑɾeˑd̪lɛɔfĩːn̪
ইলিশ	ˈla
ইলেকট্রনিক্স	elɛktɾoniks
ইস	iʃ
ইসলাম	ɪslɑm
ইসলামপন্থী	samponti
ইসলামী রাষ্ট্র	islami dʒɑstoɾo
ইস্কাটন	skˈatˈon
ইস্কান্দার মীর্জা	izkãndaɾmɪdʒa
ইহুদীধর্মমত	iud̪iˑd̪ʱɹmɔmɔt̪
ঈ	d̪ɪl̪gɔeːiː
ঈগল	iːgɔl
ঈদ মোবারক	ˈidnˈoːvɑrɔk
ঈদ-উল-আজহা	aːdlʔadʒh
ঈদ-উল-ফিতর	edulfitər
ঈদুল আজহা	idil adʒĕa
ঈদুল ফিতর	idul fitər
ঈদে মিলাদুন্নবী	ɪdˈe milˈadun nobi
ঈর্ষা	iːʃˈa
ঈর্ষান্বিত	isʃannitʊ
ঈশ্বর	iːɾʃɒːɾ
ঈষৎ	iːtʃɒːt
ঈষৎ জটিলতর	iˑsatʰ dʑʊɔʈiˑlʊ t̪ɾo
উঁচু	aɴ
উঁচু জায়গা	untʃʊ ðʒaɛga
উঁচু ঢিবি	ʊŋtʃʊ dʱiːbiː
উঁচু পাড়	unhˈtʃʊ pˈaɾ
উঃ	tɪ
উইকিপিডিয়ায়	wiʄpiɗ̪iɑe̞
উইকেটরক্ষক	wiːgɪt̪ɾɒkˈɔɪk
উইকেটশূন্য	miːˈkæːtʃˈʊdnˈoʊ
উইকেটে	uikete
উকিল	ukil
উক্তি	luːkki
উখিয়া	bukiah
উগ্রপন্থী	ʊgɾpnt̪ʰiˑ
উগ্রবাদী	ugroːbädiː
উচি	utʃi
উচ্চ	utʃo
উচ্চ জোয়ার	utʃo aɾˈ
