114	θentodetsekvaro
recente	ɾɛtsɛntɐ
recentemente	retsentementˈe
receptaculo	rɛtsɛpːtaːkulo
reception	rɛtsɛptsioŋ
receptor	rˌetsəptˈoːr
recerca	retʃerka
reciper	pɾetsiper
reciproc	ɾɛtʃˈipˈɾo
reciprocitate	retʃipro�tsjtate
reclamo	preklamo
recognition	rɛkɔgnitsioŋ
recognoscentia	rɛkɔɟdɔstsientʃja
recognoscer	rɛkɔɟnoˈztʃɛr
recognoscibile	rɛkɔgnɔstsiːbɪlɛ
recommendabile	rekomendabile
recommendar	ɾekomɛndar
recompensa	rkompentsa
recompensar	rikoˈmpˈənˈsˈar
record	rekɔrd
recrudescentia	rʲekrudɛzitsent̪sʲɪ
recrutas	rekruːtas
recte	ræktɛ
rectificar	ræktɪ̞θɪ̞kar
rectitude	rˈɛktɪtˌuːd
recuperar	ɾɛkupɛraɾ
recurrentia	pɾɛkuɾɛntsia
redaction	rɛdaktsiˈon
redactor	rɛdaktsɔr
redactorato	rɛdaktorɑːtɔr
rediger	ɾɛdgaɾɐ
redolentia	rˌedulˈɛntsja
reducer	ɾɛdʊtsˈɛɾ
reduction	rɛduktsiˈon
redundantia	tredundantsja
referendum	rˌɛfərˈɛndum
referentia	rˌeferˈɛntsja
reflecter	rˈɛfləktˈeːr
reflexion	rɛflɛksjˈon
refrigerator	refrigratˈor
refulgentia	ɾɛfʊlgɛntsia
refusar	ʁefusˈaʁ
regal	regal
regalo	reːgˈalo
rege	rɪ̞gʲɪ
regentia	rˌegˈɛntsja
reger	rˈɛgːɛɾ
regina	reɣ̞ina
region	region
registrar	rekistraɾ
registro	reɣistro
regno	regno
regno unite	rɛgnʊɪnˈɪta
regratiar	rɛgratsiar
regret	rˈɛgrət
regrettabile	rɛgrɛtabilɛ
regrettar	rˌeˈgɾˈˈatˈaɾ
reguarda	ɾɾeɣwaɾða
reguardar	ɾeɣ̞uaɾð̞aɾ
reguardo	reguardo
regula	rɛgulɐ
regular	rɛgulaːr
regularisation	ɾeɣ̞ulaɾizakion
regularitate	regularitate
regulation	ɾeɣ̞wlakion
regulator	rɛgulator
reimplaciar	ɾejmplats̺jaɾ
reinitialisar	ɾei̯nitsialit̪θaɾ
reinitiar	reinitsjar
rejectar	rˈeːrəkːtˈar
relation	ɾelat̪θioãmb
relative	relativɛ
religion	ɾeliʝion
religiose	ɾˌeligˈioza
reluctantia	rɛluktantsja
remane	riman
remanentia	remanentsia
remaner	ɾemaneæ
remar	ɾemaɾ
remarca	rˈɛmarkˈa
remarcabile	rɛmarkaːbiːlə
remarcabilemente	remaɾkaβ̞ilemente
remarcar	rəmaɾkaɾ
remediar	remedjˈaɾ
remedio	remedjʊ
rememorar se	rɛ̀mejɛ mɔmarrɛsæ
remonstrantia	remonstrɐntsia
remover	ɾɛmɔlðeɾ
ren	rẽm
renascentia	renastsentsja
render	ɾæmˈðeːr
rendimento	renˈdimˈento
renominar	ɾɛnomĩŋaɾ
renta	rɛnta
reparar	ɾɛpaɾɑɾ
reparation	rˌepaɾatsjˈon
repasto	repastow
repententia	ripententstsja
reper	ɾɛpeɾ
repeter	ʁepetˈe
repetition	repetitsion
replaciar	ɾɛplatˈsjˈaɾ
reporta	ɾepɔɾt̪ɐ
reportage	ʁepɔʁtadʒe
reportar	ɾepɔɾtɑːr
reporto	reporto
reposar	ʁepozˈaʁ
reposo	repozˈo
representante	rˌepɾesentˈantə
representar	ɾepɾesɛ̃tˈaɾ
reprimendar	reprimendar
reprochar	ɾɾˌepɾoʃˈaɾ
reproduction	rɛprodɔktsiɔ
republica	repjublika
repugnantia	rɛpugnantsja
reputation	ɾeput̪akion
requesta	rˈekˈoˈesta
requirer	rɛkwjrɛr
requisite	rekizite
requisito	reqjsitɔ
reserva	ɾɛsɛɾʊ̯ɐ
reservar	ɾezeɾβ̞aɾ
reservate	rezervate
residentia	rezidɛntsia
resider	resiðeɾ
resimilantia	ɾɛsiniʎɐntsia
resistentia	resistensia
resolution	ɾezolukion
resonantia	resonantsja
resorto	resorto
respectabile	res̺pekt̪ɑbilɛ
respectar	ɾespekt̪aɾ
respecto	respesto
respectuose	respektuosa
respirar	ɾespiɾaɾ
respiration	respiratsion
resplendentia	prʃglɛndɛntsʃa
responde	responde
responder	ɾespõn̪d̪eɾ
responsa	responsa
responsabile	responsabile
responsabilitate	responsabilitate
ressource	ɾesuɾs
restar	rˈɛstɑːr
restaurante	restauɾante
restaurar	restau̯raːl
resto	resto
resultar	resultat
resultato	rezultato
retalio	retalio
retardo	retardʊ
rete	ɾɛtɛ
retener	ɾɛtɛneɪ̞ɾ
reticentia	reðitsentsja
retornar	retɔɾˈnˈaɾ
retorno	tɾɛtˈɔːɾnɔ
retro	tɾɛtɾɔ
retrospection	retrospeksioŋ
retrospectiva	retrospektiva
retrospective	retospektive
retrospecto	rɛtʃɔspɛkto
reunir	ɾəʊnˈiɹ
revelar	ɾeˈvelɑɾ
reverentia	reverɛntsia
reverter	reˈverteˈr
revider	ɾɛvjðeɾ
revision	ɾevizjõn̪
revisor	ɾəvizˈoɾ
revisor de textos	ɾɛvizoɾ dɛ tɛkstos
revista	evistˈa
revitalisar	rɛvitalizar
revivificar	reviˈvifikˈar
reviviscentia	pɛrɪviʃtsɛntsja
revocar	ɾɛvɔkɑr
rhenium	renium
rhetoric	retoːrix
rhetorica	rˈɛtːoːrˌiːka
rhinoplastia	frinuplˈastˈiˈa
rhodium	rodjum
rhythmic	rɪθmik
rhythmo	pliːtsmo
ric	ʁˈik
ricardo	rikˈardo
ricchessa	riˈkeˈsa
rider	ɾɾiðeɾ
ridicule	ɾidikule
rigide	rɪ̞jgʲeɪ̞dæ
ris	ɾeas
riscar	ɾɪskɑr
risco	risko
riso	riːsɔ
riviera	rivjera
rivo	rvo
roba	roba
robar	robaːr
rocca	roka
rodopi	rodopi
rolar	ɾolaɾ
rolo	roːloː
romance	romantsɛ
romania	roˈmɑnɪa
romanian	rʊmanjˈan
romaniano	romaniano
romanic	rɔmaːnik
ronde	ronde
rondo	rˈondo
rosa	rˈoːsa
rosate	rozate
rosee	rˌɔfiɪˈɛ
rota	bɾɔta
rotar	ɾɔtɑːr
rotation	rotatsion
rotunde	rʊ̞tʊ̞ndɑ
ruanda	ɾoãn̪d̪a
rubidium	rubila
rubie	rubie
rude	roːda
ruga	ruɣa
ruina	ruːiːno
ruinar	ruinˈaɾ
ruito	ɾɔjto
rumper	dˈiːtˈe
rupte	rutːɛ
ruptura	rˈuːptura
russia	ɾusja
russo	ruso
ruthenium	rutenjum
rutherfordium	rð̞eɾfõɾð̞iõn̪
sabbato	sabato
sablo	samblo
sacco	sakːo
sacerdote	satʃærð̞ot̪e
sacre	sakre
sacristia	sakristia
sacroiliac	sakroiliak
sage	sandʒe
sahara occidental	sahara ʔktsidɛntala
saison	sˈɛsɔ̃
sal	sˈal
sala	saːla
salario	salaʕaʔaɾɪu
salmon	sɑlmon
salon	saluːn
salsicia	salsiːtsia
saltar	saltar
salto	saltˈo
salutar	salutaɾ
salute	salute
salvage	salvaʒɛ
salvar	sel̪d̪aɾ
salveguardar	salvegʊaˈrˈdˈaːr
salvo	sɑlʋoː
samarium	samario
samoa	samoa
san	sæn
san marino	san marino
sancte	sankte
sancte christophoro e nevis	sankte kristof roi nevis
sancte lucia	sante lutsia
sancte sede	sankte sˈɛtɚ
sancte vincente e le grenadinas	sankti vintʃente el gɾena dinas
sandaraca	sãn̪d̪aɾɾaka
sanguinar	sanguinˈaɾ
sanguine	saŋguine
sanitate	saːniːtˤːtːə
sape	satˈ
saper	sapɛr
sapientia	sapjɛntsja
sapon	sapon
sapor	sapor
sarah	sɑːɾɑː
sardina	sardina
sardo	sardo
sasir	sˈɐseˈiɹɐ
satisfacer	satislatsɛr
satisfacte	statisfaktɛ
satisfaction	satɪsfaktsion
satisfactori	satisfaktori
scala	skala
scalia	skalj
scandalisar	ʃkˌɐ̃ŋdɐlizˈaɹ
scandalo	skandalo
scandalose	skandalˈoze
scandinavia	skandjnavja
scandium	skandium
scarpa	sgarta
scena	stsˈeːna
sceptic	stsepti
scepticismo	stseptitsismɔ
sceptico	stsɛptiko
scheda	tsʲikɛʲæ
schematisation	zkematizakion
schermo	skɛrmɔ
schola	skola
scientia	stsjɛntsja
scientias	stsijamtsias
scientific	stsijˈɑntiːfɪk
scientista	stsientistˈa
scintillar	stintiˈlˈar
sclavitude	sklavitude
scopo	skɔːpɔ
scotia	sˈkɔtʃˈa
scotic	skɔtik
scribe	skribe
scriber	skɾjβ̞eɾ
scribite	skrˈiːbɪtə
scripte	skripte
scriptor	skrˈiptˈor
scriptorio	skriptoɾio
scriptura	skriːptˈuːra
scuma	skumma
scumar	skumˈaɾ
scuto	skuto
scytha	stsjta
se	sˈe
seaborgium	sebargõŋ
secale	sekaˈle
secar	seka˥˩r
secretariato	srkɾt̪aɾjaːt̪u
secretario	sekʁɾɪtʰaːɾiːõː
secrete	sekrete
secreto	sekreto
section	sektsioŋ
sector	sektor
sectura	sɛktura
seculo	tsikulo
secunda	sekundã
secunde	sekunde
secundo	ˌsekundˈo
secur	se̞kul
securitate	sekuritate
sed	sɛd
sede	seːde
sedece	sɛːdɛtsɛ
seder	sɛˈder
seder se	se dɪɾsɯ̞
sedia	sɛðiːa
selection	sɛlɛkːsioŋ
selenium	seleniʊm
seliger	seligeɾ
semblantia	semplãn̪tsia
semblar	semβ̞laɾ
semicircumferentia	seimitserkɔnferentsia
seminarios	sæmiːnɑːriːæst
semine	se̞mĩnæ
semiopac	sɛmiopak
semitransparentia	semit̪ɾanspaɾɾnkia
sempre	semˈpɾe
senato	senaːto
senator	sˈeːnatˌoːr
senegal	senigˈɑl
senior	senjoɾ
seniora	senora
senioretta	sˈɛnˈɪˈoːrətˈtˈa
sensate	sensaːtːɑ
sensation	sˌensatɪˈon
sensibile	senˈsiːbile
senso	senso
sententia	sent̪ẽnsia
sentiero	sentiero
sentimento	sentimentˈo
sentir	sentiɾ
separar	sepaɾaɾ
separate	sepaˈrate
separation	sepaɾakioŋa
septanta	sept̪ãn̪t̪a
septe	septe
septembre	sɛptɛmbrɛ
septentrion	s̺epːt̪ẽn̪t̪ɾion
septentrional	sepˈtenkɾˈionˈan
septimana	septimana
septime	sˈɛptɪmɛ
sequente	sekwɛnte
sequentia	sekwẽn̪tsia
sequer	sekwɛr
sequimento	sekwimentɔ
serbia	sɛrβia
serbo	sɛrbu
serie	sɛɾjɛ
seriose	serriozɛ
serpente	serpente
serrar	sɛrˈar
serratura	serratura
serve	sɛrve
servicio	savitsio
servicio de messageria instantanee	seɾvizio dɛ nɛsadʒoɾia instantaŋgaj
servir	sɛɾviːɾ
servir de	sɛrvɪjːrde
servitor	sɛrvitˈɔl
servitude	sɛrviːtˈud
session	sessjõn
seta	tʃɛta
sete	seˈte
sever	seβ̞eɾ
sex	sˈɪks
sexanta	seksanta
sexantesime	sɛksantɛsime
sexo	sɛkso
sexte	sɛkstɛ
sexual	seksual
seychelles	sejʃales
si	se
si-nominate	sinominad
sia	sia
sibilo	sibelo
sic	sˈik
siccar	zˈikːaɾ
siccitate	siksjtˈate
siciliano	sitsiljano
sierra leone	sjerre leone
sigillar	seˈgalaɾ
signal	signal
signalar	signalad
signar	sɐ̃ɣnɐɾ
signatura	siɣ̞nat̪uɾa
significa	signifika
significante	signifikante
significantia	signifikantsja
significar	signifikaɾ
signification	signifjkatsiõŋ
significative	sjgnifikative
significato	signifikaˈto
signo	signo
silente	silente
silentio	silˈɛntsio
silicium	silitsio
simia	simɪˈjˈ
similantia	similantsia
simile	simile
similemente	similemente
simoniac	simoniak
simoniaco	simonjako
simple	simple
simplemente	simplemente
simplice	sjɛnglitsɛ
simular	simulaɾ
simultanee	simultanea
simultaneemente	simultaneoelemẽnˈte
sin	sin
sincer	sintseɾ
sine flexione	sin reflektsiˈone
singapur	sʃŋgapur
singular	sˌiŋgulˈɑɾ
singule	sngula
sinistra	sinistra
sinistre	sinˈistrɐ
sino	se
sirena	sjrna
sito	sito
sitos	sjtos
situar	sjtuɑːr
situate	siduaːt
situation	sjtuatsiˈon
situla	sìɾtʊla
skeleto	skeːleto
skiar	skiʝaɾ
slovac	ʃlovaːk
slovachia	slɔvakja
slovaco	slovaːko
slovenia	slo˥˩ːʋɛnja˥˩ː
sloveno	slo˩˥ːʋɛno˥˩ː
sobrie	sobrene
social	sotsial
societate	sotsietate
socio	sɔːˈtsɪːɔ
sodium	solio
sofa	sofa
sofia	sofia
software	sˈɔftwˌɛɹ
sojornar	sotʃoɾðaɾ
sojorno	sudzjornɔ
sol	sol
soldato	sau̯sdato
sole	sɑlɛ
solemne	sˈoːləmnˈə
soler	soleˈɾ
solide	solide
solitari	solitari
solite	solite
solmente	sˈɔlmˈɛntə
solo	sˈolo
solution	saluˈtsiˈon
solventia	solvˈentsia
solver	solβ̞eɾ
somalia	sormalia
somno	somnɔ
somnolentia	somnolentsja
sonar	sonaɾ
sonator	sɔnatɔr
sondage	sɔndatʃe
soniar	sˈoːnjˌɑːr
sonio	sonjo
sono	sɔːnɔː
soror	zoroɾ
sorta	sort̪a
sortir	sɔrˈtiɾ
sovente	sˈoːvˈɛntə
sparniar	spaɾmilaɾ
sparnio	sparɲɔ
spatio	staːtsio
spatula	sfatːula
special	spetsjal
specialmente	spetsjtalmˈente
specimen	spetsʲimen
spectaculo	spektakulo
speculo	spiːrkˈulɔ
spera	spera
sperantia	spɛrˈantsja
sperar	speraːr
spero	spˈeːrəl
sphinge	sfɛngɛ
spina	spiːna
spinula	spiːnula
spirito	spiːrɛtɔ
spisse	spiste
splen	splˈen
splendide	zplendide
spongia	spɔŋgˈɛ
sport	spɔːt
sportive	spoːrtive
sposa	spuˈza
sposo	spuːsˈo
sputo	sputːo
squalo	zgwˈaːlno
sr.	sˈɛnjoːɾ
sra.	senˈɪˈɔrˈa
sri lanka	srjˈlanka
srta.	senioreta
stadio	stadio
stagno	staːgˈnoː
stampar	stampar
stand	stˈænd
standard	stˌɐ̃ŋdˈaɾədʊ
standardisation	stˈandardˈisatsiˈonˈ
stanno	stannɔ
star	staɾ
station	statsjon
stato	stato
statos	s̺t̪at̪os̺
statos unite	statos unite
statos unite de america	status unite tʃi amerika
statounitese	stato
statua	statva
statura	stˈatˈʊra
statutos	statutos
stella	stˈɛlla
stellas	sterlas
stephano	steːfˈanˈo
sterno	esterno
sternutar	stɛrnutaːr
stilo	stˈilo
stirpe	stirpe
stomacho	tstoɫomako
stoppar	stopaːr
strata	strata
strategia	strˈatɛgijɐ
strategic	stratiːgɪk
strato	strato
strepitar	st̪ɾepit̪aɾ
stricte	strikte
stridentia	ztrjdenkia
strontium	strontsjum
structura	struktura
struer	stɾueɾ
studentes	studentes
studiante	stˈwˈdjˈantˈtˈɛ
studiar	stwð̞iar
studio	stuˈdio
stupende	tʃtʊbpɛndɛ
stupide	stupide
su	su
suave	suaʎtvˈɛ
sub	sup
subconscientia	subkɔntsdzjɛntsja
subdirector	subdiˈrektor
subite	subite
subito	sˈubito
subjecte	subʒɛktɪ
subjecto	subʃɛkto
subjunctivo	supʒugtivo
sublevar	sʊbleːvaɾ
sublime	sublime
submitter	tˌɪbtˈər
subsequentia	subsekwɛntsia
subsistentia	supsistɛntsja
substantia	substantsja
substantivo	sʊbstɑntjvɔ
subtus	suptus
succeder	zoktsed̪eɾ
succedite	suktsiɾitˈɛ
successo	suktsɛsʊ
succo	sovko
succulentia	sukulɛntsja
succussa	sokulsa
succuter	sokulter
sucrate	sˈukɾatˈɛ
sucro	pˈusʊkɾˈo
sucros	sukros
sud	aiauð
sudan	sutˈan
sudan del sud	sudˈan dˈil sˈud
sudor	sudɔɾ
sue	sɔ
suer	s̻uɾ
sufficer	zufitsɛr
sufficientia	sufitsientia
suffixo	sufiksˈo
sufflar	suflaɾ
sufflo	soflɔ
suffrentia	sufrɛnˈtsia
suffrer	sofɾeɾ
suger	sogɛr
suggerer	tsuʒeɾeɾ
suggestion	sˌugɾəstjˈon
suissa	s̺uɪssa
sulfure	sunfoɾe
summa	smˈɑh
summitate	suːmeːtˤːaːttˤa
super	supeɾ
superabundantia	supeɾabũn̪d̪ant̪s̺ia
superar	suːpɛraːɾ
supercilio	sʊpersˈilio
supereminentia	supeˈɾˈemɪmensia
superficial	suprˈɑfitsɪʌjɑːɫ
superficialitate	sʊperfitsialitˈate
superficie	suːpɛrvˈitsijɛ
superintendentia	zupɛrˈintɛnˈdɛntsia
superior	sʊpˈɛriːrˈɔl
superlativo	superplativo
supermercato	supərmerkato
superpassar	supeɾpassaɾ
superponer	supeɾponeɾ
superposition	zupapozitsion
supervenientia	zupɛrvenia
supervision	supeɾβ̞jsjon
supervisor	supeɾvizˈoɾ
superviventia	supeɾβ̞ið̞nkia
superviver	suːpɛɾvjˈðər
suppa	sup˩˥a
supplantar	suplantaɾ
supplemento	sʊplɛnəntˈɔ
supponer	suponeɾ
supportar	spurð̞ʱaːr
supporto	supːˈɔrto
supra	supra
suprematia	uprɛmatia
supreme	sʌbrɛmɛ
sur	sɔ
sura	sˈuɾa
surde	sɯ̞uɯ̞rɯ̞dɯ̞
surger	suːɾgeːɾ
suriname	sorinaːmɛ
surprender	suɾpɾɛndɛɾ
surprisa	sɔrprˈiza
surrider	zorˈideɾ
surriso	sʊɾesˈo
surveliantia	zrveljˈanˈtsia
suspecte	suspete
suspirar	sʊspiːraːr
sustenentia	sʊstɛnentsja
susurro	suzuɾo
svalbard	sualbald
sveda	sfɛra
svedese	svjɛ̀dɛjɛzɛ
svedia	sˈvˈeːdˌiːˈɑ
swaziland	svaziland
switza	suitesa
symbolo	simbolo
sympathia	simpatˈiːa
sympathic	simpatˈɪk
syndication	sinð̞jkat̪sion
synonymo	senoonemo
syntactic	sintaktig
syntaxe	sint̪axse
synthese	sintɛze
syria	alia
syriac	sɪriːɛk
syriaco	siːriːjakɔ
systema	sistema
systema de operation	sistɛma dɛ operatsiõŋ
t	tɛ
tabaco	tabako
tabletta	tˈablətˌa
tabula	tabula
tabulation	t̪eβ̞ulakion
tabuliero	tabuliero
tac	tˈak
tacer	tˌatsˈɛr
taco	tako
taiwan	dˈaɪwˈɑn
tajikistan	tˈasdʒˈikistˈaːn
tal	tan
taliar	t̪el̪d̪iar
talon	tˈɑlˈɔn
tamben	t̪anβ̞e
tamen	tˈɑmən
tangentia	t̪ẽn̪kẽn̪t̪sja
tantalo	tantalo
tante	tantˀ
tanto	tanto
tanzania	an̪an̪jɑ
taraxaco	tʃaragsɑːkɔ
tardar	t̪aɾðaɾ
tarde	tŋg
tasca	tas̺ka
tassa	tassa
taverna	taværna
taxa	taksa
taxar	t̪aksaɾ
taxi	tˈak
tchad	tʃaɾ
tcheco	tʃakɔ
tchecoslovac	tʃɛkɔslɔvaːk
tchecoslovaco	tʃɛkɔslɔvaːkɔ
te	se
technetium	tʃaknetsʲium
technic	tɛknik
technica	tɛknika
technocratia	tʃeknokratia
technologia	tʃeknɔlɔgia
tecto	tɛkto
tectonic	tɛkto˥˩nik
tela	tɛjˈlæ
telephono	telefono
television	tˌeːləvisiˈoːn
tellurium	tenurium
temperantia	temperantsja
temperatura	tˈɛmpərˌɑtuːrˌa
tempesta	tˈempəsta
tempestic	tɛmpɛstik
temporanee	tɛmporaːlnɪɪ
tempore	tempore
tenace	tɛnatsɛ
tendentia	t̪ɪn̪d̪ɪnkia
tender	sandeio
tendine	tɛndjne
tendon	te̞n̪d̪on
tenentia	tenentsia
tener	t̪eneɾ
tener le libros	tˈɛn ˈɛr lɛ lˈiːbɹuːs
tenere	tʰiːrnøɾɛ
tentar	tentˈaɾ
tentativa	tˌɛntatˈiːva
tenue	tˈɛnə
tepide	tepide
terbium	tɛrbjum
termino	terminu
terminologia	teɾminologia
terra	terra
terrer	tɛrɛɾ
terrestre	terɾestre
terribile	teˈɾiːbile
territorial	terɾit̪oɾjal
territorio	terɾitˈɔrio
tertia	tsertsia
tertie	tsɪ
test	tɛst
testamento	tˌɛstamentˈo
teste	tˈɛst
testiculo	testikulo
testimoniar	tˌɛstəmˈoːnjɑːr
testimonio	testimonio
tetta	tɛta
texer	tˈɛkseːr
texito	t˦ɕj˥t˥
textile	tekstile
texto	tɛkstu
textos	tɛkstos
thailanda	fajlanda
thallium	taldium
theatro	teatro
thema	tˈema
theocratia	teokratia
theomaniac	tẽomaniak
theomaniaco	tʰiːtʰiː˧˧ɔ̀ːmanːˈjˈɔːk˥oʔː
theomantia	teomantia
theoretic	tɛuɾiɛtɪk
theoria	teoɾria
therapeutic	t̪eɾapelð̞i
therapia	t̪erapia
theriaca	terriaka
these	tˌiːzə
thorium	torium
throno	trono
thulium	tuljum
thunno	tˈuːnˈo
thymo	timo
tibia	tibia
tictac	tiktak
timbro	tindro
timide	tiːmiːɾ
timor	timoɾ
timor oriental	timoɾ oɾjɛntal
tinta	tɛntɛ
tirar	dɪɾaɾ
tiratorio	teɾatɔrio
titanium	titanɛ
titulo	titulo
toalia	tʰuaʔalja˧
toccar	tokaːr
togo	tɔgɔ
toilette	twalet
tokelau	tokãlao
tolerante	tˈɔlərantˈɛ
tolerantia	tpleitse
tolerar	tˌoːlərˈɑːr
tombac	tɔ̃paak
tonar	tɔnɑr
tonga	tonga
tonitro	doːnito
tonna	tɔnˈna
tono	tˈulˈnˈo
tonsilla	tɔntsiːla
topico	ˈopiko
tornar	tɔrnaːr
torno	torno
torquer	tˈoɾkˈoˈɛɾ
torrente	tornte
torso	tˈorso
torta	torta
torto	tʊ̞rʊ̞tˢo
tortuca	tortuka
tosto	tosto
total	totˈal
totalmente	tˈuːtalmˈɛntə
tote	tute
tote le policieros son bastardos.	tote redʒo politse havos son bastardos
totevia	totɨvjaja
toto	toto
tour	tˈuɾ
touristic	tuːristik
tourniquet	tuaʁnike
toxico	tʰoksɪko
trabe	traːbe
tracia	bˈɪtʃɔ
traciar	trotsjar
tractar	tɾaktaɾ
tracto	traktɔ
tradition	trˌɑditsjˈon
traditional	t̪ɾat̪ik̚ˌiõːnal
traducer	tɾaðutseɾ
traducite	tɾadutsˈeitˈɛ
traduction	traduktsion
traffico	tɾafiko
tragedia	tragˈeðija
traher	tˈilˈahˈɛɹ
trainar	tɾaiːnaːɾ
traino	trajno
traitor	tɾaʝtɔɾ
tranquille	trankwilˈlˈe
trans	t̪rãns
transcendentia	transʃsɛndɛntsja
transcription	trˈanskrˈjptˈiˈoːn
transferentia	t̪ɾãnsfeɾntsia
transmitter	tɾansmˈiːtər
transnistria	t̪ɾansnist̪ria
transparente	trensparent̪e
transparentia	transparnsia
transportabile	tɾansportabilɛ
transportar	t̪rãnspoɾt̪aɾ
transportation	tɾanspoɾtatsiˈon
transportator	tɾanspɔɾtator
transporto	transparto
transsexual	tɾanssekswal
transversar	tˈɾˈansvɛrsˈaːrd
transverso	transʋeˈrso
trappa	trˈapːa
trappar	tɾɑpaɾ
travaliar	t̪ɾaβ̞aliaɾ
travaliator	t̪ɾaβ̞β̞aljat̪oɾ
travalio	travjalio
tredece	trɛdɛtsʲːɐ
tremer	tɾɛmɛr
trenta	tɾˈɛnta
trepidation	tɾepenatsɪõ
tres	t̪ɾes
tres centos	tɾˈes θˈɛntos
tresor	tˈɾesˌoˌɾa
tresorero	trˈesˈorˈɛrˈo
trictrac	trɪktrˈaːk
trinidad e tobago	trinitadet obago
triste	triste
tristemente	tristementˈe
tritico	fritiko
triumpho	triumfɔ
tropic	tropik
troppo	tropo
trotto	trˈotːo
trottoir	fɾɔtːvaɾ
trousseau	rusʲo
trovabile	tˈrɔvaːbilːɛ
trovar	ɾɔgaɾ
tructa	trugta
trunco	trˈonko
tu	dˈo
tu ha futuite toto, amico	tu afotʊit tʊɔtʊ amikɔ
tubo	tubo
tue	tˢue
tumer	tˈɔmˈɛɹ
tumescentia	tumestseˈntsia
tunc	toɴkɯ
tungsten	tuːn˧˧s˦te˧n˧
tunisia	tʊnˈizˈɑ
tunnel	tɔnɛl
turbina	tʊɾbina
turbine	turbbine
turbulentia	turbulentsia
turchese	turkˈeze
turchia	tʊrkia
turgescentia	turkestsentsia
turkmenistan	tʊrkmɛnistˈan
turpitude	turetuʁɯdɯ
turre	tˈuɾə
tusse	tʃiːtˢə
tussir	tˈɪsiːl
tuvalu	tuvˈɛlˈo
tv	tˌiːviːtˈ
typic	tipˈik
typo	tipo
typographic	tipogrifik
u	u
ubere	ubere
ubi	lubi
ubi esque nos esseva in le restaurante?	uβies ke la se θeβa ã la ɾestaʊɾante
ubicunque	oikunkue
ubique	ulbʲikwɛ
uganda	ogandɔ
ukraina	ukrajna
ulle	bɔlɛ
ulterior	ulterioːr
ultimatemente	ultimatemente
ultime	ulkiːme
ultimemente	ultimement̪e
ultra	ultra
ultrantia	ultrantsia
umbilico	unbiliko
umbra	ˈundɾa
umbrar	pumbɾaɾ
un	n
un coclearata de sucro adjuta a inglutir le medicina.	nun kɔklɛraːtɛ de sˈukro a dʒuːtːˈa a inklʊtˈire le meditsˈina
un dracon es un bestia mythic.	ũn drakaon ke ũn bestia mitik
unanime	unanime
unanimitate	unanimitad
unda	una
unde	õn̪d̪e
undece	bunðatsɛ
ungue	puŋguæ
unic	uːnˈɛk
unidirectional	unidireksioˈnal
uniforme	unifɔrmæ
union	uniˈon
unir	uneiːr
unitate	unitatse
unite	ulgnivkɛ
univa	uːnivɑh
universal	uniːvɛrsal
universitari	uniβærsitari
universitate	universitats
universo	univˈɛrso
uno	ˈuno
unquam	unkwa
uranium	uranium
urban	uɾβ̞an
urbe	abɛlpe
urgente	urgjɛntɪ̞
urgentia	urgɛntsia
urtica	uɾtika
uruguay	ʊrgʷaj˨˩
usante	uzante
usantia	uzanˈdzija
usar	uzatʃ
usate	uzate
usator	uzator
uso	uːsˈo
usos	usos
usque	uskue
utensile	ultɛntsile
utero	utera
utile	utile
uva	uvɑ
uzbekistan	ʃuʃbɛkistɑn
v	dɛ
va	va
va te facer futuer	vat fa tser fu tʁɛr
vacante	vakante
vacantia	dakantʃja
vacantias	vakantsjas
vacar	akak
vacca	akːa
vaccaria	ð̞akkaɾja
vaccheria	dakˈeɾia
vacchero	dakero
vaccin	vaksˈin
vaccinabile	datsjnaːbile
vaccinal	vaksinal
vaccinar	vaksinaːr
vaccination	vaks̺inakion
vaccinator	vaksinator
vacuar	vakuara
vacue	dzakoja
vader	ð̞að̞eɾ
vadera	lat̪era
vaderea	vatɛɾɛa
vadeva	vadera
vadite	ladɪtʃe
vagar	vˈaɣaɾ
vagina	vˈagɪnˈa
valentia	valensia
valer	valɛɾ
valide	valid
valle	vallɑ
vallea	valˈlɛa
valor	valoɾ
valvula	vˈɑːlvˈɑlˈ
van	vˈan
vanadium	ðanaðɪum
vanuatu	vanuatu
vapor	d̪apoɾ
varia	varja
variar	varjaɾ
varie	varjˈɑ
varietate	varjətate
vasculo	laskuro
vaso	vaso
vaste	vˈastə
vegetal	beːrgetˈɑːl
vehementia	vehementsja
vehicular	ʋɛːkulaːr
vehiculo	ʃˈɛlkˈlo
vela	nela
velo	vˈɛlːa
velocitate	vilatsiˈtate
vena	ð̞iena
venal	enˈal
vender	ðendær
vendita	vɛnˈdita
veneno	deneno
venerdi	ðˈeːnɜdˈi
venezuela	vˌɛnɪzwˈeɪlɑ
vengiantia	vɛŋgjantsja
venir	beniɾ
ventar	ð̞ɪntˈaɾ
vento	vento
ventre	vˈɛntrˈa
ver	vˈɛr
verbo	vɛrdo
verde	verˈde
verdura	vˈɛrdura
vergonia	vergˈonija
vergoniose	dæɾmænɑjˈzæmændæɾmænɑjˈzæmæn
verificar	neɾɪfikˈar
verisimile	veˈrˈisˈɪmɪlˌɛ
verisimilitude	peɾesemɪlɪtʊbda
veritate	veritate
verme	ðærmæ
vermente	vermɛnte
