''	tfoɲuzam
udhetimet	ʊlʊˈtiːmɛt
udhetoj	uðɐtɔj
udhë të mbarë!	ouf dˈʉm bˈar
udhëtare	ʊzˈɔtˈaɾɐ
udhëtari	uzutaɾi
udhëtarët	uzutɑɾt
udhëtime	uzutɪme
udhëtimi	uvuti˩˥ːmi
udhëtoj	uzutɔj
uells	wˈɛlz
uji	ui
uji i ftohtë	wˈiv tˈɔk
ujin	uʲiːn
ujit	buit̪
ujk	vˈik
ujku	ojku
ujë	ˈʌjɛ
ukraina	ukɾaɪna
ul	uul
ule	ulɛ
ulem	ulɛm
ulesh	ulæʃ
ulet	ulət
ulje	ulʲe
ulli	ulɛ
ulliri	ulijɯɫi
ulqin	ultʃin
ulqini	ultʃini
ulur	ulˈɾ
unaza	unaza
unazën	unazɛm
ungjillore	ũŋdʒjlɔaɾɐ
universitet	uniβ̞eɾsit̪et̪
universiteti	uniˈverʃitɛtɪv
unë	buːnə
unë flas	ʊnflˈɑz
unë isha ulur në divan, dhe po shikoja televizor.	un iʃɑulə oɾn ɛ dilan ðe pə ʃɛj kɔj aː tɛlɛvezoɾ
unë kuptoj	un kʏptɔj
unë lexoj	un nətza
unë të dua	ˈun ke ðˈɑ
ura	pula
urdhëra	əʊrðəɾa
urdhërat	ˈʊɾdɾat
urdhëroni	orðorni
uri	ɾˈulˈim
urime	ɔlimɛn
urë	ˈɔɹ
ushqej	uʃtʃɛj
ushqim	usʃim
ushtarak	uʃtaːraːk
ushtri	ʊtɾi
ushtrim	uʃtriːm
ushtrime	uʃtrʲiːmʲɛ
ushtrisë	uztriːs
uthull	ðuɫ
uçk	utʃaka
vaiana: në kërkim të ishullit mitik	va jɑnɑ nɔ kɔtkɛm tə ɲiʃu ɦit mitik
vaj	vaj
vajgurore	vˈaɪguɾˈaˈɔɾɐ
vajza	vajzɑ
vajzave	vˈaɪzaˈvˈe
vajzë	vˈaɪz
vakt	vaːkt
valbona selimllari	v albou nasˈɛ lɪˈmladɪ
valdrin hasani	vaːldˈriːn hasaːnˤi
valixhe	validʒe
valon ahmedi	valoːnˈahmˈedi
valon behrami	vlon beɾɑmi
valon berisha	baloːm beˈriːʃa
vals	vˈals
valë	vˈaʎ
valëza	vˈˈalza
vampir	vˈɑnpˈɪɾd
vangjel toçe	mandʑʲelʲ totʂɨ
var	bɑːɾ
vardar	vˈɑːrdˈaɾ
vardari	vo˥˩ːlda˥˩rli˥˩b
varfër	ʋˈaːrfər
varfëri	vˈɑːrtføːrlˌeː
varr	var
varur	vaːrˈtˈoːr
vasjan lami	vasjˈan lˈami
vazhdojë	bazsdɔj
vazhdosh	vasdɔʃ
vazo lulesh	vaso˩˥ː lulɛʃ
vdekja	vdɛjkˌaː
vdekje	fdɛjkjɛ
vdekur	fdɛkɔr
vdekurit	β̞tɛi̯kuɫeð̞
vdes	dudˈas
vdiqën	vd̪ið̞sən
vdisni	tiːsniːm
vedat muriqi	vedat mu ritʃi
vegan	fɛgan
vegjël	vˈeːgəl
vend	vˈɛnt
vende	vˈɛndə
vendimi	vɛndimi
vendit	β̞ẽn̪d̪jt
vendosa	vˈɛndˈɔsa
vendosni	vˈɛndˈosni
venus	venos
veprim	apɛa
vera	vˈeːra
verbër	vˈɛrbəɹ
verdhë	vˈɛɹz
veri	veːrdiː
veriperëndimit paqësor	vɛri per ɔndimit paɪtsoɾ
veriut	ve̞rijʊt
verë	ðeə
vesh	vɛʃ
veshin	vɛːʃɪn
veshje	veːʃjeː
veta	vˈɛta
veten	pet̪in
vetja	veːrˈtjɒ
vetulla	ðætˈuːlɑ
vetura	vətˈʊra
veturën	vˈɛtuɾen
vetë	vɛːt
vetën	veːton
vetëvendosje	vetvɛndɔsjɛ
veza	veːzɑm
vezë	bez
veçanërisht	vɛtʃa˥˩nɔriʃt
veçse	vɛtʃsɛ
video	vˈiːtˈeːɹ
vij	vi
vijoj	fioi
vijona kryeziu	vi una krueziu
viktima	viktima
viktimë	viktˈiːm
vinte	vinte
vinç	vˈiːntʃ
violeta manushi	violeta manuʃi
violeta trebicka	viɔlʲeta trɛbitska
violinë	viˈolin
virgjineshtë	virgineʃta
virtyti	virtyˈti
vishaj	vʲiʂaj
vitet	vipet
vithkuq	viskuʃ
vithkuqit	vistʃarne
viti	viti
vitomiricë	vitɔmiɾitsʃ
vizatoj	vizatoj
vizitë	vizit
vizore	vɛzˈaːmjˌɛ
vjedh	vʲes
vjel	bjˈel
vjell	bje̞w
vjeshta	fjɛʃta
vjeshtë	vjɛʃt
vjeter	vjɛtor
vjetër	fʲietɔr
vjeç	vjɛtʂ
vjeçare	vʲɛtʃaɾlʲeː
vjeçe	vjɛtʂɛ
vjollca	vjɔltsa
vjollcë	fjals
vjosa	vjosa
vjosa osmani	vjɔsa ɔsmɑnj
vjosë	vˈiˈɔs
vjështë	bʲer
vlashuk	flaˈzˈˈuk
vlerësoj	vlˈeɪrsˈɔɪ
vllaznia	vɫaznija
vlora	lora
vlora mezini	flora mezini
vlorë	ʝˈɔɾɐ
vogël	vˈogl
volfram	vˈoɫjfram
vonesë	vonejsʊ
vonuar	vo˥˩ːnuaɾ
voskopojë	voskɔˈpɔj
votim	vɔtim
vra	vla
vrap	pɾaːb
vrapoj	vɾapɔi
vraponi	fraponi
vras	fras
vrasja	braʃo
vrasje	bratɛ
vrazhdë	bɾaːʒd
vret	fret
vrimë	vrim
vriste	fɫistɛ
vullkani	vukani
vura	vˈura
vuri	vʊːɫe
vushtrri	vuxtri
vë	vˈa
vëlla	vɯ̞ɫːɑ
vëllai	ðˈɪ
vëllain	voːlˈaɪn
vëllait	ðəlajt
vëllezër	voːlˈæzər
vëmendje	voːmænˈdjeː
vëmendjen	vˈɑːməndiːən
vërdallë	vɤdɑːl
vërtet	vˈɚtˈæːt
vërtetoj	verteˈtoj
vërtetuar	apvɛrtetˈuaɾ
vërtetë	vərtət
vështirë	abɯʃtiva
xhaketë	xaket
xham	dʐaːm
xham zmadhues	dʒamz maðʊɛz
xhami	dʒami
xhaxha	tadʒa
xhaxhai	dʒʈajm
xhelatinë derri	dʒeˈlˈatˈin dirˈi
xhelil aliu	dʒɛliː la liʊ
xhelilaj	dʒɛliːlaj
xhenete	dʒenɛjate
xhepi	ʒɛpːi
xherdan shaqiri	dʒɑːrdˈæn ʃatʃiriː
xhesika kasemi	ɠɛsika kɑsemi
xhesika lushaj	dʒɛsika luːʃaj
xhevahire	tʃəvahʲiːrə
xhevdet sahatxhija	ɟɛvdɛtsɑ hɑɟɪɑ
xhezve	tʂɛjzvɛ
xhilda lapardhaja	dʒilda la parðaia
xhino	dʒino
xhiro	dʒiːro
xhorxhina	gˈˈɛoɾˈtʃina
xhuli	tʃuli
xhuljeta	tʃuljeta
xhuljo vrenozi	ʒˈulio vˈrˈˈɛnozi
xhuxhmaxhuxh	dʒudʒmaːddʒudʒ
xinxife	tsjnsiːfe
xixellonj	ʃiːzilɔnˈ
xixë	tsiːnˈzˈɑ
xixëllonja	dzitsɛlɔnʲa
xixëllonjë	tsidɐlɔj
xixëllore	ðizɑlˈoɾiə
xoxa	dzodza
yjet	yːjɛt
ylber	ybɛ
ylberi	ylberi
yll	yn
ylli	yli
yllka mujo	ɪːɫka mˈuːr
ynë	yn
yshmer	juʃmˈɛ
yt	yt
zagushi	zaguzʃe
zaharia	zɦaɾiːjɑ
zakonisht	zakonɪʃt
zakonshme	zakɔntʂmɛ
zakonshëm	zakontʂɨu
zambak	zambɑk
zanore	samɛ̃ːmoʁɑ̃
zbatim	zbatim
zbehtësi	zbʲeftɨsʲid
zbrit	zbɾiːd
zbukurues	zbukuɫdfɛst
zbuloj	zbulˈɑːj
zejmen	zˈeɪmən
zemer	zamr
zemra	zɛstra
zemrës	zemraz
zemëruar	zˈɛmrˈuaɾ
zeqiri	zəˈʒiːri
zero	zˈɛɹoʊ
zeza	zɛza
zezake	zɛzaːkɛ
zezë	zˈeʒ
zgara	ʃgˈarˈla
zgjedhim	zdʒetim
zgjedhja	zɛvja
zgjedhës	zdʒeʲestʃɛ
zgjidh	asdʒˈið
zgjidhja	zˈgˈiʋjɐ
zgjidhje	sʲːiðʲa
zgjohem	zjɔhem
zhbllokim	aʃbɫokʲim
zhduket	ʃtukɛt
zhgënjej	ʒgʲːaj
zhur	ʒˈur
zhurmshëm	ʐurɨmʂɛm
zhurmë	ʒuɔm
zhyt	ʒˈut
zi	ziː
ziej	zˈiei
zili	siːgˈli
zink	zˈɪŋ
zjarr	zˈɛr
zjarri	zjˈari
zog	zɔg
zogj	zˈɔ
zogjsh	zajtʃ
zogjtë	zajʃt
zogjve	zojtʃbe
zogu	zɔɣum
zona	zɔna
zonja	zˈonja
zonjë	zɔɲ
zonën	zɔnnɛn
zotat	zɔtat
zoti	zɔti
zotëri,	zɔtri
zotërinjë	izˌɌltˈoriŋ
zvarranik	zvarɾənik
zviceran	zvitsɛɾan
zvicër	zvitsɚ
zylfijaj	zulfiai
zyra	zˈyːla
zyre	zˈyrə
zyrë	zˈʌɹd
zë	zə
zëmër	zˈɛmɚ
zënë	zan
zëri	zɑːrti
zëri i popullit	zari poˈpullit
zëvendësoj	zaventsoj
ç'kemi	tʃakɛni
ça	tʃa
çafkë	tʂafk
çaj	tʃaj
çaj mali	tʃaːj mˈarlin
çalltis	tʃautis
çaloj	tʃɑːlɔj
çam	tʃam
çamçakëzi	tʃamtʃakɐzi
çandër	tʃadr
çanta	tʃanta
çantat	tʃantat
çantë	tʃɛnt
çarçaf	tʃˈɚtʃɚˈ
çati	tʃatˈi
çdo njeri është mbret në shtëpinë e tij.	zɟɔn jɛ liːja ʃtɛn brɛt nɔ ʃtɛp pjnɛ ti
çdo zog pëlqen folenë e tij.	tʃto zok pɛ tʃɛn fo˥˩ːlɛ nɛti
çdokush	dʒdɔˈkuʃ
çekosllovakia	tʃɛkɔslɔvakia
çel	tʃɛl
çelebroj	tʃɛlabrɔj
çelik	tʃɛlik
çelës	tʃɛjles
çelësa	tʃeləseɪn
çelësi	tʃe̞lsʲi
çerçiz topulli	tʃɛrtʃist tɔpuli
çezma publike	tʃɛzma publike
çfardo	tʃvajvdɔ
çfarë	dˈɛɹ
çfarë kombësie keni?	tʃˈvˈan kɔm sˈi ɛkɛnnˈi
çfarë po bën?	tʃvarpɔpɨn
çfarë pune bëni?	tʃar punɛ banim
çifti	tʃiftɪ
çiftëzoj	tʃifttɔzɔj
çik	tʃik
çizme	tʃiːzmæ
çizmet	tʃizmɛt
çka	tʂka
çkemi	tʃkæmʲi
çkemi?	tʃkajmi
çlirohem	slˈiɾoːvhˈɛm
çliroj	sliːrɔj
çlodhem	tʃlovɛm
çmenduri	ʃmænduːæɾiː
çmim	tʃmim
çmimi	tʃmˈimi
çmimin	tʃmidʒi
çmoj	tʃmoj
çmontoj	tʃmɔntɔj
çmëndur	tʃmɒnduɾ
çngrij	tʃɛngrʲeː
ço	tʃa
çohu	tʃau
çoj	tʃoj
çoje	tʃɔjɛ
çojmë	tʃoim
çokollata	tʃɔkɔˈɫɑtɐ
çokollatat	tʃɔkɔˈlɑtɑt
çorape	tʃorapɛ
çorapet	tʃorapɛt
çorodis	tʃaradis
çorovoda	tʃorɔvɔda
çosh	tʃaʃ
çrrenjos	tɾɛɲos
çuan	tʃuan
çudi	tʃudiːm
çudibërës	tʃudɪbœɾɛs
çudit	tʃudɪt
çukit	tʃukit
çun	tʃon
ç´gjuhë	tʃɪˈux
çështje	tʂaʂtʂɛ
ëmbël	ɑmbɔl
ëmbëlsirë	ambeiʃ
ëndrra	ˈɛndra
ëndërr	andɔɾ
ëndërroj	andɔroj
është	aʃtɒ
​anisa dervishi	nk
​devis muka	devis muka
​dritan sejamini	dritan sejamini
​elvis pupa	elvis pupa
​ema andrea	dˈɛm ˈandreːa
​eni jani	ajn jaːne
​esmeralda "cubi" metka	ʃmʲeːralda tsoː bi mɛtkaː
​esmeralda metka	æsmɛralda mɛːtka
​gladiola harizaj	gladiola arizai
​indrit çobani	ɛndritsɛ ɛ oˈbɑŋi
​luljeta "luli" bitri	lulie eˈta lulɪ ˈbitri
​luljeta bitri	lulie ta bjitri
