! (vykřičník)	kɾˈitˈvˈ
agrofert	agrʊfeɾt
agronom	agronom
agronomický	agronomitskiː
agronomie	agronomija
agronomka	agronomka
agrární	agraːrniː
agrárník	agraːrɲiːk
aguti	agutɪ
agáta	agatæ
agáve	agˈaðɐ
agón	agˈon
agóna	ˈagoɾna
agónie	agoɾnja
agóny	ˈeɣoni
ah-ampérhodina	ampɛrɦodɪna
aha	dˌiːzə
ahoj	aɣoɪ
ahoj , jak se máš ?	aɦoj dˈiːs sɛ maːʃ
ahoj všem!	aɦo j fʃɛm
ahoj zítra	aɦo ziːtra
ahoj zítra!	aɦo jsiːtra
ahoj, jani!	aɣo jiʑo pavʲerɨɫa
aikido	aikkado
aimag	aʲmɑk
airbag	ɛrbɛk
airbus	ɛɾbɑs
airy	ajrʲ
ais	ɑiz
aisis	aisis
aj.	ɑjˈinɛ
ajbiš	ajbɪʃ
ajmak	ajmat
ajnclík	ajnæslɪk
ajncvaj	aɪntsvˈaɪ
ajoj	ioj
ajsko	aɪsˈkɔ
ajtys	aitɛs
ajurvéda	aiurevɛːda
akad	ɑkɑt
akademici	akadˈemitsi
akademická	akadɛmitskaː
akademický	akadɛmitskiː
akademický titul	akarɛmɛtski tɪtu
akademie	akademiʲe
akademie věd	ɑkɑdɛmiɛvjɛt
akademik	akað̞mik
akan	akˈan
akant	akant
akanština	aqadʏʃtʏjønø
akara	ɑqɑrɑ
akary	akarɪ
akašu	akasu
akažu	akaso
akce	aktsɛ
akcelerace	aktsɛlɛratsɛ
akcelerátor	aktsɛlɾaːtor
akcent	aktsɛnt
akcentovat	aktsɛntɔvat
akcentujte	aktsɛntujtɛ
akceptace	aktsɛptatsɛ
akceptovat	aktsɨpdɔmɑn
akceptovat směnku	aktsɪptovatsmjɛnku
akcerelace	aktsɛlɛratsɛ
akcerelátor	aktsɛlɛraːtɔr
akceschopnost	aktɛskopnɔost
akceschopný	aktsɛsxopniː
akce protestu	aktsɛprɔtɛstu
akcie	aktsɪjæ
akcie se razantně propadly	aktsijɛ sɛ razaktɲɛ propadlɪ
akcie automobilky	aktsiɛawtomobɪlkɪ
akcie klesají	aktsiɛklɛsaj
akcie koncernu klesly o	aktsiɛkɔnsɛrnʊklɛsliɔ
akcie na jméno	aktsijɛnajmɛnɔ
akcie na majitele	aktsijɛnamajitɛlɛ
akcie stoupají	aktsʲijɛstɔu̯pɑj
akcionář	aktsionaːr
akcionáři podniku	aktsionˈaːʒɪpodɲiku
akciová společnost	aktsɪɛvaː spolɛtʃnosc
akciové	aktsjɔvɛ
akciový	aktsɪjovjiː
akciový kapitál	aktsɪ oːvˈiː kapɪtaːl
akcií	aktsiː
akcíz	aktsiːs
akcízní	aktsiːzniː
akcízního	aktsiːzɲˈiːɦo
akcízový	aktsiːzovjiː
akija	akest
akiji	ɑkɪ
akita-inu	akest̪ae̞n̪u
akja	akja
akje	ħakˈt
akji	akˈiː
aklamace	aklamatsɛ
aklimatizace	aklɪmatɪzatsɛ
aklimatizovat	aklɪmatɪzovat
aklimatizovat se	a klɪmatɪzofatsɛ
akmit	akmai
akmé	akmeː
akné	aknɛ
akomodace	akˈamodatsɛ
akomodovat	akomodovat
akontace	akɔntatsɛ
akord	akɔrd
akordeon	akordɛon
akordní	akordniː
akordy	apordˈek
akorát	akaraːt
akorát, že	akoraː dʒɛ
akr	ɑkɯ̞r
akreditace	akrɛdɪtɑtsɛ
akreditiv	akredijtɪf
akreditivní	akredɪtɪvɲˈiː
akreditovaní	akrɛdɪtˈovaniː
akreditovaný	akrɛdɪtovaniː
akreditovat	akrɛdɪtovat
akrobacie	akrobatsɪjɛ
akrobat	akrobat
akrobatický	akrobatɪtskˈiː
akrobatka	akrobatka
akrofonický	akrofonɪtskɪː
akronym	akɾonˈemɐ
akry	ɑˈkɾip
akryl	akrɪl
akrylová	akrɪlovaː
akrylové	akrɪlovɛːn
akrylovým	akrɪlovˈiːm
akrů	akɾuː
aksamit	akkesamit
aksamitový	akkeamɪtomi
akt	ˈeɪ
akta	aktem
aktinidie	aktɪniljɛ
aktinium	akd̪eɣ̞unioŋ
aktiv	ˈaktɪf
aktivace	aktɪvatstsɛ
aktiva a pasiva	aktivaapasiva
aktiva bilance	aktivapɪlantsɛ
aktivista	aktsɪvɪsta
aktivistka	aktɪvjstɔ
aktivisté	aktɪvjstɛː
aktivita	aktivita
aktivita záření	aktɪvɪtazaːr̝ɛɲiː
aktivizace	aktɪvɪzatsɛ
aktivizovat	aktɛvizovat
aktivizovat se	aktivizovat sɛ
aktivnost	aktɛktsost
aktivní	aktɪvɪniː
aktivní zásada personality	aktɪvɲiː zaːsada pɛrsonalɛtɪ
aktivní důstojník	aktɪvɲiːdˈuːstɔɲiːk
aktivní expanzi	aktɪvɲiːɛkspansɪ
aktivní prostředí	aktɪvɲˈiːprostr̝ɛɟiː
aktivně	aktɪvɲɛ
aktivně probíhá	aktɪvɲɛprobiːɦaː
aktivně se zabývá	aktɪvɲɛsɛzabˈiːva
aktivované uhlí	aktɪvovanɛːuɦliː
aktivovat	tɨlˈvɨvava
aktivování	aktivovˈaːniː
aktivujte	aktɪvujtɛ
aktivum	aktivum
aktivátor	aktɪvaːtor
aktovka	aktɔfka
aktualita	aktualita
aktualizace	aktualɨzatsɨ
aktualizaci	aktualizatsɪ
aktualizoval	aktualizɔval
aktualizovaná	aktualizɔvɑna
aktualizovaného	aktualizavanɛːɦo
aktualizovat	aktualizovat
aktualizováno	aktualizɔvaːnɔ
aktualizujeme	aktualizujɛmɨ
aktuálnost	aktuaːlnˈost
aktuální	aktuaːniː
aktuálních	aktuaːlɲiːx
aktuálního	aktuaːlniːɦo
aktuálně	aktuaːlɲɛ
akty	aktɨ
aktér	aktɛr
aktík	atklɪk
akumulace	akumulatsɛ
akumulační	akumulatʃɲiː
akumulační schopnost	akumulatʃɲiːsxopnost
akumulovat	akumulavat
akumulování	akumulovaːniː
akumulátor	akumulator
akumulátorový	akumulaːtoroviː
akumulátor alkalický	akumulaːtoralkaliːtskiː
akund	ɑˈkunt
akupunktura	akupungtura
akurátní	akvraːtɲiː
akusativ	apozatɛ
akustická	akustitska
akustického	aːkustitskæːhɔ
akustický	akustɪtskˈiː
akustika	akustika
akustikou	akustikau
akutní	akutni
akuty	akutɨ
akuzativ	akuzatˈe
akvadukt	akvadu
akvakultura	akvakul̪t̪uɾa
akvalung	akvaluŋk
akvamarín	akvamarijn
akvamarínový	auamaɾinoːi
akvarel	akvarɛl
akvatorium	akvatorjum
akvizice	akvɪzɪtsɛ
akvárium	akvarɛium
akyn	akˈɪn
akácie	akaːtsiɛ
akání	akaːniː
akát	akat
akátový	akatɔvj
akáty	akate
akátí	akati
akče	akɟ
akční	tɨtakɕmʲi
akční nabídka	ˈak tʃnˈiː nˈabitkɑ
akční rádius	aktɕɲiːraːdɪus
akčně	aktɨɲɛ
al kaida	alkaida
al-kájda	aukaːra
alabastr	alɑpɑstɯr
aladlammú	alatlamu
alani	palˈaɲi
alarm	ɑlɑɾm
alarmovat	æɫɑrmʊ̞vɑt
alarmujících	alarmujiːtʃiː
alasy	alasip
alaš	alaʃ
alaše	aːlisɦ
albert	alberts
albeřický vrch	albɛr̝itskiː vrˈox
albrecht braniborský	al brɛxt braɲiborskiː
albrecht chanovský z dlouhé vsi	albrɛxt xaŋofskiː zlouɦɛː fsɪ
albrecht václav eusebius z valdštejna	aɫbrɛxt vaːtslaf ɛusɛbjus zvaɫtʃtɲina
albrecht z valdštejna	albrɛxt zobalt tɪ jɛnɛ
albrechtičky	aotrɛxtɪtʃgɪ
albu	ɑɫbu
album	album
albumin	albumen
alby	albe
albánec	albaːnət
albánie	alˈbˈaːnɪðˈ
albánka	albanka
albánský	arboːnskiː
albánština	albaːnʃtʃɪna
albín	albiːn
alchymie	ɑɫxˈimiɪ
alchymista	alxjmista
ale	alɛ
ale bylo to horší než jsem myslel	alɛ bɪlo tˈo ɦorʃiː nɛʃ sɛm mɪslɛl
ale doopravdy	alɛ do opravdɪ
ale jen když musím	alajɛŋdiʃmusiːm
ale kdepak	alɛ gdɛ pak
ale my žádáme tranše s úroky	alɛ mɪ ʒaːdaːmɛ tranʃɛs uːrokɪ
ale nejde jen o angličtinu	alɛ nɛjdɛ jɛn u ɑŋglɪtʃnɛnau
ale odeslaná pomocí speciálního programu	alɛ odɛslanaː pomotsiː spɛtsiaːlɲiːho programu
ale po svátku víc	alɛ po svaːdku vˈiːts
ale prozatím zůstaly ještě	alɛ pro zˈatiːm suːstalɪ jɛʃcɛ
ale přesto	alekjka pr̝ɛsto
ale teď pláčeme	atak platʃɨmɨ
ale už si to nepamatuju	alɛ ʔuʃiː tˈo nɛpamataju
ale v nedostatku motivace	alɛ v nɛdostatku mˈotɪvatsɪ
ale vejde	alɛ vɛjdɛ
ale za běžné ceny	alɛ za bjɛʒnɛː tsɛnɪ
ale zároveň si myslím, že...	alɛ zaːrovɛɲiː sɪ mɪsliːm ʒɛ
ale život jde dál	alɛ ʒivot ʒcɛ daːl
ale, co je nejdůležitější	alɛtsˈojɛnɛjduɫɛʒitɛjʃiː
alef	alˈɛf
alegorický	alɛgˈorɪtskiː
alegorie	alɛgɔriɛ
alej	ale
aleje	aleje
alela	alɛla
aleluja!	alaluja
alely	alɛli
alena	alɛnɔ
alena drtinová	alɛna drgɪnovaː
alena kučerová	alɛna kutʃarovaː
alena šeredová	alɛnɛ ʃɛrɛdavaː
alergický	aːlɹut̪ne̞
alergie	aˈlɜɣje
alespoň	alɛspɔjn
aleuty	alaeultɨ
aleutština	alɛutʃtɛna
aleutština má asi 490 mluvčích.	al ɛ utʃtɕɪna maː asɪ tʃtɪr̝ɪ sdotɛvadɛsaːt dvuxtʃiːx
alex král	alɛkskɾaːl
alex čejka	alɛks tʃɛjka
alexander dubček	alɛksandɛːr duptʃɛk
alexander salák	alɛksantr salaːk
alexandr	alɛksantr
alexandra	alɛksantra
alexandrie	alɛksantrɪɛ
alexej	aɫˈɛkseː
ale i cíl cesty	alajɪtsjɪlsɛstɪ
ale i cíl cesty zdaleka	alɛʔɪtsʲiːltɛztɪzdaʎɛka
ale i obecně	alɛʔɪˈobɛtsɲɛ
ale i samotné	aːlɑiːsamotnɛ
ale i toto	aˈlaetˈoto
ale i toto s klauzulí	alɛʔɪtˈotosklausulˈiː
ale jsou použity	aletaksoupouʒɨtɨ
ale koncem	alɛkˈontsɛm
ale kromě toho	alɛkromɲɛtˈoɦo
ale naše vládnoucí kruhy	alɛnˈaʃɪvlaːdnousiːkruɦɪ
ale on to všechno i hradí	alɛ on tˈo fʃɛxno vɨjavɛ hraɟiː
ale o autorství	alɛoautorstviː
ale poté	alɛpotɛː
ale skutečnost	alɛskvdɪtʃnˈost
ale sotva	alɛsɔdva
ale vyjednávání	alɛvɪjɛdnaːvaːniː
ale všechny ony byly	alɛfʃɛxnɨonɪbɪlɪ
aleš	alɛʃ
aleš briscein	alɛʃ brɪstsɛjn
aleš hemský	alɛʃ ɦɛmskiː
aleš hrdlička	alɛʃ ɦrdlɪtʃka
aleš matějů	alɛʃma tɛiʝu
aleš najbrt	nˈɪʃ najbr
aleš novák	alɛʃ nˈovaːk
aleš čermák	alɛʃtʃɛrmaːk
alfa	alfa
alfabeta	alfabɛta
alfabetix	alfaβ̞t̪iks
alfol	ˈɑlfˌɔl
alfons maria mucha	al font maːria muxa
alfons mucha	al fɔn ɔzmuxa
alfred brendel	alfɾet̪ β̞ɾanɣ̞el
alfréd	alfɾet̪
alfy	alfit
algava	algˈava
algavské alpy	algafskɛ alpɨ
algebra	algɛbra
algebraický	alɣɛbraʲitskɨ
algor	algoɾa
algoritmický	alɣorɛtmɛtskiː
algoritmus	alkovl
algoritmy	algɔrɪtmɪ
aliance	alijantsɛ
alibi	alɛbɨ
alice	ɑlitsɛ
alifatický	alɪfatiːtskaj
aligátor	aligaːtɔr
aligátoři	alɛgaːtor̝ɪ
alikvotní	arɪkvotniː
alimenty	alimɛntɪ
aliud	alio
aljašce	aljaʃtso
aljaška	aljaʃka
aljašky	aːljaʃki
alkalická reakce	alkalitskaːrɛaktsɛ
alkalické prostředí	alkalɪtskɛːprostr̝ɛɟiː
alkalický	alkalitskʲi
alkalický roztok	alkalɪtskˈiːrˈostok
alkalita prostředí	aːlkalɪtaprˈostr̝ɛɟiː
alkaloidy	alkalojdi
alken	alcãn
alkin	alkĩn
alkohol	ɑnˈkɑːhɔːl
alkoholici	ɑlkɔɦɔlitsi
alkoholický	alkoholɪtskiː
alkoholik	ɑlkɔɦolik
alkoholismus	aɫkoɦorɪzmuːs
alkoholička	ɑlkɔɦɔlitʃka
alkoholový	aɫkoɦolɔvj
alkonost	alkonas
alky	alke
alkyd	alkɛt
alkyl	alkiʝ
alkálie	alkalɪ
allit	alɛt
allyl	alil
alláh	ælɑh
almanach	ɑɫmenəθ
almara	ɑɫmaɾa
almea	almɛa
almey	almei
almud	alut
almužna	almuʒna
almy	alme
almárka	ɑɫmaɫɯ̞rkɑ
alobal	alobal
alod	alot
alody	alodɪ
aloe	alɔɛ
alogický	aloɣɪtskɛ
aloi	aloi
alois	alojʃ
alois denemarek	alo jis dɛ nɛmarɛk
alois hába	alais haːbæ
aloisie trojlistá	a lɔʒi ʒijɛ trɔjlista
aloisie trojlistá je vytrvalá aromatická rostlina.	aɫoɪzijɛ tro lɪsta jɛ vɪtrvala armatɪtskaː rɔstɫɛna
alojzov	alojzof
alokace	aɫokatsɛ
alokovat	alokovat
alonž	alõŋʝ
alotropický	aɫotropɪtskiː
alp	al
alpa	alpa
alpaka	alpaka
alphonse mucha	ɑlfɔns muxa
alpid	alpɛt
alpinismus	alpɛnismu̯s
alpinista	alpinist̪a
alpinistka	alpinistka
alpský	alpskiː
alpy	alpe
alpín	alpiːn
alt	aʊt
altaj	altaj
altajský kraj	altajskiːkraːj
alternace	altɛrnatsɛ
alternativa	alternatɪva
alternativní	alt̪eɾnat̪jkni
alternativní medicina	altɛrnatɪvɲiːmɛdɪtsˈiːna
alternativně	altɛrnatɪvɲɛ
alternátor	alteˈnator
altis	aʊtis
altistka	aɫtɪstka
altový	altovi
altrichter	altrɪxtɛr
altun	altun
alty	alte
altán	altaːn
altánek	altɑnɛt
altík	aˈlki
altův	altu
aluminium	alumĩŋiwm
alund	alum
alury	alurid
aluta	alutˈa
aluze	aluʑɛ
alveoly	aːlˈvɪoːle
alvit	alˈd̪it
alweg	alvɛk
aly	ali
alza	alza
alébrž	alajɛbɨʃ
alžběta	alɛʃbjɛtɨ
alžběta dufková	alʒbjɛta duʃkofa
alžbětka	alʑbjɛtka
alžírsko	alɛʒiːrsku
amanda	ɑmɑnda
amapro vyhledávač	a mapro vɪɦlɛdaːvatʃ
amatér	amatɛr
amatérka	amatɛrka
amatérský	amatɛrskiː
amatérským	amatɛːrskiːn
amazon	amazan
amazonka	amasonka
amazonský	amazonskʰiː
ambasáda	ambasada
ambice	ambitsa
ambiciózní	ampɪtsɪozɲˈiː
ambit	ɑmbit
ambo	ambo
ambon	ambon
ambra	ambra
ambrosie	ambrozjɛ
ambry	ambɾi
ambrózie	aːmˈbrosjɛ
ambulance	ambulantsa
ambulantní	ambulantnˈiˈ
amen	ɑˈmɛn
americe	amɛritsɨ
americium	ɔmeritsɨʊm
americkej	amɛrɪtskɛj
americky	amɛrɛtskɪ
americká	ameritska
americká lékařská asociace	améritʃkɑ lɛkaʃska asotsiaʲtsɛ
americké	almeritska
americké zbrojařské firmy	ɑmeritskɛjɛ zbrojatstseskɛjɛ fjɾmɛ
americkém	omɛdɪtskɛ
americký	amerɪtskiː
amerických	amaritskix
amerika	amerika
amerikanizovat	amɛrikainɪzɔvat
ameriky	ameriːkːi
američan	ameriːtˈɑːs
američanka	amɛrɪtʃaŋka
američané	ɑːmeriːtʃɑːnɛ
američtí	ɑmɛriːtʃtʃiː
ametyst	homet̪ist
amfibie	amfibja
amfiteater	ɑˈmfiteatˈər
amfiteátr	amfiteat̪ɾe
amharština	ɑmɦarʃtinaː
amidy	amidi
amikt	ɑmɪkt
aminy	amne
amnestie	amnastjɛ
amnestovat	amnɛstɔvat
amnesty	ɑmnɛstim
amnia	amne
amok	amo
amoky	amoke
amoleta	amoleta
amolety	amolɛti
amoniak	ɑmonɯjɑk
amoniakového	amoniːjakɔvɛːɦɔ
amoniakový	amˈoniakoːˈviː
amonit	amɔ̃ɛt
amonium	ˈaɛ
amorfní	amorfiniː
amortizace	amortɨzatsɛ
amortizační	amortizatʃnɛ
amortizovat	amortizavat
amortizér	amortizɛr
amor (symbol lásky)	ˈamoɾsimbˈɔlˈaski
amorálnost	amoraːlnˈof
amorální	amoraːlɲiː
ampex	ampˈekˈs
amplituda	amplituða
amplituda vibrací	amplɪtudavɪbratsiː
amplión	amplion
ampule	ampula
ampulka	apolka
amputace	ɑmputɑtsɛ
amputovat	amputavat
amputuješ	apwt̪aeʃ
ampér	ampɛr
ampérmetr	æmpɛrmæteɾ
amsterdam	amzt̪eɾɣ̞um
amulet	amulɛt
amur	amoɾ
amuři	aːmˈʊriː
amyl	amɛl
amyly	amjɪlˈlæ
amyláza	omɪlˈɑ
amyotrofická laterální skleróza	amieutra fʲitstsaɫa aaɾala mʲis xlɛrosa
amálie	kamaːleːe
amálka	amalka
améba	amɛba
améby	amɛbɨ
anabaze	anabaza
anabolizmus	anabɔlɪsmʊs
anabáze	anabaːsɛ
anachronismus	anaxronismuz
anaerobní	anˌaɪrɔbuː
anakonda	anakõn̪d̪a
analfabet	anɑːlfabɛt
analfabetismus	anˈalfabetɪsmʊs
analfabetka	anaɫfabɛtka
analgetikum	anɛlgɛtɪkum
analista	onalistɔ
analog	ˈanaɫɔk
analogicky	anaɫoɣɛtski
analogického	analogɛtskɛːhom
analogický	anaɫɔgitskiː
analogickým	analogɛtskiːm
analogie	analoɣ̞ie
analogový	anaɫɔgɔviː
analogový signál	anaɫogoviːsɪgnaːl
analogový záznam	onaɫogoviːzaːznam
analyticky	aniletetski
analytická	anallititsʲka
analytický	anau̯tɛtsɟi
analytik	analitˈɪk
analytičnost	anaːlɛtɛtʃnˈost
analyzovat	anauʁizmat
analyzování	onalɪzofaːniː
analyzátor	analisator
analyzátor plynů	anaɫizaːtɔrpɫɪnʋuː
analyzátor spalin	anaʎɪzaːtɔrspalɛn
analýz	analiz
analýza	analiːzɛ
analýza dokumentu	analizadoquumɛnto
analýza události	ˈanaɫiːzɛʔudaːloscɪ
analýza údajů	analiːzɑuːdaju
analýzou	analizou
analýzy	analiːzi
ananas	anˈaˈnaˈs
ananasový	ananasovˈiː
ananasy	anɔnɑsi
anarchický	anarxɪtskiː
anarchie	anarxɪ
anarchismus	nɑnɑrˈxjsmu
anarchista	anarxista
anarchistický	anarxistɪtskʲi
anarchistka	anaɾxist̪ika
anastázie	anastɑŋsjɛ
anathéma	alatɛma
anatomický	anatomitskˈiː
anatomie	alatomjɛ
anaž	anɑʃ
andalusie	ãn̪d̪aluzia
andersenovy pohádky	andrsɛnovɪ poɦaːdkɪ
andezit	ændðˈɛzðˈɛɹ
andorra	anˈdɔra
andrea	andræ
andrea daňková	ndra dˈaŋkovaː
andrea elsnerová	anˈdraː ɛlsnɛrˈovaː
andrea hlaváčková	andrɛa ɦlavaːtʃkovaː
andrej	ãn̪t̪ɾej
andrej babiš	aːndrˈeɪ bˈˈapɪʃ
andrej bělocvětov	andrɛj bjɛvɨ tsvʲetu
andrej drbohlav	andrɛj dɾboɦlov
andrej šustr	andrɛj ʃustr
andrejevich	andrɛjavix
andrejevich muumipeikko warholovskij	anˈdrɛj ʋixnˈo mˈuː pɛj kˈovar ɦlˈovskijˌm
andreu	ãn̪d̪ɾew
andrey	an̪d̪ɾai̯
androgeny	andrɔɠɛnɪ
androgenů	androɣɛnu
androgén	andrˈogɛn
android	anˈdɹɔɪd
andulka	antˈulka
andy	an
andy warhol	anˈdɪvarɦol
andílek	ãnjɯˈnɯk
anděl	nʝel
anděla	andʒela
andělová	anʒɛloːvaː
andělská hora	anɟɛlskaː ɦora
andělská počta	andʒɛlsgaː bɔtʃta
andělský	andʒɔːskiː
anděl strážný	ˈaɲɪlstrˈaːʒniː
andělé všedního dne	a ɟɛlɛl fʃɛdni hodnɛ
andělíčcích	aɲɛliːtʃtsiːx
andělíček	andɛliːtʃɛk
andělíčkářka	anɟɛlˈiːtkˈaːrka
andělů	panɟɛlu
aneb	anet
anebo	anɛbo
anekdota	anɛkdota
anekdotický	anɛgrotɪtskiː
anektovat	anɛktɔvat
anekční	alɛktʃiːm
anemický	anɛmɪtskiː
anesteziolog	ɑnɯstɛziʝɔg
anestézie	anɛstɛzjɛ
aneta vignerová	anɛta fjgnɛrɔvaː
anex	neks
anexe	unɛkse
anexie	onɛksjæh
anexy	panɛksi
anežka	panɛʃka
anežka drahotová	anɛʃka draɦotov
anežka schulzová	anɛʃka ʃultsovaːn
angara	aŋgara
angažmá	aŋgaʒmaː
angažovanost	angadʒavanost
angažovat	ankeʒyɾ
angažovat se	aŋga ʒuratsɛ
angažujíc	aᵑgaʒuːjts
angela merkelová	anɣ̞ɾla mɛrkeloβ̞a
angelica	angɛlika
angelmanův syndrom	anɣəlmanov sɪnðrɔm
angina	angɪnɛ
anglicismus	aŋglˈɛtɪdmˈuz
anglicky	anglitski
anglicky dnes mluví skoro každý, protože je to mezinárodní jazyk	anglɪtskɪ dnɛ smluviː skoro kaʒdiː prˈotoʒɛ jɛ tˈo mɛzɪnaːrodɲiː jˈazɪk
anglická	anglɛtska
anglické	anglɪtskɛ
anglické poznámky v gdocs by byly určitě skvělá věc	anglɛtskɛː poznaːmkɛ guglɛ dɔts bɪ bɪlɪ uːtʃɪtɕɛ skvɪlaː vjɛts
anglický	anglɛtskaj
anglický roh	anglɛtskiː rˈox
anglie	aŋglia
anglii	ɑŋgɭiː
anglikánský	anglɛkɑnskɪ
anglista	angljstˈa
anglistika	anglɪstɪka
anglistka	angljst̪ka
angličan	aŋgɾitsan
angličani se usmívají	aŋglɪtʃanɪ sɛ usmˈiːvajiː
angličanka	oɫebɫitɟa
angličany	aːnˈgɾːtʃəne
angličanům chutná české pivo	anɣlidʒanum xvdnaː tʃɛskɛː pɪvɔ
angličtina	anglɪtʃtɪna
angličtina je mezinárodní jazyk	anglɛtʃtˈiːmˌa jɛ mɛzɪnaːrodɲiː jɛzɪk
angličtina je můj mateřský jazyk	anglɛtʃcɪna jɛ moj matɛrskiː jˈazɛk
angličtina je pro něj jenom nástroj	anglɛtʃc̝ina jɛ pro ɲɛj jɛnom naːstrojɛ
angličtinu	angɛtʃtʃɛnɔx
angličtiny	anɣlɛtʃtɛnɪ
angličtinář	anglɪtʃcɪnaːr
angličtinářka	amutʃtʃɪnˈaːska
angličtině	angɫetʃtʃinɛ
angloamerický	aŋgɔlɔɔmɛrɪtskiː
anglosas	aŋgoːsˢos
anglosasský	anɣlosasukʲi
angola	aŋgola
angora	anvura
angrešt	aŋgrɛʃt
angína	alumĩŋo
anhaltovat	anħɑltɔɦɑt
anhaltsko	panhalskˈo
anhydritu	ˈɑnhˈidɹɪtu
ani	anˈe
ani jedno ani druhý mi nevadí	aɲɛ jɛdno aɲɪ druɦiː mɪnɛvadɛ
ani jednou	a ptɔ jɛdnɔu
ani kvůli	a pnˈi kvulɪ
ani na okamžik nepochybuji	aɲi na okamʒɛk nɛpoxɪbujɪ
ani náhodou	aɲi naːɦodou
anikó kovaříková hegedüsová	anɪkou tova r̝iːkovaː hɛgɪduʃova
anima	anima
animace	animatsɛ
anime	animɛ
animo	animo
animovaný	anɪmovanˈiː
animální	anɪmaːlɲiː
animátor	animator
animírka	anɛmiːrka
anion	anion
anisalkohol	oːaːnɪʃɑlkəhoːl
ani na okamžik nepochybuji	aɲinaokamʒiːknɛpoxɪbujɪ
ani nedutat	aɲiːnɛdutat
ani nehledě na to	aɲinɛɦlɛdɛnˈato
ani nehlesl	aɲiˈnɛɦlɛslo
ani se neptej	aɲisɛnɛptɛj
ani v případě	aɲɪfpʃiːpaɟɛ
anička	aɲitʃka
aniž	anɪʃ
anketa	aːnketa
anketní	ãn̪kɛtːi
anketními	ankɛtnˈiːmɪ
anna	ˈana
anna budínská	a na budzɪnskaː
anna dvořák	anadvozaːk
anna gebre selassie	a na gɛbɾe sɛ la siː
anna sophie ondráková	annˈa sofˈeː ˈɔn draːkɔvˈa
anna čeká v tom modrém autě	a natʃɛkaː f tˈom mɔdrɛm aucɛ
ano	kə
ano i ne	ano ena
ano, ačkoliv teď jsem v česku	anou atʃkolɪ ftɛtskɛm f tʃɛsku
ano, jistě, to bude dobré	anˈo jɪscɛ tˈo budɛ dobrɛː
ano, o všem vím	ɑnɑ ʔaʃɛmijdi
ano, já si pamatuji	anojaʃipamatuj
ano, riziko zůstává	anˈorɪzɪkˈozustˈavaː
ano, zajisté	ɑnɑzae̞ste̞
anoa	anʝ
anoda	anoda
anodické pokovování	anodɪtskɛːpˈokovovaːniː
anodová vrstva	anodouvaːvrstva
anodový	aludˈɔfi
anody	anudi
anomálie	anomalɪɛ
anomální	anomaːlɲiː
anona	anon
anonce	anˈontsə
anony	anone
anonym	anonim
anonymita	anɔnɛmita
anonymita vkladů	ananɛmɪtafkladuː
anonymní	anonɛmˈnˈ
anonymního	anunimɲiːɦo
anonymnímu	anonɛmɲimu
anonymní dopis	anonɛmɲiːdopɛs
anonymně	ananɪmɲɛ
anorganická	anoɾɣanitska
anorganický	anorganitskij
anotace	anotatstsa
ano hradí také	ˈanohradɪtakɛː
anož	ɑˈnɑʃ
ansámbl	ʌnsˈɑbəl
anta	aŋta
antagonismus	antakɔnismʊs
antagonistický	antakɔnɛstɛtskɪ
antarktický	antarktɪtskɪ
antarktida	ãmbpaɾkt̪eɾa
antarktis	ɑntɑrktɪ̞s
antedatovat	antẽratovat
antedatování	antɛdatavaːniː
antek	anatək
antibiotika	antɪbɪɔtɪkˈa
antibiotikum	altybjɔtikɔŋ
anticipace	antitsipatsɛ
anticipovat	antˈɛtʃidʒbˈɪlˈwˈat
antické	antitskɛː
antické pojetí krásna	antɪtskɛː pojɛciː kraːsna
antický	abɨtki
antických	antːitskˈiːx
anticyklóna	antˈitsiklɔnˈa
antidemokratický	antɪdɛmokratɪtskiː
antidepresivum	antɪdɛprɛsɪvum
antidiarhoikum	aːnʈid̪iɔe̯aːrɦoːikɔːm
antidotum	antidotˈum
antidumping	antˈɪrampˌɪŋk
antidumpingový	antɪdampɪngˌoːjiː
antifašismus	antˈjfˈaʃɪsmˈs
antifašista	ɔntifasˈsistˈa
antifašistický	antɛfaʃɪstʃki
antifašisté	antifaʃɪstɛː
antigua a barbuda	antɪkva a barbuda
antihelmintní	antɪɦɛlmɪntɪɲː
antika	antika
antiklerikální	antɪklɪrɪkaːlniː
antikoncepce	antˈikˈonsɛptsɛ
antikoncepční	ãmbkɔntsɛtʃiːvɔ
antikorozní mazání	antɪkorosɲiːmazaːniː
antikorozní vrstva	antɪkorosɲiːvrstva
antikrist	antikɾist
antikvariát	antikvˌɑriˈaːt
antikvariátu	antikvariaːtu
antikvita	antˈɛkwˈetˈa
antikvární	antɪkvaːrɲiː
antikvář	antˈikvˈaːs
antilogaritmus	antɛɫɔgariːtmus
antilopa	antɛlɔpa
antilopy	amtɨɫupɨ
antimon	antɪmon
antioxidant	antˌioktsiðˈɑnt
antipasát	antˈiːpassaːt
antipatický	antˈɪpˈatˈetskˈi
antipatie	antɪpatee
antipód	antipod
antisemita	ãmbð̞jssamjt̪aɾ
antisemitismus	antistamet̪ismɔs
antisemitský	alt̪is̺amets̺ki
antiseptický	antˈɪsˈepˈtˈɛtskʰi
antiseptikum	antɪsɛptɪkˈuːm
antispam	antˈɪspˈam
antistatická přísada	antɪstatɪtskaːpr̝iːsada
antistatický	antˈɪstətɪtskiː
