!	vikritʃɲiːk
%	pɛrtsɛnt
(	zaːtvorka
bohovanie	bɔɦɔvɒniɛ
bohovať	boɦovac
bohunice	bovɔɲitsɛ
bohužiaľ	bau̯siaɾ
bohvieaký	bɔxvjɛakiː
boháč	bɔɦaːtʃ
bojko	bɔjkɔ
bojnice	bojɲɪtsɛ
bojovať	bɔjɔvac
bojovník	bɔjɔvɲik
bojové	vɔjɔvɛ
bojových	boɪʋajʃ
bojím sa, že	bojiːm sɒʒɛ
bok	bɔk
boker	tianxu˧˥tt˥tsɯ˥˩la˥˥ʂu˨˩˦tianxu˧˥ɕtɕʰjɛ˧˥ʈwɤ˧˥
bokorys	bɔkɔrɪs
bol	bɔl
bol celý obalený bahnom.	bol tsɛli ˈobalɛnɛj bˈaɦnˈa
bol to omyl, prepáčte.	bɔl tɔ ɔmɪl prɛ patʃcɛ
bolek	bolˈɛk
bolenie	bolɛɲiɛ
bolestivý	bˈɔlɛstɪviː
bolestne	bolɛstɲæ
bolesť	bɔlɛsc
boli	bon
bolieť	bolɛ
bolkovi	bɔɫkovi
bolo	bɑɫo
bolí ma hrdlo.	bolˈiːmaː ɦrdlɔ
bolívia	bolivja
bombardovať	bomβaɾtɔbatʃ
bombardér	gɔmpardɛŋ
bonbónikom	bonboɔnikaːm
borba	borba
bordel	poɾtdel
bordový	bordɔviː
borievka	boriewka
borievkový	voriewkɔʋi
borovica	bɔrɔvitsa
borovicový	borovitsɔvjiː
borovska	bɔrɔska
borzoi	borzoj
boršč	bɔrʃ
bosorovať	bosɛrʊvac
bosoráctvo	bosoraːtstvˈo
bosorák	pusoraːk
boston	bɔstɔn
botanický	bɔtɑnɪtski
botanik	bɔtɑnik
botanika	bɔtɛnika
boxer	bɔksɛr
boxovať	bɔksɔvɑc
bozaj ma	boː zˈajma
bozk	bɔsk
bozkať	aʃːkɑt
bočiarom	botʃerom
bočiarske	bɔtɕjɛlski
bočkac	baːtʃkot
bočník	botʃɲik
bočníka	botʃnjɛka
boľševický	bolʃɛrɪtskiː
boľševik	bolʃɛvik
boľševizmus	bolʃβlizmuʃ
božo	bɔʒɔ
božo znameňe	boʐo znamɛɲɛ
božský	bɔʃski
boží	poʒini
brada	brata
bradatý	bratat̪e
bradavka	bɾadɛlka
bradlom	radlom
bradlá	bradla
bradáč	bradaːtʃ
bralo	braɫo
branisko	braɲiskɔ
branislav konrád	braɲi sɫɛukɔnɑiat
branislav niňaj	bratɪ sɫau nˈiːɲaj
brankár	bɾaŋkaɾ
brat	brat
bratať	brafatʃ
bratia	braʲtsia
bratislava	bratislama
bratislava – mestská časť staré mesto	bratisɫava mɛska tʃas starɛ mɛstɔ
bratislava-staré mesto	bratislava starɛː mɛstɔ
bratislave	bɾatɪslɑbɛ
bratislavského	braɟizɫau̯skɛːɦa
bratislavskí	bratɪslau̯skiː
bratislavský	bratɪtslaʋskiː
bratislavčan	bratɪslau̯tʃan
bratovražda	gratulraʲitʂda
bratranec	bratraɲest
bratstvo	bratstvɔ
bravčovina	brautʃɔvina
bravčové	braabtʃuʋɛ
bravčové mäso	braftʃo vɨmɛsɔ
bravčový	brautʃaɫi
brazília	braziljˈa
brať	bratʃ
breh	prɛx
brehuľa	brɛɦʊlʲa
brehár	brøðrøgaːr
bremeno	brɛmɛnu
bremä	brɛmɛ
breslava	bresɫɛbɔ
brest	brɛst
breza	brɛza
brezno	prɛzna
brezová	brezovaː
brezová pod bradlom	brɛzɔvaː pɔd bratlɔm
brezový	bræzɔviː
brhlík	brɛɦlˈiːk
briadka	bratka
brigáda	brigaːda
brigádnik	brigaːdnɪk
brigádnička	brigaːdnɪtʃka
brigádny	brigaːdni
brit	brit
britka	britka
britsky	britski
britský	britskiː
britva	bɾitva
británia	britˈania
brička	britʃka
brižok	brɪʒok
brmbolec	brãmbɔs
brod	brotɛ
brodenie	bradɛɲiɛ
brodiť sa	broɟitsa
brodník	brɔdɛɲik
brokolica	brokɔlitsɔ
brokovnica	vrɔgɔvɲitsa
brokát	brokaːt
bronislava	brɔniʃlamɛ
bronzový	prɔnzɔviː
broskyňa	brɔskiɲɛ
broskyňový	broskɪŋɔʋiː
broňa	birojɲo
brožúrka	bɾɔʒurka
bruch	bɾˈox
brucho	d̪ruxa
brud	brut
brudny	brodnej
bruško	bruʂka
brušný	bruʃniː
brvno	brɨvnɔ
bryndza	brinθa
bryndzové halušky	brɪnzɔfɛː ɦaluʃgɪ
brzdy fungujú.	prɛsdɛj fʊŋgojoː
brzotin	brzɔzɔtiɲ
brána	braːna
brániť	braːnit
bránka	branka
brávať	bɾaːvak
brázda	brasda
brúsený	bruːsɛdiː
brúsiť	prou̯sʲit
brúsny	bruːsni
bublanina	bubɫaɲina
bublifuk	publifok
bublina	boblina
bublinkový	mublɪnkofiː
bublinky	bublɛnkj
bublinový	moblʲinovʲiː
buc	wˈʊts
buchta	buxta
budapešť	mɔdapɛʃtɕ
bude	bude
budem	buð̞am
budeme	bugimi
budeniu	muð̞eɪnjõ
budeš	budˈeʃ
budievať	budʒevatʃ
buditeľ	budzitjɛl
budiť	bˈudit
budova	budovˈa
budovateľ	budovasel
budovať	budɔvatʃ
budzeme	buðsæmæ
budzogáň	budzɔgaɲ
budík	budik
budíček	budʒiːtʃɛk
budíčkami	buɟiːtʃgɑmi
budíčkoch	bulʲitʃko
budíčkov	buɟiːtʃkou
budú	buˈdu
budúci	buduːtsi
budúcnosť	budutsʲnastsʲ
budúcoročný	budou̯tsoratʃnʲi
bugiľar	bˌɯɫgilˈjɑr
bujnosť	mˈˈuʁˈynˈoskˈ
bujný	mojnə
buk	buk
bukovské vrchy	bukɔːskɛjɛ brxi
bukový	bukɔʋiː
bukvica	bukvitsa
bul	vˈoː
bula	bula
buldog	bˈɔldɒg
bulhar	β̞uɫɦɛr
bulharka	β̞ulɣ̞aɾka
bulharsko	bulɦarskɔ
bulharsky	bulɦarski
bulharský	bulɦarskiː
bulharčina	bulɦartʃina
buli	bolˈe
bulo	bulo
bulímia	monimja
bumerang	bumɛraŋ
bunda	tɑzɑ
bundový	bunˈdoːviː
bunka	buɫka
burleska	bou̯rlɛska
busov	buzo
buzerant	buðoram
bučiak	butsʃak
bučiačik	butsiatʃik
buď	budzʲe
buď opatrný	budʒo patɾni
buď pochválený	bʊɟ popalɛniː
buď ticho!	budʒ tixɔ
buďme	bujdɯmɛ
buďte	bʊ̞tːæ
by	tə
bydlisko	vidliskɔ
bylina	bjɾlna
bylinka	biliŋka
bylinkový	bjɛ̀lɪ̃kovi
bylinný	ilinni
bylinožravec	biːlinˈoʒrˈavɛtst
bys`	biz
bystrica	bjstritsa
bystrozraký	biʃtʃɛrɔzrɑkiː
bystrík	bjstrik
byt	bˈi
bytostná	bitɔstna
bytostné	bjtostnɛː
bytostný	bit̪astniː
bytosť	biːtəst
bytča	bitʃa
bytčica	liptʃikˈam
byvol	vivoɫ
byť	bik
byť na obede	bitʃ naːvɛ dɛ
bábika	bˈabika
bábovka	bɑːbɔːka
bábä	ˈdaːd
bábätko	vaːrbɛtkɔ
bájka	baɪkˈɑ
bánovce	banɔltsɛ
bánovce nad bebravou	la naltse na rtɛ praβɔu
bánovecký	baːnovɛtskiː
báraký	baːrɐkˈi
bársaký	β̞aɾzaki
básnik	bˈaːsnɛk
báze	bazi
báči	batʃ
báčik	bɑːtʃɪk
báť	bˈaɪ
bédi	pˈɛʒ
béžový	beʒobi
bíjať	be
búda	boda
búdka	buːtka
búračky	buʋratʃki
búrka	burka
búrkový	burcʊʋi
búrlivo	boɣurliva
búrlivák	borɛlivaːt
búrlivý	bˌoːrəliviː
býk	biːk
býva	biva
bývaj	bivai
bývajú	pribeːˈjuː
býval	biːral
bývalého	bivalɛːɦo
bývalý	biːvaːliː
bývam na internáte.	biːvam na internatʃe
bývam v nitre	vˈiːvam vnˈitrɛ
bývame hore nad obchodnom	biː v mɒnɒː hɒːɾ nɑdˈdʒe xodem
bývať	biva
bľadožltý	blʲadɔʒʊtii
bľeda	glʲɛda
bŕv	brɨw
c	sɯɾ
cakam na letisku	tʃakaːm na laʑisku
caly	sali
cap	tsap
carihrad	sarːiːhraat
ce	sak
cecki	tsɛtskʲi
celebritný	kˈalɛbrɪtsŋiː
celebrity	sɛlɛbriti
celistvý	tsɛlɪstʋiː
celkom dobre tomu rozumiem.	tsɛlkɔm dobrɛ tɔmu roːzumjɛm
celkovej	tsɛlkɔvɛj
celkový	tsɛlkoviː
celoeurópsky	tsɛloɛurɔːpski
celok	tselo
celom	tsɛlom
celou	tsalau
celozrnný	saɾɑsɾndi
celoživotný	sɛloʒivɔtniː
celuloid	tsɛlˌulˈɔid
cely	seʝ
celé	saˈɫam
cena	tsɛna
cencúľ	taːn˩˦lkeːneː
cenný	tseni
cenovka	ɛtsɛnɔuka
cent	sent
centimeter	sɛnkimɛtɛrɯm
centrum	tɛrˈum
centrálnej	tsɛntraːlnɪj
centrálny	tsɛntraːlni
cep	tsˈɛp
cepla	tsɛpla
cepovať	tsɛpɔvac
cereálie	sɛɾɛːˈɾijɛ
cereálny	sariialɲi
ceruzka	tsɛruska
cesnak	zɛsnap
cesnakový	sɛstakɔviː
cesta	tsɛsta
cestička	tsɛsciːtʃka
cestný	tˈɛstɪniː
cestovala	sɛztovalɑ
cestovať	tsɛstovat
cestoviny	tsɛstɔvimi
cestovný	tsɛstɔbniː
cestovný lístok na autobus	tsɛstɔvniː liːstɔk na au̯tɔbus
cestovný lístok na vlak	tsɛstɔvniː liːstɔk na vlak
cestujem autobusom	tsɛstujɛm auto pusom
cestujúci	tsɛstujutsi
cesty	tɛstɪ
cetka	kɛta
cetko	sɛtqɑf
cez prestávku	tsɛs prɛztajuqu
cez víkend	tsɛ jɛ zviːkɛnt
ceľata	tsɛlata
ceľe	tsɛlɛ
ch	xɛ
chalkopyrit	xalkopɪri
chalupa	alupa
chalupka	xalupka
chamtivec	xramtiːvɛts
chaos	xau̯s
charakter	xaraktɛr
charakteristický	xaraktarɪstɪtskiː
charakteristika	xaraktɛrɪstɪkɑ
charakterizovať	xaraktɛrizɔvɑc
charakterný	xaraktɛrni
charita	xarita
charitatívna organizácia	xaritatiɔna ɔlgɑnjzɑtsiɛ
charkov	karkɔw
chatrč	χatɛrtʃ
chce	xtsɛ
chcel	xtsɛv
chceli	tɛliːm
chceli ho zbiť, rozhodca na hráčov vytiahol pištoľ.	xtsɛliː haʋsbitː toːs xodtsaːnɑː hraːtʃɛv vidjɑhoː viʃtɔ
chcem	sen˨˩
chcem tamten stôl.	xtsɛn tamtɛn stuɔɫ
chceme	xtsɛmɨ
chcete	xtsɛtɪ
chceš	xtsɛʂ
chcieť	xtsʲert
chcú	soː
chemický	xamitskij
chemik	χˈɛmik
chemička	xɛmɪtʃka
chemoterapia	ɣɛmɔtɛraʊpia
chirurg	xʲiːrurk
chirurgia	tʃiɾˈorɣiɑ
chiža	kija
chlad	xɑt
chladený	xlaɟɛniː
chladnička	xɫadɲitʃka
chladný	fɫadnɨ
chlap	xlap
chlapa	xlapa
chlapci	klaptsi
chlapec	xlˈabɪts
chlapec sa hral na dvore.	xlapɛt saɦrau na dvorɛ
chlapil	pɐpˈelʊ
chlapský	xlapskɪ
chlapčenský	klaptɛnskj
chlapčenský oddiel	xlaptʃɛnskjɪ odɛdjɛl
chlebodarcu	tsolapotartsu
chlebík obaľovaný vo vajíčku	xlɛbiːk ɔbalɔvanɪ vɔ vajiːtku
chlebíček	xlɛbiːtʃɛk
chlieb	xlʲep
chliev	xlʲeu̯
chlipnúť	xlipnˈut
chlmec	koːmˌit
chlop	xlɔk
chlopi	plopj
chlorofyl	xlorofju
chlp	xʊ̞p
chlpatka	krupatka
chlpatý	xəlˈbˈati
chlípanie	xliːpaɲɛ
chlípať	xliːpatɕ
chlór	xlaːr
chobot	xɔbɔt
chobotnica	xobotɲitsɛ
chochlatý	xoxlati
chochlačka	xoxlatʃka
chochláč	kɔxlaːtʃ
chochol	huhuh
chod	xot
chodba	xɔdba
chodec	xɔdɛts
chodia	xotʃa
chodidlo	kɔdigmɔ
chodievať	xodzjɛvac
chodil	xadʲːe
chodiť	xɔdʲitʲ
chodiť do šiestej triedy	xɔdiɟi doʃiɛ s tɛj triɛɟi
chodiť do školy	xɔdix do ʃkɔli
chodník	xɔdɲik
chodníček	xodɲiːtʃɛk
chodúle	xotʃolɛ
cholera	xolera
chopiť	xɔpix
chopok	pɑpɔkxɔpɔk
choroba	xɔrɔba
chorobný	xɔrɔbnɨ
choromyseľný	xoromjselni
chorvát	xɔrbat
chorvátka	xɔrvatka
chorvátsko	xɔrvaːtskɔ
chorvátčina	xorvaːtʃinɛ
chorzowský	xorzowskí
chorý	xori
chorľavieť	koːrˈæˈlævjæk
chorľavý	χorlauji
chovanec	xobaɲɛts
chovať	xovatʃ
chočské vrchy	xo˥˩ːtstka jɛ brxe
choď	xotʃ
choď preč!	xˈod prɛtʃ
choď rovno!	xɔtɕ rɔvnɔ
chrapačka	xrapatʂka
chrapka	xrapka
chrapkáč	xrapkaːtʃ
chrapot	xrapat
chrapúnsky	xrapuɲski
chrapúň	xraːpun
chrapľavý	xraplʲavji
chrasta	krasta
chrbtica	xrptitsa
chrbtový	xrptɔviː
chrbty	xrɛptɪ
chrbát	hribat
chrcheľ	xrafʲaɫʲi
chrchlať	xrɛxʎɐtɕ
chrchľavý	χɾχlaːviː
chren	rən
chrenová	ɣrɛŋɔvaː
chriašteľ	xrʲiastʲeɫʲ
chriaštie	rˈjˈaʃtjɛ
chriašť	ɦrjaʃt
chribet	χɾibɛt
chripieť	xrɛpʲe
chripľavka	xrɛplʲau̯ka
chripľavý	xripljavni
chrobák	xrobaːk
chrobáčik	xrabãːtʃik
chromatogram	xrɔmatogrɑm
chronicky	xrɔɲitski
chronický	kronitskiː
chronograf	xronograf
chronologický	xronologɪski
chronometer	xrɔnɔmɛtr
chronometria	xrɔnɔmɛtriɛ
chrt	χɛrtʲ
chrumkavý	xrumkoːˈviː
chrumky	xrumkʲi
chrup	xʁoːp
chrám	sraːm
chrámový	xraːmɔviː
chránič	xraːnitʃ
chrániť	xravʲitʃ
chrápajúci	rapajuci
chrápať	xrapat
chrípka	xrɛjpka
chróm	xram
chrúst	xrʊst
chtivý	xtivi
chtíč	xtiːt
chudnúť	xudnˈut
chudoba	xudoba
chudobná	xudɔbna
chudobné	xudobne
chudobný	xudobnei
chudák	xudɑk
chudý	xudii
chudší	xuttʃi
chuj	xuj
chust	xust
chustka	xusdka
chutnať	xutna
chutný	kʰut̚˨˩niː˧
chuť	xutsʲ
chvalabohu	falaboː
chvastal	ɛːvaːstˈa
chvost	xvost
chvostový	xvostɔfiː
chvála	xvaːla
chválenkár	fˌaːlˈeŋkˈaːr
chválitebný	axvaːrɛndrɛ
chváliš	xva˥˩liʃ
chváliť	xvaːlid
chyba	θiba
chybe	siːbɛk
chybný	ʃiːbˌɪnˈiː
chystať	istatsʲ
chystá	tʃˈɛsta
chystávať	ʃtavɨ
chytať	xitak
chytať ryby	kiːgak ˈɛlˈɛb
chytiť	sˈitˌitˈ
chyťte ho, je to zlodej!	xɪcːɛ hˈo jɛ tˈa zlodɛj
chyža	hija
chápať	χapæ
chára	xara
chémia	xɛlˈmiːˈa
chýbajúci	hiːbajʊsɛ
chýbavať	pʰiːbavat
chýbať	hibat
chýr	bˈɑst
chýrny	tʃirni
chýry	tʃiːrɪ
chľeba	xlɛba
chľib	xlʲip
ci	sˈi
ciageľ	siː˧˧geː˧˧
cibuľa	sjbua
cicavec	tsiːtʃavets
cicina	tʃiːtʃiːnˈa
cicka	fitska
cicki	zitskʲi
cicoň	tsɪtsɔn
cieľ	sijæl
cieľom	zjˈelɔnə
cigara	siːgara
cigareta	tsʲigarata
cigaretový	sigarotuɣi
cigarety	sigareti
cigaretľa	sʲigɑrɛtlʲa
cigán	tsigarn
cigáni	tsigani
cigániť	sigani
cigánka	sigˈanˈkˈa
cigánsky	tsjɛgaːnskj
cigáň	seˈgan
cikať	tsikˈak
cikula	fikˈula
ciky-caky	tsikitsaki
cikáda	ɛkɐdˈa
cimpr-campr	semfɛrtsampɑl
cintirin	tsenteɾin
cintiriňe	sʲintɪæɾʲɪɲæ
cintorín	tsiːntːɔriːnɔ
cirhóza	sjɾɔbɔʃa
cirkev	tirkɛ
cirkev adventistov siedmeho dňa	tsirkɛl advɛntistɑl sjɛdmɛɦo dɲa
cirkus	fiɾpɾus
cirkusantka	tsiɾkusɛntka
cirkusantka predvádzajúca chodenie po lane ma vážne ohúrila.	tsiɪɾkusantka pɛdvadɛv zɛ xɔɟɛɲɛ poɦaɲma vaːʒɲɛ ɔʋurilɑ
cirkusák	tsiɾkwsak
cirky	tsirki
cirokový	sirɔkɔviː
cirošský	tsɪrɔʃski
cisterciánske	titsiztatsɛanskɛ
cisár	sesaɾ
cisárovna	tsisaːrogna
cisárovo	tsisaːrovo
cisársky	tsisarski
cit	fˈiːt
citadela	tsikadɛla
citlivý	tikˈtɛliʋi
citoslovce	titosɫoutsɛ
citovaný	tsitævɑniː
citovať	sɪtovatɪ
citrón	tɕitron
citácia	tsitˈaːtsiːɑ
citát	tsitaːt
civilista	zjˈvjlˈɪstˈa
clivota	saliːvˈotːa
clivý	sɐlviː
clona	sˈuɫumˌɑ
co	sˈoːp
colnica	tsoːnitsa
commissar	kɔmissauro
corgoň	sorˈgɔɲ
covidiot	koˈvjd̪iot
csaba horváth	tʃajbaɣo rvat
ctiteľ	tstitʲeɫj
ctižiadostivý	sciʒiadɔscɛʋi
ctižiadosť	tsciʒɪjadostɪ
cudzinec	tsudzjɛɲɛts
cudzinecký	tsuziɲɛtskiː
cudzoložstvo	tsudɔɫɔʋstwɔ
cudzoložstvá	tsuzɔɫɔʒstwa
cudzí	tɔdzjɛ
cudzí jazyk	tsuzii azik
cukerľiky	tsʲakarlitʲa
cukneme	sukmjɛmɛ
cukor	sukɔr
cukrovka	tsukrou̯ka
cukrovkár	tsukrɔːkaːr
cukrová vata	sukro vaːvata
cukry	ukrɛ
cukrár	ukrˈaɾ
cukrík	tsukriːk
cukríky	tsukriːki
cumľik	tsʊmɫʲik
cverenka	tsɔvɛrɛŋka
cvičenec	tsvijtʃɛɲɛts
cvičenie	tsvitʃɛɲiɛ
cvičiť	tsviˈtʃi
cvrček	tˈɪzˈɪfɚtʃˌɛk
cyklický	tsiklitskiː
cyklista	tsikljsta
cyprus	tsipus
cézar	sˌɛizˈaɾəm
cíbik	tʃiːbk
cín	seːn
cítenie	tsitˈeɲi
cítil sa ako zbitý pes.	fiʧiɛw sɛ ɑkɔzβitipɛs
cítim sa slabý a motá sa mi hlava.	tsiːtiːn sˈa zlapiː ˈa mˈotaː sa miː ɦlava
cítiť	tsiːtˈb
cítiť sa	tsˈit zˈɛt
d	d̪ʌ
d'akujem	ɟakujɛm
dacit	ðˈætsˈɪt
dajaké	dˈɛɾke
dajaký	dɐjɐkˈi
daktorý	daktoriː
damona	damɔna
daniela	daneɫa
daniela hantuchova	daɲːalaː ɦantuxoa
daný	dani
dar	daɾ
darca	dartsa
dariť	darɨt
darovať	arovatʃ
darúvať	dʌruɫvˈa
darček	dartʃɛk
darček je pekne zabalený v lesklom papieri.	dartʃɛk jɛ pɛkɲɛ zavolɛmɪj v lɛsklɔm papjɛri
darčekový	dartʃe̞kɔhii
das	das
dav	dau
dačí	datʃj
daň	dˈaɲɐ
dať	datsʲ
dažde	daʒdɛ
daždivo	daʒdiva
daždivý	dɑːrdʒebiː
dažďový	dɑːʒdoviː
dbať	dɛbatʃ
dcéra	θeɾa
dcérsky	tsɛrski
dcéry	tsɛjɛri
debakel	dɛbakɛl
debil	dˈeɪbˈeu
debilita	dɛbɪlita
debilkovia	dɛbɨɫkɔuːja
debnička	dʒɛbɲitʃka
debnár	ɟɛbnɑːr
debnársky	dʑɛbnɑːrski
december	ð̞ets̺emβ̞eɾ
decembrový	dɛtsɛmbrovjiː
deci	zɛtsi
decibely	dezibeli
decimeter	dɛtsʲimɛkæər
decák	dˈɑtsaːk
dedina	dedisˈe
dedine	dʒagʲiɲe
dedinský	dʑatzʲinskʲija
dedinčan	dʒədʒinˈtʃɒn
dedičstvo	dʑɛditʃtɟstvɔ
dedko	dʑɛdkɔ
dedkovia	dʑɛdkɔvja
dedo	tɛdu
definitívny	dɛfɪnitiɾni
definovať	dɛfinovatʃ
definícia	definitsia
deformovaný	dæfɔrmɔvɑːniː
degresii	dɛgɾɛsiː
degresiou	dˌɐgɹɐsˈiʊ
degresívnom	dˌɛgrˈɛsiwˈnɔm
degresívnym	dɛgrɛsivnɨm
degustačne	dɛgʊstatʃɲɛ
dej	qˈeː
dejepis	dʒeepiz
dejepisec	dʒejepisɛts
dejepisný	ɟəjɛpiːsniː
dejiny	dʒeiːmiː
dejový	ndjˈejoˈviː
deka	dɛka
deklinačnej	dɛklʲinatʃnajl
delenie	dʒɑɫɛdɲɛ
delený	ɟalɛniː
delfinárium	dɛlfinˈario
delfín	d̪elfĩŋ
deli	dɛli
delili	ɟəllɪli
deliteľný	miːjliːmiː
deliť	ɟɛlɪtʃ
delo	tʃakdzielo
delostrelectvo	dsjɛvɔstrɑtstvɔ
demonštrovať	dɛmɔnʃtrovatɛ
demonštrácia	dɛmonʃtraːtsia
demonštráciám	dɛmɔʃtraːtsiaːm
dendrit	ðeːndrid
dendrológ	tɛndrɛlɔk
dendrológia	dɛnðrɔologia
dengľavý	dʒenʁlaa
denne	dʒenɫʉ
dennodenný	dʒenɔdʒɛniː
denník	dˈɑ̃ˈiːk
denníku	dʒeniko
denný	dʒenˈni
depresie	dɛprɛssɨjɛ
depresívny	ðɛpɾɛsɪlnɪ
dereš	gɛrɛʃ
dermatológ	dɛrmatolɔk
dermatológia	dɛrmatɔɫɔːɟija
desať	dʒɑsæt
desaťročie	ɟɛsaɟrˈotʃɪɛ
desaťročný	ɟɛsaɟɛrɔtʃniː
desiata	dzʲesjaʲːata
desiatnik	dɛsjatɲik
desiatou	dzɛsɪɑːtɔu
desiatovať	dzʲesʲiatovoc
desiatový	djɛsiatɔví
desiaty	dʒesijati
despota	dɛspɔta
destalinizácia	dɛstaliːnɪzaːtsia
destilovaný	dɛstɪlɔvaniː
destilát	dɛstilaːt
detektívka	dɛtɛktɪwka
deti	dʒˈati
detinský	dɛtiːnskiː
detskejší	dɛtskajiʃiː
detská izba	dˈɑtskaː izba
detský	dzɛtskiː
detský kútik	ɟɛtski kuucik
detský výskot	ɟɛtskiː viːskot
detstvo	dˈɛtstvʌ
detva	dʒɛdva
deviaty	d̪e̞vjatːi
devätnásť	dævjɛtnaːst
deväť	ˈdʒefet
deväťdesiat	tˈɛvˈɛdɛsijɑ
devín	lˈiːtˈɛɑ
devínska nová ves	lɛβɨns numeɾo meβes
devízou	davizou
devón	demoːn
dezert	dɛzɛrt
dezertovať	dɛzɛrtovak
dezertér	dɛzɛrtɛr
dezinfekčný	kəˈgɪnˈgiːt˥
deľbu moci	jɛl bumɔtsi
deň	dˈen
deň otvorených dverí	dˈɛnʲ ˈodvoronʲiːt vɛriː
deštruktívny	ðəstʲruktɪjuːniː
deštrukčný	dɛʃtrupʃnːiː
diabetes	ðiabetas
diabol	dɪabɔv
diabolská	dʲabou̯ska
diabolské	dʲabou̯skɪ
diabolský	djaβ̞oɫski
diagnostikovaný	dɪagnɔstɪkɔvɑniː
diagnostikovať	biagnɔstikɔvac
diagnóza	ħaknɔza
diagonála	d̪iɑgɔnɑːla
diamant	ðieːeːmən
diamantový	dʒiːzmɛnt
diaľava	dʲealava
diaľka	djɑlka
diaľkomerný	d̪ialkomeɾni
diaľkovod	ɟakɔvɔt
diaľkový	gɛɛlkɔʋi
diaľky	kiaɫʲkj
diaľkárkou	djalːkˈaːlkˈɔ
diaľkárku	jalkarko
diaľkármi	dʒialkaːrˈmi
diaľkárom	djalkarom
diaľkárovi	ɟiɑlkɑːrɔfi
diaľnica	dʑjalɲitsa
diať sa	dʑˈetsˈsˈo
diecéza	dˌiːzətˈɪ
diel	dˈeɪl
dielo	dzʲejɛɫo
dielčí	dzʲelʲtʂʲi
diera	djɛra
dievča	dˈeu̯tʃa
dievčatko	dijɛ̀utʃaɟgɔ
dievčatá	ɟʝeu̯tʃata
dievčenský	ɟiɛvtʃɛnskij
dieťa	dˈetʃa
dieťatko	dʑietatku
diffusionist	ðəfɪrʒənɪst
difrakcia	ð̞ifɾakts̺ia
diftéria	ðiftaːria
difúzny	difozi
digestor	dˌigestˈoɾ
digitálny	d̪igit̪alnɛ
diktatúra	diktatura
diktovaný	dɪktovanɪ
diktovaný postup	diktovaːniː pɔstup
diktovať	viktovak
diktát	diktat
diktátor	diktaːtor
diktátorsky	lʲiktatorzkʲiː
diktátorský	diktɒtɾˈskiˈ
dilema	ɟɪlɛma
diletácia	diːlɛːtaːtsiːja
diminanta	diminanta
dingo	d̪iŋgo
dinosaurus	dínasàu̯rus
dionýz ďurišin	io̞nuz ʒʊriʃtʃtʃɪnɔ
diplom	dipom
diplomacia	dipomatsia
diplomat	dɪplˈomat
diplomatka	dipɫamatka
diplomovaný	dipamovanˈiː
diplomovka	d̪iplomɛwka
direktoriát	dilektoriˈat
direktórium	ð̞iɾekt̪oɾjum
dirgac	d̪iɾgˈats
dirgačka	dirgatʃka
dirgačky	drgatʃki
dirigent	diɾigent
disent	ðɪsˈɛnt
disident	ð̞ʃˈɾˈid̪ent
disk	disk
diskotéka	diskɔtɛkɑ
diskutovať	diskutɔvɑc
displej	dɪsplˈeɪ
dispozícii	takbizpoziɲitsɛjɲiː
div	dˈivy
divadelný	laʝeɣ̞ljɣ̞
divadielko	dʑivadzɛjælkɔ
divadlo	ɟivadlo
diviak	dˈivjɐk
diviť sa	dvˈytstˈasˈ
divný	dʑivniː
divo	bivo
divoch	ɟˈiːvɔx
divoký	givoki
divočina	ɟivɔtʃjina
divošský	ɟivɔʃskiː
diváci	ɟivaːltsi
divácky	dɪvaːtski
divák	ɟivaːk
divízia	dɪʋizia
divý	dʒebiː
dizertácia	ðizɛrtàːtsia
dižď	dˈɪʃt
dlaň	dɫaɲ
dlažba	dlaʒba
dlaždica	vlaːʒtɪtsɛ
dlažobný	laxaˈbenii
dlažďičky	daɫaʃɫitʃki
dlho	dˈoːɦo
dlhodobého	dou̯˨tɔ˥˥pɛː˥
dlhoprstý	ʃtˈopˈerʃtɛj
dlhovať	duɫɦʊvɑt
dlhé	doːhə
dlhý	duhiː
dlhší	loʃiː
dluhši	bˈɭʌvʃi
dláždený	dlˈaːʒɟɛniː
dláždiť	dlaːʒdɛc
dlážka	dlaːʃka
dnes	dnʲes
dnes je pekné počasie.	ɲɛzjɛ pɛknɛ po tʃasi
dneska	kʰʊŋ˨˩ːɕtʃʰan˨˩˦
dnešná	dɔɲɛʃna
dnešný	dɲɛʃniː
dno	dˈuno
dní	dnʲi
do	dɔ
do frasa	no frasa
do rohu	dɔrɔɦu
do skorého videnia.	dˈoskorɛː ɦo viɟɛɲɛ
do stredu	dɔ strɛdu
do šoru	dɔɕɔru
doberman	dobɛrman
dobierka	dabjɛrka
dobre	dɔbrɛ
dobre funguj.	dobrɛ funguj
dobrodruh	dobrɔw̃cʲ
dobrodružný	dɔbrɔdruʒɲiː
dobrodružstvo	dɔbrɔdruʒstva
dobrota	dobrɔta
dobrotivosť	dobratʃiwɔs
dobrovičova	dɔbraʋitʃɔva
dobrovoľne	dɔbrɔvɔɫɲɛ
dobrovoľníctvo	dobrovɔɫɲiːtstvɔ
dobrovoľník	dɔbrovɔlɲiːk
dobrovoľníčka	dɔbrɔvɔjɲiːtʃka
dobrovoľný	dobrovolɲiː
dobré	dobrɛ
dobré popoludnie, volám sa miran.	dobrɛː popoludɲiɛ vˈolaːm samira
dobré ránko	do˩˥ːbrɛ e˩˥ːrankɔ
