.ئاسلان	bɑzɫæ
ئارىلاشتۇرغۇچ لامپا	rɫoi̠ʂ tʊ̞rʁʊ̞tʃ lɑmpä
ئارىلاشتۇرۇپ	ɑɾɯɫɑʃtʊɾʊp
ئارىلاشما	ɑrɯlɑsma
ئارىلاشما برىگادا	ɒrlɒsma bˈeɾaiˈqɒdɒ
ئارىلاشما بوغالتىرىيە	ʔɑrɨlɑʃmu bɔʁɑl terjɑ
ئارىلاشما تۇز	ɑrɯɫdɑʃtɯ tuːz
ئارىلاشما جىنس	ɑrɯɫajʃmat dʒeniz
ئارىلاشما پويىز	ɑrɯlaʃmɯ pojs
ئارىلاشماق	ɑrɫɑʃmɑq
ئارىلاپ تەكشۈرمەك	ʔɑrlɑp tɛkʃyrmɛk
ئارىلاپ-ئارىلاپ	ɑrlatɑrlat
ئارىلىشىۋالماق	ɑrɫɯʃɯpɑlmɑq
ئارىلىق	ɑrliq
ئارىلىق ئالماق	ɑrɫɯ̞q ɑɫmɑq
ئارىلىق بەرمەك	bɑrliq bɛrmɛk
ئارىلىق تاۋۇش	ɑrlɑq tɑwɔz
ئارىلىق مۇزىكا	ɑrliq muzika
ئارىلىق مېڭە	ʔɑrliq miŋɑ
ئارىلىق مېۋىسى	ɑrɯlaq newɨsi
ئارىلىق يېمەك	ʔɑrliq jemæk
ئارىلىق چاستوتا	ɤrliq tʃɑstuta
ئارىلىماق	ʔɑrilɪmɑq
ئارىنى ئۈزمەك	ɑɾinɯ yzmɛk
ئارىنى بۇزماق	ɒɾniˈ bɒzmɒq
ئارىيان	ɑːrɪjɑn
ئارىيە	oɾiɛ
ئارىيەت	ɑːriːjːætː
ئارىچى	ortʃi
ئارىچىلىق	ɑrɯttʃiliq
ئارىچىلىماق	bɑrtʃɯ̞ɫɯ̞mɑq
ئارپا	arpa
ئارپىبەدىيان	ɾpːbɛdijon
ئارپىبەدىيانلىق	ʔrapibɛdijanlɪq
ئارپىخان	ɒːrbxɒːn
ئارپىلىق	ɒˈɾpiliq
ئارچا	ɔrtʃɐ
ئارچىزار	ɑrtʃɯzɑr
ئارچىزارلىق	ʔɑrʧɨzɑrlɑq
ئارگومېنت	ɑrgɔmˈent
ئارگېنتىت	aɾgintet
ئارۇماتىك	ɑɾˈʊmɑtik
ئارۋاڭ-سارۋاڭ	ɑrwɑŋsɑrwɑŋ
ئارەستە	ɑɾɛstɛ
ئاز	ɑːz
ئاز ئۇچرايدىغان	ɒz utʃuɾɑjtɒˈʁɒn
ئاز دېگەندە	az qɑrɑp
ئاز سانلىق	qɑzsalːliq
ئاز سۆزلۈك	bazsøzlyk
ئاز كاربونلۇق پولات	ɑz kɑr bɔlˈlɔq polɑt
ئاز-تولا	ɒztɒlɒ
ئاز-ماز	ɑːzmaːz
ئاز-پاز	ɑːzpɑːz
ئازاب	paza
ئازاب تارتماق	ɑːzɑb tærtmɑq
ئازاب سالماق	ʔazɑp sɑlmɑq
ئازاب چەكمەك	ɑˈzɑb tʃɛkmɛk
ئازاب-ئوقۇبەت	qɑzɑbʔoqupɛt
ئازاب-ئوقۇبەتلىك	ʔazɑbʔuqibɛtlik
ئازابلانماق	qɑzɑplɑnmɑq
ئازابلىق	ʔɑzɑbˈlɯq
ئازابلىماق	ʔazɑtliˈmɑq
ئازاد-ئەركىن	azotɛrqin
ئازادلىق	wɒzɒˈtlɒq
ئازادلىقتىن بۇرۇن	ʔazatlɨqtɨn burun
ئازادى دەرەخ	ɑːzɑːdiː dæɾæx
ئازادىلەشمەك	ɑzɑdɯlɛʃmɛk
ئازار	aːzɑɾ
ئازار بەرمەك	ɑzɑr bɛrmɛk
ئازار يېمەك	hɒzlɒɾˈ iˈmeˈk
ئازار يەتمەك	ɑˈzɑr jɛtmɛk
ئازار چەكمەك	ɑzɑɾ tʃɛkmɛk
ئازازۇل	ɑzɑzolum
ئازازۇللۇق	qɑzɑzulluq
ئازالېيە	ozalie
ئازايتماق	ɑzɑjtnɑq
ئازايماق	ʔazɑːimq
ئازايىمخان	ɑːzɑːjimxɑn
ئازدۇر-كۆپتۇر	ɑzduɾkøptuɾ
ئازراق	ɒzrɒq
ئازراق يامغۇر	ʊ̞zrɑq jɑmʁʊ̞r
ئازغاشتۇرماق	ɑzɢæʃtʊ̞rmæq
ئازغاشماق	ɑːsgɑʃmɑːq
ئازغاق	bˈɑzʁɑq
ئازغۇنلۇق	ʔazʁulluq
ئازلاتماق	aːzlɑtmɑq
ئازلىق	ɒzliq
ئازلىماق	ɑzlimɑq
ئازماق	ɢɑzmɑq
ئازنا	ɑːznɑ
ئازنىلاتماق	ɑˈznɯlɑtˈmɑp
ئازنىلاشماق	ɑzniˈlɑʃmɑq
ئازنىلىق	qɒznˈiˈlɒq
ئازو	ɑːzɑː
ئازوت	ɑzˈot
ئازوت ئوكسىدى	ɑzɔt ɔkˈsidi
ئازوت كىسلاتاسى	aːzit kjsɫatasi
ئازوتسىزلانماق	gazodsɯzlɑnmɑq
ئازوتلاشتۇرماق	qɑzʊtlɑʃtʊrmɑq
ئازوتلۇق	ɑzʊtlʊk
ئازولۇق	ɑzɑlɯq
ئازىمۇت	ɑzˈmɯt
ئازچىلىق	ɒzdʒiliˈq
ئازگال	ɒzgɒl
ئازگاللىق	pɒzgɒnˈlɒq
ئاسار-ئەتىقە	χɔsɑrʔɛtqɪqæ
ئاسار-تۆرە	ɑsɑrtøːrø
ئاسارئەتىقە	aːsarætqæ
ئاسارۇن	pɑsɑrɯn
ئاسارەت	ɑsˈɑrɑt
ئاسارەتلىك	ɑsɑrɛtlik
ئاساس	ɑsˈsɑs
ئاساس بۇلۇڭ	ɑsɑs boluŋ
ئاساس تەرەپ	ɒsɒs tɑrɑp
ئاساس سالماق	ɑsɑs ɑlmɑq
ئاساسسىز	ɑsɑsɯz
ئاساسلانماق	ɑsɑsɑnmɑq
ئاساسلىق	ʔasɑslaq
ئاساسلىق ھۇجۇم	ɑsɑsɫɯq qudʒum
ئاساسلىماق	ɑsɑsɯlɯmɑq
ئاساسى بوش	ɑsˈsɑsɪ bɔʃ
ئاساسى چىڭ	ɒsɒsijtʃiŋ
ئاساسىي	pazasˈi
ئاساسىي ئوغۇت	ʔasasɪ ʔuːqq
ئاساسىي ئوق	pɒsɒsiˈ ɒq
ئاساسىي ئېلېمېنتى	ɑsɑsɪ ɪlmɪn di
ئاساسىي تاختا	bɑsɑːr e̞zəɾ tɑxte̞h ruː bæɾ
ئاساسىي جازا	hɒsɒsiː dʒɑzɑ
ئاساسىي جىنايەتچى	hɒsɒsiˈ dʒiˈnɒˈjɒtʃiˈ
ئاساسىي زال	kasaːsezɐl
ئاساسىي زىددىيەت	ɑsˈtˤjˈs diːt
ئاساسىي زەررىچە	ɒsɒsiː zɒɾiːdʒɒ
ئاساسىي زەرەت	ɒsɒːsiː zɛrɛt
ئاساسىي سۇ يولى	ɒsɒsiː sɒjuːli
ئاساسىي قاتلام	qɛtkɑm
ئاساسىي قانۇن	hɒsɒsiˈ qɒnˈun
ئاساسىي قوشۇن	hosɑsɪ pʰaʃun
ئاساسىي قىممەت	ʔasasi qɪmmæn
ئاساسىي قۇرۇلۇش	ɑsɑsɪ kirluʃ
ئاساسىي قەھرىمان	ɔsɑsi qhrɤmɑn
ئاساسىي كۆۋرۈك	ɑsɑsi køryk
ئاساسىي كۈي	aːsɑːsɪ pyj
ئاساسىي لۇغەت تەركىبى	ɑsɑsɪ loʁɑt tɛrkibi
ئاساسىي ماددا ئالمىشىش	ɑsɑsijɯ mɑddɑ ɑlmɪʃɯʃ
ئاساسىي مېلودىيە	ɦɒsɒsiː miːlɒdiːe
ئاساسىي نىزام	ɑsɑsij nizam
ئاساسىي پالۇبا	asasj pɑɫobɑ
ئاساسىي چاق	qɒsɒsiː tʃɒq
ئاساسىي گەۋدە	ɒsɒsiː gɒldɒ
ئاساسچى	astastʃe
ئاساسەن	ɒsɒˈɒsæn
ئاسان	bazˈsɑˈn
ئاسان تۇغۇت	ɑːsɑːn tɔgɔt
ئاسان گەپ	ɑsɑn gɛp
ئاسانغا توختىماق	ʔasɑŋʁɑ tɔχtɪmɑq
ئاسانغا چۈشمەك	ʔɑslɑmʁɑ tʃyʃmɛk
ئاسانلاشماق	ɑsɑnlɑʃmɑq
ئاسانلىق	qɑsɑnliq
ئاسانلىقچە	ɑsɑnlɯqtʃæ
ئاسانلىماق	ɑsɑnlɯmɑq
ئاسانچىلىق	ɑsɑntʃɯlɑq
ئاسايىش	asaiʃ
ئاسايىشلىق	ʔɑsaijistlɑq
ئاساۋ	qɑstɑv
ئاست	ɑːst
ئاست جاغ	aʃtʃa
ئاستا - ئاستا	ɑːsta ɑːsta
ئاستا داۋان	aˈsta dɑvɑn
ئاستا نېيترون	aːstanitrʊn
ئاستا-ئاستا	ɑstaɑsta
ئاستاتىك	ɑstɑtˈik
ئاستانە	gɑstɑne
ئاستروبىئولوگىيە	astropjɔlɔgiæ
ئاسترودىنامىكا	ɔstɛrɔdɪnamika
ئاستروفىزىكا	astrofizika
ئاسترولوگىيە	ostrologija
ئاستروليابىيە	astrʊɫjɑpɪjæ
ئاسترومېخانىكا	ɔstrɔmiχɑnika
ئاسترونوم	pastronom
ئاسترونومىيە	astronomjɛ
ئاسترونومىيە سائىتى	astronomija saʔɛtɪ
ئاسترونومىيە كالېندارى	ostronomija kalindare
ئاستىدىكى	ɒstɒdɒki
ئاستىرتتىن	ɑstɯ̞rʊ̞tːʲɪn
ئاستىرتىن	ʔɑstɪrtɪn
ئاستىغا	astra
ئاستىلاتقۇچ	ɑstɯˈlɑtqotʃ
ئاستىلاتماق	ʔɑstɯltmɑq
ئاستىلاشماق	ʔɑstlɑʃmɑq
ئاستىلىماق	ɑstɯzlamɑq
ئاستىن	ɑstɯn
ئاستىن-ئۈستۈن	ɑstɯnystɯn
ئاستىن-ئۈستۈنلۈك	ɑstɯmʔystymliːk
ئاستىنقى	pastɯnqɯ̞
ئاستۇرماق	ɑʃtʊrmɑq
ئاسراتماق	ɑsrɑtmɑq
ئاسراشماق	ɒsɾɒʃmɒq
ئاسرالماق	ɑsrɑlmɑq
ئاسراندى	ɑsrɑndɯ
ئاسراندى ئوغۇل	ɑstɯrɑntɯq ʔoʁul
ئاسراندىلىق	ʔɑsrɑntiliq
ئاسرى	pastri
ئاسرىماق	ɑsrɯˈmɑq
ئاسسممېترىيىلىك	asimitɾijiliːk
ئاسسممېترىيە	ɑsmɛteɾjæ
ئاسسوتسىئاتسىيە	asɔtsiaːtsiːjɛ
ئاسسىدىيا	ɔssidia
ئاسسىستېنت	əssˈɪstənt
ئاسسىستېنتلىق	ɑsˈistintliˈq
ئاسسىمىلياتسىيە	bɑsmɛnjɑtsijæ
ئاسفالت	ɑsfɑlɛt
ئاسفالتلىق	ʔasˈfɑlɪtlˈq
ئاسفالتلىماق	ʔɑsfɑlɛtlɨq
ئاسقاق	ʔɑstq
ئاسقىماق	ɑsˈqɑmɑq
ئاسقۇ	bɑsqu
ئاسقۇچ	pastqutʃ
ئاسكوربىك	asˈkɔrbiːk
ئاسكوربىك كىسلاتا	asˈkˈoˈɾ bˈek kɪstɑtˈta
ئاسلان	ɑsˈlɑn
ئاسلانلىماق	ɑsɫɑnlimaq
ئاسما	ɑsmɑ
ئاسما ئوق	ɒsmɒ ɒq
ئاسما بازغان	ɑsmɑ bɑzʁɑn
ئاسما بۆشۈك	ɑsmɑ beʃɪk
ئاسما تەك	ɑːsmɑː tɛk
ئاسما خاپان	ɑsmɑ χɑˈpɑn
ئاسما سائەت	ɑsmɑ saːˈʔet
ئاسما شىم	ɒsma ʃim
ئاسما كران	β̞asmʊ̞ kɯ̞ɾɑn
ئاسما كۆۋرۈك	ɑsmɯ køryk
ئاسما كەمەر	ɒsmɒˈ kɒmɒɾ
ئاسما مايكا	asma mɑjka
ئاسما يەلكە	ɛsmajlka
ئاسما چىراغ	ɑsmɑ tʃaɾaɣ
ئاسما گۈل	ɑsmɑ gʏl
ئاسما ھالقا	ɑsmɑ ɑlqɑ
ئاسما ۋاگون	asma vˈɑːgum
ئاسماق	qɑsmɑq
ئاسماق-ئاسماق	ɑsmɑqɑsmɑq
ئاسماقچى	asmaqtʃi
ئاسماقچىلىماق	qɑsmɑqtʃʰilimq
ئاسمان	ɒsmɒn
ئاسمان تاپان	ɑsmɑn tɑpɑn
ئاسمان جىسىملىرى	ɑsman dʒisimleɾi
ئاسمان قەرى	ɑsmɑn qæˈri
ئاسمان گلوبۇسى	ɑsmɑn kilɛbɔsi
ئاسمان گۈمبىزى	ɒsman gymbezi
ئاسمان ھادىسىسى	ɑsmɑn ɑːdiːsɯ
ئاسمان-زېمىن	ɑsˈmɑnzɪmɨn
ئاسمان-پەلەك	vɑsmɑnpelik
ئاسمانغا ئاسماق	ʔɑsmɑnʁɑ ʔɑsmak
ئاسمانغا تاقاشماق	qɑsmɑŋgɑ tɑqɑʃmɑq
ئاسمانغا پىچاق ئاتماق	qɑsmɑnʁɑ pitʃɑp ʔatmak
ئاسمانغا چىقارماق	ɑsmɑŋgɑ tʃɯqarmak
ئاسىنا	ɒsnɒ
ئاسىي	ɑːsiː
ئاسىيا	ɑːsijɑː
ئاسىيا قىتئەسى	ɒːsiˈjɒːqtɒsiˈ
ئاسىيا گىدروخارىسى	ɑːsiːjɑː giːdəroːxɑr se
ئاسىيالىق	ɑsijɑlɯq
ئاسىيلىق	ʔɑsɪlɑq
ئاسپرانت	aːspɾat
ئاسپرانتۇرا	asprotra
ئاسپىرانتۇرا	aːspiɾaːntuɾa
ئاسپىرىن	aːspiɾˈn
ئاش	aːs
ئاش بولماق	ɒsb olma
ئاش تارتماق	ʔɑʃtɑrtmɑq
ئاش تۇزى	ɒːʃtuzˈi
ئاش پۇرچاق	ɑʃpʊrtʃɑq
ئاش-ئوزۇق	aʃozɔq
ئاش-ئۇزۇق	ɑʃʔuzun
ئاش-تائام	bastɑm
ئاش-تاماق	ɒˈʃtɒmˈɒq
ئاش-تۇز	aʃtuz
ئاش-غىزا	ɑʃχzə
ئاش-نان	ɑːʃnɑːn
ئاش-پاش	oʃpɔʃ
ئاشاغان	ɑːstʃæɑːɣɑːn
ئاشالمايسەن	aʃalmɑjsæn
ئاشتاختا	ɑʃtɑqtɑ
ئاشخانا	nʲtʂeχnæ
ئاشخانىغا كىرىپ تاماق يەيلى	pʃɑmiχɑ kɛrɪt tamɑq jɛjlɪ
ئاشسۇ	tʃiːzi
ئاشقا چىۋىن چۈشمەك	ʔɑʃqɑ tʃevɨn tʃyʃmɛk
ئاشقازان ئۈچەي ياللۇغى	ʔɑʃqɑzɑn ʔytʃɛj jɑlluqi
ئاشقازان بوشلۇقى	pɑʃqɑzɑn bɔʃtuqqi
ئاشقازان بېزى	aʃqɑzɑn bizi
ئاشقازان تۆۋەنلەش	ʔɑʃqɑzɑn tøwænlɛʃ
ئاشقازان سۇيۇقلۇقى	ʔɑʃqɑzɑn sujɤqlɨqi
ئاشقازان كىسلاتاسى	aʃqazaːn kɪstardɑsɪ
ئاشقازان كېسىلى	ʔɑʃqɑ zɑn kɪsili
ئاشقازان يارىسى	aʃqazan jɑˈrɪsi
ئاشقازان ياللۇغى	aʃqɑzɑn jɑlnuɣi
ئاشقازان چىقىش ئاغزى	ʔɑʃqizɑn tʃiqɪʃ ʔɑʁzi
ئاشقان	ɑʃqɑn
ئاشقان-تاشقان	ɑʃqɑntɑʃqɑn
ئاشكارىلاتماق	pʃkɑrɯlɑtmɑq
ئاشكارىلاندى	aʃkɑɑrɫɑnˈdi
ئاشكارىلانماق	ʔɑʃqɑʔurlɑnmaq
ئاشكارىلىق	qɑʃkɑrliq
ئاشكارىلىماق	mɑʃgɑrlimɑq
ئاشكۆكى	aʃqɔkki
ئاشلاتماق	ʔɑʃlɑtmɑq
ئاشلاش كىسلاتاسى	aʃlɑʃ kɪslɑtdɑsɯ
ئاشلاشماق	baʃlɑʃmɑq
ئاشلامچى	ɑʃlɑmtʃi
ئاشلامچىلىق	ʔɑʃlɑmʧiliq
ئاشلانماق	ɑʃlɑnmɑq
ئاشلىق	ʔɑʃlɯk
ئاشلىماق	bɑʃlamɑq
ئاشلەڭپۇڭ	hɒsɾhɒŋˈpˈɒng
ئاشماق	bɑʃmɑq
ئاشمانتا	ɑsmɑnˈtˈa
ئاشمىدى	bʃmeɾdi
ئاشنا	ɑːsˈnɑ
ئاشنا بولماق	ɒʃni bɒlmɒq
ئاشنا تۇتماق	ɒʃniˈ tutmɒq
ئاشنالىق	ʔɑʃnɑliq
ئاشىق	ɑˈsɯk
ئاشىق-مەشۇق	ʔaʃqmaʃuq
ئاشىقانە	ɒːʃiˈqɒnɒˈ
ئاشىقسىز	bɑʃqsˈz
ئاشىقلىق	ʔaʃiqliq
ئاشىيان	ɑˈsijɑˈn
ئاشىپتە	aʃptɒ
ئاشيانە	aʃjɑːnæ
ئاشپۇزۇل	ɑʃpuzol
ئاشپەز	ɑʃbeʃ
ئاشپەزلىك	qɒʃqezdq
ئاشۇ	aʃo
ئاشۇرما	aʃurma
ئاشۇرما دەرىجە	aʃurmu darɨdʒe
ئاشۇرمىسا	ɒʃurmisɒ
ئاشۇرىدىغان	aʃuritɪʁɑn
ئاشۇرۇش	aʃuɾuʃ
ئاشۇرۇپ توڭلاتماق	ɒˈʃuɾˈup tɒnglɒtmˈɒq
ئاشۇنداق	pɑʃundɑq
ئاشۇنچىلىك	ɑʃuntʃɯlɯk
ئاشۇنچە	aʃuntʃɛ
ئاشۋاقتى	ɑʃvɑqtɪ
ئاغ	oɾ
ئاغا-ئىنى	aʁaini
ئاغامچا	ɑɢɑmtʃa
ئاغانئاق	ɑʁɑnɑq
ئاغانئاقبىكە	ɑʁɑnɑqbʲekɛ
ئاغدۇرما	ɒqduˈrmɒ
ئاغدۇرماق	ɑʁduɾmɑq
ئاغدۇرمىچى	aqduɾmʲitʲːe
ئاغدۇرمىچىلىق	ɑʁdʊrmɛtsiliq
ئاغدۇرۇشماق	ɑɁdɔɾʊsʲmɑp
ئاغدۇرۇلماق	ɑqturuɫmak
ئاغرىتماق	ɑːrɯtmɑq
ئاغرىتىپ ھەيز كېلىش	aʁrɤtˈtɑ bɛjz kilɛnʃ
ئاغرىق	ɑʁrɯ̞q
ئاغرىق-سىلاق	ɑʁrɯqsɪlɑq
ئاغرىقچان	bɑʁrɯcdʒɑn
ئاغرىماق	ɑːgromɑq
ئاغرىنماق	ɑʁrɯ̞nmɑq
ئاغرىپ-تارتىپ	ɑʁrɯptɑrtɯp
ئاغزاكى	ɑːgzɑːke
ئاغزاكى بۇيرۇق	ɑʁzaː kɛ bujruq
ئاغزى ئاغزىغا تەگمەي	ɒgzi ɒgzɒˈʁɒ tɒgmɒj
ئاغزى باتۇر	ɑqzɯpɑtʊɾ
ئاغزى بازار	ɒgzi bɒzɒɾ
ئاغزى بوش	ɑːgz baʃ
ئاغزى بۇرنىنى قان قىلماق	ɑqzi burniˈnæ qɑn qɯlmɑq
ئاغزى بۇزۇق	ogazˈi bˈuzuk
ئاغزى بېزەپ	ɒgzi beˈzæp
ئاغزى بېسىقماق	ɢɑqze pesxmɑq
ئاغزى بېسىلماق	ɒgzi pesiˈlmɒq
ئاغزى تۇۋاقلانماق	ɒgzit tuvɒhlɒnmɒq
ئاغزى تەگمەك	ɒgzi tɒgj
ئاغزى پالۋان	ɑˈʁzi pɑlbɑn
ئاغزى پىششىق	aʁzə pɛsˈiʁ
ئاغزى چاققان	ɑqzi tʃɑqqɑn
ئاغزى چىڭ	ɑq zɛtʃim
ئاغزى-بۇرنىغىچە تويماق	ɒgzi burnaʁitʃɒ tɒjmɒq
ئاغزىدا بار	ɑʁzdɑ pɑˈr
ئاغزىدا شەھەر ئالماق	ʔɑʁzidɑ ʃɛhɛr ʔɑlmɑq
ئاغزىدا قالماق	ɒgzidɒ qɒlmɒq
ئاغزىدا گېپى بار	ɒgzidɒˈ gepi bɒˈr
ئاغزىدىن سائەت چىقماق	ʔɑʁzidin sɑʔɛt tʃɪqmɑq
ئاغزىدىن سۈت پۇراپ تۇرماق	ɒzidɒˈnˈ suˈtˈpɾɒb tuɾmɒˈb
ئاغزىدىن شۆلگەيلىرى ئاقماق	ʔɑʁzidin ʃylgɛjlirɪ ʔɑqmɑq
ئاغزىدىن شېكەر تامماق	ʔɑʁzidɯn ʃɨkɛr tɑmɑq
ئاغزىدىن كەتمەك	ʔɑʁzidɯn kɛtmɛk
ئاغزىدىن پوق ئاقماق	ɒzidim poq ɒqmɒq
ئاغزىدىن چۈشۈرمەسلىك	ʔɑʁzidɯn tʃyrmɛslɯk
ئاغقان	ɑqqɑn
ئاغما ئاساس	ɑːgmɑ ɑsɑs
ئاغما دۈگلەك سىلىندىر	aːqmɯ dynɟalɛk silindiɾ
ئاغما پرىزما	ɒgmi pˈiˈɾˈizmɒ
ئاغماق	ɑːgmˈɑk
ئاغمىخان	ɦɑːgmuxan
ئاغمىچى	ɑˈʁmˈitˈtˈɛ
ئاغمىچىلىق	ɑʁmɯtʃɯlɯq
ئاغى قىلماق	ʔɑʁi qilmɑq
ئاغىدىماق	aːʁidˈomɑːq
ئاغىز	ɑːvˈz
ئاغىز بىسەرەمجان	ɑˈɣiz biʃɑrɛm dʒɑn
ئاغىل-تاغىل	ɑˈgɯltɑˈgɯl
ئاغىنىدارچىلىق	ʔɑʁinitɑɾtʃur
ئاغىنىگۈل	ɑˈɣengyl
ئاغىنە	aðˈine
ئاغىنە-بۇرادەر	ɒɣinˈbˈɾɑdr
ئاغىچا	ɑˈʁɯtʃɑ
ئاغىچا خېنىم	ɑʁtʃiχɛnæm
ئاغىچام	aːgitʃaːm
ئاغىچىخان	ɑːɣətʃiːxɔ̙n
ئاغىچىقىز	ɑːɣtʃiːqiz
ئاغىچىلىق	ɑʁɯtʃlɑq
ئاغىچە	agitsʲe
ئاغۇ	aɣo
ئاغۋات	ɑːwˈt
ئاغۋاتلار گۇرۇھى	ɑʁvɑtlɑr gʊrʊ̞hʲi
ئافرىقا	ɑfriːqɑ
ئافغانچە	ɒfχɒntsie
ئاق	ɑq
ئاق ئاش	ɑq ɑs
ئاق ئاشلىق	ʔɑq ʔɑʃlɨq
ئاق ئالا يىلان	qɑq ʔɑlɑ jilɑn
ئاق ئالتۇن	aq ʔeltuŋ
ئاق ئامۇر بېلىقى	ɑq ʔɑmur bilaqɪ
ئاق ئايدىڭ	ɑq ʔɑjdɯŋ
ئاق ئەمەن	qɑq ʔɑmɛn
ئاق باش	qqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqtɯp
ئاق باش تۇمۇچۇق	aqtʃ tɔmuuq
ئاق باش سېرىق قۇچقاچ	ɑqpɑs sijɾiq ʃɟɑntʃ
ئاق باش قۇرغۇي	ɑq bɑʃ qurɣuj
ئاق باغلىماق	ɑq bɑʁlimɑq
ئاق بوز	apoz
ئاق بۇلۇت	ɑq bolut
ئاق بېلىق	ɑq bʲelɪ̞q
ئاق بېلىقچى	ɑq bɪlɪqtʃɨ
ئاق تاشلىق كىتاب	ɑqtɑʃlɯq kitɑp
ئاق تالقان دورا	ɑq tɑlqɑn dɔrɑ
ئاق تالون	ʔɑq tɑlɑ
ئاق تاۋ	aʈtɑv
ئاق توزان كېسىلى	aq tɔzɑn kisili
ئاق تولغاق	ɑq tʊ̞ɫʁɑq
ئاق تۆمۈر	at tømyr
ئاق تۇرنا	ɑp tʊ̞rnæ
ئاق تۇماق	ɑk tomɑq
ئاق تۇمشۇق بۇغا	ɑp tomʃuk buʁa
ئاق تۇچ	ɑp tut
ئاق تۈلكە	ʔɑt tʏlqæ
ئاق تۈنىكە	ɒq tɵnˈɪkæ
ئاق تېرورلۇق	ɑqtirɔrluq
ئاق تېرەك	ɑːp tˈeːɾek
ئاق تەمرەتكە	ɑq tɛmrɛtkæ
ئاق تەنلىك	ʔɑtːælˈlɪk
ئاق جۇخار	ɑq dʒuːxɑr
ئاق خالات	ɑq χɑlɑt
ئاق خام	ɢɒqχɒm
ئاق خۇن	qɒqxun
ئاق خەربەق	ɑq hɑrbæq
ئاق خەسە	aq χɛsæ
ئاق دىل	ɑq dʒyl
ئاق زەمچە	aq zɛmtʃɛ
ئاق ساراي	ɑqsɑraj
ئاق سايۋا	ɑq sɑjvɑ
ئاق سوسەر	aqsosɛr
ئاق سىراچ	ɑqsrɑt
ئاق سىركە	ɑq sɪ̞rkæ
ئاق سۆسەر	aq søsær
ئاق سۇ	aqsɯ
ئاق سۇغارماق	ɑq suʁɑrmɑq
ئاق سېرىق	ɑqsɪ̞rɯ̞q
ئاق سېغىز	ɒqseɾis
ئاق سەندەل	ʔɑq sɛndæl
ئاق شورپا	ɑq sʏrpä
ئاق شەبنەم	ɒq ɒvnæm
ئاق شەمشاد	aq ʃɛmsat
ئاق غاز	ɑːq rɑːz
ئاق فوسفور	aqfosfor
ئاق قار	ɑp qɑr
ئاق قاش بۇلبۇل	aqqaʃ bolup
ئاق قاشتاش	qɑqqaʃtɑʃ
ئاق قاشقا	qɒtʃqɒ
ئاق قالغان يەر	ɑq qɑlʁɑ jɛr
ئاق قان دانچىسى	aqqɑn dɑntʃɪsɪ
ئاق قان كېسەللىكى	ɑqqɑn kesɛnlɛki
ئاق قورساق بۈركۈت	ɑq qorsɑq kørkyt
ئاق قوناق	qqunq
ئاق قوچۇر	ɑk qɔtʃur
ئاق قوۋزاقلىق قارىغاي	aq qozɑqlɯq qɑrʁɑj
ئاق قىچا	aq tʃa
ئاق قۇ	aqqu
ئاق قېيىن	ækpeːn
ئاق كىت	akːit
ئاق كۆكچە	ɑq kʏ̞ktʃæ
ئاق كۆمۈك	ɑp kymik
ئاق كۆڭۈل	aq køŋyl
ئاق كېچە	ɑq kʲitʃæ
ئاق كەندىر	ʔɑk kɛndir
ئاق ماددا	ɑq mɑddɑ
ئاق موم	aq mom
ئاق مەرمەر	aq mɛrmɛr
ئاق پارپا	ɑq pɑɾpɑ
ئاق پۆپۈنەك	aq pøpynæk
ئاق چاي	aɣ̞ tʃaɪ̞
ئاق چايكا	ap tʃojka
ئاق چورتان	ɑp tʃɔrtˈdan
ئاق چوغلۇق	ɑq tʃɔʁluq
ئاق چويۇن	ɑq tʃujun
ئاق چىرىمتال	ɑp tʃirɯ̞m tʊ̞n
ئاق چۈشمەك	aːtʃmɛg
ئاق چۈمۈلە	ɑq tʃymɨlɛr
ئاق چەك	ɑktek
ئاق گۈللۈك	ʔɑq gynlyk
ئاق-قارا	ɑqqɑrɑ
ئاق-كۆك	ɔpk
ئاقئىز	ɑqez
ئاقار	qɔħ
ئاقار يۇلتۇز	qɒˈɾi juˈltoz
ئاقارماق	ɑqɑrmɑq
ئاقباش ئوت	ɑχ pɑs ɑwɪs
ئاقتا قالماق	ɑxtɑ qɑlmɑq
ئاقساراي يېزىسى	-ɑqsɑrɑj jɪsɪ̞
ئاقساق	ɑqsɑq
ئاقساق-چولاق	aqsaqtʃolaq
ئاقساقال	aqsaqaːm
ئاقساقاللىق	qɯzɑqqɑllɑq
ئاقساقلىماق	aqsaqlɯmɑq
ئاقسىل	aqsɯm
ئاقسىماق	ɑqsmɑq
ئاقسۆڭەك	aχsɔŋɛk
ئاقسۇ	ɒhsɒ
ئاققا كۆچۈرمەك	qɑqqɑ køtʃyrmɛk
ئاققىز	ɑkˈqiz
ئاققۇ	ɑqqo
ئاقكۆڭۈل	ɑhkyŋɯn
ئاقكۈن	ɑːχkyn
ئاقكۈنكۆر	ʔɑxkynkør
ئاقلىغۇچ	ʔɑqlɪʁutʃ
ئاقلىغۇچى	ʔɑqlɪʁutʃi
ئاقلىماق	ɑqɫɯmɑq
ئاقلەيلى	aqlɑjdi
ئاقما	tɑqmɑ
