(ممتاز حسین (مصنف	multasuzɛ
آنکھ کا جالا نکالنا	ɑːkʰ kə gɑlɑː nɪkɑːlɑːʔ
آنکھ کابال	aːng q al
آنکھ کھل گئی	ɑːk xəl ɾəɦiː
آنکھ ﺍﻭﺟﮭﻞ	ʋəːk ɔdʒʰəl
آنکھوں	ˈaɪkˈom
آنکھوں میں	akomei
آنکھوں میں آنکھ ڈالنا	aːl kom e aːk dʒɑnn
آنکھوں میں خون اترنا	aːkom aferoj matma
آنکھوں کا تارہ	nɑːkoː kaːtaːra
آنکھیں	ˈaʊnke
آنکھیں بھرآنا	əɦeː bʱɾɑn
آنکھیں ترس گئیں	ɑːkʰeː ɖəɾɑs gɑːn
آنکھیں فرش راہ کرنا	ɑːkʰeːn fəʃɾɑːh kɪɾnə
آنکھیں نہ دکھاﺅ	ɑkʰeː naːd bˈɛkːl
آنکھیں پھاڑ پھاڑ کر	ɑːkʰeː pʰäːɭ̪ pʰäːɭ̪ kɾ
آنکھیں چرانا	ɑːˈkʰe dʒoːɾɑːnɑː
آنکھیں ہیں	ɑːkʰeː ɦẽːʔ
آنگن	ˈɑlˈɛn
آنی جانی	ɑːmiː dʒɑːniː
آنے جانے	ɑːnɛː dʒɑːnɛː
آنے جانے کا دروازہ	ɑːnɛː gɑːneː kə ɖəɾʋɑːzə
آنے سے	ɒnɛsɛ
آنے سے قبل	ʔaniː qɑbɑn
آنے لگے	ɑːneː ləgeː
آنے والا	əˈnɛːʋɑlɑ
آنے والا ہے	nɛːʋɑːlɑː ɦɛː
آنے والی	ɑːneːwɑːliː
آنے والی نسلیں	ɑːnʋɑːliː nəsˈleʔ
آنے والے	ɑːnɛːvɑːleː
آنے والے شکوک	ɑːnʋɑːleː ʃʊkʊkʰ
آنے والے طلبہ	ɑːnʋɑːleː t̪əɾbə
آنے کی خبر دینا	ɑnɪˈki xbɑr rénʔnɑ
آنے کے بعد	ɑːnẽː keː bɑːd̪
آهسته آهسته	ɑːhɪstɑː ɑːhɪstɑː
آهو	ɦoː
آوا	ɑɢaβa
آواران	aːvɑːrɑːm
آوارہ	ɑuɑːra
آوارہ خرامی	ɑwɑraː xraˈmi
آوارہ منزل	aːwaːraːj mənzuːl
آوارہ گرد	aːʋaːraː gəɺ
آوارہ گردی	ɑːwɑːɾaː gəɾðiː
آواز	ɑˈvɑz
آواز اور آہنگ	ɦoɑz ɔːr ɑːhəm
آواز اٹھا ئی	ɑːvɑːz ʊtˈhɑj
آواز اٹھائی	ɑwɑz ɔtɔiː
آواز اٹھاتی	ɑːʋɑːz ʊt̪ʱɑːɪeʔ
آواز اٹھانے	ɑuːɒz e̞gtaːne̞
آواز بلند کرتا	ɑwɑz bɪ̞ɾæn dʲɪkɑr ptä
آواز دیتی	ɑːʋɑːs ɖeːt̪iː
آواز سنی	ɑwɑz
آوازيں	ɑːvɑːzɪ
آوازیں کسنا	ɑːʋɑːz əj qɑsnə
آوازے	ɑːʋɑːzɪ
آوازےکسنا	ɑːvɑzdekɑsnɑt
آواگَوَن	haaːwaːgəʋɑn
آورد	abɒːɾm
آوری کوسٹ	ˈɑɹvɚi kˈɔɹst
آویزاں	aːlʋɛjɑzɑm
آویزہ	ɑːvˈeːzɑ
آوے	aːve
آٹا	ɑːt̪ˈɑ
آٹا پیسنا	ɑːʈːɑː piːsnə
آٹا پیسنےکی چکی	məʈə piːs neː kiː tʃk
آٹو رکشا	paːto riksˈʃaː
آٹو گراف	ɑtobɾɑh
آٹھ	ˈɑk
آٹھ اضلاع	ˈæt ˈɪz lˈɔ
آٹھ بج کر	ɑːʈʰ bɐtʃ kɐɾ
آٹھ برس	paːʈ bəɾəs
آٹھ سو روپے	aːks oːɾ pe
آٹھ مقام	ʔaːʈmqɑːm
آٹھواں	ɑːʔtw
آٹھوں	ɑːtəp
آٹھویں	aɾt̪ɾiːm
آٹھویں نمبر	ɑːʈme nəmbɑr
آٹے میں نمک	ɑːʈeː miː namk
آپ	ap
آپ بھی دیکھیں	ɑːb bʱi ɖeː kʰeː
آپ بیتی	ɑːt̪ b̪ɪt̪i
آپ خود	uaq xʊd
آپ دِکھلائیں	ɔːp bɪkʰeːlɑːɪ̃
آپ سے آپ رک جائے	əp seː əp rop gɑːjeː
آپ فضیحت اوروں کو نصیحت	ɑːb fʊziːɑːt ɔːrɔːkv næˈsiːhæd
آپ پر	apːɯ̞r
آپ کا بھتیجا	ɑːp kə bʱɾiːgə
آپ کا شکریہ۔	ɑːkˈɑ ʃʊgɾijɑ
آپ کا مزاج کیسا ہے؟	ɑːf kə miːdʒɑːdʒ kijɑ ʃɛɦe
آپ کا نام کیا ھے	ɑːpkə nɑm kiː ə
آپ کا کیا حال ہے	hɑːb kə kʰɑːn
آپ کاج مہا کاج	ɑːp kɑːg mɑhɑ kɑːg
آپ کو	mɛːfqoʁ
آپ کو لگا	ɑːb ko ləgɑ
آپ کون ہیں	ɑːf koːn ɦeː
آپ کيسے ہيں	ɑːp kijse ɦẽːʔ
آپ کی باتیں	ɑːp kiː baːt̪eʔ
آپ کی دعا ہے	ɑːp kiː duːʔə ɦõːʔ
آپ کی طبیعت کیسی ہے؟	əːp kiː t̪əbʱiːt̪ kiːʃeː əɪ̯n
آپ کی عدالت	ʔaːb kiː ɑlɑlɑt
آپ کی منادی	ɦɑːb kiː mənɑːdʒiː
آپ کی پٹائی	ɑːp kiː bt̪ɑːiː
آپ کیسے ہیں؟	ɑːp kɪːsɪː ɦẽːʔ
آپ کے جذبے	əːoːkʰeː gʌzbeʔ
آپ کے دشمن	ɑk keː duʃmɑn
آپ کے پاس	ɑːp keː pɑːs
آپ کے چہرے	ɑːpkeː tʃʰre
آپ ہیں	ɑːp ɦeː
آپا	bɑbɑ
آپریشن	ɑpɚˈeɪʃən
آپریشن ضربِ	apɾejʃimiz bu
آپس	aˈpəs
آپس کا اتحاد	ɑːpəʃ käː ɑːt̪t̪ʰiːɦɑːr
آپس کا معاملہ	aːpəs kaːr moːʔabla
آپس کی پھوٹ	bäːpɐs kiː pʰuːt̪
آپس کے جھگڑے	əːpəs keː dʒʌlɭeʔ
آپکی آواز	ɑb ki ɑwɑz
آپی	api
آپے سے باہر	ɑːpəɪs maːɦɾ
آچار	ʈʂɚ˧˥tɕʰy˥˩ʈʂʰan˥˩pi˨˩˦kɤ˧˥tk̚˥˩la˥˥ʐən˧˥pan˥˩la˥˥ʐən˧˥pan˥˩
آچاریہ	ɑːtʃɑːɾiː
آچل سورا	ɑːtʃəl sʊɾaː
آچکے	tʃikː
آچکے ہیں	ɑː tʃʊkɪ ɦẽːʔ
آچھیں	ʂɕiːwˈʂtiː�en˨˩˦tʂu˨˩˦fɔː˧
آڑ	ɑː
آڑا	maɾa
آڑا تِرچھا خاکہ	ɑːrɑːt beːltʃʰɑː xɑːqə
آڑا پاجامہ	ˈɑlɑ pədɐmmo
آڑتیا	ɑɹpɪʔ
آڑلگا نا	ɑːɾlɑnɑː
آڑو	aɾum
آڑو کا درخت	aaːroː kaː darx
آڑو کا پیڑ	ɦoːrɔː kɑː piːɾ
آڑو کے پھول	ɑːɾuː keː tʰoːl
آڑھتی	ˈaɪvnˈoʊ
آڑے	ibˌaɾˈeɪ
آڑے آنا	ɑɾɛ ɑnɑ
آڑے وقت	waɾeːba
آک	oːk
آکا	ˈɑːkə
آکاش	aːgoʃ
آکسیجن	aqsʏdʑɯn
آکٹوپس	ɑkˈtəpʊs
آگ	aɣ
آگ بجھانا	ə ɣoːdʒaːnə
آگ بگولہ	əg bəˈgolə
آگ لگانا	ɒg lɒgɒnˈɒ
آگ میں پھول	ʔaːdmeː puː
آگ پکڑ گئی	əg pəkɐɽ gɐiː
آگ چڑھی	ɑːk tʃʰeː
آگ کا دریا	ɑːskɑdɑliːe
آگ کو	aɣo
آگ کی ہولی	ɑːg kiː ɦoːli
آگاہ	baga
آگاہ کرنا	ɑʁɑː hkɑrnɯ
آگاہ کریں	ɑːgɑːh kɾiːm
آگاہ کیا جائے	ɑːɣɑːʔ kijɑ gɑːjeː
آگاہ کیجے	ɑːgɑːh kiː gdʒeʔ
آگاہ ہونا	ɑːgɑː ˈɔnɑː
آگاہی	ɑːgɑːhi
آگاہی حاصل ہوئی	əgɦiː ɦɑːsəl ɦoːl
آگاہی دی	ɑŋɢɑː he ɖiː
آگاہی پھیلے	ɑːgɑː hi pəˈle
آگرا	agra
آگرہ	agra
آگہی	ɑːgɾɦʱiː
آگے	alge
آگے آئے	ɑːgɑːʔə
آگے اُس کے	ɑːgeː ʊs keː
آگے بڑھا ہے	əgɪ bəɦɑːe
آگے بڑھائے	ɑːgeː bəɦɑːe
آگے بڑھانے لگیں	ɑːgɪ bəxɑne ləgeː
آگے بڑھایا	ɑːɣeː bɐɽħɑːjɑː
آگے بڑھتی	ɑːgeː baɦt̪iː
آگے بڑھنے	algeː bəxˈne
آگے بڑھے	əgʱeː bɾɦeʔ
آگے دیکھیے	ɑːgeː dekʰeʔ
آگے سمندر ہے	ɑːgeː səmɑːndəɾ eːeːʔ
آگے نہیں بڑھا	ɑːgeː nəɦẽː bxɑː
آگے چل کر	aːgeː tʃɑlka
آگے ہونا	ɦɑːgeː ɦoːnə
آگےرکاوٹ ہے	äːɣ̞eː ɾʊkɑː ʋʈ eːeːʔ
آگےسڑک بند ہے	ɑːgeː sɐɽkə pə̃ːn̪d̪ʱ eːeːʔ
آگےپیچھے	ʔägeːpiːtʃʰe
آہ	ˈæˈ
آہ بھرنا	ah hærma
آہ لینا	ɑːh lɪlɛː
آہ و زاری	ɑːh zɑːriː
آہ و زاری کرنا	uːzðiː kəɾlə
آہ وبکا	ɑːhʊd buːkə
آہ کو چاہئے	ɑːɦ ko tʃɑː ɦɛjjeː
آہار	ɦɑr
آہستگی	ˈaɪstəgiːn
آہستہ	aːjˈstɑː
آہن	ɑhɑn
آہنگ	ˈɑlhˈæŋ
آہنگر	ɑːhɑngəːr
آہنی	əːkɪniː
آہو	ˈaːxu
آہِ آتشیں	mɑːh ɑːt̪eːʃiː
آہٹ	ɑːɦɑːʈ
آہیں	nohe
آہیں بھرکر	ɑːɦe ɓʱʌɾ kɐɾ
آیا	aja
آیات	fajːɑt
آیت	ɑːhɪt
آیت نازل ہونا	ʔaːjɪt nɑːzæl hwnʊ
آیدن	ajdiːn
آیر زبان	ʔəiːr zʔəˈbɑːn
آینه	ɑjna
آیوڈین	nume
آیہ	ɑjɑ
آﺧﺮ	ɑːxɪr
أسير	assiːr
ا	lˈœf
اب	tɛm˧˥l˥˥tɕʰy˥˩ʐan˩˩˦xʰʏn˧˥tɕʰy˥˩ʂʰpan˥˩
اب ایک	ɑb jeːk
اب بھی	əˈbʰeː bi
اب تک	ɑmɑk
اب وہ	əv wˈɔɹ
اب پچھتائے کیا ہوت	əp ɦʃtɑːɪʔ kijɑ ɦoːj
اب کلاس شروع ہو رہی ہے	kəklɑːs ʃəroː ɦoː ɾəɦiː ə
اب کھیل جمے گا	əp kʰeːl ɣʌmɪŋgɑːʔ
اب کہیں کیا	əp kɐɦeː kijɑ
اب ہے باری	əb ɦɛː baːriː
اب یہ ہو گا	əp jeː ɦoːgə
ابا جان	əpäːdʒäːn
ابا میاں‌	ɑbɑmi̯aː
ابابیل	bæːbiːl
اباجی	aːbadʒiː
ابال آنا	oboːl ɑːnə
ابالنا	ubʔalɨzɦ
ابالی	ʔubali
ابتاع	kip̚˨˩laːx˥˩
ابتدا	ɪpˈtida
ابتدا کرنے والا	dʒədʒaː kɐrneːoːɑːdʒɑ
ابتدا ہونا	ɪgtˈidaː hˈo nˈɑ
ابتدا ہی سے	ɪbtˈdɑːhɪd seː
ابتداء	əptɪdɑː
ابتداء کرنا	ɑːkt̪ɪd̪ə kəɾnə
ابتداء ہی سے	ʔibteːdɑː hi seː
ابتدائی	dʒoːsdɑːin
ابتدائی اشعار	əmtdʒaːij ɑʃʔaːr
ابتدائی تعلیم	aɺnˈaːliːtaiːm
ابتدائی جدوجہد	ɪt̪qlɑːje tʃiːn pə gʱeː
ابتدائی زندگی	ɑːft̪ɑːd̪ɑː zɪd̪ nɪɣiː
ابتدائی طبی امداد	nʲtʰəˈgai ʐɪnˈbiːn daːn
ابتدائی علامات	əltˈdɑːɪ ælʕɑmɑːr
ابتدائی قوس	aːftuːdaːjiː qɒːst
ابتدائی مراحل	ʔərt̪d̪ɑːiː məˈrɑːɦil
ابتدائی مرحلہ	ʔiptidaːj mɯrhalɑ
ابتدائی مشکل	əˈt̪d̪aːʔiː mʃkʰəl
ابتدائی نمونہ	ʔaptdaːj namunˈa
ابتدائی کامیابی	ɑːbt̪d̪ɑːiː kɑːmjɑːbiː
ابتدائیہ	əˈtɪdɑijɑ
ابتداً کرنا	aːkːkddauːkarnaː
ابتداے کار	ˈɪkt dˈaɪ gˈɑɹ
ابتر	abar
ابتری	aːpɾiː
ابتغا	nɤŋɑŋˈmɑŋˈnɑŋˈnɑŋˈi˥˩fɑŋ˧˥ʈʂu˧˥ænʈʂu˧˥æntʃoʊ˥˩lɑŋ˨˩˦
ابتلا	˩˦abʔt̚˨˩laː
ابجدی	əbdʒɑdˈiː
ابد	əbəd
ابدی	ɑbɑːd̪iː
ابدی نیند	ampini
ابر	apl
ابرآلود	abrefʔalud
ابرآلود	abraːluːd
ابراہیم	ɪbɾɑːɦiː
ابراہیم ذوق	ʔɪvɾaːɦiːm dzɔːq
ابربہار رویا	əbr bəˈhɑːr roːjə
ابرق	ɑbrɑq
ابرو	abɾu
ابصار	ɑpɑsɑːɾ
ابطال	əmkaːl
ابطال کرنا	əftʰɑːl kəɾə
ابل آنا	aːl ʔaːnə
ابلا ہو ا انڈا	ʊbʱɪlaː huɦɑː ɗaː
ابلاغ	ɛblaaɣ
ابلاغِ عامہ	əblɑːg ʔ ʔaːmə
ابلاغی دستور	ɑblɑʁˈji dɑstʊrˈv
ابلاغیات	ɑblɑːɣiːˈjæd
ابلقِ رنگ	ʔabiliqɪ rait
ابلنا	ubalˈnɑ
ابلی دال	ʊbliːdɑːr
ابلیس	plˈiz
ابلیسی	ɛbliːsiː
ابلے چاول	ʊbleː tʃɑːʋəl
ابن	ibnɑ
ابن آدم	ɪmnɪ ɑdɑm
ابن الوقت	ʔibnɔːlwɑqtʰ
ابن انشا	ɪmne iʃa
ابن صفی	ɛmnɛsˈfiː
ابنا	abnɑː
ابنِ انشاء	eble iːnʃa
ابو الحسن علی حسنی ندوی	əboːl ɦɛsɪn ɑli ɦɛsmi nəɦli
ابو اللیث صدیقی	wa bɪl lɑs sˈdˤɪqii
ابو ظبی	ɑɓuz ɑbi
ابو کی یاد	əboː kiː jɑːd
ابواب	ɔbɔʊab
ابوالخیر کشفی	aːboːr xɛːr kə ʃpi
ابوالقاسم فردوسی	æmˈbɑr xɑːsim tˤiːzɑːsˤiːð
ابواللیث صدیقی	wabuʔajs sɨndˈj qɪjːn
ابوالکلام آزاد	ɑːbvəl kəlɑm ɑːzɑːd
ابوالہول	kambulhul
ابوتیمم	ʈʂʊŋ˨˩˦xʊŋ˥˩ʐan˧xʊ˥˩ʐan˧
ابوجہل	əbuːdʒʌl
ابولنصرقطب الدین شاہ عالم	ɑbɔləs qɑdˈarˈy iʃaːaːlaːm
ابولیث صدیقی	nəˈbalaːs diːxai
ابّا	abba
ابّاجان	əpɑːdʒɑːn
ابّن	ɨbɐn
ابّو	abo
ابٹن	upˈtan
ابچل	aptɕɛl
ابکائی	ʊpɾajɪ
ابکانا	ʔukːɑnɑ
ابکی آنا	ʔuːbkiː ɑnɑ
ابھار	ʊbɦɑr
ابھارنا	ʔuβjɑrlɑ
ابھارپن	ʊbʱɑːrpən
ابھاگا	ɑːbʱɑːgə
ابھرا پن	ubɾaːpən
ابھرتا ہے	ʋʱɐɾt̪ɑː ɦɛː
ابھرتی منڈیاں	ʊbʱɾt̪iː mɐɳɖɪjɑː
ابھرتی ہوئی	uːbɦɪrt̪iː ɦoːiː
ابھرنا	lɛ̃
ابھرے ہوئے حروف	ʊmɾe ɦoɛ ɾuː
ابھمان	ɒbhmɑːn
ابھمان کرنا	əbʱmaːn kɾnɑ
ابھوگ	tˈebˈoːm
ابھی	əbd̪ʱiː
ابھی آپ دیکھیے	əɓʰiː əp ɗɪkʰiːeʔ
ابھی آیا	əbiː ɑːjɑː
ابھی ابھی	əbˈi əbˈi
ابھی بھی	t̪ɐb hi bi
ابھی تک	əˈbiː t̪ɐk
ابھی سنا	ʔab hi sˈmɑː
ابھی نہیں	ɑːb ɦʱiː nəɦẽː
ابھیاس	tɛpˈʃˈlˈamɛʁˈtˈtˈʃlɛʁ
ابہام	ɪbʱɑːn
ابہام لفظی	ɑːbhɑːm lævziː
ابیضاض	ilbizɒˈɾɒs
اتا	aːtːa
اتا پتا	ət̪ːabʋɑt̪ːʰ
اتار چڑھاؤ	badaw˧˥ rɛː˨˩˦ tʃɔ˧˧ hɔ˧˧
اتار چڑھائو	jk
اتار چڑھاو	guːt̪aːɾjtʃarʁaːo
اتارنا	ʊtɑːrnɑh
اتارچڑھاو	ʊ̞tɑːrtɕaːhɑʊ
اتارے	mutaʔrʲ
اتالیق	atˈalˈɪk
اتاپتا	kɔtɑpɔtɑ
اتباع	ɪtːɪbɑː
اتحاد	ɪtˈvɪɦɑːn
اتحاد کا خوف	ɑːbt̪ʰɑːt̪ kə xɑːf
اتحادی	ɪt̪ɪhɑːdiː
اتحادی افواج	ɑːt̪ʰɑːd̪iː əpʊɑːdʒ
اتر	pɔtːa
اتر آتے ہیں	ʊt̪ɐɾ ɑːt̪eː ɦẽːʔ
اتر جائے	t̪əɾ gɑːɪeʔ
اتر پردیش	t̪ot̪t̪eɾpɾdeʃ
اتر گئے	ut̪aɾg̊ɛ
اترآنا	əpəɾˈɑːnɑː
اتراهٹ	ɪtrɑːjʊ̃ːəɾ
اتراکھنڈ	ʊ̞tɾäːkʰɑnbi
اتراہٹ	ɪt̪ɾɑːɦʌq
اترتا چاند	upeɾtatʃaŋ
اترتے	ʊtɑɾtɪ
اترسوں	ɐtˈɛɹsʊ
اترن	ˈutrɒn
اترنا	berna
اترنے کا	ʊt̪ɾeːneː käː
اتروانا	ɒt̪ɾʋaːnaː
اترپردیش	tutːaɾˈpˌaˈleʃ
اتری جوانی	ʔt̪riːdʒʋaːniː
اتصال	ʔˈlsɑl
اتفاق	ɑtˈtɑfɑq
اتفاق سے	ɑtˈtɑfɑːq se
اتفاق کیا	ˈɪst dˈə faɾk hˈiːɾ
اتفاقات	ɑtˈtɑfɑtˈhɑt
اتفاقاً	ɪ̞tːɪ̞fɑqɯ̞n
اتفاقی	ɑtˈtɑfɑqˈli
اتفاقیہ	itnafaqija
اتنا	etna
اتنا اچھا	ˈneɾtʃæ
اتنا بتا دے	ɛtnaː baːtɑː d̪eːʔ
اتنا بھاری	ɑit̪nɑː bʱaːriː
اتنا بھاری بوجھ	ɛːt̪nɑː bʱɑːriː beːlʒ
اتنا وقت	tɯ̞mæ vʌxt
اتنا پتلا	ætmɑbatla
اتنا گرم	ʔiʔtma aːðaram
اتنا ہی	el nohem
اتنا ہی نہیں	ɛːt̪nɛː ɦɛj nɛː
اتنا ہی کہوں گا	ɪt̪nɑː ɦɛ kɐɦʊ̃ŋgɑ
اتنابننا	ətnaːbnɳaː
اتنی	kẽn̪t̪niː
اتنی تھیں	ətniːtɪ
اتنی جلد بازی	ətniː dʒldbaːðiː
اتنی دیر	ˈes nˈi dˈɛɾ
اتنی دیر میں	a tiˈnj dɛrmɛ
اتنی رونق	d̪e̞pniː roːnˈa
اتنی مقبولیت	ætniː mqbʊljæt
اتنی پیاری	ɛtniː pjɑri
اتنے سالوں سے	ətneː sɑlõː seː
اتوار	etʃi
اتوار کے	ɪtˈvɑːr keː
اتوارکادن	ɪ̞t̪wɑːrkadɪ̞n
اتّفاقاتِ زمانہ	aːltəfaqaːt zmaːna
اتڑسوں	atːaɾˈaɹˈa
اتھاہ	ɑtˈtˈɑ
اتھاہی	ʔɑtˈʰɑːɹiː
اتی بتی	it̪tiː bɪt̪ː �
اثاث	ɔ̞sɑːs
اثاثہ	mɑsǎɬsɑft
اثاثہ جات	ətsˈvɑːsəgɑːt
اثاثے	ʔɑsɑːsˈɛ
اثبات	ɪsˈmɑːn
اثر	aːsɑr
اثر ما بعد	ɑsˈl mɑbɑd
اثر و رسوخ	ɛs roðo zuːx
اثر و نفوذ	ɑsˈɾɔːnˈfʊz
اثر پزیر	æstrkʲiːr
اثر پڑنا	qɒsɒˈɾ bɒːɾnɒː
اثر ڈالنا	ɪsˈɾ dɑlnə
اثر ہے	ɑsˈɾ ɦeː
اثرات	ɑsˈɾɑːt
اثرات کا	ɑsˈɾɑːt kə
اثرات کاتجزیہ	ɑːsɾɑːt̪ kə t̪ədʒiːɑːʔ
اثرانداز	ɑsɑrɑːmdɑːs
اثراندازہونا	əsrənbɑːzɦona
اثراندازی کرنا	ɛsɾ ɑːndɑːzi kər nə
اثررسوخ	asˈɛrvʌɭsɭˈux
اثرو رسوخ	æs væɫɔs uχ
اثرورسوخ	asʁoɾosɔw̜ɐχ
اثرکرنا	ɑsɑrɑkɑrna
اثرہونےتک	ɑsɛrɦuɦɛjtɑk
اثقال	ɑsˈqɑl
اثمار	bʔsmɑr
اثنا	əʃmɑ
اجابت	ɟɑvɑt
اجارہ دار	gɑːrɑːdɑːr
اجارہ داری	ʔgɑːɾɑː d̪ɑːɾiː
اجازت	dʒɑːgæzæt
اجازت دی	ɑːdʒɑːzat biː
اجازت دینا	ʔidʒaːzt̚ ɖeːnə
اجازت دیں	ʔjdʒɑːzʈ beːʔ
اجازت مانگی	ɑːdʒɑːzət maːgiː
اجازت نامہ	ɪdʒɑːzæt ɾaːma
اجازت نہیں دی	ɑːdʒɑːz ɾəɦiaːli
اجازہ	ʔuːgaːzɑː
اجالا	ʒɑlɑ
اجالنا	ʔudʒɑlnɑ
اجالنے	ʔdʒɑːlneʔ
اجالے کی طرف	ʊdʒɑːlʔeː kiː t̪əɾf
اجاڑ	bˈdʒaːr
اجاڑ منھ	uːdʒɑl muː
اجاڑ ویران	ʔdʒɑːɺ diːrɑːn
اجاگر کرتا	əuzagr kəɾˈta
اجاگر کرتے	dʒɑːgər kɐɾt̪eː
اجاگر کرنا	gʊdʒɑːgɑr kɑrna
اجاگرکرنا	ʔʊdʒɑːgərkərnə
اجاگرکیا	ʊdʒɑːgərkijɑ
اجتماع	itʃtɪmɑ
اجتماع سرمایہ	ʈiːtʃtmɑːjæ sɑrmaɪɑ
اجتماع سے	iˈʃtiˈ mˈɛ̃ˈ
اجتماع عام	nˈoʊtlˈæ̹
اجتماعات	iʃtʃɪmɑɾ
اجتماعی	ɑʒtɪmɑɑj
اجتماعی آواز	miʃtiːmɒːjiː ɑuːɑz
اجتماعی شعور	ˈaʎa mˈaɪ ˈaɪ ˈaɪs uːs
اجتماعی قبر	ɪʃtɪmɑːrɪq qɑbr
اجتناب کریں	ənʃtʰənɑːb krɪ̃
اجتہاد	bʃtˈeːhˈɑɪ
اجداد	maʃtar
اجداد کا خوں	æʒdɑːr gaxoːn
اجر	aːgɨlˈbale
اجرا کی درخواست	ʔeːnʒiːbe dæɾ kiː dæɾ xɒːst
اجراء کرے	jn xoɾaɾ d̪e kaɾeɾ
اجرائی	ɪsˈɾɑːiː
اجرام	ədʒɾaːn
اجرام فلکی	ˈas ɹˈɑmɚ pˈaːləti
اجرت	ʊdʒiːɾat
اجرک	ɑdʒɯɾɑk
اجزا	ɑnˈzɑ
اجزائے	ədʒuzɑːjeː
اجزائے ضربی	əgːaːjeː ðərbiː
اجزائے پریشاں	ədʒɑːj pə ɾiːʃɑːm
اجساد	aðˈsæb
اجسام	ˈaɪsɒm
اجل	əgːl
اجل نے توڑا	ɑgɑl neː toːʔɑ
اجل کی طرح	əgːl kiː t̪əˈɾɑː
اجل کے بھالوں	əʐl keː bʱɑːlõː
اجلا اجلا	izla ɔzɫɑ
اجلا پن	udʒlaː pan
اجلائی	uʒlʔiː
اجلاس	edʒlˈɑs
اجلاس میں	ədʒlɑs mɛ̃ː
اجلاپن	ʔuzulɑpan
اجلاہٹ	ʔðʃlaːɦʈ
اجلی اور خوشگوار	ɒgˈli ɒˈr xʊʒgɒvɒɾ
اجلے دریچے	ʊzjɪlɛ dɑɾɛjtʃe
اجمل	aːdʒmal
اجمل کمال	ajdizmaiɾ el kamaːl
اجمیرشریف	ælme̞ʃæɾiːθ
اجنبی	adʒənˈɑːbi
اجنبی ديس	as nabj ðeas
اجنبی سی	ədʒnbʱiːt̪si
اجنبی مادہ	adʒnbi maːda
اجنبی پن	ədʒnbip̪n
اجنبیت	aʒnɑbijæt
اجوائن	ˈeɪdʒwˈaɪn
اجڑ گئے	ʊjːə geː
اجڑا دیار	ʔuzɾa biːjɑːr
اجڑی	oaʒimiː
اجڑے دیار	ʔudʒreː gɑːr
اجیالا	uʒiːjɑlɑh
اجیر	adiːr
اجیرن	əgjɾæm
احادیث	bɒhɒdˈis
احاطہ	ata
احاطہ کرنا	ɛːxaːtə kɐrna
احاطے	ɦɑsˈtʰe
احباب پروری	mʌɦbɑːb pərgɾɪni
احباب چارہ ساز	ɑhbɑː be tʃɑːrɑ sɑːz
احتجاج	ɛtegeɾæn
احتجاج نہیں کیا	ɑːɦt̪eːdʒɑːl nəɦẽː kijɑ
احتجاج کرنا	ɑːɦtɪdʒɑːdʒ kɾnə
احتجاجاً	ɛːhttʃtʃɑːdʒɑn
احتجاجی	ɑhtidʒadʒiː
احتجاجی طلباء	ɑːhtdʒɑːdʒiː t̪əlɛnbɑː
احتجاجی مارچ	ɑːhtɑːgɑːrɪl maːr seː
احتجاجی مظاہرے	neːtʃtʃɑːdʒiː mzɑːhɪrɛ
احتجاجی ہونا	ɑːhtʃɑːdʒiː ɦoːnə
احتراق	ɪ̞hjuɾaːq
احترام	æhtɾɑm
احترام کرتی	ɐːhtɾɑːm kɐɾt̪iː
احتساب سے	ɑːhtsɑːb seː
احتساب عدالت	ɑhtəsɑb ʔɑdɑlɑt
احتشام حسین	riːˈɛfbi ʃaː mɪsˈajm
احتلام	dʒilaːm
احتیاط	rʲɛ̀i̯
احتیاط آگاہی	ɑːhtiːə tɑːgɑː
احتیاط برتنا	ɛːhtjɑːr bəɾə ˈpɔːnɑː
احتیاطاً	jɑːtən
احتیاطی تدابیر	ɛːtʰjɑːtʰiː t̪əɾaː biːɺ
احد	ɑhˈd
احساس	usas
احساس دلانا	ɛhsɑs diːlɑːr nɑt
احساس محرومی	ɑhˈsɑs mhɪrˈmiːn
احساس کرنا	ɛːʰsɑːs kəɾnə
احساس کم تری	jisunmi ɕiljɛ̀ːnzɛ̀ːn ɑːh̠h̠jsoː˥˩
احساس کمتری ہونا	neːsɑːse kmt̪irɪl ɦoːnɑː
احساس ہوتا	ɑhˈsɑːz ɦoːtɑːʔ
احساس ہونا	neːˈhsɑːs koːnɑː
احساسِ تفاخر	ˈahsˈaða sˈet fˈaxxol
احساسِ عدم تحفظ	ɦɪːsɑːsiː ɑd̪ɑmɪt æl ɣæs
احسان جتانا	t̪eːˈsɑːn dʒt̪aːnɑː
احسان دانش	ɑːhsɑːn dɑːrnʒ
احسان فراموشی	ɑːnɑː foɾɒː mɑːʃiː
احسان مند	ɦsɑnmɑn
احسان مندی	ɑːfsɑːn mbĩː
احسانات	ɛːhsɑːnɑːr
احسانِ رفتگاں	ɑːhsaːn ʋaq padɑb
احسن	ɑhsæm
احسن فاروقی	ɑːhsæn fʔaːluːqiiː
احسن فیصلہ	ɑːxˈslum fɛsˈlɑf
احصائی آزادی	t̪əˈsɑːliː ɑːzɑːdiː
احصائی علوم	ɑhˈsɑhiː ɔlɔm
احمد	tæhmɐn
احمد بشیر	ɑhmɑl bɑʃˈjɑr
