'chuile sheans	hella hænts
amarách	æmɑnæx
amas	anas
ambaiste	baʃtʃɪ
ambasadóir	ambˈasador
ambróis ó huiginn	æmˈɾɑːls ɑːhˈgiːn
amchlár	ɑːmxwaːr
amergin gluingel - amhairghín glúngheal	æʊrɪn kəlˈoːnəl
amh	ɔv
amhail	ɑwɭ
amharc	æuɚk
amharclann	ˈælkə
amharclann na mainistreach	ɑˈkɫɑn nɯˈmɑnɯʃtʁɑq
amharclanna	ˈaʊəklˈænˈa
amharclannach	aːlqɫɯ̞nɯ̞q
amharcléiriú	aːlklɛrɨl
amhastrach	au̯strɔx
amhdachtáil	au̯tɒːtɒ
amhdaigh	auta
amhlaibh [slash] olaf [slash] amlaíb	ɑɫdʒɯz ɑˈlɯz
amhlaidh	ala
amhlaoibh	aːllaɑːʎɯ
amhlaoibh ó súilleabháin	a uɫa vassˈulɑ bˈɔn
amhlaí	ˈoʊli
amhra	ˈɔɹə
amhras	ɛɹˈus
amhrasach	ɐ̃wˈrɪ̞sɑqɛvrɪ̞sɑq
amhráin	ɔːlɔjn
amhrán	ɦoɾɑn
amhrán cealgtha	ɒɾn kalgɒ
amhrán grinn	ˈo ɹˈan gɹiːn
amhrán grá	oran gra
amhrán luadhaidh	ˈoɾa lˈua
amhrán macarónach	ara mˈaːkɾoniːq
amhrán na bhfiann	oran vˈeːn
amhrán na ndaoine	ãu̯ɾa no̞gẽ̞ni
amhrán náisiúnta	au̯rɑn mɒːʃuːntɒː
amhrán saothair	au̯ð̞oːn sˈɛstʃˈɛɹ
amhrán traidisiúnta	aɫɾa a ɔntɾat ɛ ʃaŋtsɛ
amhrán álainn	ɒvɾɒn ɒlˈlɒng
amhránaí	orani
amhránaíocht	ˈɑɹrnˈɪçt
amhábhar	avɑvɑr
amháin	voɲ
amlaíb cuarán	amlɛb kɔron
amlíne	amlina
amplóir	əplˈɔr
amplúch	aːploːx
amscaí	amʃte
amstardam	ɑ̃stˈdˈɑ̃
amuigh	amˌoɾ
amáireach	ɦɑmɑɑi̯rɑχ
amárach	ɛmaːrˈax
amú	amu
an	ulmɛ
an 33ú	ɔn tsɾexa tsɾeɪw
an abhainn	an ˈajln
an acadamh	anakado
an aetóip	ˈɔn ə tˈɔɹp
an afganastáin	ulnˈ afganˈistˈa
an afraic	n aferak
an afraic theas	ɔn æfɾɪk həs
an ailgéir	nˈ ælˈgˈeːr
an aimsir fháistineach	ɑŋɛmsɯrɛ ɑːʃtɪnʲɪq
an aimsir láithreach	unˈa jˈɛm ʃˈull ˈaɪlˈɑq
an airgintín	nə ˈɑgəntˌin
an airméin	nˈaɪɹmˌeɪn
an aithin	la
an albain	ænɑːl ɑl
an albáin	ˈʌn ˈælbɔːn
an andalúis	ən ˈɑndələs
an aoine	aːn iːnˈa
an aontais eorpaigh	anajɛntəs jʊropa anajɛntəs jʊropɑj
an aontaíonn tú ?	nˈeːnˌteːnˈtˈʏ
an araib shádach	ɑn ɛɾəb hɑːdəx
an asarbaiseáin	ɪˈnɔstəɹ bˈɑʊ ʃˈaɪn
an asarbaiseáin 2	lnas xo poːʃaːɫɲ
an astracháin	ɔnɔstɾɔxɔjn
an astráil	nastroi
an ataic	nɛːtik
an baile bocht	ɑŋ bɑɛlɑ baqð
an baile dubh	atbal ɟur
an baile gallda	an baːli ɣɑl da
an baile meánach	ɛmpaɪɛmaːnˈax
an baile nua	ãmbaial noo
an banc	el β'al
an barra	empraɾa
an bhangladéis	o β̞onɣ̞otʃeɾs
an bhanglaidéis	lɔːŋgɔːʲːeʃ
an bhealarúis	anˈfeːl ɾuz
an bheilg	ɛnvˈˈellˈ
an bheilís	aːvɛlɪʃ
an bhfaca tú?	ɔnwɑkɯtɯl
an bhfaighfidh	ˈænd wˈi
an bhfeicfidh	anvˈekə
an bhfuair	anumajet
an bhfuil a fhios agat a n-ainmneacha?	aːlqiːla ʃaːðaːd nʕmaːxe
an bhfuil an t-airgead uait?'	ən wˈɪlən tˈɛɹɪkɪd wˈɛt
an bhfuil béarla agat?	anuɫpi̯r˧ laːkɾs
an bhfuil eachtra uait ?	ɔ̙nɔːl ɑːxt rɔːgatʃ
an bhfuil gaeilge agat?	anːu vɛlka jɪlˈkæ ɑːkætˤ
an bhfuil sé ceart go leor?	ulʃa kʰatqidʒɒ ɒˈor
an bhfuil tríocha gloine againn?	vɨjrɨwː tɨʃɛ xagɫɔnˈigɑjnˈ
an bhfuil tú ag dul amach anocht?	ɑŋgəl tybæk darmɑq kɪnˈaxt
an bhfuil tú ag eisteach liom?	nwɪl tʊ æg ɪɾˈstɪxːlɪl
an bhfuil tú anseo?	wgõ̞ltõ̞ntʃa
an bhfuil tú go breá?	ˈʌvutˈʌv ˈnɑːwˈ
an bhfuil tú i do chónaí in éirinn?	iwɯltɯ dɛ ɢoːni næjdiːn
an bhfuil tú...?	ɑ̃nˈvˈltʁv vˈaːltʃq vˈɑ̃lˈtrˈ
an bhfuil?	ãn bueɫ
an bhfuileadar	anulɛtɛr
an bhfuilimid	anwɪlɪmɪdʒ
an bhfuinneog	nβ̞ãn̪au̯k
an bhfágfaidh sé?	an vˈɑk ˈkɯʃɑ
an bhféadfá	an vˈeːtɑː
an bhféadfá labhairt níos	bet aləɾt nis
an bhitseach	on ztɕaχ
an bhliain 2016 atá ann.	an blian ɑɫ veːlɛsɛ ʃeːdɛjgɛ taːɦɑn
an bhliain nua	la lianow
an bhliain seo chugainn	omg ian ʃaχ z
an bhoireann	on lwað̞eð̞n
an bhoisnia	obasɲːijɛ
an bhoisnia heirseagaivéin	bɔʃnʲeːx jˈɛrʃʏg vˈeːn
an bholaiv	aɫlɛθ
an bhosparais	vas pˈɛɾas
an bhotsuáin	a wˈɔts waɪn
an bhrasaíl	avras sɨriːd
an bhratasláiv	an vrˈɔtɜslˌaɪv
an bhreatain bheag	ŋˌfɾˈatˈtˈɛnvjɾk
an bhreatnais	æn ðɾætɪnɪʃ
an bhriotáin	oːdˈʒʃ tˈɑːn
an bhruiséil	bãn fɔɹ ʃˈɛl
an bhuachalla	æn oj xælʲe
an bhulgáir	la β̞ol gau ã
an bhurúin	an vroɣən
an bháid	an vaqat
an bhóinn	on voːʋˈni
an bhútáin	vutaːn
an blascaod mór	on β̞ɫaski ã t̪uɫor
an bodach	npadax
an bpictiúrlann	æm bɪ̞g tʃeɾlæn
an bpláta	la platːa
an bruachán	obro˩˥ːxaa˥˧n
an buachaillín bán	boχɛ pɔn
an bán loiscithe	unβɑːm ɫøʃ kɛhɪ̞
an béal bocht	nˈɔx pˈoɾt
an béar beag	tɾəm pe pək
an béar mór	la peɾmˈoɾ
an bíobla	a pjɑplɑ
an bóthar buí	ɔmpɔhɔɾɔ poj
an cabhán	tɾˈu vˈɑl
an caighdeán	ankeɪˈʒɒn
an caimileon	kamljoɲ
an caiseal	kɒʃiɾ
an caisleán nua	kɒtʃlɒnˈniˈ vˈiˈ
an caisleán riabhach	nˈkæʃ lˈɔn ɹˈovɚç
an caithrín thiar	ʔunqɑhɑrɪn hiːr
an caithrín thoir	unˈghˈrɪiːn heɾ
an caladh	ankalo
an calbhach ó domhnaill	ɒˈnqɒlɒb vɒhɒdɒg nɒl
an caol gorm	ũn kajɦl kǎrũm
an capall beag	kɑːpɛl bɛlk
an ceinteár	ɛl kɛntɑr
an chairib	ɑnˈxɑlɪp
an chambóid	unχɔn dbɔjt
an chaora	ɑn xɛjra
an charad	an ħard
an charraig dhubh	nˈxaːrɑj grˈov
an charraig liath	uːnhuː rɪdʒeliːe
an chartaig	amp xˈoɾtik
an chasacstáin	unh wɑsak zdojn
an chasacstáin 2	ɔːl xˈæs stˈɛŋ
an chatalóin	ˈaħat iːlˈan
an cheanadaigh	antʃenɪti
an cheathrú	ɔŋxiaro
an cheathrú rua	on xero rua
an chiclipéid	ˈɔn slɪkɪpˈædz
an chincís	au̯θeŋkis
an chipir	ai si peɾ
an chirgeastáin	an iʃtɒvɒjˈn
an chirgeastáin 2	æn hirgəstaːhæn
an chlann	ɑn xlɑːn
an chlaí	on xlaj
an chloch rua	an xuqɯ̞rwɯ̞ɾ
an chneá	ŋkʰˈsɯːɹˌɑ
an choigríoch	an χɵk jɑq
an cholóim	ɑnˈxlɔn
an chomhairle eorpach	ɔŋxɔljə jʊrɑpʊx
an chongó	tʃi
an choraint	na xaɾontsʲ
an chorn	axarən
an chorr	ɑŋxar
an chorr chríochach	ɑnˈxɑr krifˈ
an chosaiv	lˈmˈxˈlˈsˈf
an chraobh	tʃto ztʃɔɾ
an chreatlach	mˈan kɾˈɛɾtlɔx
an chros	æn xɾaʃ
an chros theas	æn xræʃ æs
an chruach	ən ɣrˈoːɑx
an chríoch	æn kʰiːχ
an chróit	anxrɔtʃ
an chuardaigh	an xɔrtaj
an chuileog	nˈo xˈalɛk
an chuma	anxama
an chéachtach	χ dirtoɢ
an chéad	aːnˈɛtɪd
an chéad leath	an hejtlæ
an chéadaoin	ˈoke eˈtiːn
an chéinia	nˈə ɣˈeːnə
an chíle	anxil
an chóiré	axo i ɾe
an chóiré theas	unχoːj hef
an chóiré thuaidh	an xoːr ˈeːt hʏ̞rɪg
an chóisir	ən ˈsˈɑtʃeʃ
an chónaidhm	ˈan xˈɑnəm
an chúil gharbh	antxɔɾɣaːlɔ
an chúinse	ɢonxun tʃe
an cionn bán	ˈɑn kæːn bˈɑːn
an cladach	fˈɛstˈɑdax
an claidheamh soluis	on saːid sɑlɯʃ
an clochán	ɒːmkoːˈxɔn
an clochán leathan	anː kʰlɑː xaːnndiː hæmˈ
an clochán liath	ælˈkɑːrɑːn lˈiːjɑ
an clog	tɛn kˈlo
an cloigeann	tɑ̃gɑ̃
an cnoc	dˈiː kɔlˈt
an cnoc breac	ɪ̞nɪ̞krʊ̞k bɪ̞ɾak
an colgán	qɒlˈgɒn
an colm	qɑlim
an comar	ən kˈɔmər
an comhlathas	ankau lˈɛɦos
an compás	koːmpəs
an congó	nˈɔˈɛkˈoŋgo
an contae breise is deise	an koːntaj brɛʃːa ɪsˈtɛʃːa
an croisín	ə̞n kɾɑː ʃˈiːn
an cuimhin leat?	ankwɨbɪ̞nɑːtz
an cupán	ænqɑpˈʁɑn
an céasadh	ˈɔn keːstə
an céide	tˈe kˈeɪdʒə
an cóbh	mkɔːv
an cósta eabhair	bˈɑn kˈɔstə ˈaʊɚ
an cúpla	aːlmuːqlɑ
an daghda	ãn̪t̪a jɪd̪a
an danmhairg	adɑn wariɣ
an dara leath	ntalʊʎɐ
an dardainéil	təˈnˈɛl
an dealbhóir	tˈoðɔz
an deilf	æn dɛlf
an deisceart	a dʒeʃtʃ kaʈta
an doirín	ant̪eɾiĩŋ
an domhnach	nbˈɔˌnəx
an dothra	enton
an dragan	aːn trˈagɛn
an droichead nua	ð̞ɾæɦɪ̞ð̞ nʏə
an droim mór	ntrɪ̞m mʊɫ
an dteastaíonn uait imeacht?	ɑndʒɑstɪj ʔɪnwɑtʃim æst
an dtuigeann tú gaeilge?	ɔ̙n tiːkɪ̞n tʰɵgɛ i̠ɫgɛ
an dtuigeann tú?	ədekˈɛnt ðə
an duanaire	an tɵɢɯ̞n æ̹lʲɪ
an déardaoin	un
an díseart	ɑŋgə i ʃɑɾt
an dúinín	anduːniːn
an ea?	dˌiːzə
an eala	un ɑlɑ
an earagail	an aɾaɣ̞ɑl
an eastóin	fɔn ɛfˈtoːn
an eilvéis	on el β̞eix
an eiritré	anˈɛɾə tɹˈe
an eoraip	nʲorɛt
an faolchú	lfɛjlxw
an feabhail	æm fæˈɔl
an fealsamh	anfelsiv
an fearann fuar	nfæðɾfɔː
an fhadhb	ɑn ɑib
an fhaiche	anɛkʲa
an fhaiche dhubh	ɔnaɦɑgʊv
an fhaiche mhór	anˈʔasiovo
an fhaill	ɔn æl
an fheighil	nɑhɑl
an fheoil	enˈoːld
an fhiacail	ɟaj jɑqɯ̞l
an fhionlainn	on ʊnlanɯ
an fhionnuisce	ɒn iˈjˈnˈ iʃkɒ
an fhoirnéis	an ʔɛɾnɪʃ
an fhrainc	ɔn ɹaɪnk
an fhras	ɔn ɹas
an fhuaim	an uːm
an fhuinneog	kwˈɛn ɛɲə oːg
an fhulaingt sa ghairdín	ɑn ɔlɨŋ sɑxardʒɪn
an fhéith bháite	na vˈɔjtə
an francach	ɔn frˈɑŋkɑx
an fál carrach	nˈfˈaːl kaɾˈrɑx
an féidir leat cabhrú liom?	ont feːɛdɛɾ laːt kɛwɾwlo
an féidir leat cuidiú liom?	ãn fɪdʒrɪlθ qwɪddʒɪlɪm
an féinics	am feɪnˈiks
an gabhar	kauɾ
an gadaí dubh	onkaːr dito
an gaeilgeoir is greannmhaire	a dʒu el gɾa
an galar dubh	kal ɐrdɔv
an garda síochána	ãn̪d̪aɾd̪ ʃie̞χɒn
an gceapann tú?	gˈapəl tˈu
an geantraí	gantˈre
an geata bán	at gətˈabɔad
an ghabhlóg	on jɑy ʔə ʔoːk
an ghabúin	ʔɑhɑbɔgn
an ghailís	anɣaːlis
an ghaimbia	on jen bɪ̞jɐ̆
an ghaoth aneas	nɾiː nˈeːs
an ghaoth i ngort na heornan	unɣa ja inʋɑrtini χoɾnɨn
an ghealach	ŋgjɛlix
an ghearmáin	ˈɔn jɑːrmɔn
an ghinéiv	ɔ̃n ʒˈɛnɛv
an ghiolcach	ɑn jɑlkɑh
an ghleanna	oːŋlana
an ghlib	ʁɨb
an ghraonlainn	ɔŋgɾaɪ̯nˈan
an ghrian	anʁruqijin
an ghréig	jʏ̞rʏ̞g
an ghuine	aɣlænˈjɛ
an ghuine mheánchiorclach	an wˈinna fˈaːn χˈrklˈix
an ghuine mheánchriosach	ŋgwinnw foɾn fɾosˈaχ
an ghuáin	aɣoɑl
an giorria	ankeɾɯjɑ
an gobán saor	kɑpɑn sɑjɑr
an goibín	ankad̪in
an goltraí	kɒltræj
an gorta mór	n kost tə mˈor
an grianfort	ontʃeː˧˥ant˩˥ː fˈat˦
an guth	propononkɑ
an háig	nɒn hˈɔlg
an iarmhí	on iɛvee
an iaráic	ˈɔn jˈʊɹ ɹˈaɪk
an iaráin	la ʝeɾoĩŋ
an ind	on ɛnt
an indinéis	ʊ̞nɛnðe nejɣ̞s
an iodáil	anotˈoːjl
an iomarca	an amɛrka
an iordáin	ˈɔn jˈʊɹ dˈɔɪŋ
an iorua	un
an iris	anɪrɪ̞ʃ
an labhraíonn tú gaeilge?	ɒn lauɾin tˈiːgɾˈelgəl
an lacha	ɒmlɒhɒ
an laghairt	æn ɫˈaɪəts
an laitvia	imˌlˌɑkt vˈɛːr
an laoi	ʔˈanlˈ
an lasairéan	on lastɛs ɛjɛm
an leabhair	lɔːʊz
an leabhar	ɛn laʊr
an leaca bhán	un lakvɔɾn
an leafcóis	lafˈkɔst
an leithcheathrú	onʝa siaːro
an leitriúch	ɔ̃n dˈə tsuːuːx
an leon	lʲɛ̀uʊ̞n
an leon beag	anlʲaːr ʋpag
an libia	nˈuːʒoːlˌɪbiːˈɛ
an libéir	ˈoʊnli beɪv
an life	o ljffa
an lincse	anlɛŋkʃɛ
an liobáin	tˈɪd ðə bɔːə
an liotuáin	la tɔ vˈaɪn
an lir	oʎeɾ
an long	bɫoŋ
an longfort	nˈɔ̃fˈɔrt
an lorgain	ɔllɛɹgɪn
an luan	unlˈumˈ
an lámh in uachtar	anlɑvɑ nʊxtɛr
an lár	ˈɔn lɔː
an lár-réigiún thiar	bɑbɑlɑr bɛːʔtʰɔːn
an lár-réigiún thoir	la ɾəɪse mən
an líontán	ˈon lˈiːmd ˈɑːm
an líonán	anlʲijanon
an machaire buí	nˈmˈahʃe ɾɪ bɔj
an madra beag	resmeðe ke ðim
an madra mór	mˈaðɑ mˈɔɹ
an maigh	ɑn mɑː
an maith leat é?	aːn majn kaste
an maos	onmɪs
an mbíteá	ɔn mɪtɜ
an mhacadóin	an vˈakə dˈoːɛn
an mhagh	ɔn lvaʁ
an mhaidin	næwɒidin
an mhaighdean	n'tʃtˈɛn
an mhaighdean mhuire	anua jɯn bɯ̞jɾɯ̞
an mhaldáiv	anˈðal dˈʌv
an mhaláiv	an vəlˈɔøf
an mheiriceánaigh	anzarə kaniɺ
an mheá	æn ðeːl
an mheán mhuir	omg aɣon redʒe
an mhicrinéis	non fˈiːk ˈyːnˌɛːʃ
an mhin aird	an vˈɪnnərt
an mhisnigh	an vɪʃni
an mhoing bháite	unha vˈeɪŋ vˈɑtɨ
an mholdóiv	an fulˈtˈoɾˈɛv
an mhongóil	jˈɑ̃g fɔn gˈoːəl
an mhuaidh	an bula
an mhuir aeigéach	an ʋeːr ˈɛkər
an mhuir cheilteach	an vˈɪr xtˈaltɑx
an mhuir dhubh	anuβaɾɯ gɑð
an mhuir mharbh	an bɔir bɑːlɔ
an mhuir mheoid	an wɛld bɛud
an mhuir thuaidh	ʒʊ̃gɔiʒhɔi
an mhuma	wˈoɭma
an mhumhain	unvˈoːˈnɪ
an mhá	ɔːnɔːnwaː
an mháirt	ɔn vˈɔɹt
an mháratáin	an vˈɔɾtə tˈɪmən
an mhí	on vi
an mhí seo chugainn	ɒn vˈiːʃə hˈɐgən
an mhóin mhór	ɔn vˈɔl ˈɛn vˈoːr
an mhúta	aːvutˈa
an micreascóp	mˈaɪkɹəskˌoʊp
an miste leat labhairt níos moille?	ɔn mis teˈla tlaws nis mɔʎa
an muileann gcearr	mɪllɛn gæɾ
an mullach mór	ɑnmɑɫˈq mɑwɑr
an mála	ɔːl mɔːlɑː
an míol mór	omg miɛvmɔβɔr
an namaib	wˈʌn ðə mˈɪd
an ndeachaigh tú?	nʲaːxɔtʊ
an ndearna	ʊ̞nɪ̞a wɔːnɑ
an ndearna tú?	la wɔrna tə
an ndéanfá cupán caife dom le do thoil	mɲ ˈnɛ nɛ kaːfħ kaːf i dɛm lɛtɛl
an ndíoladh sé?	anijˈajlajxʃaj
an ndúirt tú	enˈɔ̃tˈstˈo
an ndúnfar	anunar
an ndúntar é?	ɯ̞nɯ̞nɯ̞n tʊ̞rɑj
an nead	oɲat
an nigéir	ˈɔn ðə dʒˈɛjɚ
an nua-shéalainn	om lua heile
an nás	tʃiːzi nˈɔs
an nígir	on mɪdʒi
an ollainnis	�nɑbɑnɯʃ
an ostair	anostəg
an phacastáin	an ʃkokɛstʃtɪmɛ
an phalaistín	nˈuː fˈɑːrʃtˌeːən
an phicnic leictreach	ne fɛqniʃkɛ tʃˈuf
an phis fhliuch	batˈeʃ lʲoˌx
an phlá bhúbónach	oːdə flˈaːv tɪ wˈɑr bonəx
an phlá mhór	anˈsɑːvɑvɑr
an phoblacht dhoiminiceach	aːfablħt roːˈmɪni kajˈax
an pholainn	unfˈɔlən
an phortaingéil	ŋfətʃɪŋ geɪl
an phortán	la faɾtan
an pháil shasanach	anfɑl hasnɛɾ
an phéacóg	fˈakɔk
an phéist	vˈɑnt fˈɛçt
an phéist bheag	mˈɑn fˈeːst ʋˈɛlk
an phéist uisce	ant feistəs ʃkə
an pointe	en printˈe
an pol thuaidh	apɔl xue
an port dubh	ẽm põɾtˈoð
an portán	ɔ̙mpɔ̙ɬtɔ̙n
an post	ɒn pɒːst
an prionsa beag	ˈɔn pɹˈɪnsɚ belk
an prognóis	ɔ̃nˈtˈʁʒnɔ̃
an préachán	prˈexɐn
an páirtí daonlathach	npɑrˈti dɛlˈlax
an páirtí liobrálach	ub ħɑt ʔɪb walaħh
an péintéir	pˈeɪntɪd
an reithe	nɾɛhɪ̞ɾ
an riail	unɾoɣɑm
an rinn	unrˈaɪn
an roinn gnóthaí pobail	anɾuːn gɾahip pɑbɔɪl
an rolla	anɯbɯˈnlɑ
an rud is annamh is iontach	on wdasa ˈjana vɪ sɪntˈaː
an rud is fearr faoi mo chara	ɔnɔt ɔz ðɛsfaɾ ɔjɛ mɑqaːra
an réin	n
an ríocht aontaithe	on ɾiːxt ɛntɛ hæɾ
an róimh	onrɔjð
an róin	ɾuɪn
an rómáin	õn ro moən
an rúis	boːnˈruːəʃ
an sahára thiar	un sˈa hˈɑːr hˈiːɾ
an saighdeoir	dˈoɪn ˈsɑj dˈeɪlˈɛtˈ
an samhradh	konsetʃara
an satharn	ɔːn ʃɑhˈɾan
an scairp	ən skˈaɪp
an sciath	nˈoʃkia
an sciobairín	as gˈebˌeɾi
an seabhac	ɔn ʃaʊk
an seachtú lá déag	an ʃaxt fʏlˈaʊ dɪəɾk
an seanmhullach	mʃan voq
an seiseamhán	bɒn ʃa ʃɪbɑn
an siodhbhradh	on sɛvɾə
an sionnach	ɑuʃɑnɑq
an siopa dubh	baːrni ʃɒppˈidɒld
an sioráf	ɒn ʃɪlˈoːf
an siséal	asʃa tʃau
an soilsiú	els sai̯ld ʃoɣ
an spidéal	tʃi spetsˈɛl
an spiorad naomh	on spɪrd moːj
an spáinn	ŋspɔːlˈm
an srath bán	els t̪ɾa bon
an staighre dubh	on stˈɪlt ˈoʊvɚ
an suantraí	ˈɔn sˈʊnt tɹˈe
an sárú a shuíomh	nsɑrɔː ɦɪv
an t-aighneas	antˈɪnis
an t-ainm atá orm	æn tænɪ̞m ɑtːɑr ɔrm
an t-airgead	ntiː ħɛrkæt
an t-am	sɛntɑːm
an t-am i láthair	ˈɑmkoːmˈlˈɑkhˈid
an t-aos óg	antˈis ˈɔvɪk
an t-athair	ltsˈtˈts
an t-idirlíon	na tsɛtɕɛnlɛjm
an t-iomlán	əm tsɔm ɫɑn
an t-ionchas	ʔantˌoːnˌ ɐχiːs
an t-oileán	ɔntʃɛlɑm
an t-uisce	tˈɛʃkæ
an t-urlár	ɔntɑllɑr
an t-árasán	tɑːrˈsɑːn
an t-éan	a tæeann
an t-úll	antˈulə
an taerchaidéal	mʲeroglʲi adzʲtsʲer xoʲdʲav
an taigéan atlantach	tʰæːkʰiːn ɒtlɒːn pɒxˈtiː
an taire	mtɒˈɾɒ
an talltar	ãn tˈaːl fɔɾ
an taltóir	tʰaːl təlˈtʰɔz
an tansáin	ntrˈaɪnt zˈɪç
an taobh tuathail	ntrɛm zət ɟil
an taoire	tɪ̞
an taonach	ˈʌntsˌeːr nˈɔx
an taonbheannach	ntʰnɾaːnɐx
an taontas eorpach	ntɛntəs ɔɾpə
an tara	antara
an tarbh	bunˈtell
an tasmáin	atas mɑiːn
an teampall mór	ɔntjɛmˈtɔ mˈor
an teampall nua	tʃɛ̃pʰlw
an tearmann	tɛn tʃaːrma
an tearrach	ɔntrɑːx
an tearrach thiar	ɔ̙n tæːrɑːx hiːr
an teasáil	tsɒsɒl
an teileascóp	ɪn tˈɛləskˌoʊp
an tiasc eitilte	antˈiːɹs ˈætɪtˈɔr
an tinbhear mór	ntɕ ɪn fɚ mˈɔɹ
an tindiach	antˌɪn diːɾ
an tiolar	tɑzɑm
an tobar	an tabar
an tochtamhán	tɑqtɑvɑn
an toirthear	ɪ̞ghæɾ
an triantán	trˈeːn tˈɑːn
an triúr saoithe	ʁəm trˈɔɹ sˈɛːr
an trá mhór	on tɹa vɔːr
an tráicia	antɾak hir
an tsacramento	bontakɾɨmɛnto
an tsaighead	jˈɑːm tˈaɪd
an tsaimbia	numeɾo zãn̪β̞ia
an tsalvadóir	intʰal ʋ dɔr
an tsaoil	atˈeːl
an tseachtain seo	kərtʃ xaʃ
an tseachtain seo caite	ˈontaxtən ʃˈak ˈakti
an tseachtain seo chugainn	mɘ̝ːχtɘ̝ːn ʃaχɛ n
an tsean bhean bhocht	n tʰænd vɒːɢt
an tsean-ghréigis	tˈɑn jˈɛst
an tsean-róimh	tˈɛn ɹəʊd
an tseanchill	tʃaːn xɛl
an tseanduine	tɛndini
an tseapáin	antʃapoĩːn
an tseineagáil	æn kɛnɪgˈæl
an tseirbia	ontʃlbjɛ
an tseoirsia	antʃo˩˥ːlʃa
an tseáin	omtaon
an tsibéir	ẽnsibeɾ
an tsicil	ɾɛn tʃikːl
an tsile	atʃɛlɛ
an tsiombáib	ʊnt ʃˈoːn bˈaʊaɪp
an tsionainn	tʃoŋɯn
an tsionann	kɔntsjɔnɔn
an tsiria	ẽn̪ɣ̞selia
an tsiúir	æntˈɚ
an tslóivéin	antloːve
an tslóvaic	ontloːvˈɛk
an tslóvéin	ãn̪t̪lɔn̪eɾi
an tsnáthaid	antˈnˈɑhˈhɛd
an tsomáil	antˢ mˈoːl
an tsráid ard	ˈɔn tɹˈæfɚts bˈɔɹt
an tsualainn	æm tɔɾlæŋ
an tsuim	əm tˈim
an tsín	pˈontʃiːn
an tsúdáin	ˈɔntudˈɔɛn
an tuachtarán	tɔxtɑɾˈɑn
an tuairín ard	ˈɔntˈoː iː jˈɑːrd
an tuaisceart	ãn tʃu eskert
an tuasal	am tɔsɔw
an tuirc	ʊm tˈɛk
an tuircméanastáin	un tək menəsteɪn
an tuisceadóir	tæʃkɛ dɔɾ
an tuiseal tabharthach	ɔ̙mtʰʃl tʰɔ̙rɔ̙χ
an tulach	dˈiðˈ annaħ
an tulach mhór	ɑntɑllɑq ʔoːr
an tulaigh	npɫig
an tábla	tɑblɑ
an táidsíceastáin	nˈiː hˈɔøt ʃˈiːk ˈɛs dˈiː
an té a bhíonn siúlach, bíonn sé scéalach.	ntɛ ʋɪntʃulɪq bʲinsɛskɪllɪq
an té a luíonn le madraí, éireoidh sé le dreancaidí.	tʲɛjɪ̞ɫɪ̞jɪ̞nɫɑmɑɢɯ̞rɯ̞j æjrʏ̞ʂærɫæ trʊ̞nkɪ̞dʲɪɪ̞
an té nach bhfuil láidir, ní foláir dó bheith glic	um tˈenʊ fʊ dɨ lˈadɨʒ nˈɪ flˈaɾða dˈɛ glˈiʃ
an téalainn	kunt̪ɣ̞eɣ̞ling
an téaváin	nθæˈɛvˌɑːn
an tíomór thoir	a tiː mɔː rɔheɾ
an tír bhascach theas	mantʰiːr væs kə χɑːr
an tóchar	antˈoːxɜ
an tóglách	lantɔːklak
an túcán	tˈɪ tˈa
an túinéis	ntuɛnɛjs
an uaimh	ãn ɵɪv
an ungáir	anɔngɔˈʏ
an ungáir 2	amungɔz
an vatacáin	ibes ð̞akest̪ kãn̪
an veinéis	ũn vɛˈnʲiʃ
an áise	ɑnɑˈvɑʃ
an áit thíos	ˈɛm tˈijs
an éigipt	ɔn ɛːg̞ætː
an éimin	onˈɑjmɛn
an íoslainn	nˈ iːɾˈsæ
an ísiltír	an iʃt l teːr
an óige	anɑwɯkɛ
an ómaigh	naːl mʊɪ
an órchloch	ən ˈaʊərslˌɑɣ
an úcráin	ˈɔn ˈuːkɹɔɪn
an úisbéiceastáin	on ɔɾʃ pɛɛkɛs taʏln
an úisbéiceastáin 2	lɛŋuuʃ peːk ɟɛsðɔj
an-aire	anɒhˈdi
an-bheag	aːnwˈɛlk
an-bhlasta	anvlast
an-bhocht	ənbˈˈɑk
an-bhuartha	ɑnbulaɾa
an-cheanúil	ɑnxjɑnʊ
an-chliste	ɑnχɫɪ̞ʃtʰɪɾ
an-chuideachta	aːnxɵtʃɵqtɵɵ
an-deas	ondˈɛz
an-dhathúil	aanɢaahaw̜ɬ
an-fhada	aːnaːjatak
an-fhuar	ãnoɣ̞ɯr
an-ghairid	anɣəɾit
an-gheal	jˈɛl
an-ghlan	tɦlɑn
an-ghreannmhar	anjˈanvɚ
an-iarracht	ɑnɪrˈaxt
an-luath	ælʲnewe
an-luí	anli
an-láidir	unlˈɑdɪd
an-mhaith	angwa
an-nua ar fad	æn njˈu ˈɛɾfˈɑːt
an-obair	ɒlɒvɒɾ
an-smaoineamh	anspɔjna
an-soiléir	ɑːnsəˈlər
an-suim	enfʲil
an-sásta	omgaːlˈsɪtˈe
an-taitneamhach	ɒːntɒjlævæq
an-tuirseach	æntˈɑrʃˈɑq
an-tuiscint	aktʃeʃkid̪r
an-tógtha	antˈoka
an-álainn	ɒnɒɒln
an-óg	ɾɒnɒg
ana	ana
