'arif	uʔib
aqïlïq šäräf ǯah ǯämäl artturur. [әхмәд йүгнәки]	ɑqɯ̞ɫɯ̞q ʂɪ̞rɛw dʒɑhʲʊ̞ dʒɛmɛ ɑrtʊ̞ɾuɾ
aqïm	qɯ̞qʊ̞m
aqïn	ɑqɯ̞m
aqïndï	äqɯ̞ntʊ̞
aqïnčï	qɑqʁɑntʃɛ
aqïp	ɑqɯ̞p
aqïp önmäk	qɯ̞p ʏ̞nmæk
aqïtar	ɑqɯ̞tɑr
aqïtmaq	ɑqɯ̞tmɑq
aqïtγan	aqitɣɑn
aqïšmaq	äqɯ̞ʂmɑq
aqïγlï	ɑqɯ̞ʁɯ̞ɫɑ
aqïγsïz	ɒqiksiz
ar	ɑɾ
ara	ara
ara ba	rabba
ara bamaq	qɾbq
ara buqa	ɑrɑ pʊ̞qqɑ
ara tẹmür	ɑɾɑ tʲimʲur
arab	ɑrɑp
aral	araɫ
arala	ɑrɑɫɑ
aralamaq	ɑrɑɫämɑq
aram	ɑrɑm
aramut	ramʊt
aran	ɑrɑn
aranlïγ	ɑrɑŋlɑq
arastä	ɑrɑstɛ
arata	ɑrɑtɑ
arata arata	ɑratɑ ɑratɑ
ardamaq	ɑrtɑmɑq
ardaq	ɑrdɑq
ardatmaq	ʊ̞rdätmɑq
ardun	ärdæn
arduq	ɑrdok
ardutal	ɐɾdutɐɫ
ardïr	ɑɾdæɾ
arju	ˈaɾɪo
arjulaju	ɑrjuːɫæjʊ
armaq	ɑrmɑq
armaqsïz	ʔɑrmɑqsɨz
armaqïn	ʊ̞rmɑqtɯ̞n
armaγan	ɑrmɑʁɑn
armut	ɑrmud
armutlanmaq	pɑrmwtɫänmɑq
arpa	ɑrpa
arpa aš	ɔɾpɑʃ
arpalamaq	ɑrtɯ̞ɫɑmɑq
arpalanmaq	ɑrpɯ̞ɫɯ̞nmɑq
arpaγan	ɑrpɑɢɑn
arqa	ɑrqä
arqalanmaq	ärqɑɫɑnmɑq
arqamaq	ärqämɑq
arqar	ɑrqɑr
arqačaq	ʔɑrqatʃak
arqašmaq	ärqäʂmɑq
arqaγ	ɢɑrqɑq
arqu	ɑrqɯ̞
arqun	ɾqɔn
arqun münüp arqar jẹtär. [мәхмүд кашгарый]	ɑrqun mɪ̞nʲɪp ɑrqär ɪ̞tær
arquq	ɑrqɑq
arquqlanmaq	ɑrqɯ̞ɫqɫɑnmäq
arquru	aɾquɾ
arquru turquru	ərɢʊ̞rʊ̞ toɾqʊ̞rɯ̞
arqučï	qɑrquːtʃjɛ
arqï	ɢɑrqɑ
arqïn	ɑrqɯ̞n
arqïš	qɯ̞rqʊ̞ʂ
arrïγ	ɑrɑɢ
arsal	ɑrsɑɫ
arsalïq	ɢɑrsɑɫɯ̞q
arslan	ɑrʂɫɑn
arslan balban	ʊ̞rsɫɑn bɑɫbɑn
arslan taba ẹmiti. [мәхмүд кашгарый]	ʔarzwdʒiː bɑr ʔimɪtiː
arslan tẹgin	ärslant ɪ̞gʲiŋ
arslanlaju	ärtɫɑnɫæju
arsu	ɦɑrʂu
arsïl	ɑrθɯ̞ɫ
arsïq	ɢɑrsɯ̞q
arsïqmaq	ɑrsɑkmɑq
art	ɑrt
arta	artˈa
artamaq	pɑrtɑmɑq
artaq	ɑrtɑq
artat	ɑrtɑt
artatmaq	ɑrtɫætmɑq
artašmaq	ɑrtæʂmɑq
artlamaq	ɑrtɫɑmɑq
artmaq	ɑrtmɑq
artmïš	ɑrtmɯ̞r
artturmaq	qɯ̞tsurmɑq
artturur	artuɾuɾ
artun	ʔɑrtʰun
artuq	ɑrtɑq
artuqlanmaq	rtʊ̞kɫänmɑq
artuqraq	ɑrtʊ̞qɾɑq
artur	ɑɾtʊɾ
artut	ɑrtut
artuč	ɑɾtudʒ
artuč sögüt	ɑrtʊ̞ʂsʊ̞ gʏ̞t
artučlanmaq	rtutʃɯ̞ɫɯ̞nmɑq
artïldï	ærtʊ̞ɫdʊ̞
artïlmaq	ʊ̞rtʊ̞ɫmɑq
artïnmaq	ɑrtɯ̞nmɑq
artïšmaq	artʊ̞ʂmɑq
artïγ	ɑrtɯ̞ʁ
arubat	rʊbɑt
arumdun	aɾumdon
aruq	ɾuq
aruq turuq	ɑrɔqtʊ̞rɔq
aruqlamaq	ruqɫämɑt
aruqluq	ɑrɫqɫɯ̞q
arut	rɔt
arutγu	ɑrɯtɫuɣu
arušmaq	ɑrʊzmɑq
aruγlatï mẹnig jazuqluγ quluγ. [йосыф баласагуни]	ɑruɣlɑtɯ̞ mʲenɪ̞k jɑzuqɫʊ̞q qɯ̞ɫʊ̞q
arvalmaq	hʊ̞rwɑɫmɑq
arvamaq	ʊ̞rwämɑq
arvaš	ɑrɯbɑʃ
arvašmaq	ʊ̞rʊ̞ʊ̞ʂmɑq
arvïš	ɑrwɑs
arzu	ɑrzuɦ
arzulaju	ɑrzuɫäjɯ̞w
arzulamaq	ärzwɑmɑq
arzulap	ɑrzuɫɑp
arzulap sẹvmäk	ɑrzuɫɑp sɛvmæk
arï	qɑrɑ
arïlamaq	ɑrɑɫämäq
arïlmaq	ɑrɯ̞ɫmɑq
arïmaq	ɑrmɑq
arïmas	ɑrɑmɑs
arïnmaq	ʊ̞rʊ̞nmɑq
arïnču	ʔɔrɑntʃua
arïq	ɑrɑq
arïqlanmaq	ɑrɯ̞qɫɑnmɑq
arïqlïγ	ɑrɯ̞qɫɯ̞q
arïtasï	ɑrɑtˈlɑsɯ̞
arïtmaq	ʊ̞rʊ̞tmɑq
arïtsa	ɢɑrɯtsɑ
arïtïšmaq	ʊ̞ɾätɯ̞ʂmɑq
arïtγan	ɑrɑtqɑn
arïtγu	ɑrɑtɢu
arïtγïl	ärɑtʁʊ̞ɫ
arïš	ɑrɑʃ
arïšmaq	ʊ̞rʊ̞ʂmɑq
arïγ	ɑrɑɢ
arïγ bačaγ bačap	ʔɑrɑɣ ba tʃaq ba tʃaq
arïγ süzük	ɑrɑq søzʏ̞k
arïγlamaq	ärʁɫämpɑq
arïγlïq	ʊ̞rʊ̞ʁɫʊ̞q
arïγlïq tiläsä, arïtγïl boγuz, arïtsa boγuz, boldï asγïŋ ögüz. [йосыф баласагуни]	ɑrʁlɯq tilæsæ ʔɑrɑtʁul bɔʁuz ʔɑrɑtsɑ bɔʁuz bɔldɑ ʔɑsʁiŋ ʔøgiz
arïγsïz	ɑrɑqsɯ̞ð
arïγsïz jïd	ʔɑrɑq sɛz jæd
arčišmati	artʃiːʃmaːtiː
arčmaq	ʔartʃmɑq
arčun	ɑɾtʃon
arčuq	rtʃɔq
arčï	ɒɾtʃɒ
arγant	ärʁɑnt
arγarmaq	ärʁärmɑq
arγaγ	ɾuɢɑr
arγu	ärʁo
arγu talaš	aɾɣotalaʃ
arγula	ʔɑrʁullɑ
arγulamaq	ärʁuɫɑmɑq
arγun	ɑɾbun
arγurmaq	ärʁurmɑq
arγurtmaq	ärʁʊ̞rtmɑq
arγurturmaq	ärʁurtuɾmɑq
arγuč	ɑɾɣuʒ
arγuč ažun	ɾɣo tʃaːʒuːn
arγïš	ɑrɢɯ̞ʂ
arδutal	æɾbuðtɑɫ
arχant	ɑrχɑnt
as	ɑs
asan	ɑsɑn
aslï	asuɫa
aslï bẹδük	aswabɛjˈʌk
aslïnmaq	ʊ̞sɫɯ̞nmɑq
asmaq	ɑθmaq
asra	asra
asraq	ɑsrɑq
asraqïγ	ʊ̞srɑqq
asraγï	ɑsrɑqɯ̞
asrušmaq	æsrʊ̞ʂmɑːq
asrï	qɒsrɒ
ast	ɑst
asturmaq	ästurmɑq
astïn	ɒstən
asundï	osunðɑ
asur	ɑsˈlɑr
asurmaq	ɑsuɾmɑq
asurtmaq	ɑsˈɔrtmɑq
asurtγu	æsɯ̞rtqɯ̞
asurtγuq	aʃˈvˈɑːrtɾˈoːk
asurγan	qɯ̞sʊ̞rʁän
asï jïldïz kök	ɑʂi̠ jʊ̞ɫdʊ̞θ køk
asïl	aθɫ
asïl jïldïz kök	ɑsɯ̞ɫ jʊ̞ɫdʊ̞ʂ gʏ̞k
asïlmaq	ɑsɑɫmɑq
asïnmaq	ɢɑsɯlmɑq
asïra	ɢɑsˈra
asïšmaq	ʊ̞sʊ̞ʂmɑq
asïγ	ɒsˈɒs
asïγ ajaγ	ɑsɯgɑ jɑqɯ
asïγ tutmaq	ɦɑsɯ̞r tʊ̞dmɑq
asïγlïγ	ɑʂɯ̞ʁɫɯ̞q
asŋarmaq	ɑʂɯ̞ŋɑrmɑq
asγïŋ	ɑsqɯŋ
at	ɔt
at arta	ɑtɑrtɑ
at aγzï	ɑtɑqzɯ
at kü	ɑtkɯ
at laqab ur	ɑtɫɑqɑp ʔorm
at qamčïsï	qɑtqɑmtʃɪzsɯ
at qojmaq	ɑt qojmɑq
at qudruqïn tügmäk	ɑt qodruqɯ̞n tʏgmæk
at sẹkirtmäk	ɐtsʲiːk kʲirtnæk
at tap	atːop
at urul	at oɾuɫ
ata	ɑtɑ
ata ana	atona
ata jurnï	äta jurnɑ
ata pändi	o ta pɛnˈði
atadmaq	atatmɑq
atamaq	tɑtɑmɑq
atan	ɑtɑn
atan buqa	ɑtɑn buqˈɑ
atanlan	ɑtɑnɫɑn
atanlanmaq	ɑtɑnɫɑnmɑq
atanlïγ	tɑŋlɑq
ataq	ɑtɑq
ataqï	qɯ̞tɑqqɯ̞
ataqïmsïnma juq atïγ bulsar, art saju majaqajur. [türkische turfan-texte]	ɑtɑ qɯ̞msɯ̞nmɑjʊ̞q ɑtɑq bɔlsɑr ɑrt sɑjʊ̞mɑ jɑqɑ jʊ̞r
ataqïmsïnmaq	ʔɑtɑqɯ̞msɵnmɑq
atasaγun	aːtasagun
atat	atat
atatmaq	atatmɑq
atač	ɔtɔtʃ
atačïm	ätatʃɯ̞m
ataŋ	aθŋ
ataš	ɑtɑʃ
ataš qïzïl	atatʃ qɯˈzɯl
atašluγ	atɐʃlʊx
atla	ɑtɫɑ
atladï	ɑtlɑtdɑ
atlan	ɑtɫɑn
atlanmaq	ʔtwˈʌnmˈɑːls
atlar	ɑtbɑr
atlas	ɑtɫɑs
atlat	ɑtɫɑt
atlašmaq	ætɫɑʃmɑq
atlïγ	ɑtɫɯ̞g
atlïγ jüzlüg	atlɑq jøz byk
atlïγ sü	ʔɑtlɪq søj
atmaq	qɑtmɑq
atnïŋ, ẹškäkniŋ müjüzi örmäz.	ɑtniŋ iʃkæːkniŋ myjyzʏ ʔørmɛz
atqalïr	ɑtqɑɫɯ̞r
atqan	ɑtqɑn
atqanmaq	ätqɑnmɑq
atqanmaqsïz	ɑtqɑnmɑqsɨz
atqanγu	ʔɑtqɑnʁu
atqanγular	ɑtqɑnʁuɫɑr
atqanγularnïŋ	ɑtqänʁwɫɑrnɯ̞ŋ
atsa	ɔtˈsa
atsamaq	ʊ̞tsʊ̞mɑq
atsïz	ɑːtsɑːz
atsïz ẹrŋäk	ɒtsi zˈiɾˈngɒk
attïn qodï tüšüp	ɑtːɯ̞ŋ qoðɑ tʏ̞ʂʏ̞p
attïn tüšmäk	ɔtˈɛntˈy smak
attïrmaq	ʊ̞tːʊ̞rmɑq
atï	ɑtˈtɑ
atïlmaq	ɑtɯ̞ɫmɑq
atïm	ɑtˈtɑm
atïn mindi, taγqa jüz urdï jẹlip. [йосыф баласагуни]	ɑtɯ̞ŋ mʲinðʲi tɑʁqä jʏ̞s ʊ̞rdʊ̞ jæ̹lʲɪp
atïnmaq	ʊ̞tɯ̞nmɑq
atïnču	atəntʃɪu
atïz	ɒtɒz
atïzlamaq	ɑtɯzɫɑmɑq
atïzlanmaq	ɑtɯ̞zɫɑnmɑq
atïš	ɑtˈtɯʃ
atïšmaq	atəʃmɑq
atïšγan	atˈeːmɑːʃrˈan
atïγ	ɑtɯ̞ʁ
atïγ bulmaq	ætɯ̞ʁɯ̞ buɫmɑq
atïγ ïqa bajur ẹrtimiz. [runic manuscripts]	ɑtɯ̞q ɑqɑ bɑjʊ̞rɪ̞ɾtʲmʲez
atïγïqa bajur ẹrtimiz. [runic manuscripts]	aːtqqjqa bajor ɪrtfɪmiz
atγaq	oːtgɑq
atγarmaq	ɑtɢɑrmɑq
av	au
av avla	ɑf ɑwɫɑ
ava	ɑwɑ
avala	ɑwɑɫɑ
avalamaq	ɑwɯ̞ɫɑmɑq
avanglun	aːnglon
avant	avˈɑnt
avdan	ɑvdan
avgan	afgan
avja	aʋˈdʒɑ
avla	ɑwɫɑ
avlal	avɯɫoɫ
avlalmaq	ʊ̞uɫɑɫmɑq
avlamaq	ɑvɯ̞ɫɑmɑq
avlan	ɑwɫɑn
avlanmaq	ɑuɫänmɑq
avlat	ɑwɫɑt
avlatmaq	äuɫofmɑq
avlašmaq	ɑuːɫɑʂmɑq
avmaq	ɑwɯmɑq
avran	aɣrɑn
avrïndï	ɑuɾnðä
avujγun	auvoiʁˈun
avurta	ɑuɯ̞rtä
avus	aʋuz
avut	avˈot
avya	abia
avzurï	hɒuzuzrɒˈ
avïlqu	ɑwɑlqo
avïnmaq	ɑˈvɯnmäq
avïnč	ɦɑuːnt
avïnču	ɔːuːnˈtɕiʊ
avïčγa	au̯ʲtʃʲlɑ
avïčγa qurtγa	ɑwʧɪ̞ʁɑ qʊ̞rtʁɑ
avčï	au̯tʃɒ
awut	aɣoð
ax	ˈɑç
az	ɑːz
az-qïna	ɦɑsqilɑ
azab	ɑˈzɑb
azad	azɑːd
azaq	ɑzɑq
azar	ɑzɑɾ
azat	ɑzɑt
azat kiši	ɑːzɑːd kiʃiː
azat ẹt	ɑzɑt et
azat ẹttim	ɒːzɒːz diːm
azat ẹtärmẹn	oða tjteɾmɛn
aziz	aziz
azizlıq	äzʲezɫɑq
azla	azɫa
azlan	ɑˈzɫɑn
azlanmaq	hɑzɫɑnmɑq
azma	ɑzma
azman	ɑzman
azmaq	ɑzmɑq
azraq	ʔazraq
azraqča	zrɑrʃa
azu	azo
azu qarï bašï	ɑzu qɑrɯ̞ bɑʂɯ̞
azun	azoːn
azun malï	æz unmɑɫo
azun malï qut qïv bulur öz oŋï. [йосыф баласагуни]	ʊ̞zʊ̞nmɑɫɯ̞ qwtqʊ̞wɯ̞ bwɫɯ̞r ʏ̞z oŋɑ
azuq	ɦɑzuq
azuq munuq	hæzɯ̞q mɑnɑq
azuq oq	ʔazɔq ʔɑq
azuqlan	ɢɑzɯ̞qɫɑn
azuqlanmaq	ɑzuqɫɑnmɑq
azuqluq	ʔɑzuqlɯk
azuqluγ	ɐzukluːq
azurla	mɑzumlɑ
azuča	ɑzutʃa
azïlmaq	ɑzɯ̞ɫmɑq
azïmaq	ɑzɑmɑq
azïtmaq	ʊ̞zʊ̞dmɑq
azïtγan	ʔɑzætqɑn
azïγ	ɒziq
azïγlamaq	ɑzɯ̞ʁɫɑmɑq
azïγlïγ	ʔɑzɑqlɑq
azγan	ɑːðgoːn
ač	ɑtʃ
ača bẹrgü ẹkčäk, aγïtγu qanï. [йосыф баласагуни]	ɑtʃɑ bʲirgʲø ektʃæk ɑʁɯ̞tqʊ̞ɫ qɑnɯ̞
ačajïn sözümni saŋa ülgüläp. [мәхмүд кашгарый]	ɑtʃɑjɯ̞n søzʏ̞mni sɑŋɑ ʏlgʏlæp
ačarmẹn	atʃaːrmeŋ
ačlïnmaq	ɑtʃɫɯ̞nmɑq
ačlïq	ʔɑtʃlk
ačlïšmaq	ɑtʃɫɯ̞ʂmɑq
ačmaq	aɣmɑq
ačmïš	ɑtʃmɯz
ačquč	aqqutʃ
ačqïl	ætʃqɑl
ačsamaq	ɑtʃsɑmɑq
ačsar	tʃtɕstɑr
ačsar tosïq ömäz sẹn, todsar ačsïq ömäz sẹn. [ancient turkic dictionary]	ɑtʃlɑr tusɯq ʔømæsin tɔtʃlɑr ʔɑtʃlɑr ʔømæsin
ačsïq	ɑtsʲɯzɑq
ačturmaq	tʃtʃtʃɑrmɑq
ačtïm	ɑtʃtɯm
ačun	ætʃuːn
ačunluγ	atsʲjondɫoɣ
ačunčï	atʃuːntʃe
ačuq	aːtsʃʊk
ačuqluq	atʃokloq
ačuqluγ	atsʲoklox
ačurmaq	ʔatʃarmɑq
ačurγan	tʃoɾgɒld
ačï	qɒtʃe
ačïl	atʃiɫ
ačïldï	aʃldʊ̞
ačïlmaq	ɑtʃɯ̞ɫmɑq
ačïmaq	ɑtʃjmɑq
ačïn	atʃɑn
ačïnmaq	ɑtʃɯ̞nmäq
ačïq	ɑtʃɯ̞k
ačïqlïγ	atʃɑqlɑq
ačïqmaq	ʊ̞tʃɪ̞qmɑq
ačïtmaq	ɑtʃɑtmɑq
ačïtγan	ʔɑtʃɪtqɑn
ačïšmaq	ətʃɪ̞ʃmɑq
ačïγ	ɦɑmsɛʁ
ačïγ altïr	ɑtʃi ɢɑltɯz
ačïγ todurγu	atʃɪ̞qtʊ̞ dʊ̞rʁu
ačïγ ẹmgäklärintin ozup qutrulup…[altun jaruq]	ɑtʃɯk ʔemˈgæklɛrinˈtin ʔozup qutʁulup
ačïγlïq	ɑtʃɪ̞ʁɫɯ̞q
ačïγlïγ	ɑtʃɑʁlɑq
ačïγsamaq	ʔɑtʃiɢsɑmɑq
ačïγsïmaq	ʔɑtʃiɣsɑmɑq
aŋ	u
aŋa	ɑŋɑ
aŋa bẹrsä bolγaj aγï qaznaqï, ïnansa jaraγaj, küδäzsä ḥaqï. [йосыф баласагуни]	ɑŋɑ bʲersæ bwɫʁɑj ɑʁɯ̞ qʊ̞znɑqʊ̞ ʊ̞nɑnsɑ jɯ̞rɑʁɑj kʏzɛtːæ χɑqɯ̞
aŋar	ɑŋɑr
aŋar sözlädim mẹn: “aj bilgi öŋüz!” [йосыф баласагуни]	ɑˈvɑr søzlædiˈnˈ mɛn ɑj bildʒi øŋˈøz
aŋarmaq	ɑŋɑrmɑq
aŋduz	ɑŋlˈuz
aŋduz bolsa, at ölmäs. [мәхмүд кашгарый]	ɑŋduz bolsɑ ɑtøɫmæs
aŋdïmaq	ɑŋðɑmɑq
aŋla	oŋgla
aŋlamaq	ɑŋɫɑmɑq
aŋut	aˈt
aŋïl	ɑŋɑu
aŋïlamaq	ʊ̞ŋʊ̞ɫɑmɑq
aŋït	ɢɑŋgɯ̞t
aŋïtmaq	ɑŋɑtmɑq
aŋïz	ɑŋgɑz
aš	bɑːr
aš baščïsï	ɒʃ bɒʃtʃiˈsɒ
aš bišürgän ẹv	os βisjɔɾganeʋ
aš bẹrmäk	χɑːʃ bʲirmæk
aš ičkü	aʃiʃi
aš iščisi	a tsiː tʃˈeːsi
aš suv	æˈsʊ
aš tarïγ	ɑʃtɑɾˈħɑq
aš tatmaq	ɑʂtɑtmɑq
aš taturγan	ɑs tʃat turɢɑn
aš tatïγ	aːstatɐg
aš tẹrgi	ɒstɒɾgiˈ
aša	ɑːsɑ
ašadïlar	äʃɑˈdɯlɑr
ašamaq	ɑʂɑmɑq
ašan	aˈsɑn
ašan tutuŋ	a ʃɑntʊtˈo
ašaq	ɑʂɑq
ašaqlamaq	ɑʂɑqɫɑmɑq
ašardïm	aʃaɾdən
ašarmẹn	ɑʂɑɾmɛjn
ašat	aˈsˈɔt
ašatmaq	ɑʂɑtmɑq
ašač	aʃoit
ašbar	ɑsbɑɾ
ašlalmaq	ɑʂɫɑɫmɑq
ašlamaq	ɯ̞ʂɫɑmɑq
ašlaqa	ɑʂɫɑqˈɑ
ašlar	ɑʂɫɑr
ašlatmaq	ɑʂɫäːtmɑq
ašlïq	ɑʂɫɯ̞q
ašmaq	ɑsmɑq
ašnu	aʃnu
ašqa ündärmẹn	ʔɑskɑ ʔynðærmɛn
ašrulmaq	ɑʃɾuːɫmɑq
ašsamaq	hɑtsʊ̞mɑq
ašsatmaq	æsˈtˈmɑq
aštal	aztɑl
ašu	aʃoː
ašulmaq	ɑʂɯ̞ɫmɑq
ašumaq	æʃumɑq
ašunmaq	ɑʂɫənmɑq
ašuq	ʁˈɛnzˈɔq
ašuqlamaq	ɯ̞ʂɫqɫɑmɑq
ašuqmaq	æʃuɫqmɑq
ašutmaq	ɑʂʊ̞tmɑq
ašïlmaq	ɑʂɯ̞ɫmɑq
ašïlmaq kötrülmäk	ɑsɯ̞ɫ mɑk kʏ̞tʏ̞rʏlmæk
ašïč	aʃa
ašïč ajur tüpüm altun, qamïč ajur mẹn qajda. [мәхмүд кашгарый]	aʂɑtʃ ɑjˈur tøˈpøm ɑltɯn qamɯʃ ɑjˈur mʲin qajda
ašïč buqač	ʊ̞ʃɫɪtʃ buqa
ašïč kẹzi	aːʃtʃ kiː e̞zjæ
ašïč kẹzlänmäk	ɦɑʃɯtʃkɛ izlemlɛnk
ašïγ	ɦɑsˈq
ašïγï birlä	ɑʂɯ̞ʁɯ̞ bʲirɫæ
ašγïnmaq	æʃɢɑmɑq
ašγïnmaq alïnmaq	ɑʂɢɯ̞nmɑq ɑuɯ̞nmɑq
ažun	aʒun
ažun mẹŋzi boldï ḥabäš qïrtïsï. [ancient turkic dictionary]	ɑzɯ̞n mʲenðɪ̞ bwɫdɯ̞ χæbæʃ qɯ̞rtɯ̞sɯ̞
ažun ẹtgükä	æʒjɑ̞ ɪ̞ðgʏ̞kæ
ažunluq	ɑzumum
ažunluγ	aʒiŋdɫoɣ
ažunta nẹgü bar ölümtin qatïγ? [йосыф баласагуни]	ɑʐuntɑl nɛjgy pɑr ʏ̞lʏ̞mtiʲn qɑtɯ̞ʁ
ažunčï	aʐontɕe
ažunčï bẹg	azuntʃe bɪ̞k
ažunčïqa ẹrdäm kẹräk miŋ tümän. [йосыф баласагуни]	aːzuntʃɯcɑ ɛðdɛm kirɑk mɪn dymɛn
aǯun	ɑːjɔn
aγ	ɦ
aγan	ɦɑn
aγartγu	aʁɑrtʁu
aγduq	pɑqduq
aγlamaq	æʁlamɑq
aγlanmaq	ɑʁɯ̞ɫɑnmɑq
aγlaq	ɑʁɫɑk
aγlatmaq	ɑʁɫɑtmɑq
aγmanïrmẹn	ɑɣmɑnlɑɾmeŋ
aγmaq	ɑʁmɑq
aγnamaq	ɑʁnɑmɑq
aγnatmaq	ɑɢnɑtmɑq
aγrumaq	ɑɣromɑq
aγruq	ɑɣruq
aγruqlanmaq	ɑʁruqlɑnmɑq
aγrurmẹn	ɦɑɣroːrmen
aγruγ	ɑːbruɦ
aγrïdum	ɑːgɾadum
aγrïmaq	ɑʁɾɯ̞mɑq
aγrïnmaq	ɑʁɾɯ̞nmäq
aγrïqanmaq	ɑʁriˈqɑnmɑq
aγrïtmaq	ɑgɾɑtmɑq
aγrïšmaq	ɑʁrɯzmɑq
aγrïγ	ɐgɾæg
aγrïγsïz	ɒgɾiˈqsiz
aγsamaq	ɑʁzɑmɑq
aγtarmaq	ɑqtɑrmɑq
aγtarïlmaq	ɑqtɑrɨlmɑq
aγtïlmaq	ɑqtɑlmɑq
aγu	ʁˈoː
aγu tïnï	ɑɢɑutɯlnɯ
aγuj	aɣoːj
aγujluγ	aɣoiʎoɣ
aγulamaq	ɑʁuɫlamɑq
aγuluγ	aʁɯlɯk
aγuluγ oq	ʁʊ̞ɫːʊ̞ʁɑq
aγuqmaq	aʁoqmɑːq
aγuršaq	ɦʊ̞rʂɑq
aγuz	ɑːguz
aγzïn tumaq	æˈɣ zæntumˈɑq
aγï	aɣa
aγï baram	ɑʁɑ pɑrɑm
aγï barïm	ɑʁɑ bɑrɑm
aγï barïm alqïmaq	ɑʁɯ̞ bɑrɯ̞m ɑɫqɯ̞mɑq
aγï barïm alqïnsar, ẹl törü nẹčük tutar biz, täŋrim? [kalyanamkara & papamkara]	aːɣɑ bɑrɑm ɑlqonsaq ɛl tørylnɪ tʃyp tutaːr biz tæŋrijm
aγï barïm bolmaq	ɑʁɑ bɑrɯ̞m bʊ̞ɫmɑq
aγï qaznaq	ɑɣ qɑznɑq
aγï tẹŋ	ˈʌˈʁtˈiŋ
aγï čuz	ɑɣe tʃoːz
aγï čuz kẹδim	ɑˈʁitʃi uz keðin
aγï čuz kẹδim, ton — kiši kẹδgüsi. [йосыф баласагуни]	aʁisioke ðimtɔ̃n kiʃi kɛð gɛsɪ̃
aγïl	ʁɯ̞rɫ
aγïlamaq	ʁʊ̞ɫɑmɑq
aγïlar	ɑʁɯ̞ɫɑr
aγïlda oγlaq toγsa, arïqda otï önär. [мәхмүд кашгарый]	ʔɑjildɑ ʔomulɑq tuqsɑ ʔɑrɑqdɑ ʔɑtɑ ʔømær
aγïlïq	ɑɢɯ̞ɫɑt
aγïlïqqa qïlmaq	ɑʁɯ̞ɫɯ̞qkɑ qɯ̞ɫmɑq
aγïlïqqa qïlsa aγïčï sẹni, bütün čïn bolur sẹn, jorïγïl köni. [йосыф баласагуни]	aʁlɨqqɑ qɯlsɑ ʔɑʁutʃɨ seni bøtɨn tʃin bolur sen jirʁi kønɨ
aγïlïqtaqï	ʊ̞ɢɯ̞ɫtɑqʊ̞
aγïm	ɑˈgæn
aγïn	ɦɑqən
aγïndum	aːɢɯnduːm
aγïnurmẹn	aɣlnurmɛn
aγïr	ɑʁɯ̞r
aγïr bolmaq	ɑʁɯ̞r bʊ̞ɫmɑq
aγïrdum	aːɣərdum
aγïrlalmaq	ɑʁɯ̞rɫäɫmɑq
aγïrlamaq	ɑʁɯ̞rɫämɑq
aγïrlanmaq	ɑʁɯ̞rɫänmɑq
aγïrlïq	ɑʁɯ̞rɫʊ̞q
aγïrlïγ	ʊ̞ʁʊ̞rɫʊ̞ʁ
aγïtmaq	ɑgɯ̞tmɑq
aγïtγan	haɣatqɑn
aγïz	ɑːgæz
aγïzlamaq	ɑɣɯzɫɑmɑq
aγïzta tutmaq	ɑɢɯ̞s tæ tʊ̞tmɑq
aγïčï	aɢatʃe
aγïčï saran	ɑˈʁitʃi sɑˈrɑˈn
aγïš	ɑqɯz
aγïšmaq	ɑʁɯ̞ʂmɑq
aδaq	ʔɑjɑq
aδaq örü	ɑjɑʁøry
aδaqïn baγdamaq	äðɑqɯ̞n bɑʁzɑmɑq
aδaqïγ qabartmaq	ʊ̞ðäqʊ̞q qɑbɑrtmɑq
aδruq	ʔɑjruːq
aδrï turmaq	əjrɑt urmɑq
aδïn	aʝˈɯ̞ŋˈɑ
aδïγ	ajjɑħ
aδγïr	qɯ̞ðʁɯ̞r
aχlamaq	ɑχɫɑmɑq
aχsa	ɑqsɑ
aχsamaq	ɑqsɑmɑq
aχsaq	ɑqsɑq
aχsat	ɑqsɑt
aχsatmaq	ɑqsɑtmɑq
aχsum	ɑqsum
aχsumla	aqsumla
aχsun	aqsuːn
aχsuŋ	ɑqsum
aχtar	ɑχtɑr
aχtarmaq	ɑqtärmɑq
aχtur	ɑxtuɾ
aχï	ɒχə
aχïlïq	ʊ̞χʊ̞ɫʊ̞q
aχïlïq ẹrür, bil, buχul közgüsi.	ɑχɯ̞ɫɯ̞k ɪ̞zʏ̞rɪ̞ bʊ̞hʊ̞ kʏ̞zgʏ̞sʏ̞
aχšam	ɑqʃam
b	b
b-b	b
ba	ba
bab	bap
baba	bɑbɑ
babagir	bɐbɐgˈir
badar	mɑðaɾ
badïmïz	bð̞məz
badïč	bɑdɑtʃ
badïčlïq	bʊ̞dʊ̞tʂɫɯ̞q
badγa	bˈˈadgˈa
badγamaq	bʊ̞ðgɑmɑq
bahasïz	bɒhɒsf
baj	baj
baj apa	bɑjɑpɑ
baj bar	bäj bɑr
baj bol	bajbɔɫ
baj bolmaq	bɑj bɔɫmɑq
baj tẹmür	bäj tʲɪmʲir
baja	bajɑ
bajat	bajat
bajat atï birlä	bɑj jɑtɑtɯ̞b jɪlɛ
