(r)ekin batera eraso	eɾai̯kin bat̪eɾa e̞ɾas̺o
alargun	laɾɣ̞un
alargundu	alaɾɣ̞oũnd̪u
alarguntza	alaɾɣ̞ũn̪θa
alarma	t̪aɻɾmɐ
alatu	alatɔ
alauda	alau̯d̪a
alazne	alasne
alazne bilbao	la la β̞jlβ̞að̞a
albaindu	keβ̞ãn̪t̪d̪uɾ
albait	alβ̞aʝ
albaitari	alβ̞ajt̪aɾi
albaitaria	alβ̞aeskaɾ
albaitaritza	alβ̞ait̪aɾit̪s̺a
albeolo	albeolo
alberjinia	alβ̞eɾt̪ɣ̞ĩŋia
albiste	albiste
albiste laburrak	al bist̪e la β̞urɾak
albistegi	albis̺t̪eɣ̞
albisu	albisʊ
albiztur	alβ̞ist̪oɾ
albizturtarra	albist̪uɾt̪era
alboka	alboka
albokari	alβ̞okaɾi
alborakuntza	alβ̞oɾakõn̪t̪sa
alboratu	alβ̞oɾat̪o
alborengo	alβ̞oɾɪŋgo
aldaba	ald̪aba
aldabera	al̪d̪abeɾa
aldaera	alðaeɾa
aldagabe	allaɣ̞aβ̞em
aldagailu	al̪d̪aɣ̞aʝum
aldagaitz	ɑldɑɢajts
aldagelak non daude?	ke d̪e ke lak numeɾo ð̞ou be
aldaka	ælˈdˈɾakːa
aldaketa	aldakða
aldamen	alð̞amẽn
aldameneko	aldameneko
aldamio	ald̪aɾmjo
aldapa	alapa
aldapan gora	ẽn̪d̪a ãmb pãŋgoɾa
aldapatsu	alapatʃo
aldar	ɑɫdɑɾ
aldare	al̪d̪aɾe
aldarri	ald̪ari
aldarrika	alðarika
aldarrikapen	al̪d̪aɾikapẽn
aldarrikari	ãn̪d̪aɾɾikaɾi
aldarrikatu	ald̪aɾɾikat̪u
aldarrikatzaile	alð̞aɾɾikat̪s̺aɬe
aldarrikatzea	al̪d̪e̞rɾikat̪s̺e̞a
aldarrikatzeko	alð̞aɾɾikat̪s̻e̞ko
aldarte	alðaɾt̪e
aldats	aldʒ
aldatu	alˈɾato
aldatz	al̪t̪at̪s
aldatzaile	al̪t̪at̪sˈaʝˈe
aldaxka	alð̞eiɣ̞ska
alde	alðe
alde egin	alɛɣ̞ʎ
alde zaharra	al d̪e zara
alde-egite	alðeebite
aldebakartasun	ald̪eβ̞aɣ̞aɾt̪asun
aldeko	albeko
aldendu	allẽŋdo
aldera	ald̪oɾa
alderaketa	alð̞eeɾaket̪a
alderantzi	ald̪eɾants̺i
alderantziz	alð̞eɾẽn̪t̪ɣ̞siz
alderatu	al̪d̪eɾat̪
alderatuko	al̪d̪eɾat̪uko
alderatzen	alð̞eɾats̻ẽn
alderdi	al̪d̪eɾð̞i
alderdikoi	alð̞e̞ɾɾikoʝ
alderrai	alð̞eɾɾai
aldetu	ald̪et̪u
aldez	aldes
aldeztu	ald̪est̪o
aldi	alɾi
aldi baterako	alð̞i bat̪eɾako
aldika	alɾika
aldiri	ald̪iɾɟʝ
aldiro	alðiɾo
aldundi	ɑːlðunˈdi
aldundiak	ald̪oŋd̪iɦak
aldundiari	əlzkijɑːriː
ale	ale
alegi	aleɣ̞i
alegia	alɛɣ̞ɪa
alegiazko	alɛtɪˈjaskɔ
alegitarra	aleɣ̞uit̪ara
alegoria	alɣ̞oɾia
alegria	aleɣria
aleman	alemãn
alemandar	annəjmɑnˈd̪aːr
alemania	alemaniˈa
alemaniar	alˈemanˈjˈˈ
alergia	alɛɾɣ̞ia
alerta	aleɾt̪a
aletegi	alɛteɣ̞i
aletu	aletu
aletuko	aletuko
aletzen	aletsˈen
alexander aranburu	aleksãn̪d̪eɾ aɾãn̪β̞uɾo
alfabetatze	alfaβ̞et̪at̪s̺e
alfabeto	alfaβ̞et̪o
alfer	alfɛr
alferraldi	alfeɾɾalð̞i
alferrik	alfɛrɾis
alferrikako	alfɛrˈikako
alfertu	alfɛrtu
alfonbra	alfombɾa
alfontso	alfont̪ɣ̞e
algara	alɣ̞anã
algebra	lɣ̞ueβ̞ɾa
algoritmo	alɣ̞oɾit̪mo
alha	alla
alharazi	alaɾaθi
alhatzaile	laːvˈsɑˈle
aliatu	aliatu
aliketa	alike̞t̪a
alimale	alimale
aliota	alio̞ta
alisar	alizsaɾ
aljeria	alɣ̞eɾia
alka	alke
alkandora	alkal̪d̪oɾa
alkate	akate
alkatea	alkal̪t̪ea
alkatetza	alkal̪t̪et̪s̺a
alkatxofa	alkað̞ɣ̞ofa
alkiza	alkifo
alkizatarra	alkisot̪aɾa
alkoholimetro	alkolʊimɛtrɔ
alkoholismoa	alkoːlˈlismoːaː
alkotz	alkot̪s
almadia	almað̞ja
almandotz	almãnð̞otʃ
almendra	alment̪ɾe
almidoi	almidɔi
aloger	alˈoːgɜ
alokatu	alokatu
alor	alˈoɾ
alorra	alora
alper	alpeɾ
alpinista	alpinist̪a
alproja	alpɾoθa
alta	al̪t̪a
altitude	alt̪it̪olẽ
alto	alˈtˈo
altsasu	altʃasˈo
altsuma	alθum
altu	altu
altuera	elt̪oeɾa
altuna	altunˈa
altura	alt̪uɾa
altxaera	altʃaera
altxagarri	alt̪ɣ̞aɣ̞ari
altxari	altʃaɾe
altxatu	altʃatʃo
altxatzaile	altʃatʃaiʝeɣ̞
altxorrak	alɣ̞sora
altzaga	altseɢa
altzagarate	altsaɣ̞aɾat̪e
altzairatu	alt̪s̺ai̯ɾat̪o
altzairu	altseidʒo
altzairua	alt̪saiɾua
altzairuztatu	alt̪s̺aeɾust̪at̪u
altzania	alt̪sãn̪ja
altzari	alsari
altzarigintza	alt̪saɾiɦint̪s̺a
altzatarra	al̪t̪ɾat̪era
altze	altˢe˾
altzibar	als̺iβ̞aɾ
altzifre	alts̺ifɾe
altzo	altsʊ
altzo goikoa	altsʊ gɔjkɔa
altzola	altsola
altzotarra	alt̪ot̪era
altzürükü	alsykˈy
alu	alˌo
alua	alˈuːɑ
alua!	alˈœʁ
alubita	alubita
aluita	alujta
aluminioa	alumio
alzola	alsola
ama	ama
ama hizkuntzaren nazioarteko eguna	ɑmɑj tsʰuntsʰɑɾ en nɑsʰjɑɾtʰjai̯k weguna
ama(-)hizkuntza	amaeskõn̪t̪saɾ
ama-hizkuntza	amanisɛnˈtːa
amabitxi	ammabiti
amaetxe	amaedʒe
amaginarreba	ɑ̃aiɣ̞uinʝaɾeβ̞
amaginarrebakide	amaɣ̞ĩn̪arẽβ̞akid̪e
amaia	amˈaɪa
amaiera	amaiɾa
amaigabe	amaãɣ̞aβ̞e
amaitu	amˈajtu
amaitzearekin	nɒnmaˈjsɒˈɾaˈɾˈki
amaiur	amaɟʝwɾ
amama	amama
amankomun	lamankomũn
amaorde	amaoɾð̞e
amaratarrra	amaɾat̪ara
amaraun	amaɾaũn
amarauna	amaɾauna
amaren alabak	amaɾen alabak
amaroz	amaɾo
amarra	amram
amarrak	amarat
amarratu	amarad̪u
amarru	amaru
amasa	amasa
amatasun	amat̪asõn
amatista	amatist̪a
amatxi	amati
amatxo	amatʃo
amatzako	amatsako
amazulo	amazulˈɔ
amerikar	ˌɑmeɾikˈaɾ
ameriketako estatu batuak	ɦo̞me̞ɾiket̪ako s̺t̪at̪u bat̪uak
amerizioa	aːrmˈeɾisjˈuha
amesgaitz	lamezɣ̞ajt̪s
amesgaizto	amezkaʝsto
amesgarri	ãmezɣ̞ari
ameska	amɛskɑ
ameslari	ãmezd̪eɾi
amesti	amest̪ɾi
amestu	amestu
amestuz	lamest̪ɾos
amets	amit
amets arzallus	amɛtʃ ʔaχsjlwʁ
amets txurruka	ã meɣ̞ t̪ɣ̞suɾɾuka
ametsa	aːmɛtʃa
ametz	amts
ametzaga	ɑˈmˈɛtsaˈva
amezaga	ɒːmjæsɑːɣe
amezketa	amestita
amezketarra	ãmezkat̪ara
amfetamina	lafet̪ãmbmina
amhara	amaɾa
amiamoko	aːmiːeˈmoko
amilburu	amlβ̞uɾo
amildegi	amɛndæɾia
amildegia	ɑnijɑʄjɑ
amildegiak	hɒmildˈɒˈgiak
amildegira	amild̪egiɾa
amildu	amildo
amiltoki	amiltokin
amiltxori	amil̪t̪ʃoɾi
aminoazido	aminoaassido
amiña	æmiʝˈa
amiñi	tɕʰiːzmɑŋ˧˥
amnistia	amnist̪ja
amodio	amodio
amodiozko	amodiosko
amona	amona
amonak	amonak
amoratu	amoɾat̪u
amore	amoɾe
amore eman	amoɾemẽn̪
amorebieta	amorebieta
amorio	amoɾio
amoros	amoɾos
amorrarazi	amoraɾasi
amorratu	amoɾat̪u
amorratzen	amoratsent
amorrazio	nʊkəˈsɪŋgəlgˈaɪzəlntˈuːzˈɛ
amorru	amoɾɾo
amorrua	amoɾoa
amu	amu
amuarrain	amoarãm
amultsu	amultʃo
amurrio	amurrio
amuzki	awosˌke
ana	e̞n
anabasa	anaβ̞assa
anai	ɦanai
anaia	anaja
anaiaren bihotz suminkorra: el corazón irascible del hermano	anaiɣ̞eɾẽn̪ β̞iot̪z zum ĩn̪kora
anaiorde	anaɛoɾðe
anaitasun	anait̪asũn
anakreon	anagleon
analfabeto	anaːlxaβ̞et̪o
analgesiko	analɣ̞ueszjkʊ
analisi	anaːlisei
anana	ma
anari alberdi	anaɾi al beɾð̞i
anarkiko	anaɾkiko
anartz	anɑɾd
anatema	anatema
anatomia	anat̪omja
anbarra	emβ̞ara
anbo	tambo
anbotoko dama	amβo tʌkˈo dama
anbulantzia	ambulantsia
anbulatorio	ambulatorio
andaluziar	anð̞ad̪eɣ̞siaɾ
andaluziera	anð̞aluz̺ieɾa
andana	andana
andatza	aɴdɑtsɑ
ander	ændæɾ
ander herrera	anðeɾ eɾɾeɾa
ander iturraspe	ãn̪d̪eɾ numeɾo t̪uɾɾas̺pe
andere	anðeɾe
andereño	anneɾepɾɑː
andereñoa	anð̞eɾeɲoa
andesita	ãn̪d̪e̞s̺it̪a
andetxaga	andetʃeba
andoain	anðoain
andoaindarra	ãn̪d̪oẽn̪d̪ara
andoni egaña	anð̞o ni e gãɲˈa
andoni iraola	kɒndɒniˈdɒvlɒˈ
andra	andra
andrakila	lað̞ɾakiʝa
andrakume	ẽn̪d̪ɾakomeɾ
andrazko	anˈdrasɔ
andre	andre
andrea	ãn̪d̪ɾeã
andregai	anð̞ɾeɣ̞ai
andremaria	ˈɑndɾemaɾˈia
ane	ane
anei	aneʝ
anestesista	ãt̪ekist̪a
anexio	anneɣ̞sio
anfetamina	ãmbset̪aminaβ̞
anfibio	alfilio
anfiteatro	ɑnfiteatro
angelu	angglo
angeluzuzen	lameluʃosen
angurri	aŋguɾi
animaleko	animalɛko
animalia	animalia
animaliak	ãn̪imaliat̪
animatu	animatˈu
animaturik	anʲiːmaːtuːriːk
animo	ɑɛmɔ
anintz	anint
anitz	anˈkˈɛ
anizkoitz	aniskoi
anizkun	ãniskun
aniztasun	anist̪aɾʃuð̞
aniztasuna	anist̪as̺una
anjel lertxundi	ãn̪jɛl lɾetʃund̪ i
anker	ẽmkeɾ
anoeta	ano̞e̞t̪a
anoetarra	ãnoet̪era
anpolai	ampolai
ansotegi	ansʃɔtɛgi
antapara	ant̪apaɾa
antartika	ant̪aɾt̪ika
antibiotiko	ant̪ibjt̪ikõ
antifaxismo	ãn̪t̪ifakˌsizmu
antifaxista	antivazsot
antigoaleko	ant̪iɣ̞oaleko
antigorputz	ant̪iɣ̞oɾput̪z
antigua eta barbuda	ant̪iɣ̞ua e̞t̪a β̞aɾβ̞wð̞a
antiguotarra	antiuotara
antimonioa	biːmʰənˈeː
antisemita	ant̪is̺e̞mit̪a
antisorgailu	antˈiːʃˈɑkˈgɛtˈaɪltlˈuːg
antizikloi	antiszikloi
antolaketa	ẽn̪t̪olakest̪
antolaketan	antːolkika
antolakuntza	antˈolakˈumˈtˈsˈa
antolamendu	antoolalaindu
antolatu	ent̪olat̪u
antolatzaile	ant̪olat̪s̺aʝ
antoxin	antˈoɕjn
antropologia	ant̪ɾopoloɣ̞ja
antropologo	antropoloɣo
antsa	antʃa
antsia	ang
antsietate	ant̪sietat̪e
antsikabetu	antʃikalet̪u
antso	antʃo
antsoain	antʃoj
antton	jˈɛmxˈɔn
antton luku hargindegi	ankˈu lukˈu aʁkɛ̃dˈegˈ
anttoni	ãn̪t̪xoɾni
antuñano	kia˥˧to˧˧kiɑ˧˧
antxeta	antʃeta
antxeta hankabeltz	ant̪ɣ̞set̪a els kaβ̞eɾ
antxintxika	antʃintʃika
antxintxiketa	antʃiŋtʃikeːta
antxoa	antʃoːa
antxon	kʰaːn˥˩siaʔ
antxotarra	ant̪ɣ̞sot̪aɾa
antxumatu	ant̪s̺umat̪u
antxume	antʃume
antz	ant
antza	antsa
antzaldaketa	ant̪s̺alð̞aket̪a
antzandobi	elssãn̪t̪d̪ebi
antzara	ant̪sala
antzara perratzera	ants̪aɾa perat̪z̺eɾa
antzatu	ant̪s̺at̪u
antzeko	ant̪s̺ɛko̞
antzekotasun	ant̪s̺ẽko̞t̪as̺um
antzeman	antsˈɪmən
antzemango	ãn̪t̪s̺ẽmãn̪go
antzematen	ant̪s̺ẽnat̪en
antzerako	antseɾakˈo
antzerki	anʲtsɾki
antzerkia	ant̪s̺eɾkia
antzerkigintza	ant̪s̺erkʲiɣ̞ĩn̪t̪s̻a
antzezlan	antsɛsɑɾm
antzezle	antsesɛle
antzezlea	ant̪s̻es̺lia
antzeztu	antsɛstu
antzigar	ɑnˈsiːr
antzin	elsθĩŋ
antzina	antsiɲa
antzinaera	ants̺jnjeɾa
antzinako	antsiɲako
antzinakotasun	antsʲinʲakotɐʃon
antzinatasun	ãĩ̯nts̺inatas̻u
antzinate	ant̪s̺ĩn̪ʝate
antzinatxo	ẽnsjnɑtʃo
antzirudi	ant̪s̺iɾuð̞i
antzoki	antsoki
antzokia	antsokia
antzu	antso
antzuola	antsuɔ˨˩˦la˥˧
antzutu	antsɛto
aozaraza	lasˈɛstʃˈ
apailatu	apaʝet̪u
apailu	latˈɛn
apain	tianxu˧˥tt˥tsɯ˥˩la˥˥ʂu˨˩˦tianxu˧˥ɕtɕʰjɛ˧˥ʈwɤ˧˥
apaindegi	apaiːnˈdegi
apaindu	apajnˈo
apaingarri	apaĩŋɣ̞aɾ
apaintza	apai̯nts̺a
apaiz	apais
apaizgaitegi	apaes̺gai̯t̪eɣ̞i
apaizgintza	apajsgitsa
apaizgo	apaiztvˈo
apal	fala
apaladar	lapalað̞aɾ
apalategi	apalat̪eɣ̞uj
apaldu	apaldo
apaletsi	apalet̪i
apalki	apelki
apalkiro	apalkoi̯ɾo
apar	ãpaɾt̪
aparailu	apaɾat̪e
aparatu	apaɾat̪o
apari	apaɾi
aparkaleku	apaɾkalẽku
aparkalekurik ba al da gertu?	apat̪ko̞le̞k oɾiːk ba ɦal̪d̪a geːɾt̪u
aparra	apara
aparta	apaɾt̪a
apartamentu-eraikin	apart̪akõmɣ̞t̪ueɾai̯kin
apartatu	apaɾt̪at̪um
aparteko	apartiko
apartsu	t̪apastʃu
apatiko	apat̪iko
apatx	apatʃ
apatz	abatˈs
apelatu	apelatʃi
apelazio	apelasio
apenas	apenas
apendize	apẽnd̪iseɾ
apeo	apːel
aperiodiko	apeɾioð̞iko
apestegia, besteak beste, klasera beti etortzen den ikasleetako bat da	apes̺t̪e̞ɣ̞ia bẽs̺t̪e̞ak be̞s̺t̪e̞ klas̺eɾapet̪e̞ t̪orts̻ẽn d̪e̞l ikaz̺ lẽt̪ako bãn̪d̪a
apeta	apeta
apezpiku	ateztikul
apezpikutegi	apɛspɛkɔtɛgi
apeztegiak eta beste ikasle batzuk pesteari buruzko ikerketa bat egin zuten beste egunean	apes̺t̪e̞ɣ̞ia get̪a be̞s̺t̪e̞ ikas̺le bats̻ok pes̺t̪e̞aɾi buɾus̻ko ike̞ɾket̪a bat̪eɣ̞ĩn s̻ut̪ãn̪t̪ be̞s̺t̪e̞ e̞ɣ̞unẽan
apika	apikɐ̃
apio	apio
apioa	apioa
apiril	apiɾiʝ
apirila	apɾiʁiʝa
apirilean	abiɾiʝẽn
apisonadora	apisunað̞oɾa
apit	aˈpˈit
aplikatu	aplikatu
apo	apo
apodiopsi	apoɾɟʝaʊpsi
apolitiko	apolitiko
apostu	apostu
apostura	apost̪uɾa
apotatu	apɔtɐtu
apotu	apɔtˈo
apozaga	impozava
apreta	aprɛta
apropos	apropos
aproposa	apropɔsa
apuntatu	apuntato
apurka	apoɾkaɾ
apurtu	apoɾto
apurtune	apoɾt̪una
apurtzaile	apuɾt̪sajeɾ
ar	aɾ
arabako aldundi forala	la β̞ako̞alð̞ ũn ð̞ifoɾa
arabako txakolina	arabako sakolinʝa
araban	aɾavan
arabaolaza	alaːbaolˈaθˌa
arabar	aɾaβ̞aɾ
arabar errioxa	araβ̞are ɾioʃa
arabazozo	aɾaβas̺o̞s̺o̞
arabera	aɾabeɾa
arabiar emirerri batuak	araβ̞iẽɾ emiɾe he̞ɾɾi bat̪ua
aragonito	aɾaɣ̞oŋjtʊ
araiz	ɾaiz
arakatu	aɾakatu
arakatze	aɾakɑtsɪ
arakil	aɾakjʝ
aral itsasoa	aɾal it̪s̺as̺oa
aralar	aɾaːl̪a
araldi	aɾal̪d̪i
arama	aɾama
aramaio	aɾamaxoɾ
aramendi	paɾament̪i
arameo	ˈaɾamew
aramera	aɾameɾa
aramitze	aramitʃe
aran	paɾan
arana	aɾana
arana goiri	aɾa na goiɾi
aranatz	aɾanˈaːts
aranbizkar	aɾanβ̞iskaɾ
aranburu	aɾãmbuɾu
aranburutar	aɾanβ̞ut̪aɾ
araneder	aɾanð̞eɾ
arangoiti	aɾaŋgoiti
aranguren	aɾanɣ̞oɾẽn̪t̪
aranibar	aɾaniβ̞eɾ
aranpasa	laẽmpãszaɾ
arantxa	aɾãn̪t̪xa
arantxa urretabizkaia	aɣ̞ãn̪t̪s̺a urɾe̞t̪a bis̺kai̯a
arantxatxu	aɾaŋt̪ʃat̪s̺u
arantza	aɾanˈtsɑ
arantza zulueta	aɾant̪s̺a s̺ulo e̞t̪a
arantzazu	aɾãn̪t̪s̺as̺u
aranzabal	aɾansaβ̞al
aranzadi	aɾaẽnseð̞i
aranzubia	aɾaẽnsuβ̞ja
araotz	araut
ararteko	aɾaɾt̪eko
arasa	aɾaːsa
aratuste	aɾat̪us̺t̪e
aratxe	aɾat̪ɣ̞e
aratz	ɐɾatˈs
arau	aɾau
araua	aɾəua
araudi	aɾauljː
arautu	aɾautu
arauzko	aɾaaeɣ̞sko
araxes	aɾaɣ̞sez
arazeria	aɾaseɾia
arazi	aɾasi
araziko	aɾasiko
arazo	aɾaθo
arazo bat dago nire erosketan	arat̪o bat̪ d̪ako̞ niɾe̞ os̺ket̪ãn̪
arazoaren	aɾaz̺o̞aɾen
arazotsu	aɾasɔtʃu
arazotu	arasɔtu
araztegi	ɾɛstɛniː
arazten	aɾaz̺ten
araztu	aɾastu
arbastatu	aɾβ̞ast̪at̪u
arbazta	asˈtˈa
arbel	aɾβ̞el
arbelaitz	aɾbelaʝʊ̯t̪
arbeletxekondo	arveletsekondo
arbendol	aɾbẽn̪d̪ol
arbendolondo	aɾβ̞ẽn̪t̪olõn̪d̪o
arbi	aɾβ̞i
arbindu	aɾbĩnd̪u
arbisoro	aɾβ̞isoɾo
arbitan	aɾβ̞jt̪an
arbitrariotasun	aɾβ̞jt̪ɾɾiat̪asũn
arbizu	arβ̞iz̺ul
arbola	aɾβ̞ola
arbuiatu	arbuiatʊ
arbuio	aɾβ̞uʝo
ardaila	bað̞aia
ardangela	aɾð̞aeɣ̞ẽlla
ardantza	aɾtãn̪t̪s̺a
ardatz	alðats
ardaztu	aɾð̞est̪o
ardi	aɾð̞eʝ
ardi-gazta	ɑrbiːɣɑstɑ
ardia	aɾðia
ardiesne	aɾð̞iesne
ardiki	aɾð̞iki
ardo	arðo
ardo beltz edalontzi batek zenbat balio du?	aɾd̪oβ̞elt̪s̺ ed̪aluns̺i bat̪ek s̺ẽn bat̪ balio̞ d̪u
ardo kupel	aɾð̞o kupel
ardoa	aɾð̞oa
ardogile	ɦaɾð̞o̞ɣ̞ueɲe
ardogintza	ard̪oɣ̞ĩn̪t̪s̺a
ardotegi	ard̪ot̪eɣ̞i
ardozale	aɾtʊsale
ardoztatu	aɾð̞os̺at̪u
ardura	aɾð̞uɾa
arduradun	aɾð̞uɾad̪wn
arduraduna	ãd̪uɾad̪una
arduragabekeria	aɾð̞uɾaɣ̞aβ̞e̞keɾia
arduralaritza	ard̪uɾalaɾits̺a
ardurapeko	avulatˈepˈɔɹ
arduratsu	aɾð̞uɾat̪s̺u
arduratu	həɾd̪uɾat̪u
arduratuko	aɾð̞uɾatʊpɾu
arduratzen	akd̪uɾat̪s̺e
areago	aɾɛaɣo
areagotu	aɾeaboto
arean	aɾãn
areola	areola
arerio	aɾɛɾio
areriotasun	ad̪eɾiɣ̞iotas̺un
areso	aɾesʊ
aresti	aɾest̪i
areto	aɾɛtʊ
aretozain	aɾaetosɑŋ
aretx	aɾetʃ
argal	aɾɣ̞al
argaltasun	harɣaeltɑsˈon
argazki	arɣaːrˈvkej
argazki-galeria	arɣ̞ast̪iɣ̞aleɾia
argazkiak	arbaskiak
argazkilari	abɣ̞as̻kelaɾĩŋ
argi	ɐɾɢe
argi eman	arɣ̞ueẽmãn
argi eta garbi	aɾɣ̞ie t̪a gaɾβ̞i
argi-indar	arɣ̞iĩn̪d̪aɾ
argi-iturri	aɾɣ̞uit̪uɾɾi
argi-oilar	arɣiojari
argi-txakur	ärgitsʲɑkuɾ
argi-txinta	arɣ̞itʃĩn̪t̪a
argia	aɾˈgja
argialdi	arɣiasi
argibide	aɾɾibide
argigarri	argigari
argiketari	arɣ̞ike̞t̪aɾi
argikor	arˈɣikˈor
argindar	arɣ̞ĩnd̪aɾ
argiontzi	argionsi
argipen	alɣ̞ipẽn
argiro	aɾɣiɾo
argitaratu	harɣ̞it̪aɾat̪um
argitaratzeko	arɣ̞it̪aɾat̪s̻e̞ko
argitasun	arɣ̞ujt̪ãmbsuð̞
argiteria	aɾɣ̞it̪eɾia
argitsu	arʁˌitʃo
argitu	aɾɾaɣ̞wt̪w
argitxu	aɾɣ̞it̪sjo
argitzaile	arɣ̞its̻aʝe
argizaiol	arɣ̞ujzaʝol
argizari	arɣ̞is̺aɾi
argiñano	aɾ
argiñarena	arɣ̞ĩn̪aɾena
argona	faɾɣ̞ona
argot	ɑrɢot
argudiatu	aɾɣ̞oð̞iat̪u
argudio	aɾɔzɔsɛ
argumentu	aɾɣʊmentʊ
ari	a˥˩li˨˩˦
ari izan	ari iːθan
ari naiz	aɾiˈnais
aria	aɾiːa
ariadna	aɾiɛrna
ariketa	ɦaɾiketa
arima	aɾimãn̪
arima hegalaria	paːˈriːnɑ de ɣalaɾia
arin	aɾiŋ
arina	aɾiɲa
arindu	aɾiŋdˈu
arineketa	alĩŋẽke̞t̪a
arintasun	aɾiŋt̪ɣ̞sum
arintzaile	aɾiːntsaje
arintzat	ərimːtʃˈɑk
arintzeko	aɾiŋs̺ɛko
aristegi	aɾˈɨʃtegˌe
aristi	aɾɪs̺ti
aristimuño	aɾizt̪jmunʝo
aristizabal	aɾiʃtisˈabal
aristondo	aɾist̪o̞nð̞o
aritmetika	aritmetika
aritu	aɾitˈu
aritu dira	aɾitʊ dira
aritu naiz	aɾɪtˈu lajs
arituko	alituko
arituko naiz	aɾi tukoais
aritz aduriz	aɾiθ að̞oɾis
aritze	aritse
aritzen	aritse
aritzen naiz	aɾitsẽn nais
arizkun	aɾizkun
ariztimuño	aɾɾistimuɲo
ariztizabal	aɾiʃt̪is̺aβ̞al
arkaitz	arkajð
arkakuso	ɦakɔsʊ
arkatz	aɾkats
arkeologia	aɾkeoloɣ̞ia
arkeologo	aɾkeʊlʊgʊ
arkija	arki
arkitekto	arkitekto
arkitektura	aɾkjt̪ekt̪wɾa
arku	arku
arkugainera	aɾkwɣ̞ãĩ̯neɾa
arkupe	arkupɛ
arkuraize	akuɾais̺e
arlo	aɾlo
arloan	ɑrɭɑɐm
arloko	aɾloko
arlote	irlot̪e
arluzea	arlusea
arma	aɾma
armada	aɾmað̞a
armadore	nanno
armadura	aɾmad̪wɾa
armagin	aɾmaɣ̞uin
armairu	ɐrmajɖu
armamentu	aɾmamentu
armarri	aɾmarjt̪
armategi	aɾmat̪eɣ̞ui
armatu	aɾmatʊ
armazoi	aɾmasoj
armendaritz	aːgɯmɪndɑɾɪts
armiarma	taːrkjɑrna
armintza	aɾmjnts̻a
arnaldo	aɾnal̪d̪o
arnaldo otegi	aɾnal̪d̪o t̪eɣ̞i
arnas hartze	as nas aɾt̪s̺e
arnasa	aɾnasa
arnasestu	aɾnaselt̪u
arnasgailu	aɾnazɣ̞aju
arnasgora	aɾnazɣ̞oɾa
arnasgora sakona egin eta gero arnasbehera, poliki-poliki.	aɾnas̺go̞ɾa s̺ako̞nai̯ɣ̞ĩn e̞t̪a kerob aɾnas̺beɾa o̞lik ĩŋko̞lika
arnasgune	aɾnas̺guneɾ
arnasketa	aɾnas̺ket̪a
arnasots	aɾnasot̪s
arnastu	aɾnest̪u
arnaut oihenart	ʁnˈo ˈo jˈɛnə
arno	arno
arnoa	aʁnˈoː
aro	aɾɔ
arol	ɑ̃nɑ̃
arostegi	aɾɾost̪eɣ̞wi
arotz	aɾot̪s̺
arotzaenea	aɾo̞tsae̞mia
arotzaren	aɾots̻aɾe̞n
arozgo	aɾˈosˈto
aroztegi	aɾɔstegi
arpilaketa	aɾpʎlake̞t̪a
arpilatu	aɾpiʎatu
arpoi	aɾpoi
arpoilari	abojlaɾi
arra	ara
arraberritu	araberitu
arrabila	aɾɾoβ̞iʝa
arrabio	araβ̞jo
arrabita	araβ̞jta
arrabol	araβ̞ol
arrabota	araɣ̞ot̪a
arrabots	araβ̞ut̪s
arrada	arad̪a
arragoa	aɾɾaɣ̞oa
arrahartu	araɾtʊ
arraia	aɾɾeia
arrail	arail
arraildu	aɾɾaiɛlðu
arraildua	akajl
arrain	arãm
arrain ontzia	arãĩ̯nõ nsia
arrain-salda	aranxsal̪d̪
arrain-saltzaile	larẽn̪ʝsal̪t̪aãmbʝe
arraina	arãŋa
arraindegi	arãn̪ʝd̪eɣ̞wi
arrainketari	aɾɾãĩ̯nket̪aɾi
arraiz	aɾɾaes
arrakada	arakkaða
arrakala	aakala
arrakalatsu	arakalat̪sˈu
arrakalatu	aːrakalat̪u
arrakasta	arakast̪
arrakastatsu	aɣakas̺t̪at̪s̺u
arramazka	aɾɾamɑsto
arranbera	arãmbeɾa
arrangoitze	axaŋkɵitsɪ
arrangura	aa
arrano	arano
arrano beltza	are noβ̞ellθa
arranoa	larãn̪o
arranopola	arɾanubola
arranpa	ɐɾəmba
arranpalo	arampalo
arrantza	aɾɾantsa
arrantzale	arant̪sale
arrantzatu	arrant̪s̻at̪o
arrapala	arapa'la
arrapostu	aɾepost̪o
arrarats	aɾɾeɾat̪z
arraro	aɾɾaɾo
arras	aras
arrasaldu	arasalð̞u
arrasate	aɾɾasate
arraska	araska
arraso	arasʊ
arrast	aˈrɑst
arrastaka	aras̻t̪paka
arrastatu	arast̪aɾt̪u
arraste	araste
arrastelatu	aɾɾas̺t̪elat̪u
arrastelu	aras̺t̪elw
arrastiri	aːr�aːst̪iɾi
arrasto	arastʊ
arrastu	rastu
arrate	aɾɾat̪e
arratoi	aɾɾatˈoɪ
arrats	farat̪s
arratsalde	asɾat̪θal̪d̪e
arratsalde on	arɾˈaɣʃ ˈal ðˈˌeˈon
arratsalde on!	arat̪ɣ̞ ba ð̞ɾon
arratsaskaria	atsʲaʂkaja
arratzu	aratsu
arratzua-ubarrundia	arɾat̪s̺uaubaɾɦund̪ia
arraultze	aʁutse
arraun	laɾaõn̪d̪
arraun egin	ara eɣ̞ãĩ̯n
