'ржена	rʒɛna
сфаќаат	sˈvægkʰeːd
схоластика	sχuɫdʒɫdʒyɟaja
сценарија	stsensˈˈarˈia
сцени	peni
сѐ	se
т'билиси	tobilisi
таа	ta
таа вели	taa vɛˈlɛ
табановце	dapanoftsɨ
табла	tˈɐblɐ
табли	table
таблица	tɑblitsa
тава	dava
таван	tavan
тавче гравче	ztftʂɛ graftɕ
тага	tɑːn
тажна	taʒn
така	taka
така е	takaj
таквиот	taku
такво	takvo
такси	tǎk
такт	tɑk
талент	talent
талин	tɑɫɪn
талиум	taljum
таму	tamu
танзанија	fanzɑnɪja
тантал	tantau
танц	tants
танцуваат	tantsulat
тап	tɒp
тапан	dapɑm
тастатура	tastatura
татко	tatkɔ
татковиот	tot̪kɔvjut
ташна	taʃno
тајно	tajdo
твое	tvˈoːɛ
твоето	dvɔɛto
твоето лошо здравје ме загрижува.	tvɔjɛto ɫɔʃo ʒdrav jɛmɛ zagriʒuʋɔ
твои	dvoj
твоите	tojtɛ
творецот	tvorɛtsut
твојата	tɔjɛta
тврд	tsvɛrt
тврдо	tɛrdɔ
тврдоглав	vɯ̞rnuɫɯ̞
те	tˈɛ
те сакам	esak
театар	teˈɒˈpˈɾˈ
театарот	ruβ̞jalesalad̪imit̪iɾoseɾkessat̪
тебе	tb
тег	tˈɛg
тегли	tˈeˈglˈɛ
тегоби	teɣubi
тегови	teˈɣove
тежина	tʃiːzinɔ
тежок	pɛːʒq
теза	ɑrˈaʊtɨzˌɐ
тезга	ɛzga
тезги	tezg
теизам	teizam
тек	dek
текила	ɑllɛkʲiɫa
текот	tɛkot
тексас	tɛksas
текст	tˈɛks
текстот	ekspət
тела	fala
теле	teːlɛ
телевизор	teləvizˈœʁ
телекинеза	tˌelɨkɨnˈizɐ
телефон	t̪elẽfãn̪t̪
телефонира	telefonˈiɾa
телешко месо	e lesko me̞so
тело	tɪ
телото	tɛjloto
телур	tɪ̞ɫʊ̞r
темелат	tʲimɪlt
темели	temeli
темелна	d̪emba
темна	t̪emn
темнина	tˈɛmɪna
температури	t̪æmpɛrðurɪ
тенис	te̞ne
тенок	tɛnɔq
теодор	teodɔr
теократско	tɛokrɛtːsgɔ
теории	teori
тепа	tɛpɑ
тепачки	tsɛpɐtʃkɪ
тепих	tɪpɪx
тераса	tɛras
тербиум	terbium
терен	tɛren
терорист	terolis
тесен	tesin
тест	t̪e
тестенини	tˈɛstɛnˈɛne
тетекс	tetiks
тетка	tɛtka
тетоважа	tɛtovaʒo
тетовирам	tɛtoʋirɔm
тетово	tɛtɔbɔ
техеран	tiːxeron
технециум	tɛxnɪtsjɔm
техника	tˈɛkənt
технички	tʲekmʲitsʲːi
тече	tiːtʃɛ
тешки	teʃki
тешко	tɛʃkɔ
ти	ti
тие	tie
тимор	timoɾ
тимотеј	tʃi
тип	tip̚s̺
типови	tipɔvɛ
тираж	t̪iɾaʃ
тирана	tjrana
тиранин	t̪iɾane
тироидна жлезда	tiroidna ʒlɛzda
тит	tˈit
титан	titan
титлуван	tipɫuvan
ткаенина	ka˩˥ːjnina
ткаенини	kainini
ткиво	tkivo
тлее	tklɛ
тоа	dˈɔ
тоалет	zwalɛt
тогаш	togaʃ
того	tɔgɔ
токио	tʊkjɔ
токму	tɔpmu
толерираш	tojlɛriras
толку	tɔl
толкување	tˈɔ̃kˈuvanjˈa
тоне	pone
топли	tˈuːkəlˈɛ
топол	tupoɫ
торба	tɔrβɑ
ториумот	tʊriuˈmut
тоскана	tʊskana
тостер	tʊ̞stʊ̞r
точак	tˈotʃak
точен	totsɛ
точка	totʃka
точки	tutʂkʲi
точна	totsna
точно	tutsnˈo
тој	toj
тој вели	toj veˈlin
траги	tramʲ
традиционална	tɾaditsijonalno
трае	traj
трактор	tɾaktor
транспортен	transportɛn
трансцендентална	trænssjɪmdɪnˈtɑˈnlɯ
трафика	trafiko
трајни	trajnj
тргнува	trɨgˈmˈor
треба	trɛba
трева	trɛva
тревен	trˈeːvən
тренинг	tɾenɪŋ
трепка	prɛtka
трепки	triptɪ
трета	trɛta
трето	tɾɛːtɔ
три	tri
трие	triːe
триесет	triːzɛ
трик	trik
трилери	kɾildari
тринаесет	trinaɛsɛt
тринидад и тобаго	t̪rinid̪at̪ numeɾo t̪oβ̞aɣ̞o
тркалезен	taɾkaːliˈsɪŋ
тркалест	trkɑlɪ̞s
тркало	trɛkɛlo
трне	kɪ̞rnæ
тротоар	tˌɾɔtwɑɾ
трошете	roʂada
трпам	trɛvɑn
трпение	taɾpeɲe
трпеше	drɔpɛs
труба	truba
трудете	truːdɐdɐ
трча	tɾˈtʃə
тука	tuka
туку	tuko
тула	tuɫa
тунел	ulə
тунис	tunes
турка	turka
туркменистан	tʏ̞rʏ̞kmɛnʲɪstɑn
турнати	t̪oɾnat̪i
турново	turno
турски	turski
турција	turtsia
туршија	tʊrɪtʃeː
туш	kʊʃ
туѓо	tudʲo
убав	tˈubˈaf
убав град	voːv graːt
убава	buba
убавава	ɔgaɾava
убави	uːave
убива	ubiˈvɑ
убиства	bistva
убоди	ubo˥˩di
убодува	ubɔduva
уверена	uvɛrɛnɔ
увереност	uːveːrænost
увериле	uvɛrilɛ
уво	uvo
уганда	ugandɑ
угледаат	oglədat
удира	ʊdˈiɾa
удобно	udʊbno
уе-хеј	wˈˈɛhˈɛ
ужасно	uʐasnɔ
ужива	uʒˈɛvˈa
уживаат	uʒuat
украина	uːkraːiːna
улица	ulits
ум	um
умее	ume
уметник	umetni
уметникот	umesniko
уметници	ummeːtnˈintʃi
уметност	umɛtnost
уметноста	umɛtnɔsta
умира	umira
умови	ũnmuβ̞e
уморна	imˈorna
умот	umot
унгариjа	unˈgˌɐɾɪa
унгарски	unˈgɑrˈz
унеско	unesko
универзитет ,,кирил и методиј'' - скопје	nomezɾtaʃtʃe rau̯meŋtɔ ðistɔpjɛ
уништат	uʃtæd
упорност	upornas
употреба	upoˈtrɛba
управа за безбедност и контраразознавање	ɒgɾɑvɑ zɑfizbɛdnˈostɛ kɔndɾɛt ɔznavaj
управува	upravu
урамнотежената	wɾamnot̪esenat̪a
уран	uran
ураниум	buraniom
ураниумот	uranioːmɔ
урбана	urbona
уред	uləd
уредник	urenek
урнебесно	urnɛbɛsnɔ
уругвај	uluglɑj
услов	ɔsɫɔf
успеал	uzpell
успева	uzpeva
успехот	ɒsbe̞xɒt
успешна	aʃsatʃa
успорено	usporan
уста	usta
утврди	utvrdɨ
утеха	utexa
утра	utra
утре	itræ
утре е друг ден.	utrɛ drukde
утрински	utrˈinskj
утро	utro
уф!	uf
учат	fɯtsʌt
учебник	utʃɛbnik
ученик	futʃeˈlik
учесници	utʂɛsɲitsʲ
учествував	ɒutʃɛstwɒ
учења	utʃɛɲːa
учењата	utʃeɣimjata
учењето	utʃɛnʲeto
учи	utʃi
училишниот	utʃiːlɪʃnɪjɔt
училиштата	utʃiliʃtɛtɪ
училиште	auθseiʃte
училницата	utʃjɛlnitsajta
учиме	utʃimɛ
учител	utʃitɐ
учителка	utʃʲitaɫkau̯
уши	uʃi
уште	ulɨʃtɛ
ф'стаци	fɛstɛtˈsˈi
фабрика	ʃɑːpɾjkɑ
фаза	fɑzɑ
фазан	vɑːrðum
фази	kwˈazɨ
факт	paːk
факултет за туризам и менаџмент	tetsʲa tʊɾizɐmʲi mʲenadʒɑn
фали	taːn
фамилија	famˈilja
фанови	fanʊˈvi
фантазира	fantazira
фантазирате	spəntəziːrətɦeː
фантазија	fˈɐntɐzjɐ
фаста оланд	fastɑ ɑlɑnt
фати	fati
фаќа	fatʃa
фаќам	fakɛ
февруари	eɾɫuaɾ
фен	fɛn
феникс	penʲiks
фенина	fɛnɪnɑ
фенови	feinan
фермиум	fjrmjum
фернандо	fɛrnando
фетиш	fetɪʃ
фигура	segˈuɾa
фикус	fˈikʊs
филм	pˈɪlm
филмски	fjˈumski
финансиска	fjnaˈnsiːsko
финска	fjɛnska
фиренца	fiɾˈɛntsa
флертувам	flertuvam
флертуваш	flɛrtuʋaʃ
флертување	flɛrtufaɲ
флејта	flaɪ
флипер	liːt̪eɾ
флуор	flɔɾ
фокус	ogus
фонограми	onugrandmai
форма	fˈoɾma
фосил	kostˈil
фосфор	fosfɒ
фотоапарат	ɔltɔɑpɑrɑt
фотографира	fɔtɔgɾafira
фотографија	pɔdɔgrafjɛ
франкфурт	frˈaŋkfˌʊrt
франциум	fra˥˩n˩˥ːtsi˩˥ːvn
франција	frantsja
французин	franˈtsuziːn
француски	frantsoskj
француски парламент	tɾˈanˈtˈuzki pɑrɫamˈɛnt
фрижидер	pɾɪdʒidɛr
фризер	fɾiːzɛr
фризерски салон	prezɛtxki tʃɑlɑn
фрла	fɐɾɐlɐ
фрлил	peɾlew
фундаментална	tɨmdamɛntaɫum
функционирање	fũŋtsjʊŋiɾaɲɛ
хазардна	hæzardnˈni
хазардна игра.	hɒzɒrdnɒ igɾɒ
хаику	χɑjˈkwm
хамбург	hæmbˈrk
хановер	janoβ̞eɾ
хаос	kau
харем	hɑɾɐm
хармоника	harmonika
хартиен	ärtiːn
хартија	xaɾtja
харфа	haɾfɑ
хасиум	hasjumn
хајделберг	jdˌɔlbˌeɾk
хектар	kektare
хеликоптер	elikˈotːar
хеликоптерот	ɛlʲikɔtˈɾˈɑ
хелиум	eljum
хелсинки	eʊsɨmɨdˈiʁˈ
хемиска	hemisk
хемисфера	kemiːsivera
хемоглобин	imɔgloɓim
хербариум	tservarim
хермелин	hʲɪrmʲɪlʲɪn
хетеросексуалци	kʲɛtaroʃsɛksuaɫtsi
хефталица	xɛftdalitsa
хибрид	hibrɨ
хибриден	kibrɪ̞ðɪ̞m
хибридна	xibrɛdna
хигиена	higien
хидра	tidra
хиена	jˈɛm
хиерархија	çrɑrxʰjɑ
хиероглиф	ˈkæɾəblɪθ
химна	kimna
хипик	hik
хипици	ʃipitsi
хипотеза	ipoteza
хипотека	xʲipotɛk
хипотенуза	jpɔtɛnuzo
хистерична	kistɛrɾɛtsnɔ
хитови	kitoj
хлор	fɔː
хоби	kubi
ходникот	xoɾdniːkɑt
хол	hʊ̞m
холандија	ɦoɫandˈja
хомосексуален	kɔ̃õsɛkswal
хонорар	qonʊɾaf
хор	ɔɾ
хоризонт	xʊɾizɔnt
хормони	xormo˩˥ːni
хороскоп	ɦurɔsku
хостеса	kospɛs
хотел	χʊ̞tɪl
хотели	χʊ̞t̪ɪlɪ̞
храбра	krabra
храбри	xrabri
храбро	hrabro
храм	gram
храмови	xramovɨ
храна	khraːna
храната	xranata
храни	xrami
хранител	xrˈanɪtɔ
хранлив	xrˈanlˈɛ
хранопровод	ˌɛɾɐnɐpɹˈovɐdɨ
хрватска	χɯ̞rʊ̞tk
хрватски	hɾat
хризантема	kɾizɔntɛma
христијанското	xrɪstɪjɑnskɔtɔ
христијанството	xr̝is̺tijanztvotu
христовски	xrʌstˈofskij
хром	xrɔnd
хроника	xʊ̞rɔnjk
хроничен	xrɔnitʃɛn
хронична	xronitʃna
хронолошка	kɔɾɔnɔlɔʃka
хронолошки	prɔnaɫoʂke
хуго чавез	xugo tʃaves
хуман	χumən
хумана	umana
хуманизам	umanism
хумор	um
хумореска	xumˈoɾesk
цар	tsʰa
цар давид	tsar david
царство	tsarstvo
царството	tsarstmotu
царува	tsɛru
цвекло	tsibak
цвет	tsvˈɪt
цветен	tɛvɛtɛn
цвеќе	sveke
цвеќиња	tsʲvʲekʲiɲːa
цврст	tsbrazt
цврста	tsɯrzta
цврсти	tsʋɛrsti
цврсто	svˈezto
цел	seõː
цела	tsɛla
целина	sjɛljnæ
целиот	tsɛljɑt
целосно	tsielosnˈo
целта	sjˈelˈtˈɐ
цена	sˈena
ценет	tɾani
цени	sini
ценовник	sɛnovnik
центар	tɛntɑr
централен	tsɛɛndɾadɑŋ
централна	tsentroma
централноафриканска република	s ɛndrɔnˈno afriˈkanska ˈa rɛpublikaˈn
циганска	sɪgəŋ
цигански	seːgənk
цигара	tsigar
цигари	sigeɾe
цигла	teigo
цимет	tɪ̞mɪ̞
цинк	θˈink
цирих	θiɾif
циркониум	tsirkonimum
циркус	tʃiɾkuz
цитат	tˈitˈap
цитиравме	tʃitiˈraːtmɛ
цифра	sifɾa
цица	sɪtsɛ
црв	tɯ̞rɯ̞
црвен	tsɛrvɛn
црвен крст	tsɛrvɪn krɪst
црвена	sɛrvɛn
црвенее	tʃiːzivˈini
црвено	sɛrvɛno
црева	srɛva
цреша	tsɪrɪʃ
црква	srkva
црквата	kvat
црквен	tsɯ̞rpɯ̞n
црквена	tsɛrkvɛn
црквите	srkvʲitɛ
црн	tsɯr
црн дроб	tsɐrn drɔb
црн пипер	tsɛn pjper
црна	tsɾn
црнец	tsɛrnɛts
црница	tsɛrnitsa
црно	sɛrnɔ
црно море	tɾas dˈells mˈores
црно на бело	tsɛrnɔna bɪl
црнци	kˌɛntˌɛnəmsˌeɾi
црта	tʃɛrtʰ
цртање	tsɛrtaɲ
цртеж	tʃɪrdɪ̞ʂ
цртежи	tsrteʒi
црцор	tsɛrtɔr
цунами	suˈnɑːmɛ
чад	tʃad
чадор	tʃaːdɔr
чаеви	tʃaɛmi
чамец	sɑmɛt
чанта	kʂant
чао	tʂa
часовите	tʃasovʲite
часот	tʃasot
чачкалица	tʃatʃkalɛdzɑ
чаша	tʂas
чај	ʃaːiː
чевли	tʃeːble
чегране	kjekɾamɛ
чека	tʃak
чекор	tʃekor
чело	ʃɛɫo
челопек	kelope
чепка	tʃetka
черепот	tsʲɛrɛpət
чернигов	tʃɛrˈnikɔf
чест	ʃutʃ
честитки	tʃaʲesɨdkʲi
често	tʃe̞st
често ми се случува да доцнам.	tʃesto mi sɛ sɫutʃˈuva da tutsnɔm
четврток	tʃɛtpɾɑtɑk
четири	tʃɛtɛri
четириесет	tʃɛtɪrjɛsat
четириесет и седум	tʃɛtrʲiɛ sɛ tɛj sɛdum
четиринаесет	tʃɛtrʲinaɛsɑ
четка	tʂɛtka
чехословачка	tʂixusɫovatʂka
чеша	tʃeɾsæ
чешел	keeso
чизми	tʃiːzmɪ
чиле	tʃile
чини	tʃini
чинии	tsini
чинија	tʃinja
чисти	tʃɪste
чистотништво	ʃtupnʲitɨ
чита	tʃikˈto
чифт	tɕik
чичко	tɕitʂku
членови	tʃljɛnɔvi
членовите	tʃɫynɫvɛdɯ̞
човек	tʃo˩˥ːʋɛk
човекот	sˌoˌvɛkɑt
човечка	tʃoˈvɛtʃka
човечката	tʃɔvetʃkɐtɐ
чоколада	tʃokoladɐ
чоколадо	ʃˌukulˈadʊ
чорап	tʃuɾap
чорапа	tʃoːrɑp
чорапи	ʃoːrəp
чорба	tʃoɾba
чочек	tʃotʃik
чува	tˈuva
чуваj jа како црнката во окото	tʃubajakako tsrnka tak vɔɫ kɔtɔ
чувар	tʃuɣər
чувари	tʃuɫaɾe
чувствата	tʃuvstvata
чувство	tʃuvstvɔ
чувствува	tʃuvstˈuva
чувствував	tʃˈuvstdˈiʁˈɑf
чувствувал	tʃuvstˈvoʁɑl
чувствувале	tʃuʃpo˥˩ːga˥˩ːla˥
чувствувам	tʃuvstɔvɔm
чувствуваш	truɛstɔɔs
чудно	fʂudnɔ
чудо	tʂudɔ
чука	tʃuka
чукнат	tʃupimt
шал	ʃa
шалови	ʃaːɫovɛ
шамар	ʃamɯ̞r
шампон	ʃampon
шампони	sampune
шансите	ʃɑnsɪtɪ̞
шармантно	ʃɑˈrmɑnˈdmɯ
шатка	ʂatka
швајцарија	ʃmˈajtsarˈja
шведска	ʃvˈɛtska
шегува, се	sɛʃˈɪlɛ
шегување	ʂɨguvɛɲ
шеесет	ʃajæsd
шекеринска	ʃakʲirɨnska
шепа	ʃɛpɐ
шепи	ʃɛpɪ
шепотот	ʃipɔtɛt
шеснаесет	ʃɛsmajetɨ
шесто	ʃˈisto
шета	tʃɪta
шеталиште	ʃitˈalˈiʃtɛ
шешир	ʃiːstʃiːr
шеќер	ʃɛkɛr
шеќерот	ʃˈejtɛɾa
шие	ʃtˈe
шипка	ʃik
шипки	ʃɪk
шират	ʃiːɾat
широк	tʃiɾok
широка	ʃiɾok
широко	ʃiɾokɔ
шише	ʂɨʂɛ
шија	ʃˈiːa
школка	ʃkɔɫka
школски	ʃkɔɫski
шлаг	ulɑr
шминка	ʃminkɔ
шопинг	ʃɔpɪŋ
шофер	sˈoːfər
шпагети	faget
шпанец	zpˈanɛts
шпанија	ʃpɑnjɑ
шпански	ʃɛpɑnskɛ
шпион	spjɔn
шпорет	ʃpoɾak
штетна	ʃtɛtnɔ
штип	ʃtip
штипка	ʃtipk
штипки	ʃtipk
штит	fʃtˈit
штити	ʃtiti
што	tɨ
што има ново	to jim a nɔvu
што сакаш да кажеш? ме збуни.	ʃtˈo sˈakaʒ tˈakaʒɨʃ mjˈezbuˈnˈi
што си по професија	ʃtɔ si po prɔfɛsjɐ
штраф	tra
штрафови	braɣo
штрк	tɾk
штука	ʃtuka
штутгарт	sðˈudgˈarˈt
шума	ʃuma
шуплина	ʃuplʲeno
ѓавол	dʒavo
ѓаволот	gæwˈlˈʊ̞dt
ѓеврек	gjɛðræk
ѓеврече	gewrɛtʃ
ѓезве	gʲezvɛ
ѓомлезе	gjmlezɛ
ѓорге иванов	ɟʝoɾˈge ivanoff
ѓорѓе иванов	ɟɔrdʒe ivanov
ѓорѓев	gʏɾgeð
ѕ	zˈɛ
ѕвезда	tsʋɛsda
ѕвездичка	zrɛz�ditska
ѕвериња	zvˈerinɪ
ѕвон	zvon
ѕвони	tsvoni
ѕвоно	tsvon
ѕид	zij
ѕидосување	dzidɔsuvaɲɛ
ѕидот	dzidɔtː
ѕуни	zˈuːni
ѕуница	tsunitsa
ја	dˌiːzə
ја не зборувам македонски	jaʂt̪ nesborba makað̞onskj
јаболка	jɑvɔɫkɐ
јаболкница	jabɨɫknʲitso
јаболко	jˈabɔɫkɔ
јаболков	jabokov
јава	java
јавен	dʒavɛ
јаглен	jaglɛn
јагленокоп	jaglɛnɔkɔp
јаглерод	jˈaglɛrɔt
јаглероддиоксид	jakgɛleˈrɔtdioksid
јаглехидрати	jˈaglˈexidrat
јаде	jˈadə
јадеа	java
јадев	jˈɑːdɯv
јадеше	jaðeʃ�e
јадење	javɛnju
јаже	jɒʒɒ
јаз	lɑz
јазик	jˈɑzik
јазици	jazitsi
јакна	jakne
јакупица	jakkupʲitsa
јанковска	iljˈankovska
јапонија	�aponija
јапонофобија	japɔnɔfɔβia
јас	jˈɛs
јас дојдов до заклучок	jɑz dujdumdu zaqɫu tʃok
јасмин	jɑzmiːn
јасно	jasno
јајце	jˈaɪts
јетра	ilˈɛtɾən
јехова	jɛkova
јеховиниот	navʲinʲet
јован	jɔvɑn
јод	jɔd
југославија	jɪgusɫɐvijɐ
јужна морава	jɔʒnɐ mɔɾɐvɐ
јужноафриканска република	jusna afriˈkanska rɛpuˈblʲiga
јужноафриканска република (јар)	jiʒnoa˥˩ːpɾi˥˩ːka˥˩ːnska ɾɛpu˩˥ːblika
јунешко	jɔnɛʃkɔ
јупитер	ljupitiɾ
љубезни	ljuːbezni
љубена	lben
љубов	jˈubʌf
љубљана	njɔblɑnɔ
њујорк	nˈeʊjˈɔɹ
ќе	tʃe
ќе издржам	kje izdrʒɔm
ќе одивме	kʲeˈatʲifmɪ
ќе пробам	kiprovu
ќебапче	kibipːt
ќелија	kielija
ќерамидница	kʲiɾaɑːmiːdnɛtsa
ќерка	kʲerk
ќерки	kielci
ќос	tʃoːs
џам	dʒɒm
џвака	dzwaka
џибути	dʒibute
џигер	dʒigɛr
џинови	dʒinovi
џиновски	tʃiŋofski
џунгла	dʒuɔ̃ɰwa
‘рка	rka
’рбет	ɛrbet
’рѓа	ɒɾˈgɒ
’рѓав	ɾgjɑð
